"","ARE","AUS","AUT","BEL","BGD","BMU","CAN","CHE","CIV","CSK","DEU","DNK","EGY","ESP","ETH","FIN","FRA","GBR","GRC","GRL","HKG","IDN","IRL","ISL","ISR","ITA","JOR","JPN","LKA","MAR","MYS","NCL","NLD","NOR","NZL","PAK","PER","PHL","SAU","SGP","SWE","THA","TTO","TUR","USA","YUG","ARG","BRA","GLP","HUN","PRT","CRI","DOM","ECU","NIC","AFG","BDI","BGR","BHR","BHS","BOL","BRB","CHL","CHN","CMR","COL","CUB","CYP","DDR","DZA","FJI","GHA","GTM","GUY","HND","IND","IRN","IRQ","JAM","KEN","KHM","KNA","KOR","KWT","LBN","LBR","LBY","MAC","MEX","MLT","MMR","MOZ","MUS","MWI","NGA","NPL","OMN","PNG","POL","PRK","QAT","ROU","SDN","SEN","SOM","SUN","SYC","SYR","TUN","TZA","UGA","URY","VEN","YMD","ZAF","AGO","ALB","BEN","BLZ","CAF","COD","COG","DJI","GAB","GIB","GIN","GUF","HTI","MRT","NER","PAN","PRY","SLV","SUR","TCD","TGO","VNM","ZMB","ZWE","BFA","FLK","GMB","GNB","KIR","LAO","MDG","MLI","MNG","RWA","SLE","WSM","GNQ","SHN","SPM"
"BRB",2000,295000,157000,145000,0,206000,5476000,779000,25000,0,997000,369000,0,12000,0,31000,1831000,25551000,32000,0,3000,0,166000,0,51000,1539000,0,164000,21000,0,0,0,95000,18000,96000,2000,3000,0,11000,0,85000,0,44657000,0,108784000,0,0,0,869000,0,4000,5000,0,0,0,0,0,0,0,0,0,0,0,0,85000,0,0,1000,0,0,1490000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109000,0,0,0,34000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHL",19351000,1587000,18803000,98872000,8000,0,96373000,10100000,8000,0,479050000,2204000,5614000,92239000,0,9394000,198617000,194523000,11075000,0,9988000,15081000,2157000,93000,941000,198721000,18000,579044000,64000,84000,2765000,30000,104177000,2661000,147000,245000,41915000,3572000,31840000,7097000,57300000,1590000,103000,0,730466000,26654000,146603000,330463000,65000,0,8756000,1350000,4465000,15785000,1334000,0,0,0,0,0,0,0,0,0,0,66534000,0,32000,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5550000,0,83000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN",121934000,296259000,29316000,137756000,89175000,36000,165084000,72225000,26197000,7954000,678885000,58558000,56406000,99313000,3968000,30543000,436682000,335898000,20844000,0,5407495000,230874000,11742000,1741000,1556000,427794000,42061000,5352418000,45815000,50307000,277573000,4824000,190544000,31293000,43642000,147962000,583000,222705000,234151000,879472000,87038000,233659000,11756000,2743000,2425889000,21912000,10214000,365957000,1734000,0,9967000,228000,43000,705000,193000,0,0,0,0,0,0,0,0,0,27125000,945000,0,4693000,0,0,11545000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14965000,0,0,0,0,0,0,0,0,0,1646000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487000,0,0,0,2216000,0,0,0,0,0,0,0,0,0,0,0,0,722000,0,0,0,0,0,0,0,0,0,0
"CMR",68000,74000,7223000,56168000,0,0,168000,7817000,4982000,0,235212000,3729000,1761000,24486000,4000,992000,272736000,15937000,4472000,0,867000,0,307000,0,150000,68511000,16000,38214000,0,4034000,157000,38000,282469000,309000,36000,0,0,0,605000,0,1023000,414000,0,0,820086000,4754000,47000,117000,642000,0,7400000,10000,0,0,0,0,13000,348000,0,0,0,0,0,0,0,21000,0,47000,0,66000,0,0,0,0,0,0,0,0,0,0,0,0,1346000,0,0,0,72000,0,575000,0,0,0,0,0,10688000,0,0,0,125000,0,0,0,0,343000,0,3382000,0,0,39000,0,0,0,0,0,0,0,0,187000,0,13036000,41000,16651000,0,19824000,7000,673000,6000,0,0,0,0,0,0,0,20270000,164000,0,0,0,122000,0,0,0,0,0,12000,15000,0,0,0,0,1282000,0,0
"COL",99000,2227000,28084000,35486000,36000,11000,74782000,32255000,65000,6890000,642287000,33984000,183000,88612000,0,67724000,73469000,60383000,53000,0,667000,420000,4960000,346000,4094000,206782000,63000,141219000,0,2346000,252000,31000,136272000,26362000,119000,30000,25992000,95000,792000,1743000,97744000,408000,30258000,18000,878106000,1891000,25874000,4395000,1163000,7476000,5324000,4257000,3839000,47441000,1454000,0,25000,0,11000,7609000,883000,1190000,11666000,6713000,33000,0,4449000,9000,33903000,19273000,0,10000,3313000,602000,3227000,0,0,40000,1067000,5000,0,1905000,4763000,49000,188000,4000,291000,0,16856000,0,0,0,0,0,1851000,0,0,2000,35704000,0,0,27466000,64000,0,0,17030000,5000,0,848000,0,0,782000,363197000,0,462000,0,0,0,414000,0,234000,0,0,1000,42000,28000,67000,527000,0,0,9682000,432000,1576000,2099000,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0
"CUB",135000,488000,3923000,9762000,4000,81000,76883000,7019000,14000,22509000,31673000,564000,56149000,108072000,226000,24980000,56715000,30947000,66000,0,351000,10132000,349000,5000,0,43840000,4343000,114832000,1000,0,14632000,335000,47321000,61000,4422000,0,36000,1000,4193000,217000,531000,1000,177000,0,1614000,71000,13000,0,174000,0,44413000,11000,11000,768000,30582000,0,0,0,0,0,0,0,0,0,3000,573000,0,231000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1033000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460000,0,0,0,105000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP",17475000,673000,2339000,5761000,0,4000,359000,2785000,56000,579000,25737000,3121000,15866000,2009000,33000,1836000,18456000,157163000,5506000,0,155000,29000,5727000,65000,2672000,7852000,7116000,798000,275000,10000,190000,12000,12540000,2417000,33000,241000,2000,32000,54036000,92000,3289000,1636000,1000,112000,3504000,2203000,0,2000,89000,375000,682000,0,0,0,0,0,97000,4527000,6423000,10000,0,0,0,276000,2000,0,0,0,315000,6000,98000,4000,0,0,0,823000,20000,37832000,0,59000,0,0,18000,16187000,67258000,94000,10855000,0,0,456000,0,0,3000,2000,1275000,0,3426000,0,193000,0,4528000,695000,677000,1073000,0,26008000,0,22282000,8000,4000,0,0,0,856000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,22000,1000,0,0,2000,0,0,0,0,0,0,0,231000,0,0,0,0
"DDR",6614000,8644000,173551000,135926000,1308000,126000,7859000,40306000,1989000,512303000,0,159944000,81930000,96287000,15396000,80066000,283557000,230962000,39081000,22000,4119000,5280000,8592000,3347000,0,161527000,5817000,36701000,337000,17658000,5435000,2e+05,212601000,183356000,1465000,3670000,0,2785000,5705000,10921000,423590000,7568000,797000,21216000,54483000,435416000,4081000,116391000,1742000,112000,13073000,91000,80000,296000,11578000,0,0,0,0,0,0,0,0,0,3688000,27221000,0,2839000,0,0,175000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46000,0,0,0,42000,0,0,0,0,0,0,0,0,0,0,0,0,14000,0,0,0,0,0,0,0,0,0,0
"DZA",261000,8784000,87147000,137224000,0,0,210456000,130230000,20897000,0,1570008000,37684000,1735000,671311000,321000,8205000,3940098000,308557000,99375000,0,0,337000,382000,0,0,1518081000,1512000,525081000,0,0,6000,31000,870214000,151000,0,0,0,322000,34000,13000,76449000,902000,0,8686000,2791496000,91521000,0,185248000,77000,0,25432000,0,0,0,7000,0,0,0,0,0,0,0,0,0,5000,0,0,682000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FJI",13000,64378000,1000,82000,0,5000,6374000,3000,0,0,7184000,111000,62326000,16000,0,7000,9084000,69824000,320000,0,2519000,13000,48000,0,33000,896000,0,8023000,0,0,13843000,793000,3133000,346000,53867000,115000,0,17000,4000,5364000,2000,26000,0,993000,22428000,0,0,52000,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,0,10000,0,0,0,0,6566000,0,3139000,0,0,0,0,15000,5000,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1594000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4381000,0,0,0,0,0,0,1740000,0,0,0
"GHA",92000,5966000,4394000,8801000,0,0,3482000,13517000,62000,0,87286000,2372000,6661000,16937000,0,1777000,23335000,135626000,4753000,0,183000,1055000,13326000,26000,253000,16742000,0,77096000,0,0,3342000,0,38580000,14025000,10679000,41000,0,313000,1284000,7139000,4770000,5348000,24000,3227000,370020000,6034000,0,751000,0,0,93000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,857000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GTM",5016000,563000,6940000,6107000,0,2000,18715000,21404000,2000,0,65851000,10524000,704000,1723000,0,17500000,11509000,23589000,0,0,747000,2535000,683000,602000,181000,72845000,1214000,78980000,62000,616000,0,0,27980000,4052000,44000,0,92000,548000,51656000,0,4967000,286000,566000,105000,356418000,3488000,1233000,180000,1012000,0,4635000,56420000,7338000,4520000,44438000,0,0,0,0,0,0,0,0,0,0,240000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1679000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17855000,0,209325000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GUY",20000,364000,266000,1657000,0,54000,19715000,237000,0,0,12988000,441000,0,5748000,0,20000,12181000,88187000,0,0,37000,0,45000,0,0,5454000,0,18575000,0,1125000,0,0,2179000,6927000,69000,6000,0,0,32000,0,843000,1000,32551000,0,78395000,0,0,0,293000,0,854000,0,0,277000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HND",47000,401000,12349000,11384000,15000,103000,23070000,20032000,0,0,71821000,2386000,0,26985000,0,4402000,10259000,8213000,70000,0,71000,0,65000,538000,263000,12915000,106000,48272000,22000,331000,0,0,16120000,4081000,0,4000,28000,159000,1062000,0,9181000,17000,23635000,0,419305000,668000,63000,176000,6142000,0,1893000,11837000,2489000,11000,8364000,0,0,0,0,0,0,0,0,0,0,1122000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2280000,0,8183000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IND",194678000,129438000,34009000,212515000,65130000,120000,73519000,75066000,2480000,6009000,518070000,85060000,60565000,172034000,8424000,10646000,661604000,601450000,7395000,2000,141145000,225573000,22949000,1628000,17627000,220516000,6680000,1122104000,72986000,5104000,78516000,718000,108065000,16976000,27480000,3544000,2469000,9668000,317158000,190851000,43072000,35968000,4292000,2085000,1510047000,38980000,1372000,1541000,453000,0,13719000,39000,79000,385000,303000,0,0,0,0,0,0,0,0,0,1015000,402000,0,1978000,0,0,5621000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42740000,0,0,0,0,0,0,0,0,0,4199000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13000,0,0,0,341000,0,6000,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0
"IRN",10237000,93659000,54688000,280071000,167000,9000,94995000,73459000,23000,116474000,699837000,40266000,0,1085634000,0,66908000,926097000,395355000,30000,22000,79000,17000,232000,102000,440000,2808439000,2154000,2566881000,205847000,6000,57271000,22000,1750539000,1339000,192000,44765000,43000,0,30504000,902891000,188909000,5509000,0,747707000,611220000,243591000,0,51652000,3000,0,212617000,0,0,121000,0,0,0,0,0,0,0,0,0,0,2390000,0,0,1408000,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRQ",7091000,3352000,28134000,93035000,207000,0,455000,82000,5000,288000,214109000,224000,920000,861426000,0,312000,406966000,139136000,130697000,0,120000,769000,264000,8000,0,1538580000,4171000,779533000,310000,174022000,425000,6000,105807000,67000,1185000,262000,4000,0,1624000,438000,142000,2000,0,1417582000,39665000,364718000,0,2764676000,5000,0,300316000,0,94000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110457000,0,0,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JAM",25000,1461000,380000,2418000,0,1130000,101527000,236000,3000,0,4979000,291000,0,742000,0,497000,4337000,163391000,72000,0,0,0,434000,46000,0,4469000,0,9187000,1071000,1000,108000,6000,1448000,50895000,5119000,237000,6000,0,19000,0,25029000,7000,58541000,0,324812000,21000,21662000,2435000,1343000,0,0,47000,1683000,0,0,0,0,0,0,0,0,0,0,0,0,1315000,0,7000,0,0,22000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,596000,0,0,0,170000,0,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KEN",4989000,3063000,4942000,13671000,315000,0,11089000,13658000,323000,306000,118490000,3975000,6050000,10755000,5235000,16275000,24136000,175841000,1778000,0,2598000,3849000,8098000,98000,2153000,36886000,3087000,9345000,2190000,86000,3189000,8000,43009000,1708000,1757000,26770000,0,2198000,18394000,78753000,15801000,2738000,207000,114000,75442000,1833000,0,0,6000,0,2837000,7000,1000,0,0,0,0,0,0,0,0,0,0,0,152000,0,0,6000,0,0,148000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18291000,0,0,0,0,0,0,0,0,0,3819000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KHM",61000,0,0,0,0,0,0,0,0,0,1000,0,464000,0,93000,0,2000,160000,1190000,0,0,109000,0,0,0,201000,0,573000,12000,0,1000,0,14000,0,0,48000,0,2000,15000,105000,98000,5000,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KNA",4000,29000,19000,783000,5000,52000,1041000,676000,0,0,2109000,528000,22000,710000,0,28000,2807000,95387000,478000,0,10000,0,264000,0,0,344000,0,135000,4000,0,0,14000,550000,0,1000,0,20000,0,52000,0,63000,0,26529000,0,27388000,1000,22000,0,3393000,0,9000,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,471000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,17000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KOR",136295000,330502000,62175000,118178000,65237000,1e+05,471596000,76533000,11087000,0,843406000,53364000,41357000,56919000,20760000,51100000,330481000,562267000,18276000,1000,748272000,303918000,26027000,2930000,12174000,188686000,29607000,3253507000,35627000,5406000,260394000,655000,243854000,251652000,76214000,97311000,8679000,160611000,1092589000,347753000,145141000,155753000,18091000,810000,6000980000,924000,14553000,3734000,559000,0,9370000,5258000,4868000,10416000,3242000,0,0,0,0,0,0,0,0,0,4063000,10608000,0,5922000,0,0,3446000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17200000,0,0,0,0,0,0,0,0,0,85000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62000,0,0,0,12267000,0,2849000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KWT",177645000,274601000,318000,17367000,20216000,0,259000,1883000,3000,0,207597000,0,3892000,190655000,9000,37000,116057000,173128000,50000,0,2379000,154000,176000,0,0,601678000,27913000,1626570000,2317000,143702000,19000,0,423808000,5000,16055000,516342000,13000,297887000,155785000,443363000,109000,14969000,0,92395000,42545000,1996000,0,228635000,0,0,1000,21000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23516000,0,0,0,0,0,0,0,0,0,1472000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LBN",51321000,316000,483000,1801000,0,0,402000,33536000,587000,0,3352000,533000,35598000,1083000,12000,0,3840000,42310000,762000,0,9000,91000,58000,0,0,7657000,57613000,115000,32000,2645000,21000,9000,2265000,99000,1000,128000,0,0,313806000,159000,570000,2000,0,2918000,26185000,3190000,21000,0,0,0,75000,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,2399000,0,0,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1971000,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LBR",30000,0,255000,50311000,5000,4186000,28000,980000,48000,0,183369000,5998000,2705000,27610000,0,3974000,62291000,14173000,1944000,0,1000,0,320000,0,0,98752000,1000,165867000,0,90000,1000,0,14816000,104771000,0,2597000,8000,1000,227000,107622000,63000,161000,16000,4403000,114243000,2825000,0,0,0,0,295000,0,6000,387000,0,0,0,0,0,0,0,0,0,0,258000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LBY",27000,0,299365000,763989000,280000,0,18382000,260195000,47405000,0,2952476000,32000,421000,1095968000,7000,3000,606376000,598148000,710225000,0,0,1839000,16000,0,0,2802933000,1501000,46119000,0,1944000,327000,0,518992000,3967000,0,4000,1000,39000,113000,778000,327559000,0,52000,889617000,533171000,432959000,0,350358000,0,0,45838000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25388000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAC",1206000,13581000,3588000,4806000,0,1000,0,5742000,9000,0,97412000,7165000,0,950000,0,4909000,99519000,33865000,584000,0,198919000,0,1555000,274000,0,31620000,0,31516000,0,0,393000,64000,17807000,1179000,202000,61000,0,0,34000,1251000,10234000,958000,0,0,214622000,0,34000,16000,226000,0,16839000,0,0,0,0,0,0,0,0,0,0,0,0,0,101000,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33000,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MEX",463000,27144000,73439000,99680000,0,782000,809498000,18490000,254000,432000,234053000,5641000,2e+05,1875684000,18000,4779000,744392000,171484000,450000,0,15660000,9938000,989000,18000,2071000,731449000,130000,1522146000,198000,2933000,7089000,125000,375690000,6572000,4494000,46000,26852000,90349000,5537000,6747000,22004000,22871000,10135000,12509000,15684150000,16938000,61906000,844524000,282000,0,2839000,67123000,170659000,21399000,154351000,0,0,0,0,0,0,0,0,0,13000,80844000,0,106000,0,0,57000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69000,0,0,0,146090000,0,104799000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MLT",647000,1042000,1940000,17147000,52109000,11000,2171000,1196000,34000,3074000,104544000,3839000,1262000,926000,0,1243000,12771000,74690000,231000,0,57000,0,2142000,39000,153000,42353000,3138000,970000,3000,68000,15000,2000,17292000,1218000,154000,559000,5000,0,4020000,240000,9361000,4e+05,174000,3000,14392000,630000,0,0,14000,0,204000,2000,0,5000,1000,0,0,0,0,0,0,0,0,0,30000,5000,0,343000,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1027000,0,0,0,0,0,0,0,0,0,711000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMR",5871000,479000,81000,12175000,24446000,0,90000,619000,21883000,1764000,9870000,10266000,0,792000,12000,804000,5664000,9249000,0,0,30052000,25019000,72000,66000,16000,6673000,7000,48982000,17843000,0,22397000,325000,11790000,1648000,172000,4090000,0,0,976000,60497000,4319000,14868000,0,0,17483000,1795000,0,1561000,0,0,3000,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,11000,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MOZ",4e+05,1094000,135000,6845000,240000,0,784000,1842000,376000,0,11975000,457000,571000,14894000,0,0,10099000,18571000,0,0,1434000,17700000,1397000,0,0,2765000,10275000,22226000,26000,305000,3449000,8000,14316000,137000,38000,0,8000,10537000,5690000,19460000,170000,1102000,164000,2000,54532000,0,0,13536000,1000,0,14996000,16000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MUS",11000,1072000,457000,6248000,8000,0,2235000,1915000,70000,0,19123000,4375000,0,15000,0,2519000,81699000,208721000,2263000,0,1355000,0,8368000,3000,0,7634000,0,118000,0,23000,181000,15000,7156000,76000,56000,72000,0,0,0,751000,174000,0,0,0,32565000,0,0,0,162000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14000,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1056000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MWI",1000,7644000,276000,3140000,0,0,827000,2339000,388000,0,21826000,1022000,2682000,1814000,14000,741000,10685000,73677000,526000,0,206000,55000,2147000,0,4000,799000,0,12267000,1000,0,338000,0,15916000,2722000,786000,3978000,0,0,2000,0,336000,0,0,0,20163000,0,0,0,0,0,5422000,0,0,0,0,0,0,0,0,0,0,0,0,0,473000,0,0,617000,0,0,119000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NGA",3000,591000,52698000,522354000,45000,0,52440000,224390000,89902000,0,1806290000,67173000,1000,232371000,12000,2334000,1838686000,622023000,251000,0,702000,18000,5624000,20000,32000,826914000,0,8003000,0,3788000,34000,0,669009000,35463000,0,0,5000,552000,2113000,153000,388176000,2000,0,0,7273196000,11581000,0,237474000,1000,0,229958000,0,0,0,0,0,0,0,0,0,0,0,0,0,2831000,256000,0,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2094000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
