"","ARE","AUS","AUT","BEL","BGD","BMU","CAN","CHE","CIV","CSK","DEU","DNK","EGY","ESP","ETH","FIN","FRA","GBR","GRC","GRL","HKG","IDN","IRL","ISL","ISR","ITA","JOR","JPN","LKA","MAR","MYS","NCL","NLD","NOR","NZL","PAK","PER","PHL","SAU","SGP","SWE","THA","TTO","TUR","USA","YUG","ARG","BRA","GLP","HUN","PRT","CRI","DOM","ECU","NIC","AFG","BDI","BGR","BHR","BHS","BOL","BRB","CHL","CHN","CMR","COL","CUB","CYP","DDR","DZA","FJI","GHA","GTM","GUY","HND","IND","IRN","IRQ","JAM","KEN","KHM","KNA","KOR","KWT","LBN","LBR","LBY","MAC","MEX","MLT","MMR","MOZ","MUS","MWI","NGA","NPL","OMN","PNG","POL","PRK","QAT","ROU","SDN","SEN","SOM","SUN","SYC","SYR","TUN","TZA","UGA","URY","VEN","YMD","ZAF","AGO","ALB","BEN","BLZ","CAF","COD","COG","DJI","GAB","GIB","GIN","GUF","HTI","MRT","NER","PAN","PRY","SLV","SUR","TCD","TGO","VNM","ZMB","ZWE","BFA","FLK","GMB","GNB","KIR","LAO","MDG","MLI","MNG","RWA","SLE","WSM","GNQ","SHN","SPM"
"CRI",173000,1019000,16658000,8628000,0,49000,26157000,21574000,36000,7396000,108186000,5563000,18000,5585000,0,28614000,19038000,20404000,33000,11000,592000,122000,569000,1053000,248000,36637000,110000,10581000,0,559000,147000,0,19848000,7936000,111000,8000,406000,97000,4445000,306000,22135000,981000,1804000,64000,418216000,1280000,272000,27000,35000,0,171000,0,1917000,7589000,46042000,0,0,1566000,37000,289000,236000,469000,2365000,32000,0,2624000,33000,1000,5656000,0,0,0,64329000,96000,23243000,1022000,0,0,2539000,0,0,872000,0,664000,3030000,0,0,0,13500000,15000,0,0,0,0,0,0,670000,0,350000,448000,73000,2494000,0,0,0,1263000,0,448000,1374000,0,0,8000,5608000,0,1677000,0,7283000,0,751000,0,0,0,0,0,0,0,5000,1242000,0,0,39488000,9000,35914000,437000,0,0,0,20000,0,0,0,0,0,11000,0,0,0,0,0,0,0,0,0,11000
"DOM",6000,93000,37000,30464000,0,16000,14885000,899000,0,0,3015000,870000,0,12939000,0,7890000,4909000,10069000,0,0,149000,0,12000,0,0,4944000,17000,11489000,6000,11053000,4000,0,3352000,1357000,19000,6000,2000,110000,12000,3000,4608000,0,4089000,0,660224000,0,0,0,372000,0,2396000,1487000,0,140000,8000,0,0,0,0,322000,0,1207000,7000,0,67000,3833000,31244000,0,0,3008000,0,0,153000,0,470000,0,0,0,1226000,0,0,4679000,24000,0,0,0,0,0,2000,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,4224000,0,68525000,0,0,313000,0,0,97000,28197000,0,0,0,0,0,16000,0,0,0,0,0,0,0,5000,5613000,0,0,667000,0,27000,824000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ECU",127000,3412000,4929000,10036000,0,0,41584000,7283000,60000,6347000,54686000,568000,3958000,7487000,1611000,5508000,14117000,16256000,288000,0,801000,87000,11261000,2000,7607000,41278000,70000,24068000,33000,553000,318000,2000,15523000,631000,14661000,3000,18037000,2257000,9196000,433000,297000,0,57063000,0,1224397000,9980000,35729000,254066000,62000,7673000,1178000,836000,9000,0,437000,0,0,2061000,0,0,235000,0,24143000,57588000,0,89964000,3602000,0,921000,1261000,0,0,275000,0,75000,0,0,217000,0,0,0,0,228446000,63000,328000,0,0,0,2394000,0,0,0,0,0,0,0,0,0,46000,0,0,1222000,0,0,0,7020000,0,0,0,0,0,32425000,54262000,0,18469000,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,86597000,62000,283000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NIC",167000,504000,6033000,3797000,0,0,4771000,8728000,0,7140000,41833000,915000,4000,11264000,0,3990000,25180000,3619000,134000,0,106000,259000,192000,0,0,14145000,0,48744000,1000,457000,85000,0,6888000,1345000,307000,0,81000,0,468000,0,35000,49000,18000,1000,94616000,0,0,0,21000,2179000,443000,22390000,1000,4244000,0,0,0,6360000,0,0,0,0,0,19428000,0,306000,1273000,17000,4731000,0,0,0,14272000,0,7418000,0,0,0,0,0,0,0,0,0,20000,0,0,0,14180000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8330000,0,0,0,0,0,0,103000,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,2101000,0,6117000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000
"AFG",172000,1251000,2757000,4530000,0,29000,372000,11987000,2000,5368000,35741000,1459000,281000,179000,734000,880000,5396000,36089000,77000,9000,17000,0,804000,7000,0,4217000,204000,621000,16000,8000,1000,9000,1980000,1041000,103000,60624000,4000,0,5132000,221000,1086000,41000,0,89000,11763000,294000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDI",39000,0,530000,29504000,0,0,0,161000,0,0,30015000,1033000,0,985000,0,7701000,3415000,5740000,0,0,0,0,4000,0,0,2379000,0,2381000,0,0,0,9000,1371000,0,0,14000,0,0,0,0,262000,8000,0,0,44316000,1079000,0,0,0,0,2016000,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGR",496000,3351000,33723000,27157000,11733000,0,3814000,14584000,182000,242869000,176672000,10030000,19062000,16760000,2778000,6739000,102632000,36765000,86760000,360000,19000,630000,630000,118000,11560000,118437000,42472000,19640000,76000,8242000,1357000,21000,20318000,1195000,57000,39669000,362000,2987000,16170000,3310000,12085000,4745000,63000,59834000,26613000,148304000,6211000,10377000,11000,291000,1655000,18000,0,1110000,6266000,0,0,0,0,0,0,0,0,0,61000,157000,0,3833000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHR",224894000,47676000,4000,13496000,80000,0,902000,1370000,11000,0,22259000,49000,1000,129000,0,0,5870000,61908000,9000,0,121523000,0,83000,0,0,7826000,13000,277843000,174000,0,1036000,9000,9582000,0,43164000,1386000,0,18413000,171821000,420955000,1800000,47252000,5000,3000,32297000,0,0,0,1000,0,356000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173763000,0,0,0,0,0,0,0,0,0,9386000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHS",2000,4148000,248000,26371000,0,1044000,53532000,1270000,0,0,6442000,14168000,0,5392000,0,0,45757000,29800000,20000,0,2000,42000,2452000,0,9000,188418000,22000,25157000,0,0,0,0,22067000,185000,3389000,0,108000,363000,7000,0,676000,0,221000,0,1079622000,364000,424000,28188000,1247000,0,392000,20000,22000,19000,0,0,0,0,0,0,0,0,0,0,0,1008000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8000,0,0,0,18000,0,1108000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOL",1000,384000,6258000,12025000,0,0,6498000,1276000,0,0,32892000,1027000,1000,4640000,0,138000,36694000,37052000,685000,0,356000,8000,38000,0,165000,2711000,9000,12820000,1000,221000,35215000,0,4718000,163000,2000,0,10924000,0,89000,0,1163000,458000,0,212000,112378000,8365000,395691000,30445000,0,0,2530000,21000,0,1292000,120000,0,0,0,0,0,0,0,0,0,0,6780000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
