"","AUS","AUT","BEL","BGR","CAN","CHE","CHN","COD","CSK","DEU","DNK","EGY","ESP","FIN","FRA","GBR","HKG","HUN","IND","IRL","IRN","IRQ","ISR","ITA","JOR","JPN","LBN","MEX","MYS","NLD","NOR","NZL","PAK","POL","PRY","SAU","SEN","SGP","SUN","SWE","SYR","THA","USA","VEN","YUG","ARG","BRA","CAF","CIV","COG","COL","GRC","MAR","MDG","NGA","PAN","PHL","PRT","BFA","GHA","LBY","AGO","ALB","BDI","BEN","BOL","CHL","CMR","CRI","CUB","CYP","DOM","DZA","ECU","GAB","GLP","GNQ","GTM","HND","HTI","IDN","ISL","JAM","KEN","KIR","KOR","KWT","LAO","LBR","LKA","MLT","MMR","MRT","NCL","NIC","OMN","PER","ROU","RWA","SDN","SLV","SOM","TCD","TGO","TTO","TUN","TUR","TZA","UGA","URY","VNM","ZAF","ZMB","ZWE","AFG","BHR","BHS","BMU","BRB","DDR","DJI","ETH","FJI","GIN","GMB","GNB","GUF","GUY","KHM","MNG","MOZ","MUS","MWI","NER","NPL","PNG","PRK","QAT","SLE","SUR","WSM","YMD","MLI","SPM","GIB","BLZ","SYC","KNA","MAC","GRL"
"AUS",0,7531000,57628000,248000,43762000,8046000,164479000,7000,10782000,122963000,5182000,5103000,11783000,1404000,149567000,615704000,34799000,465000,48945000,9973000,21076000,4372000,2134000,112797000,220000,552096000,5202000,19908000,59972000,11380000,9502000,181285000,8035000,15434000,10000,6846000,47000,54217000,90673000,13160000,221000,15621000,311081000,966000,19506000,1218000,756000,4000,25000,0,262000,16910000,6000,23000,2468000,396000,19943000,3216000,0,1854000,462000,68000,1000,82000,2000,30000,1059000,6000,28000,163000,521000,10000,14000,471000,0,44000,26000,29000,33000,183000,7411000,26000,5078000,2983000,19334000,3664000,6401000,292000,218000,19657000,3743000,7384000,1000,13085000,57000,329000,3478000,198000,1000,120000,10000,564000,1000,4000,5241000,52000,9116000,823000,360000,520000,1228000,27758000,1109000,4508000,15000,1252000,165000,342000,1368000,3144000,34000,156000,20719000,1000,7000,5000,2000,1274000,174000,3000,3564000,4489000,627000,23000,2000,66245000,6876000,717000,159000,18000,1521000,7905000,0,0,0,0,0,0,0,0
"AUT",10036000,0,21147000,25257000,11355000,108724000,1723000,649000,31874000,440632000,25988000,3819000,14598000,13344000,37739000,68629000,1615000,31950000,5899000,1543000,10868000,6291000,5961000,161814000,1932000,5845000,6027000,2229000,1182000,44496000,14665000,1383000,1352000,31816000,365000,2220000,414000,1612000,57084000,50934000,2676000,3094000,66493000,6041000,34375000,5597000,1985000,8000,199000,20000,568000,20465000,1109000,70000,2730000,228000,708000,7484000,22000,539000,1189000,573000,283000,42000,9000,366000,1390000,50000,465000,135000,876000,217000,2234000,880000,47000,12000,16000,546000,353000,96000,3700000,250000,295000,1018000,38000,29000,1485000,1000,111000,133000,473000,631000,0,360000,97000,228000,2504000,21898000,31000,1673000,77000,26000,16000,8000,174000,1394000,10715000,463000,372000,210000,530000,15088000,686000,789000,27000,283000,168000,0,0,28225000,53000,2295000,0,6000,2000,0,1000,106000,14000,0,508000,217000,63000,2000,8000,0,873000,510000,111000,127000,6000,480000,6000,6000,0,0,0,0,0,0
"BEL",28007000,33276000,0,4688000,66621000,137205000,16963000,106260000,22856000,1239949000,82904000,3933000,77544000,33523000,858287000,346001000,25365000,10988000,21818000,20775000,22768000,15095000,27427000,207376000,3765000,24657000,14255000,13370000,10011000,1404946000,53259000,5980000,15523000,13795000,630000,12690000,3191000,6852000,22785000,127963000,5568000,5925000,494117000,26672000,11254000,15478000,12628000,623000,5187000,2270000,6957000,41204000,7507000,1523000,9601000,3063000,9437000,31754000,569000,2640000,4024000,5029000,89000,9378000,611000,1922000,7231000,4941000,3574000,4655000,3321000,2359000,6995000,5366000,1115000,1434000,920000,6164000,1908000,1144000,6796000,2490000,3279000,6467000,128000,1359000,6561000,2000,8764000,3979000,1752000,1677000,110000,1134000,5866000,807000,12110000,6238000,0,4505000,5968000,125000,843000,330000,1432000,5052000,7666000,1572000,695000,3852000,2309000,34688000,1563000,6827000,25000,813000,636000,0,952000,12033000,261000,2203000,0,2400000,95000,130000,106000,848000,680000,0,2911000,952000,151000,626000,0,0,104000,1010000,833000,1508000,16000,1697000,958000,6000,0,0,0,0,0,0
"BGR",848000,11787000,2495000,0,488000,2187000,0,0,0,38515000,870000,4319000,7183000,1596000,7331000,15068000,7000,0,7734000,48000,1779000,0,3220000,31047000,713000,6097000,0,2000,14000,3676000,1382000,11000,455000,0,0,0,0,38000,0,2786000,0,131000,1666000,26000,22250000,32000,849000,0,0,1000,24000,17975000,571000,16000,671000,4000,0,318000,0,5361000,1506000,0,0,132000,7000,1000,9000,2000,0,0,0,0,0,2000,0,0,0,0,2000,0,0,11000,0,0,0,0,0,0,0,30000,0,12000,0,0,0,0,0,0,0,375000,0,0,0,13000,0,837000,3799000,0,0,0,0,0,0,0,67000,0,0,0,0,0,0,0,0,0,0,0,0,0,2078000,0,0,0,0,0,0,0,0,0,0,0,0,0,12000,0,0,0,0,0,0,0
"CAN",130303000,13977000,87427000,6826000,0,39335000,96914000,164000,32209000,238318000,9285000,1015000,36515000,8200000,115457000,1284896000,16136000,7737000,47823000,26982000,2007000,706000,5648000,91369000,293000,356772000,2264000,37725000,4723000,64068000,82753000,42786000,21793000,29223000,125000,5157000,42000,5935000,182902000,37279000,609000,6005000,4831874000,83465000,4542000,30559000,12887000,12000,175000,18000,19444000,7537000,382000,31000,5727000,2809000,26046000,5572000,6000,7613000,126000,211000,8744000,675000,79000,1676000,9985000,120000,5133000,48887000,239000,5697000,295000,6136000,57000,117000,103000,4624000,1077000,1211000,1598000,5396000,28127000,4514000,291000,1636000,3318000,10000,1770000,1713000,1859000,741000,374000,472000,5551000,63000,20421000,593000,0,82000,3863000,36000,0,425000,19943000,124000,2145000,293000,1209000,2896000,456000,72294000,4360000,3621000,6000,149000,8507000,5537000,6339000,14080000,0,734000,1028000,249000,148000,342000,49000,7266000,87000,0,3055000,216000,81000,3000,0,0,0,512000,1047000,1198000,246000,179000,0,2757000,0,0,0,0,0,0
"CHE",43725000,116083000,100638000,6883000,40690000,0,18086000,2419000,18835000,530181000,57690000,15637000,72973000,38033000,242420000,240463000,32833000,11200000,29395000,4953000,17508000,5997000,25781000,172366000,1265000,70165000,10649000,30194000,3589000,101485000,37124000,9975000,11121000,14552000,368000,7662000,919000,15380000,15238000,99060000,5173000,8136000,305777000,27396000,21214000,21615000,16822000,73000,940000,208000,5823000,21272000,3152000,296000,7160000,1335000,6085000,32013000,37000,4027000,1301000,2052000,310000,281000,32000,1947000,6813000,489000,2087000,559000,958000,847000,2297000,3219000,145000,405000,133000,3680000,629000,386000,5412000,1046000,1364000,2424000,265000,85000,6958000,137000,1055000,1620000,1924000,1199000,72000,336000,826000,0,15312000,8137000,116000,1456000,1900000,60000,21000,453000,632000,1166000,12371000,739000,1108000,2665000,1392000,42468000,1045000,1632000,1531000,11058000,1067000,0,0,8335000,289000,956000,0,317000,15000,0,25000,188000,1200000,120000,1094000,576000,48000,24000,155000,0,4000,0,426000,780000,3000,3614000,128000,0,0,0,0,0,0,0
"CHN",26300000,4926000,14160000,0,13366000,12565000,0,0,0,72693000,10506000,26740000,1736000,5861000,43687000,83217000,406302000,0,12000,1226000,0,0,0,38409000,3681000,224719000,0,58000,74728000,25303000,4816000,3665000,18391000,0,0,0,2992000,73337000,0,15098000,0,0,463000,689000,160000,306000,0,35000,307000,861000,51000,126000,11935000,1564000,13607000,0,0,196000,81000,14733000,4793000,0,0,58000,526000,0,50000,40000,4000,0,0,0,0,150000,19000,0,0,0,7000,0,0,77000,0,0,0,0,0,146000,0,23896000,0,27582000,778000,0,1000,0,3000,0,0,6555000,5000,0,357000,609000,0,1611000,0,0,0,0,0,0,0,0,561000,0,0,0,0,0,0,0,0,0,0,0,0,0,14022000,0,0,0,0,1825000,0,0,0,0,0,0,8000,0,9325000,0,0,0,0,0,0,0
"COD",430000,891000,204326000,0,1536000,2259000,0,0,0,30461000,254000,1450000,2694000,290000,33747000,33082000,333000,0,3671000,173000,0,0,191000,46878000,0,3816000,1000,304000,0,8653000,296000,59000,137000,0,0,0,0,0,0,163000,0,1000,38299000,0,0,0,154000,305000,72000,259000,0,2612000,13000,0,806000,17000,0,47000,0,4000,632000,203000,0,997000,0,0,0,1000,0,0,1000,0,254000,0,3000,0,0,0,0,0,0,1000,0,624000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178000,2000,0,0,313000,0,0,0,0,820000,198000,0,8000,7881000,1428000,54000,186000,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,5000,2000,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0
"CSK",7190000,37996000,20763000,0,14751000,19702000,0,229000,0,83987000,14459000,31670000,6378000,11072000,26712000,48724000,1682000,0,41919000,1499000,7152000,0,196000,36296000,3904000,7048000,0,3441000,1116000,26934000,11605000,2067000,4006000,0,280000,0,66000,1600000,0,21854000,0,2539000,16741000,4297000,70397000,4495000,8457000,0,169000,51000,1859000,10840000,4207000,501000,6474000,241000,0,2989000,75000,15248000,3315000,0,0,22000,41000,1427000,1060000,505000,507000,0,0,0,0,616000,27000,0,0,0,475000,0,0,2779000,0,0,0,0,0,9000,0,2208000,0,5540000,0,0,314000,0,2072000,0,0,3751000,235000,0,125000,74000,0,2208000,8507000,0,0,0,0,0,0,0,4791000,0,0,0,0,0,0,0,0,0,0,0,0,0,5157000,0,0,0,0,5000,0,0,0,0,0,0,1000,0,305000,0,0,0,0,0,0,0
"DEU",193488000,899269000,1289224000,54184000,195245000,1110106000,78686000,18045000,98385000,0,620800000,111774000,429693000,319606000,1927012000,776493000,48942000,74645000,318069000,69974000,174348000,39468000,74914000,1095470000,16571000,223981000,48498000,122511000,46643000,1721384000,361422000,32780000,150240000,89562000,10434000,35176000,7323000,34990000,142566000,968005000,22947000,74062000,1348089000,125181000,179525000,109466000,105166000,1555000,13914000,3710000,57266000,203936000,28713000,5844000,86392000,8010000,41103000,150652000,886000,50069000,32996000,13660000,1588000,2133000,1149000,14857000,63521000,9945000,17280000,3456000,10797000,5206000,15337000,20524000,4195000,4361000,1153000,21905000,7055000,1315000,55960000,19849000,6120000,18522000,515000,16051000,27942000,618000,27673000,12704000,4070000,8964000,3407000,3467000,10749000,1978000,85302000,113123000,0,12019000,16778000,2065000,1331000,8751000,3611000,14618000,93251000,8002000,6929000,14199000,8113000,254029000,4769000,10856000,21108000,2480000,0,8781000,0,0,487000,16766000,0,2283000,239000,799000,248000,2542000,5428000,155000,11244000,2232000,927000,1386000,452000,0,1606000,2196000,3686000,5721000,324000,7822000,668000,34000,0,0,0,0,0,0
