"","ARE","ARG","AUT","BGD","BGR","BHS","BIH","BLR","BRA","BRB","CAN","CHE","CHL","CHN","COG","COL","CRI","CZE","DEU","DNK","DOM","ECU","ESP","EST","FIN","FJI","FRA","GBR","GRC","GTM","GUY","HKG","HND","HRV","HUN","IND","IRL","ISR","ITA","JAM","KHM","KOR","LBN","LKA","LTU","LVA","MEX","MNG","MWI","MYS","NGA","NIC","NLD","NOR","NZL","PAK","PAN","PER","PHL","POL","PRT","PRY","QAT","ROU","RWA","SAU","SDN","SLV","SRB","SVK","SVN","SWE","THA","TTO","TUR","TZA","UGA","URY","USA","VEN","ZAF","ZMB","ZWE","ALB","ARM","AUS","AZE","BEN","BFA","BHR","CIV","CYP","DZA","ETH","GAB","GEO","GIN","JOR","JPN","KAZ","KEN","KGZ","KWT","MDG","MKD","MNE","MOZ","MUS","NER","RUS","SEN","SGP","SYR","TUN","CMR","GHA","ISL","MAR","MDA","MLI","MLT","OMN","PSE","TGO","VNM","AFG","BDI","BOL","CAF","CUB","EGY","FLK","GIB","IDN","IRN","IRQ","LBR","LBY","MAC","NCL","PRK","SHN","SLE","SMR","SUR","SYC","TKM","UKR","ABW","AGO","BLZ","COD","DJI","ERI","GMB","GNQ","GRL","HTI","KIR","LAO","MMR","MRT","NPL","PNG","SOM","TCD","TJK","TLS","UZB","WSM","ASM","KNA","MHL","MNP","ATA","BMU","FSM","GNB","GUM","PLW","SPM","ATF","TKL","VAT","HMD","SGS"
"ARE",0,19619153.17,58108936.02,199425481.87,16828232.06,206598,3480504.53,4507109.29,321824890.26,171052.4,41022858.3,715723166.44,3119742.34,2951466101.3,66047532.99,3040428.28,538587.47,32051736.67,493847125.89,243690665.45,281168.7,33181218.08,150541596.6,14460282.03,50268507.95,1064377.85,1249802926.63,1417114491.8,66322954.12,2200986.42,2889453.59,1495573383.99,4334232.46,16260917.33,35461396.4,13390000681.12,79279834.78,2459033.42,466314555.98,1234752.51,1775408.8,11535011157.54,265892942.13,375362309.29,16606102.38,5606745.49,24580280.8,4345727.25,91310315.32,1196730801.29,638443581.53,215593.82,1242700304.18,140587233.16,517814732.46,2605488899.22999,5952633.08,1869359.1,1195921695.11,121363198.67,57467551.12,476340,1734286034.47,29455632.53,62657528.71,2418677166.04,604629069.94,258823.06,7047113.76,4026797.67,3460338.6,19231073.29,6262727093.35001,3276412.03,505728326.41,784724521.770001,392230383.01,2272361.99,1167753393.5,16794161.12,782129614.2,235520166.58,30543418.2,2463611.36,91132254.52,1613293719.43,210371382.54,64790619.6,7578488.63,429230930.57,20643104.78,78820801.8,163420246.43,229144571.55,27657315.32,216748575.17,30774286.18,332576272.49,32172333150.33,544885507.97,1312675647.36,25438941.57,1038261550.81,24586099.26,3398541.72,115194.07,102307062.83,67679447.87,5821425.77,318480017.36,36882051.59,4154643876.34,391542281.92,55884029.98,26191634.97,98187383.6000001,1037637.4,194976089.56,4111243.45,16506965.83,17664206.44,4122729947.77,2608597.69,34064366.39,119696310.33,355677011,12983622.22,20082.39,2906960.34,833488,433416582,0,0,68952875,6625151196,2973387594,16560717,469109624.54,74306.21,1146829.33,0,0,14788606,0,175279,29281047,134057040,478819366,164582,202772408,0,0,285886436,42338448,25306755,10434040,51635.48,80668,0,686649,7873310,45537459,59851406,3413164,262557175,22866092,39521447,89536,49811877,45187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARG",232501603.02,0,207744550.08,316701179.84,33375533.03,2436377.43,15386073.81,47607948.44,10512730893,3151068.1,415597953.62,561492283.58,4222182423.66,5231884586.39,62411513.58,601445428.1,108138407.59,49873586.81,1314849745.76,357782293.25,212678019.39,404919601.55,2142256766.49,8965997.23,145619773.85,394872.32,664941011.869999,743298453.780001,125363292.04,170689269.76,2371963.13,206319460.21,70851562.57,46406105.96,21787591.38,890366080.550001,143586882.52,215178324.9,1425930708.62,21186975.45,3629097.38,694498075.950001,48552058.96,3997211.09,22024788.02,10518914.53,1548858576.94,980797.44,15765255.54,812827928.7,345741814.31,56964206.92,1848971607.64,39215046.5,34599076.13,86908658.97,139079782.3,1055418033.43,428345987.3,431448643.13,198764783.06,789852828.340001,28076535.63,87577114.43,45296.91,385166561.79,5598216.79,98951587.32,30640141.71,12702755.22,96877997.54,65787580.19,374021777.27,34476405.62,311007160.25,47096480.39,6187815.54,1249231391.8,4462731382.18,1202669543.43,1035719019.19,3323751.81,83257.73,4311212.14,7106829.84,218714468.22,9533086.61,4942543.02,1206717.59,5604799.54,20135620.97,28013034.65,774122582.21,1626685.34,14777405.75,3652969.12,4271099.34,31097420.55,674964788.57,23512830.1,50769937.81,983338.33,57010173.21,33388370.55,4201568.42,2493964.71,65565893.89,26891960.76,7819822.65,852641622.84,60950422.06,37209910.89,150230991.61,180231144.98,14074167.82,35213018.49,3714938,367645613.53,1797951.75,4977675.5,1938973.1,27600530.53,1034606.46,7731127.47,374992268.36,144172,0,469981636.27,252196.09,100587909,577335138,0,9548,408653804,319279292,16854446,13787997,165217822.26,906930.89,768731.26,0,0,6336954,6120,5364054,191588,1983946,80033344,4384247,165837177,2472106.95,27288716,360946,21827,4331702,2691309,59418.69,14609245,0,42574,367802,10417893,26955,36848,0,553066,297000,0,5257785,0,26621,180941,561180,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUT",642497692.55,155671019.99,0,17710602.67,718435642.470001,21503636.08,383156203.11,185555997.97,830182572.68,2839096.57,1176853056.87,6835010872.93,157706390.1,2363235562.07,11948749.5,127999951.11,19199673.25,4747456762.23,41721766380.48,1173774202.94,19137733.99,25714221.93,4131571148.52,185786929.29,747929574.67,56332.91,5420723205.52,5275885536.42,998678249.77,14180950.73,820197.05,648118682.74,8349396.94,1474254425.22,5127041141.65,725658695.359999,416999546.18,324297541.59,11883070282.94,32149818.81,2570315.57,892542555.68,60301350.98,27756475.64,297996946.32,269983025.78,620117990.33,8778480.9,181989.23,351371273.93,250213545.6,2929370.86,2556632029.54,786724195.45,137102568.24,128808165.38,28390125.14,62705517.22,81154916.4,3075709448.71,718338210.56,6261831.83,163694412.26,3197020810.49,427575,839924146.43,67711045.88,8214283.14,678313977.3,2245036833.28,2579046037.96,1699157227.21,278823824.79,19553765.39,1374381227.25,12309931.04,10667067.48,19465618.24,9832098712.29,103385774.34,750357311.65,10621662.86,2512046.75,63878685.74,125880025.79,877588577.029999,74389666.9,4415207,1096002.58,50938663.44,13767457.53,67674437.52,337304464.27,23032613.74,34267959.8,63776697.44,12629766.78,75029823.04,1624982392.86,267962635.32,19783020.3,4780331.67,192121871.05,4826773.84,107947236,76866507.45,6151269.77,9562134.36,1064881.12,3274933805.23,9451119.87,775977025.25,60053420.33,133392141.64,6827671.85,14519747.09,57777205.16,123765540.59,58248672.54,20489031.67,66649934.04,99760294.37,2535194.37,2622507.45,98997779.05,7192957,270207,8185855.52,921840.14,7510815,241019151,0,2479464,214860284,395077459,43190703,3180719,103197196.75,22162128.61,9631283.87,3336609,11063,518647,10893980,6107262,980708,44558890,943650507,1040915,17988825,5177613.2,3857111,972835,132700,1024738,2220606,358308.85,1276628,20583,529789,8450059,4936914,664240,6155540,16518,2454307,3228919,6524,64080491,6438,0,499998,2109703,0,0,537605,34074,68605,12280,0,4622,36450,78095,1146943,0,0
"BGD",44705766.48,4829884.78,239351512.69,0,6876976.02,0,2543104.45,3112223.73,33952911.3,339998.02,528896211.11,105918757.34,4396746.2,221509859.13,745027.56,3097968.19,1358792.81,77929240.56,2485904294.92,165395372.09,470294.71,1147801.41,644814285.14,5958977.89,71558332.87,44690.03,1097000920.69,1592020373.36,37669689.86,1148572.74,28636,137637392.12,2025573.28,21890736.38,4280880.7,375175078.59,70779750.56,147158.77,554648236.52,822008.04,908217.47,145848846.38,6421693.11,18756771.17,249068.52,558269.7,96366221.1,624829.23,0,36434443.11,16189728.21,439223.99,417543412.48,82094504.23,5256059.42,72201086.08,4563628.59,6108802.51,9102203.27,119158430.37,23509288.64,280362.21,13057063.57,5404417.44,16521.3,46686086.14,15066693.83,700136.63,9928898.61,51865946.54,29244197.28,210947676.67,25860512.8,731049.85,222421988.17,405042.03,1849578.01,3319221.34,3724346393.23,1356809.94,25917424.84,21895,450833.98,998484.4,98225,38876808.7,137728,2797454.2,21700.4,2555243.94,4686433.38,2754621.57,3485210.04,6852625,762277.39,1045151.06,873341.8,5160216.75,226487869.5,1211146.67,4618682.81,511266.85,23773936.83,843080.48,1045248.67,786334,1289242.97,666432.22,593060.18,95116272.99,7685466.13,131898976.05,23048427.6,4527316.64,1637989.28,5966236.06,3304214.51,7019957.84,3065298.75,1763246.29,1732235.33,7240097.88,3840,129533,25992487.17,2031735,32808.67,330914.33,9523,216811,14650037,0,0,29419813,54262861,24520,2139422,1240760.79,224493.02,1517562,28026,0,2132907,0,140307,0,0,12143937,0,425939,177053.42,518989,271004,0,1650252,0,114580,139340,63533.88,116725,8618473,218801,1286160,1345511,697295,0,28707,1432207,940071,0,50363,57503,0,0,0,34962,0,704803,8844,0,0,0,28045,0,0,0
"BGR",28517390.7,26197980.38,379778432.65,5228283.92,0,12489970,37626208.75,33485056.67,47548993.13,499258,104110750.72,117144459.67,10609651.68,135643619.27,148933.53,8159340.88,653925.78,156032979.04,1929103628.54,48176257.87,462188.36,903736.4,399370215.62,6623988.39,58587710.05,70444.2,742000358.22,468129240.83,1311949180.07,827378.32,173610.56,24521965.97,3498175.2,187207526.65,170330336.83,132277727.9,30335586.8,79884161.2999999,1744437451.48,108278,1208682.68,47644448.54,85614323.38,4246066.97,28472967.79,24593886.72,36032706.39,2448944.74,227469.84,27976260.93,9794728.48,155421.42,238779123.45,39496386.9,3015099.65,31394809.21,4193322.06,26706152.75,13784627.75,306508348.22,28463596.83,1173180.31,3114413.55,864789581.420001,157624.5,81945077.97,78916707.91,110593.21,734698654.390001,146915329.3,276797904.47,120786854.36,32265627.21,28016667.09,2083809383.88,2634906.22,3045947.73,5335924.32,465967320.57,4024505.09,37603740.13,1082046.73,209826.39,80250118.56,54915200.87,20150909.37,21353392,562938.07,45765.94,1674399.74,2729743.03,69666846.09,164402693.73,4855607.99,223812.09,118214033.83,396650,9441954.61,68650801.46,91589725.68,2966317.05,2006696.47,10956462.59,419627.05,337190734.33,10205392.74,500067.85,418234.6,1275352.66,485439569.61,2228900.09,277142057.51,102375774.15,79925261,2149915.11,6334632.98,4363042.6,35389223.86,54684217.3400001,503068.92,45895160.7,4452261.65,107578.79,7950830.15,10729081.77,7524485,17448.47,190922.48,2273050,6012717,63915271,0,83755736,13652877,38107548,11848469,978857,3989032.85,599316.46,337272.23,143568,0,292807,96374,118951,10806802,926343,229022404,0,1589709,486571.06,935464,36095,21413,0,2850,1282.7,186874,2179,17862,178718,187794,55712,0,0,93273,760404,0,5092269,0,0,11856904,21918158,0,0,0,0,0,0,0,0,263257,0,0,0,0
"BHS",1016712.62,33015751.08,280068.75,7283,794411.84,0,213734,110598.08,2921487.06,433875.11,62661208.44,134153143.09,548605.98,16833900.96,35604563.87,514130.87,2307386.97,3209997.61,40706063.7,75770.84,236864.13,485439.91,67615435.96,431593.84,966336.08,7111,49647719.43,21108911.56,82546910.1,47311038.96,147446.11,606234.81,11815044.13,533853.43,3345110.29,138452,2154186.36,155683.17,6102318.01,1562437.93,0,290109.1,57069,0,11416069.28,0,23722213.44,0,0,469996.05,3969529.52,462282.26,38112165.09,6566858.09,38696,66729.9,2802961.35,68946.4,0,397092812.64,156324.41,0,0,55305,0,16048,0,3556312.82,23517,559642,326712.85,101401,855816.2,3143196.74,515702.32,0,32317.34,1099069,506549363.39,573487.24,12566238.94,1110,0,120888,23358,2133680.81,1026,0,0,37971,9782,4279.98,0,21260,0,0,12772.62,0,3484266.38,360293.77,7434,0,0,0,30635,7195,3457,568604.19,0,1763383.2,29161,358153729.82,0,27761,0,193259.66,947295.14,303564,122937,0,18895,0,4670,14135.33,90147281.01,0,0,273415,0,24333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2703246,0,707055.84,0,0,0,0,0,0,270241,0,0,0,0,0,0,0,0,0,0,0,0,0,42881,0,0,0,192396,0,0,0,0,0,0,0,0,0,0
"BIH",2610896.09,244939.33,313995551.73,41323,39062598.51,3603,0,116632,429950.07,0,7521363.93,82097189.54,119790.98,22403502.48,246260,32831.63,52331,65286690.16,543858841.32,6336333.74,24183,0,30636769.47,1068946.23,6453634.46,0,85554471.31,21127045.42,9700204.97,0,0,615519,1696440,759441135.430001,222709148.37,18732088.37,2793837.61,2015039.12,599953741.83,0,114770,476390.74,229672.28,0,840576.43,49528,1085068.39,77536,0,10254511.35,476433.69,0,42604123.41,8019396.39,150075.59,509133.03,0,88451.92,1385,59383195,6602518.31,0,535147.93,49950309.64,0,4296343.68,182427.99,0,566439755.28,44573131.04,462238744.27,31626081.43,26469,0,22046121.69,0,0,18441,116946181.27,0,1459595.5,5551,5512.28,12263869.36,11881,2477682.26,138289,4142,0,56117,97465,446368.12,10613524.79,2143237.79,11868.54,62431,0,1271091.22,3422286.57,203956.47,86957,0,709754.29,2384,35735864.08,109780914.75,415902,3470,115540,7592689.5,0,1036627,1728612.52,667119.21,5562,54340,396832.51,2916059.04,844251.11,45238,1024,116821.79,55973.35,0,22820,151837,0,0,0,8775,13713241,0,201988,32202,1789703,15019,0,5423469.15,44876,8104,0,1178,84784,0,507067,381338,0,5967871,2226,0,0,0,0,0,0,0,0,15413,0,0,0,19192,0,0,0,0,0,0,16111,0,0,0,39618,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLR",17592068.05,17455038.24,39437648.95,31058561.94,34908366.47,0,7588185.69,0,384518090.04,70000,42993684.19,6783948,3897785,525532163.94,3091203,23303530.67,1312254,84599843.73,785295623.42,37976777.39,415234.1,8224500,28392525.89,232309417.38,69131788.01,0,87708465.24,1575444383.64,2800214.46,7100,19100.06,10884932,0,33564632.8,142133830.76,121428814.19,3014003.15,5825296.88,186225991.06,0,2071186,22098703.01,3535158.4,18490654.34,568001144.78,981406568.440001,9566096.43,5003435.99,0,45444189.5,4283757.28,1194878.97,4286573683.62,80042239.19,6422617.27,84334584.08,0,9364916.93,11426400.21,1232421011.86,6952223.66,67397,93800,119673559.63,27608.62,11341236.18,4440014.39,50368.15,36369556.06,73377352.64,4574280.45,97149166.78,3573104.24,0,73319196.38,409002.54,13614,0,367870231.94,42678250.07,26621090.1,1068000,81650,266156.49,21258475.19,7212531.7,77144659.47,556700,332337.54,29300,12713619.23,45931268.82,1490851.11,8111777.86,153490.11,29703118.25,1972735.64,13255552.27,40489158.55,368448366.22,1099000,23325968.28,594954.07,362091.48,592867.99,228110.65,170100,0,0,8487948400,366200,19718569,45029070.07,5608703.02,5518700,9913352,15752758.98,10284508.05,146190605.89,0,86692,1600,28442.09,4685.04,49972004.67,6251400,0,156856.79,0,11524400,51592500,0,17300,27473000,63647400,46800,0,2634500,0,2924,1647200,0,117300,34800,0,943200,86680200,1469541900,1600,37100,457800,0,0,334600,0,0,0,203000,0,0,346500,384700,367100,0,0,0,27684900,0,93044200,0,0,0,0,0,0,1300,0,0,0,0,0,0,0,0,0,0
"BRA",1469330912.76,14513919088.4,461131148.87,251290956.69,305767516.99,300276055.89,115814253.26,44402061.65,0,25688176.97,2840354244.99,935687425.75,4386391457.99,14670360273.59,52332475.29,2382008815.2,546952811.29,192973495.92,8529120710.9,332427282.69,531143446.94,704492373.12,3603103818.04,56093918.52,783967730.89,1719461.46,3909879791.16,3727862424.8,386363695.08,289909416.55,20516070.15,1348238060.48,153960764.69,177552579.22,132319111.63,1026526090.42,371071793.9,363055150.94,4629521780.61,408245523.36,3408910.79,2186382393.8,244357366.78,13459543.64,72480348.11,17384685.07,4686855799.31,2481766.35,4382270.43,769027512.809999,1995043170.32,68008868.1,8908772529.47001,727877415.74,87934192.39,163133497.24,393851013.7,1718009049.97,434362944.69,571647010.04,1818509520.06,1651881553.5,191730391.05,394129988.83,592634.27,1706574739.98,60634115.27,235310825.73,93091706.49,72470830.52,263423126.91,682953130.76,1068507597.08,734456622.94,980095322.86,24062497.7,9434934.39,1320763168.18,25284544744.23,4551773771,1669975930.38,12660603.53,8059157.99,52675309.73,26182084.56,671134014.86,45828423.85,45917537.09,20033223.84,119810709.41,75119682.45,236256231.6,548755085.79,87052446.92,43549598.77,84372334.82,36198450.37,292697969.51,4495242292.09,141768990.92,78481315.53,9450599.83,249145554.1,12578219.64,72297276.94,35758732.44,36048281.97,12253724.21,24563495.82,3802813455.5,170500234.42,1443525675.48,208331947.57,209488082.12,146484594.89,339446510.05,7507501.77,476525122.74,33076186.41,29509806.12,29996606.65,120596525.57,9384784.33,39072008.15,248089565.28,3175313,181927.65,828354195.97,3905654.84,323202253,1237229254,0,479657,693060749,1837428798,90095477,16416029,255068950.83,4173499.68,7398755.26,122595820,0,16485711,226359,36272419,1682510,12562557,272842014,74511457,1192672367,4542425.35,35093625,10267616,9138186,62396982,34389182,835959.21,76385431,141232,31082,996719,96516779,630490,3134469,18631980,4434459,9105155,195331,6750484,558001,73311,983882,149239,14761,0,26405436,75438,10736012,306545,8108,0,0,49869,0,0,0
"BRB",842513,0,138661.81,141346.36,0,4586844.65,48739,22200,30209561.97,0,8864039.36,1892166.8,141540,4954526.14,1179,1023630.72,324264.92,1794320.51,8015162.73,35336,3752026.39,44698.15,207244,13012,11594,0,5166401.43,34227105.35,1699653.78,8875572.33,9551663.89,681044.01,3916456.94,36995.73,38681.51,67836,346744,1702,787923.96,61358811.26,0,118596,1710,1194550.73,0,0,2232217.44,24932,76474,88573.6,99799.81,3063846.9,1257280.89,37557,846165.44,84403,8033661.35,244188.97,3330,2587086.26,13044,66179,0,26754,18056.7,13743356.7,0,205930.48,17298.32,560041,142245945.68,587946.7,467388.99,49310640.93,1677996.03,0,0,46966.61,48033527.37,5627866.52,381091.44,0,0,6268,4577476.82,505130.59,72668.93,0,0,0,0,0,0,0,0,0,0,0,522512.01,121679.79,0,0,0,1894,21563,39228.04,0,0,0,55392.73,0,444096,0,27828,24355583.16,0,302548,13136,0,1658,0,0,0,0,5625,0,0,0,0,0,0,0,3506,82126,0,0,0,0,0,0,61145,0,0,32275,4921849,0,0,0,348503,0,2070609.68,0,0,0,0,0,0,826350,0,0,0,0,0,0,0,0,0,0,1937,2614,0,5221211,0,0,0,971893,0,0,0,0,0,0,104300,0,0,0
