"","AUT","BEL","BRA","CHN","COL","CRI","CYP","CZE","DEU","DNK","ESP","FIN","FRA","GBR","GLP","GRC","GTM","HKG","HND","IRL","ISR","ITA","MEX","MYS","NLD","NOR","NZL","PER","PHL","PRT","THA","USA","ZAF","AUS","BHR","CAN","CHE","CHL","DZA","EGY","GAB","GRL","HRV","HUN","IDN","IND","ISL","JAM","JOR","JPN","KOR","KWT","LKA","LTU","LVA","MAC","MLT","POL","QAT","SAU","SGP","SLV","SVK","SVN","SWE","TUN","TUR","ARG","ECU","FJI","KEN","ZWE","BOL","MAR","MKD","ROU","URY","VEN","MUS","OMN","AGO","ARE","ARM","BEN","BFA","BGD","BGR","BHS","BMU","BRB","CAF","CIV","CMR","COD","COG","CUB","DOM","EST","GHA","GIB","GIN","GNQ","GUF","GUY","HTI","IRN","KNA","LBN","LBR","LBY","MNG","MOZ","MRT","NER","NGA","NIC","NPL","PAK","PAN","PNG","PRY","RUS","SCG","SDN","SEN","SHN","SUR","SYR","TCD","TGO","TKM","TTO","TZA","UGA","UKR","VNM","ZMB","AFG","ALB","ATF","AZE","BDI","BIH","BLR","BLZ","DJI","ETH","FLK","FSM","GEO","GMB","GNB","IRQ","KAZ","KGZ","KHM","KIR","LAO","MDA","MDG","MHL","MLI","MMR","MNP","MWI","NCL","PLW","PRK","RWA","SLE","SOM","SYC","TJK","TKL","UZB","WSM","ABW","SPM","ERI","TLS"
"SWE",877400068,2618624575,351361184,745449853,150240825,9017523,34183188,185873054,7700880908,3541056966,1095164758,2227906619,2836859508,5532680547,2327512,316349582,8588035,353499188,4603113,396270972,297629893,1911266880,249114943,426676067,2734060353,3742813929,175517701,82325194,69758470,277288332,411654952,4753865717,209890250,807420092,22136231,751177734,1051023825,108891947,64090038,154149271,2670206,6379671,77095660,273646532,361947369,270462822,93842149,8641838,28222432,1651879890,569908897,89192613,22502557,56817652,76046135,7572018,8610992,543934741,19944458,309321328,505977677,6527023,39611030,76816822,0,66245232,258429537,151695945,15696827,585133,16201123,27974116,29528477,114802900,13600271,36799654,19903135,35681095,2546128,26815646,4368872,112962757,1768011,1592785,181727,5993086,23700763,2566489,1316731,1482946,34861,6585018,1640384,1994212,107575,7071260,6026139,190759732,17791520,1566728,1161670,27056,2054840,255998,333017,61033205,85985,56070149,424723,88263046,535044,8804097,415102,1338181,26132091,3353227,724831,71172502,7185978,2055619,4708267,406957131,5766633,9324396,3387850,94961,91834,36640044,27968,375941,915680,2244361,14997205,1122986,27678852,18768975,5487929,178216,2557899,0,1508622,300870,1031043,8391986,318190,382050,14640250,216586,0,683460,1575179,716099,2206934,13113724,3258178,1436421,23545,4276365,799246,1473362,0,987747,2553998,0,864539,800135,0,9188485,952620,2095799,944955,870514,1656534,0,758921,27057,0,0,1042338,647317
"TUN",25568520,227709467,11785542,11010302,200968,0,366179,1303377,745502449,16022341,234320895,4480471,1092284714,62361814,1884545,41780856,1170615,38247,21875,12617899,0,794770068,881129,405041,121637657,5618887,1991636,2384,0,16178942,143229,52821404,1651933,171960,8316153,1866147,14279694,34578,126481092,12387749,1097505,1606,404978,821755,7136481,80755725,1752460,47175,13538886,17303702,6360135,960858,14234,0,5829,0,2191648,16014962,478109,8600697,291481,0,173314,1021011,10461832,0,45338905,4085942,22627,28385,981,4169,0,26287100,1086,2688890,929054,679890,23988,468839,0,0,0,1363465,0,0,0,0,0,0,0,0,0,0,8730,0,0,0,0,0,0,0,311703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,724122,0,0,0,0,791569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUR",266163654,316443342,23803457,423861741,8953872,4912101,130054048,41698576,4020818374,106907291,260600547,40890053,856046536,874361658,1128755,160148117,476905,211555677,425325,38953724,155289047,1019020688,39905159,132526556,567382184,56613442,7887430,8546192,22100365,69201451,74880194,1573872536,38611552,32677867,20317055,80121471,207047952,4285974,237643371,148793233,765871,94777,17287674,44213228,68566147,76343368,2609115,8322360,88556536,198676899,123435568,143371225,27897959,5502324,2803613,1928613,32740946,87997863,9336398,399901156,189180032,20550,13824587,20399073,90983971,83246245,0,22316831,18484002,101244,1230205,684310,56701,43853751,43635663,140542407,3216508,11260793,9198643,13683352,274196,184622493,0,934557,0,6290464,133631187,321192,9590,46148,42720,2333370,844868,523183,153263,1979398,2613291,799151,9363941,36841,1468596,0,267517,81500,52000,249806900,0,160579589,536681,179387648,93537,63073,10615,2177273,6544419,653316,6929,56518897,11412270,24742,255911,820194976,0,22850879,2503172,8918,106246,253872170,34705,1163023,84073447,586492,655514,1050749,76241273,7459329,237203,1548222,59247599,0,132061298,83335,1142514,814199,0,748998,5452419,0,0,67031274,195217,701,140968923,131732215,16960060,0,0,89340,3620074,173939,0,80530,4743501,0,0,0,0,5280515,0,712737,31410,0,14578392,0,64473039,0,0,0,0,0
"ARG",19430165,255627062,3959752685,253617842,188277722,27335966,33154468,18072594,931041538,184073562,621198328,21202593,329041591,238906894,668057,73495168,12081511,173348033,2053916,11344262,43909872,633413965,301717540,72184317,854687644,25173783,15081122,274058693,13401384,67463865,44304142,1669832273,148225216,49848012,1949943,90354036,74966443,874453991,34300539,124516816,2069423,20113,7766503,7388008,130436713,71715559,190121,8706806,14759432,391998728,64889914,3564481,1588894,934511,1123674,528710,10704350,32655462,1961028,6695104,57919885,7924187,5773762,7536036,38290319,39996368,50168322,0,46853951,14399,5165665,11849134,109907486,67261406,1456410,28045778,560428189,175738066,16318274,9216954,2999439,17023101,28000,445850,150528,22217347,10008816,14756897,5663307,707334,6528,796874,51392,14409442,978583,48201204,60351595,4504,720927,452135,361944,10919,762603,30369,65616,228755437,95479,13682027,1766312,3635421,1800,7212031,27069,67320,8605068,1190764,0,41752176,18736330,7836,326881627,41255641,181964,16740,5145696,4530,519278,53890020,84877,85074,4237369,5928827,2897800,33482,565418,0,80856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ECU",27357099,41415072,8365610,17578452,236548760,9047790,25624,17497283,254791210,5789205,147124283,16362099,110562176,30847947,523535,11423059,18911513,3061462,1369848,8594862,3837174,131945132,80414872,545783,34120092,9814182,12081586,145551871,679273,33750724,219884,1757685198,773019,1910688,10910,84882830,14185597,169840219,5603,519230,0,334702,12953692,8156554,744679,1710408,93971,5402394,5263,116612759,296487616,478999,186403,2315259,2125195,0,368414,62881127,272348,8750987,631963,4621541,8594754,9207999,11432591,7207570,18584047,84241445,0,0,0,1099062,2256765,69529,1741035,7468705,0,7112465,19054,0,0,0,0,0,0,0,0,0,0,1149,0,0,0,0,0,0,0,0,0,0,0,0,76777,0,0,0,0,0,0,0,0,0,0,0,0,274804,0,0,80265097,0,1028670,0,0,0,0,0,0,0,0,0,0,711,0,0,0,0,0,0,0,0,0,0,0,0,13233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FJI",111906,96675,0,32461,7515,3396,0,497,2621162,154865,675538,1500895,1264686,110776435,0,453362,0,2164976,0,32096,871,1318106,96047,28458624,6311949,87993,27212126,61913,242009,1635,7435,92974990,0,109184920,19012,19693377,88216,693,45801,0,0,0,631,19772,0,0,0,0,0,52567101,750427,0,193023,34154,0,0,0,0,0,43195,3183053,0,0,13159,30348,6806,0,0,0,0,0,710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2577572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KEN",5117895,29705955,958276,4178730,40333,14422,380900,246835,139658889,5745214,22385898,15283717,57793252,233162069,48846,5040375,0,10003918,0,11974179,10691686,43249483,289399,6486736,85295197,2559805,1698192,489254,4441349,6445281,11723306,104769187,7077063,6743708,561405,12626430,17919697,6307,0,47765910,37008,0,143763,723780,4502464,12431639,27520,0,473907,22129687,3856374,1265519,5169364,0,3299,0,185601,1731025,191552,4550254,10797413,0,8274,692251,25207630,1103339,2238175,242333,58062,0,0,3655756,0,140187,0,120476,10524,0,18422182,394148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5580,0,0,0,0,0,0,0,738,0,0,0,0,0,0,0,0,3416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11911,0,0,0,129347071,0,0,0,0,0,0,0,3636234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311231,0,0,0,0,1710487,0,0,0,0,0,0,2086337,0,0,0,0,0,0,0,0
"ZWE",8198444,16836640,67855,23887940,4227,0,523425,9560197,130693068,13305576,31614059,1534112,30264484,192692571,27059,2830003,0,2708029,0,6527060,7553309,58080466,2401145,3329544,52236309,8208806,2615912,0,26103882,28840711,9461066,101080663,255640241,10988463,4054,21963071,23125891,724665,0,9770903,478271,16126,3432665,7200711,21077156,9449941,16728,11919,6862026,136312442,3298499,57141,318573,344613,0,0,23530,25151619,4143,1013782,0,0,795464,2095741,10141940,498,3781148,27019,0,0,26963829,0,26492,10127,172907,115226,0,0,7454641,463191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21293,0,0,0,0,0,0,0,0,7220302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,537677,0,0,0,0,0,0,0,1238140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39471949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOL",2965365,4807587,18744960,5689,44979916,23526,0,149994,38887915,458881,8531435,55848,56838422,23298751,556,54722,171040,94819,5705,9429,6193,10276815,16993205,1620131,15040021,52555,22113,68078807,457,461062,322633,242606596,32175,399697,2824,8928263,1191883,23033022,826,0,0,0,0,229894,807987,226676,0,218895,0,4834189,2508570,0,0,0,0,0,29531,0,0,100585,0,1240,73856,6998447,1653993,0,452577,131174844,352828,0,0,0,0,0,0,25355,441530,3280843,0,126761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8792,0,0,9961,0,1752583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAR",39203158,163831381,45028036,7550118,281900,90978,1902633,2927514,500127294,12292454,460562564,27502839,1936802205,275130405,1458651,6897030,0,617196,3244,39295651,0,337622781,48425598,458151,117766299,25083623,16404211,3564013,167790,44026434,3255366,188582963,819567,9013207,515029,32756513,33209637,706333,109534668,3423397,4059848,0,10003186,2933448,16442519,244905809,248572,7756,2998994,257500282,14981318,6800897,102875,1919639,307402,0,846692,26608246,375324,55189046,2014401,227417,1011350,756820,32874079,42124076,34940350,1937594,95443,0,14024,65442,23100,0,150826,9408836,2172296,718018,1649575,71997,0,0,0,343777,0,0,0,0,0,0,10886,0,0,0,876766,0,0,0,0,0,0,0,1860673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3359,0,0,0,0,0,1645102,0,0,0,0,347057,0,0,0,0,0,0,0,0,0,0,0,35422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MKD",15241894,17258897,0,0,24055,0,52345,7948074,290373235,3945470,230757,3022312,48226279,8021618,0,4355886,0,0,0,150992,2336391,199567492,0,0,38040784,990026,0,0,0,0,0,79303282,0,1225785,0,0,9451869,0,0,7603255,0,5354,24842950,8531842,0,30608,0,0,0,9446316,34066625,0,0,9813,0,0,0,3624718,0,0,0,0,2716298,73199215,6494520,0,16948837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ROU",102707044,71005389,9727848,258788626,16944198,987041,9447351,10109641,1012680563,8689493,76689609,6297218,297913394,183077220,418579,84493783,2288652,17875013,956811,4612399,81071030,822061964,8357997,22701062,125938951,14987860,581775,4061231,12300461,6275459,29117079,189998519,6910132,7559605,1281136,48142511,27353793,1610838,18434894,109035851,141929,40004,9641571,108264940,11240681,43290370,505418,1597644,35481296,55155376,28181366,5095829,7130663,2310980,186845,0,917034,13545173,192403,28725760,91757805,2097668,6907762,18703574,34213283,4263123,208445242,33722053,5815268,31999,5018726,1290467,25521,30353937,15786910,0,5512739,502295,1779778,526733,0,0,0,1209006,0,0,0,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,44049,0,0,0,0,0,0,0,0,0,0,0,0,974000,0,0,3370000,0,18140001,0,0,0,1144046,0,0,0,0,8226,0,6000,0,0,0,0,0,0,0,0,0,12340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32033127,1908728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"URY",7472406,13335102,632412051,71335823,14036364,374534,641505,3179567,117139200,4368312,41228660,3424439,33589079,71963861,266800,1768879,306715,35549163,61770,1223054,49291387,72759263,50591947,14429,34919730,3170497,184810,22277033,342137,4742259,5323172,161425239,2095806,1099394,157096,15857101,12579854,39802485,0,7431743,293644,1184,310101,1450798,792912,2740130,158309,156999,212166,22974262,7722218,720694,0,231502,893222,454895,157708,2184699,32730,10933488,4896306,122320,598927,552658,11556346,1026460,4703734,726599845,4170807,0,36176,14274,3425305,28682,105117,65913,0,5012683,19009,0,0,0,0,0,0,0,0,0,0,48628,0,0,0,0,96729,0,0,0,0,0,0,0,24331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10034,0,28516748,0,0,0,901876,0,0,0,0,0,0,44540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VEN",5255138,99201782,528892326,24310902,1053412954,149570813,1170,1324660,450690005,9809975,94602049,9688534,85326091,457076857,10248077,6919541,125262696,3750729,10699065,1731673,3431074,133891608,277572747,2084624,251981336,18381164,745479,139761409,11537702,17409971,12454775,8148891168,937239,1649197,0,337897126,7546608,126160639,2378,0,0,0,456493,937566,8968602,11655993,49262,68315817,927707,336779808,65071774,1512,157241,10248,0,0,684804,445364,0,4156539,29739913,127083562,173282,36771,93074339,0,4992725,42613118,145262785,0,11499,420720,11506410,3321502,0,9317063,10244216,0,7695974,83610,0,9552,0,0,0,0,0,30294489,3275355,18986987,0,2742000,0,0,0,89462533,315312907,0,0,0,0,1636157,2715144,9577133,2836824,0,35420,38283,0,0,0,0,0,0,2166200,81244525,0,14830,61783549,0,8446645,10483084,0,0,0,0,888378227,0,0,0,0,152199564,0,0,0,12344,0,0,0,0,0,0,0,0,169562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MUS",3542087,23897718,9471,64269,9078,16727,58886,15626,82106421,1224706,22645607,153317,267237231,401611100,146124,424391,0,6116893,0,2411579,111525,50664695,74331,279473,22911454,700316,258069,26015,22159,11989624,1785460,210948507,3800588,1142989,10249,7507626,15803028,23000,0,231024,4575,0,28520,168539,0,1370042,36053,62174,0,5364059,81062,11528,180325,0,0,0,85003,0,0,3311,12178522,0,12382,40402,1916597,180261,0,74918,0,3968,846071,6062973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3702,0,0,0,0,0,0,0,0,568994,0,0,0,0,0,0,0,0,0,0,0,0,709,0,0,0,0,0,0,0,0,179077,0,0,0,0,0,0,0,1794701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1442250,0,0,0,0,1030735,0,0,0,0,0,0,1385380,0,0,0,0,0,0,0,0
"OMN",114561,9448240,1693,374551454,0,0,832036,4508,2562027,154282,15102340,5641188,13487516,74033236,28788,647726,0,193247828,0,3681054,0,2994513,211844,3893192,5867547,2918,15768760,0,22734214,13571,359009946,448862836,43003,615758,6773663,112271,775375,0,57155,110459,0,0,70692,0,2951204,20321222,0,56027,3971188,1683787885,713517156,12223611,2491452,0,0,0,0,0,7554725,36674669,89301650,0,4593,17937,322253,154359,59109,225476,51134,0,205513,0,0,0,0,23395,0,0,16310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AGO",189953,100832465,14250414,43371273,0,0,0,0,147373776,0,131288440,4856457,110538490,16672855,0,131793,0,130591,0,1218,0,111566668,260974,0,259533,0,0,1534974,25195,5195810,11365732,2001639251,4335704,0,0,3451301,5016133,63262041,0,0,12755,0,0,0,0,0,0,20187,0,9224205,64725412,0,0,0,0,0,1788871,0,0,0,0,0,0,235480,0,9204,0,0,11393432,34464,8235100,212291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARE",6549192,42415646,62607052,33377296,189441,0,2610574,3956538,99904171,2596345,10844850,11606406,75889241,287597662,8567,1886473,40121,508549362,0,5319354,0,56769003,445287,19720286,49243817,2007598,123520571,212362,207893390,1299680,516569233,431468266,18756329,364266148,88286651,1756724,23924752,320012,1039237,11757277,0,2078,343286,1984123,48224460,1181944101,28300,0,10698567,8272518770,976470249,116723737,65557324,1876125,533379,0,80275,6926284,119308714,265741575,793805194,0,1591710,260252,2558069,681322,307469060,2113068,0,0,155594515,837174,0,78316472,80385,10859668,11619,59504,1263637,1042525499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARM",168222,31654165,0,0,47102,0,2743911,91280,7661857,0,27580,0,233904,37718,0,8695,0,9780,0,0,0,754416,0,2630,1265963,0,0,1300,0,0,86966,897156,0,0,934,65133,101273,0,0,38054,0,0,0,17908,0,0,0,0,0,126054,31979,2422,0,31385,10971,0,0,199157,0,413878,0,0,0,0,25378,0,0,0,0,0,0,0,0,0,0,0,2285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEN",675245,4819063,23637850,422474,125272,0,0,0,1134066,266445,8207947,0,4066942,4587917,9297,1867689,0,155207,0,0,0,11538425,182944,468448,1822785,0,0,0,140946,27308398,5017703,10234619,2349659,0,0,3789,688534,0,0,0,403188,0,56221,0,734824,5070838,0,0,0,302615,895036,0,0,0,0,0,0,0,0,0,0,0,1645,0,774512,0,0,94109,0,0,3358,0,28110,22083972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13079,0,0,0,0,183157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BFA",775393,93462,2297778,0,40972,0,0,9354,731033,191427,4689202,3487,22891260,1170014,0,0,0,1001165,0,497,0,12550459,16968,2214053,672294,23035,0,0,0,4062432,9198264,441583,8615,0,0,30434,107592,0,2375,4562,10856,0,1504434,0,3062128,0,0,0,0,1155137,0,0,0,0,0,0,95039,0,0,0,0,0,19385,0,51780,1359408,96347,757,0,0,0,0,9438,208495,0,0,0,0,6487315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGD",12573129,91377733,6316236,15015043,265081,1366,228377,648092,286107429,39196684,46040849,6483352,203528071,215837748,266649,4832681,135856,64033854,152357,5518468,0,202336272,8082675,13986114,96493775,15955824,3167104,273381,7154391,2383380,4530467,1046380473,6816241,14311782,750480,48988954,6925375,351434,0,4238206,0,69836,55253,727780,4969800,35076935,394627,38147,1001967,81779505,9578816,2241982,7448560,48162,0,590072,19967,9544630,1547049,2307326,29543156,0,85955,479477,16450205,1672683,12468141,1845470,0,123786,3685130,333113,0,1826672,23655,2415756,1911627,0,1791,1310041,0,0,0,269083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15647,0,0,0,0,0,0,0,0,106275,0,0,0,0,2068552,0,0,0,25243,0,0,0,57277,0,0,0,0,6293,0,0,0,1126016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGR",55873526,75071037,9036183,65732782,10925972,506060,7139743,12898885,404074310,21306335,50247969,12355903,141780752,93556551,89515,290049407,20618,1975655,0,902400,16313728,294685257,14257915,9960534,74391563,5578062,165702,692127,10798958,6086283,32773142,214918534,5895788,3539077,66008,25204741,10730731,1046691,14720793,25843987,19711,26294,4533145,20789916,9958730,14295333,437367,30237,24308760,20926539,19758371,625311,6973231,8728420,3662434,16839,3820025,15549753,308399,11852152,5196918,24278,9253520,25865302,13810551,10065269,178486282,13217754,1211913,10445,2962141,107788,27490,4181114,221405735,54001115,2008230,416316,113495,11130455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHS",360504,9995099,6250911,0,258856,271299,15405,12467,6717413,4553828,32047970,14490549,31657768,30008750,0,7689405,9023,178840,78421,3426655,266635,2848631,9117756,321412,10304517,81271436,944591,45034,958751,234768,420247,197715755,1119715,1377846,0,29740520,34780979,157518,230746,0,0,7051,276662,84737,1746,843354,230613,2966872,0,11906353,8033282,0,21788,0,0,0,0,64428,0,91287,13734179,841869,5185,5749,16081234,32890,2790745,613038,205808,9656,0,86018,32626,25923,0,2687,0,23421,3662531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BMU",78733,20202,114564291,0,37883,274566,0,96582,1930383,2108,20660702,0,101910,8663809,12981,0,11701,421119,44454,19450,0,6769034,16051040,40199,127173,124357,242174,411813,583,14299,28812,8330435,381111,87930,5405,9251695,15301,0,30484,0,0,0,70653,7128,0,0,46561,12574,0,298710,12060,0,75340,0,0,0,0,0,0,115341,1784,118621,2211289,87834,743874,62718,0,0,2528,16018,0,0,3010,0,0,0,145787,283915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRB",12086,217637,1405263,2486,1746,13817,0,956,870894,476429,523325,173407,9855388,21805909,280500,0,0,159162,0,20237,0,255781,198455,2347,296207,150188,11967,85135,99820,6239,15521,32163968,621086,148867,626,9479107,296440,27792,0,6901,0,0,0,24058,0,0,0,10727421,0,623291,347903,0,38538,0,0,0,0,184127,0,64730,0,0,0,0,477530,0,0,13206,13374,0,0,0,8022,0,0,28550,0,241601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2302470,0,0,0,0,0,0,0,0,0,0,0,6770,0,0,0,0,0,0,0,0,0,0,0,0,11849476,0,0,0,0,0,0,0,0,0,0,0,0,1352360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAF",35899,57149702,42965,151408,670273,13023,53278,82595,3591563,50530,11908884,556,7598006,206822,2354,250812,156493,152201,0,79414,129883,5865256,428882,126482,552725,0,1022,0,0,1510978,605064,222023,1225,3576,45402,270398,121244,0,0,86777,12943,0,0,147445,176385,46852,0,0,0,34853,50590,0,481543,0,0,0,0,0,1261,628221,0,0,111396,366986,1735,1150871,0,0,31216,0,0,0,0,562250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
