"","AUT","BEL","BRA","CHN","COL","CRI","CYP","CZE","DEU","DNK","ESP","FIN","FRA","GBR","GLP","GRC","GTM","HKG","HND","IRL","ISR","ITA","MEX","MYS","NLD","NOR","NZL","PER","PHL","PRT","THA","USA","ZAF","AUS","BHR","CAN","CHE","CHL","DZA","EGY","GAB","GRL","HRV","HUN","IDN","IND","ISL","JAM","JOR","JPN","KOR","KWT","LKA","LTU","LVA","MAC","MLT","POL","QAT","SAU","SGP","SLV","SVK","SVN","SWE","TUN","TUR","ARG","ECU","FJI","KEN","ZWE","BOL","MAR","MKD","ROU","URY","VEN","MUS","OMN","AGO","ARE","ARM","BEN","BFA","BGD","BGR","BHS","BMU","BRB","CAF","CIV","CMR","COD","COG","CUB","DOM","EST","GHA","GIB","GIN","GNQ","GUF","GUY","HTI","IRN","KNA","LBN","LBR","LBY","MNG","MOZ","MRT","NER","NGA","NIC","NPL","PAK","PAN","PNG","PRY","RUS","SCG","SDN","SEN","SHN","SUR","SYR","TCD","TGO","TKM","TTO","TZA","UGA","UKR","VNM","ZMB","AFG","ALB","ATF","AZE","BDI","BIH","BLR","BLZ","DJI","ETH","FLK","FSM","GEO","GMB","GNB","IRQ","KAZ","KGZ","KHM","KIR","LAO","MDA","MDG","MHL","MLI","MMR","MNP","MWI","NCL","PLW","PRK","RWA","SLE","SOM","SYC","TJK","TKL","UZB","WSM","ABW","SPM","ERI","TLS"
"LVA",3260813,26542840,10537054,23013436,2460275,0,91488,2586269,226769902,56349442,3767362,28518925,53050858,295256338,911,51087,0,10608809,0,9945899,751625,21739395,0,11754882,195179136,19334133,8559,52640,3657058,2151630,0,51452278,0,610646,0,205533,795397,0,0,0,0,1243,388346,4998000,0,14018178,644415,0,48846,17971961,3221456,0,0,63811658,0,0,26685,5646788,0,0,0,0,878168,68316,208523672,0,3980487,39158,0,0,0,41978,0,0,55253,106654,0,1421147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,645342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAC",12178511,11581686,34276,119879777,27104,0,107689,2405998,203768372,22830176,11197100,3501479,153506974,76154623,94276,515972,223161,201201329,0,5109156,0,21712728,15045817,316156,32852051,4933306,1077225,16337,1106009,4670106,8418781,748998547,728638,8014861,254778,23382425,8273418,0,0,0,0,29304,760,225589,0,0,254414,0,0,26966820,2069938,196762,0,0,0,0,562045,120164,213221,350134,1408791,0,348891,47704,7987489,546,89211,0,2799,0,0,774,0,0,463,0,83798,3359,2997521,36426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MLT",6766571,32188818,4791467,66706,1236535,4509,146640,3267191,174513002,2635213,12195139,1546947,141692971,97982347,15776,10166824,0,782237,4434,3288526,297981,551617872,87083,780067,16028810,9236253,70248,41544,0,2026526,1399681,87511074,693353,2441574,228800,19373475,4469574,272052,82747,356858,3456,0,3030342,576285,0,4506,38406,1104,355723,5133617,387739,1730199,46311,0,30400,0,0,1282520,577730,4299885,120071483,0,509898,9849477,4687490,8696829,10433083,15477024,72917,0,0,0,4166,186751,1188414,162497,194695,18801,24073,1177675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"POL",410843974,412735445,133201003,97880933,13944018,4917243,6204045,390164226,5620340546,441758491,195444159,273383035,740787118,749766513,159812,46479133,4177139,75377072,1335151,75891606,27802572,835377543,44764995,27163598,666201562,123719767,10496696,1579404,38705167,27932709,121628591,641343753,10508393,17982387,435865,70219391,94956309,7776989,54644891,54481649,131786,110109,35639441,176236512,41914141,58898181,4982905,2717438,13395845,64054190,91830990,7023791,9658128,97014927,20195534,1101120,4493368,0,1211031,29277072,54727677,1671654,142926778,21121756,423577542,36134569,64200666,24365901,6712373,111555,2860367,1580413,118841,78601078,12261319,28515856,5346978,10041119,162139,1331839,8080000,11517000,3060000,0,769000,1696000,39826000,58512000,88372000,216000,0,2361000,323000,320000,52000,1851000,4619000,11427000,2615000,985000,976000,0,42559,117000,0,23499000,0,6983000,19576000,17635000,417000,0,0,929000,14722000,1060000,665000,15471000,3647000,0,655916,902910000,10754000,4498000,299000,0,51000,15871000,527000,177000,6463000,66000,311000,259000,257430000,16974000,159000,81000,553000,0,1631000,68000,0,114983000,70000,96000,1910000,0,0,570000,206000,0,0,23905000,733000,5021000,0,0,3335000,74000,78000,612000,5727000,0,0,0,0,20838000,258000,212000,50000,77000,3591000,0,21465000,0,0,0,0,0
"QAT",22487,654975,32428875,42796041,0,0,0,2238,3502265,38023,936341,1248,3354876,7069834,545,4971,0,4658173,0,25467,0,11402263,186229,10104805,556605,20621,550154,0,21151476,0,13806255,77704006,12607,119156721,8540679,117016,58221,0,0,291617,0,0,2401,4403,9619700,103370076,137785,55592,4890632,1784835034,251231438,15505131,5875354,0,0,0,0,0,0,63507170,101788856,141281,2100,78235,14254,10714,635454,0,0,0,11393,0,0,0,17168,3606,0,0,0,5329263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAU",177736070,99015588,1276935379,222306435,8339047,32881,10333281,536568,847790647,1787249,1009256289,10917370,2522177607,913073823,328432,172333922,763581,205071358,19006,3841848,0,1341272249,1433840,195968224,1465416832,4174680,163581940,3493552,898019513,275588462,475368472,7524866402,8926635,357248618,1212578807,358892948,167344999,377534,12422225,175289225,22696,0,766334,757355,612673571,1151397661,0,12898,92687768,7572302139,3445868263,290796478,20856058,0,658,7924814,1693667,1152475,84903046,0,3332075908,0,31912,7589,268127011,25498900,1114180305,11108696,4065921,71727,35698196,9582306,813,347901601,0,162360,3107459,824974,22906370,88232401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50350,0,0,0,0,0,0,0,0,735685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SGP",183569247,274009493,283796929,2300455100,13978823,4384513,98088329,37219620,2632321488,228440224,307085019,118863943,1412609737,2589468541,1304797,133269353,2801326,7256023743,24923982,487898680,127260299,473249180,265600823,7747814271,1022213921,150856894,215415681,15175560,1363542293,44792884,3157077836,14114767327,247302480,1309740627,18017801,763614099,215554133,36962113,16701019,55269553,885952,102041,3494731,38393650,1698630628,647784916,2783616,3836261,13775885,4311756725,1863038169,83044829,219657816,2052128,1140524,12360806,129371386,77816915,17191918,137788018,0,1200977,6389899,5893179,170690937,13614491,45323336,240560602,10129966,58216123,29622583,5538906,279248,18097099,1078516,12467046,12201737,23258152,58807318,32558238,0,799584620,0,0,0,432522464,19730531,76567840,5337116,0,0,3214262,2287149,0,0,0,0,0,15023230,258474,0,0,500272,0,0,64185153,0,33150428,411033902,12317947,0,6798835,0,0,73329609,0,68740716,309368029,452959543,171080663,22715702,830596832,0,10375899,0,0,0,17488655,0,0,0,3403579,24344373,1950069,0,1334286095,1552739,18679456,0,0,0,0,0,0,0,10482617,6656703,0,0,0,0,0,80983,0,0,384694297,0,27848194,0,25824258,0,0,392909866,0,0,36801935,0,23424696,0,0,123773,42030040,0,0,0,0,0,0,0,0
"SLV",13880833,2617082,365514,274019,1037140,69280566,10913,3288161,175483682,1742968,11774094,2578256,21360773,9978852,81155,193785,151743036,221856,42580661,21317,44411,4708524,17450597,8764,15258301,2778516,8452,1497152,23797,320552,657625,573464055,137403,276375,0,26677661,1930472,284300,37921,0,0,0,0,155938,0,0,33547,197834,0,8039474,61660,3270,12353,102666,0,0,0,2262009,0,386745,0,0,706937,16051,376521,0,0,7512,383513,1715,0,0,1319641,0,4115,0,518118,9399104,0,0,0,0,0,0,0,0,0,0,0,21048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25496661,0,0,8367297,0,158319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1112554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SVK",338538001,83613675,3485307,15924223,4456719,1067502,3807168,1979542825,1215287958,22631652,45985529,23827152,120760669,82349944,96215,19968545,228765,1328075,43112,4416221,7279829,334613115,29059105,20425403,97002876,8067639,185648,431821,5958462,5557819,52967319,130846093,4345959,2163552,155219,24351333,40144473,1270198,6142367,18832098,0,1842,50534439,330483924,12393576,49372471,824867,429117,3615541,8960356,23188092,1271993,363246,16795553,3106294,926,965710,177345434,50400,5927722,9380251,1060884,0,54730073,45099130,2481741,30817731,10076581,3785233,0,424014,70817,260733,2166304,11432587,33098688,367252,705429,7332,369940,2259122,4625319,284919,0,34112,71691,11622430,14955,0,0,22253,336695,33226,0,0,1844198,427072,1665182,1137072,14810,67091,378749,19940,19914,7532,6687056,0,11528546,357975,214337,274983,17244,24938,9281,9843092,13778,0,972267,837087,0,117338,277527465,2610158,681082,201687,0,86756,24548385,1248450,52064,6239921,38965,334605,336745,116606182,2393190,5655,990,490112,0,616688,38360,2961881,18186027,0,0,560534,0,0,249489,43477,0,0,16369521,49162,0,0,10214,1236355,0,0,181008,55509,0,911,0,0,335503,4442,1152659,3381,0,1720910,0,4210437,0,0,0,0,0
"SVN",327437169,66364656,7408872,4886047,2569984,1187914,7268730,66637132,1874668913,24328622,38666523,16986158,595865270,131652886,262953,19823795,358844,6260268,50406,6936848,12818220,855477990,2089070,6462190,96941564,18773982,2071783,359757,476322,8272056,6577217,259286808,3468921,16665119,615045,42012415,59121087,1410400,4222949,32014254,0,238943,551786291,76735218,5274671,32507396,169045,59798,3950486,25971077,12705864,1604985,1236026,6054110,2030433,69185,2798396,86355262,296602,9382596,6239459,0,27574450,0,64186309,3451485,29292328,3526769,576723,0,1776685,952,150058,1127417,148571488,14090895,382285,1448109,27039,467273,0,16941278,49423,33442,6846,436058,14288693,0,0,0,9747,497627,8406,173865,37167,49135,642968,502660,1073130,6658,70094,0,202797,76929,0,31658628,0,2051018,5971,444961,0,8542,0,47304,1301140,0,0,2321993,202496,23303,35966,264837978,15676218,103092,292430,26542,16410,4576956,1137,0,888447,14184,93135,104511,24674341,45426,687288,2137645,4965630,0,65628,10627,68510908,13235753,152167,93722,104237,448578,0,1221534,36701,0,140793,1433613,0,0,0,0,814898,72619,0,50252,0,0,0,0,0,34618,51692,55227,0,0,0,5336,285607,4575,0,0,0,51853
