"","AUS","AUT","BEL","BRA","CAN","CHE","COL","DEU","DNK","ESP","FIN","FRA","GBR","GLP","GRC","HKG","IDN","IRL","ISL","ITA","JPN","KOR","KWT","LKA","MAR","MLT","MYS","NCL","NLD","NOR","NPL","NZL","PAK","PER","PHL","POL","PRT","SAU","SGP","SWE","THA","TUR","USA","YUG","ARG","CMR","CUB","DZA","JAM","JOR","KEN","MAC","SEN","SLV","TTO","TUN","URY","ECU","EGY","ETH","HND","LBY","MDG","PAN","VEN","BHR","CYP","OMN","QAT","SYC","AGO","ALB","ARE","BEN","BFA","BGD","BGR","BHS","BLZ","BMU","BOL","BRB","CHL","CHN","CIV","COD","COG","CRI","CSK","DDR","DOM","GAB","GHA","GIB","GNB","GTM","GUF","GUY","HTI","HUN","IND","IRN","IRQ","ISR","KNA","LBN","LBR","MEX","MRT","MUS","MWI","NGA","NIC","PRK","PRY","ROU","SDN","SLE","SUN","SUR","SYR","TZA","VNM","ZAF","ZMB","ZWE","AFG","CAF","DJI","FJI","FLK","GIN","GMB","GRL","KHM","KIR","LAO","MLI","MMR","MOZ","NER","PNG","RWA","SHN","SOM","TGO","UGA","WSM","YMD","BDI","GNQ","MNG","SPM","TCD"
"QAT",29677000,0,137860000,201208000,89000,13028000,5000,51686000,63079000,334432000,0,677411000,103599000,0,0,1108000,0,84000,0,250047000,1803081000,3000,21865000,0,0,0,10017000,0,739890000,84000,0,34512000,4606000,10000,49071000,0,0,63442000,114691000,56273000,504736000,0,249755000,0,0,0,0,2000,0,15000,118784000,0,0,0,0,5000,0,0,238000,0,0,0,524000,0,0,7831000,0,655000,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SYC",18000,5000,1000,164000,83000,25000,0,253000,23000,0,5000,208000,1260000,0,0,39000,0,120000,0,239000,227000,0,1000,0,0,0,0,0,16000,2000,0,0,2147000,0,0,0,9000,0,4000,3000,0,0,464000,0,0,0,0,0,90000,0,28000,0,0,0,0,0,0,0,0,0,0,0,9000,0,0,0,0,0,0,0,0,0,26000,0,0,0,0,0,0,33000,0,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,0,0,0,0,468000,0,0,0,0,0,0,0,0,0,0,0,54000,0,148000,0,0,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AGO",0,438000,9861000,112854000,108000,6937000,0,2825000,63000,33604000,240000,1341000,17585000,1000,0,1532000,0,0,0,491000,102781000,349000,92000,0,0,0,1000,7000,47981000,0,0,0,0,0,0,0,14909000,0,0,0,0,0,558707000,14868000,21339000,0,0,73060000,3000,5882000,0,0,0,0,29090000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALB",7000,6720000,456000,0,727000,1992000,2000,9109000,338000,2194000,1e+06,9498000,249000,0,10601000,0,0,16000,0,41602000,25000,0,0,22000,0,0,0,5000,5247000,21000,0,8000,19000,0,0,14775000,230000,37809000,0,6943000,3000,4786000,12305000,63286000,52000,0,0,6300000,0,154000,0,0,0,0,0,0,0,149000,1123000,27000,8000,1970000,11000,6000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARE",173654000,26019000,315498000,211513000,53147000,395883000,45000,1494955000,51293000,926922000,1000,1908647000,968861000,0,118000,7705000,0,10000,0,622760000,8190408000,1086000,13319000,46000,68658000,3000,39000,0,465843000,34686000,0,13750000,336017000,1000,0,0,341507000,58842000,226435000,217909000,78297000,0,2114329000,0,0,0,0,0,0,606000,67022000,0,0,0,0,0,0,0,0,0,0,0,53000,0,154000,58424000,51000,231308000,39868000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEN",0,11000,76000,0,3000,0,0,12812000,3062000,64000,0,13964000,6631000,0,284000,1604000,0,269000,0,11105000,4354000,0,0,0,268000,0,0,1000,12697000,0,0,12000,0,193000,0,0,0,69000,0,706000,336000,0,0,0,0,31000,0,1002000,0,10000,0,0,98000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BFA",1000,3000,169000,0,89000,87000,5000,6005000,8170000,359000,1000,14812000,6545000,0,145000,325000,146000,0,0,4997000,16837000,0,2307000,3000,173000,0,514000,0,251000,0,0,0,0,0,0,0,1128000,0,0,2290000,0,0,219000,65000,0,37000,0,641000,0,0,1000,0,15000,0,0,1980000,0,0,245000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219000,0,0,0,0,0,0,0,0,0,1912000,29668000,0,0,0,0,0,0,6000,341000,0,0,0,0,0,0,0,0,0,0,0,0,6000,0,0,12000,0,0,1788000,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3693000,0,0,1380000,0,0,0,0,539000,0,0,0,0,0,0,0,0
"BGD",26815000,330000,18812000,10290000,9897000,895000,0,24213000,1230000,15018000,283000,26878000,44749000,0,1592000,4395000,53000,1143000,65000,43346000,27973000,710000,348000,3194000,2828000,10000,4181000,5e+05,20827000,264000,0,7233000,75920000,0,0,58000,3649000,1749000,20020000,8224000,9158000,5008000,99442000,8649000,824000,0,0,2633000,6000,0,3612000,0,537000,0,10000,672000,1145000,0,5519000,0,0,0,196000,0,0,7000,88000,5000,313000,0,0,0,0,0,60000,0,0,0,0,0,0,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,334000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1217000,0,0,0,0,0,27820000,0,0,0,0,4959000,0,0,0,0,0,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124000,0,0,0,0,0,0
"BGR",2860000,45939000,22997000,6408000,3999000,21581000,2018000,155227000,5746000,25916000,18085000,46459000,31205000,20000,93032000,253000,2322000,627000,160000,253417000,22070000,24000,9822000,123000,11841000,153000,793000,98000,29957000,2251000,0,41000,15318000,1447000,1209000,122973000,13171000,39923000,3016000,13898000,10993000,135587000,24379000,174572000,7029000,16000,0,14392000,9000,22171000,84000,0,10000,78000,15000,14453000,2655000,2631000,54024000,2165000,173000,84675000,279000,36000,583000,6000,4266000,62000,525000,1000,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,26000,0,0,4000,0,0,0,0,204000,6000,0,0,535000,0,0,0,17282000,3000,0,0,0,0,0,0,0,0,0,0,0,928000,0,0,0,0,5223000,0,0,0,0,0,47000,0,0,0,0,0,307000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHS",4374000,362000,58464000,33587000,32946000,1848000,9089000,358936000,1127000,55906000,5000,70527000,131467000,97000,0,0,0,19752000,0,106457000,17822000,678000,0,1569000,0,82000,0,6000,165507000,1559000,0,2140000,1000,16000,153000,0,370000,50000,0,14311000,0,0,1423552000,0,1223000,0,0,27000,4000,0,0,0,0,0,1803000,0,133000,0,0,0,7000,0,0,10000,1772000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14329000,0,44000,0,0,0,0,0,26000,0,0,9000,0,0,0,0,12424000,0,0,0,0,0,0,0,8000,1000,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
