"","AUS","AUT","BEL","BRA","CAN","CHE","COL","DEU","DNK","ESP","FIN","FRA","GBR","GLP","GRC","HKG","IDN","IRL","ISL","ITA","JPN","KOR","KWT","LKA","MAR","MLT","MYS","NCL","NLD","NOR","NPL","NZL","PAK","PER","PHL","POL","PRT","SAU","SGP","SWE","THA","TUR","USA","YUG","ARG","CMR","CUB","DZA","JAM","JOR","KEN","MAC","SEN","SLV","TTO","TUN","URY","ECU","EGY","ETH","HND","LBY","MDG","PAN","VEN","BHR","CYP","OMN","QAT","SYC","AGO","ALB","ARE","BEN","BFA","BGD","BGR","BHS","BLZ","BMU","BOL","BRB","CHL","CHN","CIV","COD","COG","CRI","CSK","DDR","DOM","GAB","GHA","GIB","GNB","GTM","GUF","GUY","HTI","HUN","IND","IRN","IRQ","ISR","KNA","LBN","LBR","MEX","MRT","MUS","MWI","NGA","NIC","PRK","PRY","ROU","SDN","SLE","SUN","SUR","SYR","TZA","VNM","ZAF","ZMB","ZWE","AFG","CAF","DJI","FJI","FLK","GIN","GMB","GRL","KHM","KIR","LAO","MLI","MMR","MOZ","NER","PNG","RWA","SHN","SOM","TGO","UGA","WSM","YMD","BDI","GNQ","MNG","SPM","TCD"
"CSK",23899000,452279000,78109000,25840000,54149000,115892000,8387000,1011531000,52707000,43513000,79518000,178448000,203049000,183000,71620000,13431000,7532000,15761000,5720000,260830000,49381000,1980000,18491000,643000,9255000,5110000,4109000,233000,179540000,41233000,9000,7980000,14778000,6329000,3712000,263456000,16321000,101449000,11062000,97883000,8163000,67778000,64530000,589243000,16589000,1017000,0,46362000,4000,13950000,6406000,3000,1062000,380000,1241000,12528000,10579000,7594000,50766000,7401000,1870000,15153000,1565000,1320000,15516000,167000,15256000,159000,21000,2000,0,0,0,0,746000,0,0,0,0,160000,0,545000,0,0,0,0,0,1968000,0,0,272000,0,0,0,0,1545000,15000,0,0,626000,0,0,0,0,176000,0,844000,0,0,0,0,0,81000,0,0,0,13342000,0,0,0,0,86000,0,0,0,0,0,52000,0,679000,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,28000,0,0,0,0,0,0
"DDR",11304000,164942000,144602000,96803000,8226000,40897000,31251000,0,147922000,43920000,88116000,275236000,202678000,147000,78302000,4715000,4864000,8416000,2449000,185630000,39689000,296000,9276000,1374000,20329000,771000,2566000,262000,197046000,55671000,0,2196000,2207000,62000,6188000,358886000,12303000,8605000,8554000,326409000,2700000,17639000,44721000,381109000,14607000,5601000,0,56255000,720000,2920000,801000,0,2726000,0,475000,16181000,1472000,3819000,29823000,16748000,365000,6753000,2342000,18000,30000,0,2896000,18000,2653000,0,0,0,0,0,916000,0,0,0,0,881000,0,57000,0,0,0,0,0,83000,0,0,22000,0,0,0,0,135000,20000,0,0,98000,0,0,0,0,71000,0,66000,0,0,0,0,0,160000,0,0,0,7760000,0,0,0,0,10624000,0,0,0,0,0,50000,0,237000,0,0,0,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0
"DOM",13000,1671000,24865000,35000,13012000,1298000,1156000,8074000,2847000,27311000,2985000,15642000,11114000,4523000,23000,53000,0,75000,1000,9734000,20894000,0,0,10000,1916000,0,0,0,4456000,49000,0,4000,0,1000,1525000,0,8742000,201000,7000,8657000,0,0,826964000,0,158000,43000,0,2305000,855000,0,0,0,16338000,2000,287000,141000,373000,24000,0,0,337000,166000,0,704000,135986000,0,0,0,0,0,0,0,0,943000,0,0,0,0,65000,18000,0,591000,676000,0,1367000,0,0,656000,0,0,0,0,0,3611000,0,67000,289000,71000,9712000,0,0,0,0,0,2389000,0,0,6000,0,0,0,0,108000,0,0,0,0,0,3375000,1176000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1638000,0,0,0,0,0,0,0,0
"GAB",462000,1228000,33488000,310783000,5731000,2971000,4000,229389000,3601000,227493000,0,633234000,24743000,1297000,17051000,0,0,3000,3000,128086000,19776000,0,0,0,11330000,0,0,0,22557000,19463000,0,0,0,0,0,0,4857000,262000,0,4545000,0,0,292973000,10624000,18000,0,0,1510000,0,0,0,0,918000,0,1000,1084000,54000,0,54000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203000,0,0,0,0,0,0,5140000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GHA",17370000,7678000,24233000,3079000,4332000,29176000,50000,148998000,3050000,20788000,4380000,22881000,224432000,0,4301000,3422000,970000,17867000,45000,17627000,123413000,5626000,35000,0,0,2527000,5910000,0,76008000,19261000,0,17915000,4000,5000,0,0,1000,306000,12373000,24200000,10308000,982000,213792000,8928000,0,0,0,0,0,0,16000,0,2000,0,11000,0,0,0,920000,7000,0,0,0,0,0,0,1150000,0,0,0,0,0,0,0,2522000,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2351000,0,0,1955000,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,35000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GIB",1000,0,175000,0,322000,29000,119000,117000,12000,9000,0,203000,7075000,0,0,0,0,47000,0,2153000,1000,0,54000,102000,112000,24000,1000,0,395000,8000,0,3000,0,0,0,0,14000,1257000,0,64000,0,0,1107000,0,0,0,0,0,0,131000,0,0,0,0,13000,0,0,7000,181000,17000,72000,0,0,1000,0,68000,0,0,0,0,0,0,0,0,0,0,0,0,0,1776000,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,0
"GNB",0,208000,477000,0,4000,230000,0,9641000,0,3125000,283000,7535000,714000,0,0,502000,0,0,0,868000,16000,0,0,0,716000,0,0,0,6584000,3000,0,0,2000,49000,0,0,6307000,0,0,13000,0,0,139000,37000,0,0,0,0,0,0,0,0,4000,0,0,0,0,0,0,14000,0,0,0,0,7000,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1015000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GTM",666000,12258000,14788000,508000,21441000,34792000,949000,121090000,15649000,11330000,43844000,23969000,54928000,1028000,22000,1780000,840000,137000,0,100893000,70517000,2592000,15077000,14000,366000,192000,338000,0,32718000,8359000,0,128000,216000,38000,51000,0,8135000,31214000,1798000,15133000,1116000,0,458392000,648000,156000,2000,0,0,638000,1166000,0,0,0,252235000,288000,2945000,0,1613000,71000,0,57617000,150000,81000,15884000,1122000,607000,6000,160000,1671000,0,0,0,0,0,0,0,0,0,28226000,19000,1160000,188000,710000,124082000,0,0,0,100921000,0,0,5659000,0,0,0,0,0,608000,324000,774000,0,4000,0,0,120000,23000,1764000,0,36630000,0,0,0,0,112553000,0,0,72000,0,0,0,516000,1820000,0,0,48000,0,0,0,0,0,14000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GUF",0,1000,359000,173000,4000,9000,0,31000,72000,224000,0,2267000,271000,3026000,67000,0,0,0,0,1000,6456000,0,0,222000,0,0,0,0,69000,0,0,0,16000,326000,0,0,3798000,229000,0,3000,6000,0,17491000,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,443000,0,0,0,0,0,1000,538000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,651000,7000,0,0,0,0,0,0,1000,0,1000,0,0,0,0,0,0,0,15000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GUY",1737000,384000,1603000,3111000,30333000,15000,803000,22126000,143000,8451000,0,12137000,109242000,386000,22000,2000,0,56000,0,7669000,20412000,0,57000,0,1118000,3000,0,0,1438000,6878000,0,102000,7000,242000,0,0,701000,1013000,0,2041000,1062000,0,134716000,0,1679000,0,0,0,24424000,0,0,0,0,0,23917000,0,0,0,0,0,0,0,15000,0,34118000,0,1000,0,0,11000,0,0,0,0,0,0,0,0,0,960000,0,4402000,0,0,0,0,0,1000,0,0,9000,0,0,0,0,30000,11000,0,0,0,0,0,0,18000,3788000,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HTI",249000,428000,10902000,9000,5626000,2442000,0,9662000,1443000,1969000,26000,36399000,2124000,1091000,24000,78000,0,9000,0,25914000,681000,0,0,0,943000,0,0,4000,1618000,1390000,0,10000,0,0,0,54000,7000,604000,0,1927000,0,0,261815000,0,4000,0,0,0,204000,126000,0,0,0,0,81000,33000,0,0,0,0,30000,0,1e+05,445000,713000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330000,0,90000,0,0,0,0,0,3000,0,0,3244000,0,0,0,0,213000,132000,0,0,0,0,0,0,0,51000,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HUN",7883000,337084000,37101000,10334000,22083000,99453000,683000,1004117000,47160000,24595000,58715000,194926000,99745000,136000,68537000,1771000,4162000,5288000,561000,378104000,17452000,619000,23756000,2123000,4882000,1943000,2045000,114000,122810000,24263000,0,1685000,16316000,3819000,167000,205048000,2237000,41708000,4015000,94361000,3221000,59555000,111678000,267501000,6087000,251000,0,38387000,663000,8435000,1065000,0,105000,116000,281000,24995000,1235000,264000,14449000,4826000,408000,35969000,661000,227000,1437000,112000,6460000,80000,1173000,0,0,0,0,0,14000,0,27000,0,0,1456000,0,153000,0,0,0,0,0,2887000,5882000,30177000,79000,0,0,0,0,349000,13000,0,0,0,227000,0,87000,11019000,60000,0,503000,0,0,0,2000,1119000,87000,0,0,23000,461000,0,520000,0,0,7347000,4000,0,0,0,0,89000,0,122000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0
"IND",129066000,30494000,226932000,2652000,80584000,76316000,2814000,620065000,73578000,33934000,9560000,352794000,717173000,591000,9496000,164721000,43242000,37335000,1565000,263345000,1014332000,53627000,153008000,96497000,6105000,2055000,101674000,576000,145856000,21119000,0,34598000,3840000,5945000,12183000,41577000,19920000,298645000,115179000,53615000,44400000,4516000,1203447000,90545000,6487000,1215000,0,7205000,267000,6501000,35123000,8000,0,259000,3618000,5386000,6350000,648000,42535000,6355000,203000,50907000,757000,578000,2884000,38863000,4422000,33582000,27484000,1991000,0,0,0,0,245000,0,0,0,0,1299000,0,468000,0,0,0,0,0,40000,0,0,307000,0,0,0,0,143000,51000,0,0,0,0,0,0,13409000,141000,0,1956000,0,0,0,4998000,0,2793000,0,0,0,76903000,0,0,0,0,35419000,0,0,0,0,0,92000,0,6134000,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,79000,0,0,0,0,0,0
"IRN",79855000,30431000,271494000,765933000,2946000,81641000,1252000,1839618000,9597000,1056456000,170488000,682129000,248772000,6000,36958000,29414000,15000,82091000,81000,339759000,4100950000,0,20375000,109783000,4000,24000,151000,20000,316532000,37512000,0,18721000,1972000,140000,2000,1995000,58777000,20297000,221439000,150499000,34440000,770631000,350306000,70039000,5000,6000,0,0,8000,1707000,55573000,444000,17000,0,16000,6239000,0,219000,56000,7000,15000,0,460000,0,121000,5859000,476000,407000,2159000,0,0,0,0,0,6000,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,468000,0,0,2000,0,0,0,3556000,0,6000,0,0,0,1053000,0,0,0,0,58000,0,0,0,0,0,0,0,1000,0,0,0,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRQ",199844000,543548000,425544000,3948102000,217563000,239000,0,629624000,484000,1565284000,261459000,5563071000,1236338000,0,53934000,8000,1272000,59266000,30000,2863860000,4339063000,1000,6783000,125996000,395263000,62000,100534000,1000,139041000,163000,14709000,722000,156728000,0,205029000,1298000,763445000,2902000,214004000,219578000,15000,1150880000,368235000,978961000,127526000,1000,0,1578000,0,7964000,44000,0,72288000,0,11000,10598000,211080000,0,3034000,0,0,120000,131000,0,17000,1157000,121818000,2000,1658000,0,0,0,0,0,0,0,0,0,0,0,0,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124000,0,0,0,0,79556000,0,0,0,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISR",45979000,59050000,235639000,39981000,46505000,119926000,5484000,562969000,31280000,41377000,40414000,309205000,503221000,236000,38753000,228283000,595000,31463000,1065000,307213000,227014000,9012000,0,2000,0,1626000,73000,319000,201610000,34742000,183000,4449000,0,1885000,3923000,0,56046000,0,52487000,64475000,20584000,31920000,962129000,30783000,17555000,3132000,0,0,193000,0,19085000,0,417000,139000,407000,0,2365000,1692000,1023000,10296000,302000,0,0,206000,6684000,0,26126000,0,0,3000,0,0,0,0,192000,0,6156000,45000,0,623000,374000,437000,21268000,1895000,6982000,3045000,120000,807000,46000,114000,255000,603000,2026000,61000,0,1157000,4000,233000,1849000,2704000,6464000,189000,0,0,29000,0,111000,15105000,35000,2868000,2074000,44336000,95000,0,513000,35031000,0,148000,1000,3379000,0,10062000,6000,80884000,3626000,0,0,33000,0,14000,0,12000,0,2000,0,0,2000,26000,155000,0,0,0,121000,0,0,173000,305000,0,0,124000,60000,0,0,0
"KNA",1000,75000,2685000,0,1999000,643000,304000,3144000,44000,280000,15000,6864000,72896000,1810000,7000,14000,0,3204000,0,505000,120000,0,0,0,0,2000,32000,0,1079000,3000,0,33000,0,6000,0,176000,62000,945000,1000,14000,0,0,35423000,440000,109000,0,80000,0,9711000,17000,0,0,0,0,15735000,9000,0,0,0,0,3589000,0,0,0,446000,0,5000,0,0,0,0,0,0,0,5000,0,0,0,0,25000,0,5507000,0,0,0,0,0,270000,0,0,4000,0,0,37000,0,0,0,290000,2000,0,0,0,0,0,3611000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LBN",255000,1641000,5966000,2000,895000,35175000,0,7909000,1776000,1371000,42000,19873000,21023000,84000,798000,40000,152000,58000,0,12442000,437000,0,76005000,2000,4486000,19000,37000,1000,2638000,182000,0,16000,769000,0,0,1656000,34000,374655000,240000,1544000,1098000,15552000,31872000,1296000,23000,91000,0,4051000,0,73930000,13000,0,330000,0,0,1312000,0,16000,25589000,50000,2000,16902000,0,0,73000,2308000,1867000,2844000,13408000,0,0,0,0,0,128000,0,0,0,0,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,612000,0,0,0,0,0,0,0,0,0,3265000,0,0,0,0,2732000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LBR",9000,2798000,72660000,3000,3605000,761000,0,241153000,3960000,44533000,378000,125071000,16081000,3000,2115000,25000,7031000,181000,0,113617000,338390000,49599000,1819000,0,0,230000,8000,0,55841000,24026000,0,0,1836000,48000,0,3000,3820000,540000,1575000,502000,0,8700000,147472000,10147000,0,13000,0,2487000,0,2000,11000,0,180000,0,7000,9116000,0,0,5000,1000,0,0,0,0,434000,0,0,389000,0,0,0,0,0,21000,17000,0,0,0,0,0,0,0,0,130000,1741000,186000,15000,0,0,0,234000,0,1035000,0,0,0,0,0,0,0,7000,0,0,9000,0,789000,0,5634000,0,0,0,716000,0,0,0,14970000,0,1244000,2145000,0,2537000,0,0,9000,3000,0,0,0,0,0,0,5395000,429000,0,0,0,0,117000,0,0,3000,0,0,0,5000,167000,14000,0,0,1000,0,0,0,0
"MEX",18416000,20484000,37773000,468140000,295217000,50513000,63717000,309275000,10996000,1298335000,8232000,427517000,257023000,594000,1835000,14288000,12724000,3230000,13000,284592000,934212000,64231000,1726000,996000,337000,20000,1815000,127000,107061000,5782000,0,2420000,30000,20538000,9327000,8919000,7649000,331000,15067000,42236000,12151000,2309000,12689776000,65206000,71739000,0,0,21887000,5559000,34000,6000,0,54000,13733000,2474000,351000,11602000,22363000,133000,6000,21896000,0,29000,14415000,79858000,1000,236000,0,3000,0,0,0,0,0,1000,0,0,0,0,2009000,0,930000,0,0,0,0,0,88209000,0,0,9094000,0,0,0,0,64489000,113000,0,0,0,0,0,0,11339000,226000,0,0,0,0,0,11000,0,17938000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0
"MRT",0,108000,24311000,0,5000,2005000,0,20894000,0,17518000,2000,76093000,18518000,0,951000,0,0,922000,2000,51286000,28926000,0,0,0,0,0,0,0,2636000,47000,0,3000,1000,0,0,0,4752000,172000,0,8000,0,0,274000,4733000,0,0,0,0,0,0,0,0,6000,0,0,524000,0,0,0,0,0,0,11097000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MUS",679000,60000,10844000,0,35000,1958000,0,18925000,3313000,463000,214000,53059000,336064000,106000,0,339000,0,7128000,4000,8968000,88000,4000,0,31000,0,2000,336000,13000,8516000,54000,0,40000,40000,0,0,0,0,252000,63000,153000,6000,0,54428000,1722000,0,0,0,0,0,0,368000,0,1000,0,0,0,0,0,0,0,0,0,3435000,0,0,0,1000,0,0,903000,0,0,0,0,0,0,0,0,0,0,0,49000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,0,0,0,0,0,0,0,0,0,0,9000,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MWI",4666000,543000,3350000,0,407000,1013000,4000,21739000,1943000,2490000,540000,8484000,100294000,5000,1119000,86000,638000,3166000,0,187000,4356000,25000,2000,8000,0,43000,51000,0,24444000,2002000,0,1792000,1665000,0,0,3000,1359000,1097000,391000,125000,0,0,25421000,0,0,284000,0,1000,2000,0,1494000,0,73000,0,50000,0,0,0,1125000,571000,0,512000,108000,0,12806000,0,1770000,0,0,30000,0,0,0,1480000,17000,0,0,0,0,0,0,0,0,0,356000,324000,110000,0,0,0,0,499000,2000,1000,0,0,0,0,0,0,3000,0,0,265000,0,0,574000,0,0,433000,0,29000,0,0,0,0,1000,2473000,0,0,2000,177000,0,9392000,4341000,15170000,0,13000,0,379000,0,80000,2408000,0,0,0,0,331000,0,3157000,0,187000,1000,31000,56000,380000,421000,0,0,14000,0,0,0,5000
"NGA",92000,133733000,434638000,89838000,35695000,212973000,16098000,3029876000,157257000,262512000,21936000,3012648000,329384000,0,914000,377000,23000,18457000,9000,958739000,120172000,0,10000,0,283000,0,64000,17000,2960798000,136635000,0,22000,0,5000,215000,0,172892000,1379000,58000,565632000,0,0,11299017000,204847000,37445000,4827000,0,318000,0,2000,14000,0,53494000,0,32000,0,134350000,0,2566000,2000,0,0,0,0,29417000,0,0,61000,0,0,0,0,0,0,1123000,0,0,0,0,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31000,0,0,146000,0,0,0,5000,0,0,0,0,0,5000,0,0,0,0,130000,0,0,0,0,0,1154000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NIC",228000,9393000,9238000,0,23430000,10626000,25000,49038000,2051000,16910000,2473000,24300000,1906000,128000,43000,17000,255000,1e+05,0,19753000,15640000,0,0,24000,891000,0,0,0,7819000,429000,0,103000,0,272000,0,0,613000,88000,0,1130000,431000,0,228459000,1672000,89000,2000,0,357000,126000,0,0,0,0,10942000,0,0,0,62000,2000,0,14432000,0,0,3601000,209000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120000,0,1000,0,2186000,0,0,0,32889000,556000,0,1000,0,0,0,0,16648000,0,0,407000,0,0,0,0,0,50000,0,0,121000,0,0,0,0,0,0,0,0,0,0,9393000,0,0,0,0,0,0,0,0,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRK",169000,591000,258000,1000,435000,48650000,1166000,78865000,240000,1461000,143000,18836000,909000,82000,8528000,28944000,37053000,192000,6000,14808000,179089000,0,796000,3137000,0,315000,2411000,55000,193000,80000,0,17000,277000,226000,1436000,30471000,273000,201623000,9416000,1389000,9271000,0,0,5700000,0,64000,0,1137000,0,199000,126000,33000,1024000,0,111000,88000,11000,0,1384000,2e+05,72000,0,2119000,0,63000,8000,0,0,0,79000,0,0,0,0,45000,0,0,0,0,442000,0,14000,0,0,0,0,0,1074000,0,0,43000,0,0,0,0,0,6000,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,310000,0,0,0,0,159000,0,0,0,0,0,49000,0,211000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRY",34000,8607000,8006000,98732000,3881000,12395000,419000,56725000,10564000,33013000,170000,27808000,2970000,10000,2757000,1375000,888000,509000,0,69200000,34102000,4098000,145000,13131000,964000,0,5680000,0,27122000,220000,0,3000,0,261000,625000,0,28589000,1182000,1205000,2842000,1000,0,83809000,3647000,84510000,16000,0,5052000,0,113000,0,0,261000,0,10000,2692000,19471000,75000,0,0,1000,0,21000,62000,13000,0,0,0,0,0,0,0,0,0,124000,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1879000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ROU",11660000,106173000,39520000,39502000,32315000,36235000,39944000,868810000,15659000,78249000,16696000,407057000,149104000,166000,70872000,831000,6175000,3879000,93000,599759000,65578000,568000,19613000,8469000,14203000,969000,11200000,137000,317022000,9002000,18000,2714000,30206000,751000,2197000,103169000,7009000,89968000,7595000,62666000,44580000,255225000,337423000,160805000,13566000,902000,0,98896000,5000,46298000,2956000,0,1510000,3000,57000,1842000,1159000,148000,155094000,4302000,113000,52317000,996000,337000,351000,125000,7842000,5371000,587000,0,0,0,0,0,248000,0,0,0,0,24000,0,24000,0,0,0,0,0,220000,0,0,9000,0,0,0,0,427000,25000,0,0,0,0,0,0,102777000,15000,0,73000,0,0,0,0,0,232000,0,0,0,3171000,0,0,0,0,5723000,0,0,0,0,0,216000,0,566000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,0,0,0,0,0,0
"SDN",329000,1528000,6691000,23000,880000,2628000,61000,43687000,1531000,6861000,4157000,51614000,28488000,0,12548000,12067000,476000,72000,109000,100905000,56270000,2047000,2363000,21000,228000,1000,1504000,0,3596000,872000,0,11000,1000,0,99000,6198000,16299000,175699000,6028000,4887000,9145000,20000,18506000,38889000,11000,0,0,1802000,9000,2812000,20000,0,0,0,2000,3275000,0,48000,13665000,21000,0,433000,0,0,3000,18000,10570000,222000,2112000,0,0,0,0,0,0,0,37000,7000,0,0,0,0,0,48858000,0,0,203000,19000,2537000,2524000,0,0,0,0,0,0,0,0,0,223000,1817000,292000,0,0,0,9393000,0,0,0,0,1000,0,0,156000,0,7424000,0,0,9290000,0,6032000,22000,0,0,0,0,0,77000,512000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338000,0,0,0,0,0,0,0,0,0
"SLE",1000,48000,12844000,0,23000,195000,0,29106000,751000,757000,67000,4583000,29430000,0,28000,0,0,190000,0,54000,977000,0,0,0,328000,348000,0,0,14832000,0,0,2000,44000,0,0,0,165000,351000,0,14000,0,0,79850000,0,0,0,0,0,0,0,1000,0,6000,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,1628000,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1156000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SUN",8885000,1023548000,1103961000,36601000,42491000,959364000,22830000,1940676000,399203000,447021000,3285048000,3566908000,938629000,47000,149819000,36186000,19759000,48393000,97424000,2987142000,1812376000,9649000,15222000,10731000,149244000,681000,27250000,275000,1261576000,91188000,15891000,20334000,50311000,958000,23497000,1770578000,157279000,54449000,23915000,746976000,11361000,181280000,459953000,2950796000,14589000,7379000,0,53148000,394000,18264000,2371000,1000,416000,189000,173000,28563000,3326000,5329000,76584000,139003000,1102000,68679000,6006000,1672000,679000,308000,47782000,0,1712000,136000,0,0,0,0,516000,0,0,0,0,174000,0,472000,0,0,0,0,0,1797000,0,0,916000,0,0,0,0,974000,45000,0,0,1877000,0,0,0,45000,262000,0,348000,0,0,0,0,0,1030000,0,0,0,357000,0,0,0,0,1015000,0,0,0,0,0,14000,0,52000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,0,0,0,0,0,0
"SUR",0,56000,3483000,14819000,6259000,511000,0,89003000,5635000,7147000,237000,18550000,36287000,12264000,0,0,0,1000,0,21997000,28779000,1000,0,0,0,0,0,0,94023000,74703000,0,0,0,2000,0,0,2912000,902000,0,3e+05,0,0,125167000,0,0,80000,0,0,108000,0,0,0,0,0,1224000,23000,0,0,0,0,0,0,0,0,11042000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1330000,0,223000,0,0,0,0,0,0,0,0,117000,0,0,0,0,0,3113000,0,0,0,0,0,0,7000,180000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
