"","AUS","AUT","BEL","BRA","CAN","CHE","COG","CYP","DEU","DNK","EGY","ESP","FIN","FRA","GBR","GLP","GRC","GRL","GUF","HKG","IND","IRL","ISL","ITA","JOR","JPN","KOR","MYS","NLD","NOR","NZL","PAK","PRT","QAT","SAU","SGP","SWE","THA","TUN","USA","MAR","PNG","CHL","DZA","IDN","PER","COL","KEN","LBY","OMN","PHL","BGD","BGR","BHS","BOL","BRB","CHN","CIV","CMR","CRI","CSK","CUB","DDR","ECU","GAB","GTM","HUN","ISR","JAM","LKA","MAC","MEX","MUS","PAN","POL","PRY","ROU","SLV","SUN","SYR","TTO","TUR","URY","VEN","YUG","ZAF","ZWE","AFG","AGO","ALB","ARE","ARG","BDI","BEN","BHR","BLZ","BMU","COD","DOM","ETH","FJI","FLK","GHA","GIB","GIN","GMB","GNB","GNQ","GUY","HND","HTI","IRN","IRQ","KHM","KIR","KNA","KWT","LAO","LBN","LBR","MDG","MLI","MLT","MMR","MNG","MOZ","MRT","MWI","NCL","NER","NGA","NIC","NPL","PRK","RWA","SDN","SEN","SLE","SOM","SYC","TGO","TZA","UGA","VNM","WSM","YMD","ZMB","BFA","CAF","DJI","SPM","SUR","TCD","TLS","SHN","TKL"
"YUG",12502618,201039321,49788152,0,26792856,70776640,327867,4282098,1298487540,41708538,203135852,33908039,12966748,294333735,131778551,225445,0,0,29643,2549825,0,6979934,359280,1003025064,23875243,39846070,0,9310455,132898651,18034021,1103152,14147687,2339919,6591810,51992074,4755297,72222218,4026072,7284553,476964406,8943398,1469088,191325,153847811,6625616,435014,5017431,0,109402816,1860057,411658,0,0,0,0,41056,0,0,0,0,0,0,0,0,0,0,0,18707560,0,1332241,15621,0,0,0,0,0,0,0,0,0,0,0,5531,1089813,0,0,0,0,0,0,0,1221198,0,0,0,0,0,0,0,0,9414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZAF",111903819,67492096,269476115,0,138064924,79728485,780770,124833,814538765,11502036,33952,148931004,18324470,617780231,775275499,112297,0,1732,75639,199932792,0,17007862,776153,1566618717,0,1482733145,11516811,20767,131213104,40496578,24893888,225027,33848320,981152,30906350,0,45419957,4768019,0,2400814576,870042,5393,23266542,2303229,2064617,8024414,4311861,0,0,3624284,966901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156452485,0,18519520,1257192,0,0,0,0,0,0,0,0,0,0,0,1335051,20257357,0,0,0,0,0,0,0,14693627,0,0,0,0,0,0,0,0,62912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZWE",3974339,10302622,13968051,563,6496903,19296013,338056,631267,75733105,2626642,17735349,27956713,933239,22893716,90022347,0,832893,0,0,8231048,4692446,2109321,0,63838025,0,64327678,4866895,853521,18432849,3173079,2557110,57703,12976070,0,1361722,0,7248633,2138586,1572189,67945296,2345939,0,227280,15399206,615,0,0,257591,0,105222,339922,0,0,0,0,1053,0,0,0,0,0,0,0,0,0,0,0,0,0,776347,0,0,1486717,0,0,0,0,0,0,0,0,0,230205,0,0,0,0,0,0,0,0,104257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8674194,0,0,0,0,0,0,0,0,0,0,0,383526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFG",768820,2092910,2152247,0,129348,6228399,246239,17092,29637914,1407806,153752,299899,529801,3201731,25283163,7868,0,3504,1023,55469,0,200803,2820,6203989,488892,942613,0,0,2874096,570727,18341,22206238,655,9690,3199957,0,804949,519058,868,12693500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AGO",0,111386,16319588,0,6006,6482720,652839,0,8431016,18444,0,177205314,0,1308024,193879281,15134,0,0,0,0,0,0,0,26411213,0,740792,0,1248,157853962,583,0,0,34691460,0,0,0,38935020,0,0,959213227,2227,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALB",3921,7529861,2458546,0,22212,1234441,0,5551,13283073,76022,1099234,9269860,623147,10676109,1329721,0,0,0,475,0,0,0,0,24715699,62448,4443232,0,0,4825733,498415,4461,25002,0,0,0,0,11114355,58081,0,2295592,0,0,5380,3970750,964,887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARE",184717885,380536,44647087,0,4513794,2692289,0,306494,241143630,99714,0,970868422,1454,853321101,100993305,0,0,0,0,9166735,0,201598,0,346967999,2931662,7028920576,319293040,1371544,19985055,91396,82338,306311509,163904976,30167384,150406265,601751824,122808,921652,42762,1160245327,21611,0,201884,0,0,4452,26797,0,447821,365447122,84440392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARG",6774987,9519190,249099532,436445755,61515503,42079315,4351455,4707654,565076807,94979347,22848498,268002060,19900221,246708403,77271,748909,8883544,0,96013,269944,61514350,8676846,264961,396471106,9981289,439262966,57682378,20455496,392982728,38029712,2332146,14644150,74282971,257003,22403070,17565854,23175986,26515400,31023731,941507470,11092628,0,146884393,74595295,6766207,135937910,40678261,120420,7893496,0,17040117,0,0,0,42769048,1312287,0,0,0,0,0,0,0,11037161,0,0,0,37164849,219432,4387887,17307,0,657300,0,20767754,70879703,0,0,0,4622469,2129262,0,80473913,89973577,0,103222669,8255875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDI",63544,100214,11936388,0,0,27121,1617,6213,43728547,363953,0,531052,14849025,2887936,2369781,0,0,0,0,0,0,31034,0,2559908,0,7830896,0,0,693747,226251,0,65463,1757100,0,0,0,397770,0,0,1835145,0,0,0,0,0,846112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEN",0,260802,1816865,0,1319,150158,111150,0,22740756,1067423,0,37810579,0,17389903,2529436,972,0,0,0,268717,0,319340,0,2528259,0,2561571,0,0,3987106,6612,0,0,7542795,0,0,0,776,0,0,302907,0,0,0,0,0,0,8623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
