"","AUS","AUT","BEL","BRA","CAN","CHE","COG","CYP","DEU","DNK","EGY","ESP","FIN","FRA","GBR","GLP","GRC","GRL","GUF","HKG","IND","IRL","ISL","ITA","JOR","JPN","KOR","MYS","NLD","NOR","NZL","PAK","PRT","QAT","SAU","SGP","SWE","THA","TUN","USA","MAR","PNG","CHL","DZA","IDN","PER","COL","KEN","LBY","OMN","PHL","BGD","BGR","BHS","BOL","BRB","CHN","CIV","CMR","CRI","CSK","CUB","DDR","ECU","GAB","GTM","HUN","ISR","JAM","LKA","MAC","MEX","MUS","PAN","POL","PRY","ROU","SLV","SUN","SYR","TTO","TUR","URY","VEN","YUG","ZAF","ZWE","AFG","AGO","ALB","ARE","ARG","BDI","BEN","BHR","BLZ","BMU","COD","DOM","ETH","FJI","FLK","GHA","GIB","GIN","GMB","GNB","GNQ","GUY","HND","HTI","IRN","IRQ","KHM","KIR","KNA","KWT","LAO","LBN","LBR","MDG","MLI","MLT","MMR","MNG","MOZ","MRT","MWI","NCL","NER","NGA","NIC","NPL","PRK","RWA","SDN","SEN","SLE","SOM","SYC","TGO","TZA","UGA","VNM","WSM","YMD","ZMB","BFA","CAF","DJI","SPM","SUR","TCD","TLS","SHN","TKL"
"GMB",4494,3232,6140044,0,0,9141434,0,0,1985953,10445,0,128756,0,9434660,4083326,0,0,0,0,887921,0,137099,12284,2819943,0,44797,9477,0,238940,3071,0,0,58444,0,0,0,487,64402,0,645084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GNB",50877,0,432861,0,2753,0,0,0,46247,0,12739,812891,0,1111291,0,0,0,0,0,0,0,0,0,19465,0,0,0,0,298321,0,0,206628,6511199,0,0,0,48573,0,0,850415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GNQ",0,15536,136439,0,0,343760,0,574,5355677,0,0,7841448,0,2856733,679671,0,0,0,0,0,0,0,0,3296863,0,362506,0,0,6140253,0,0,25772,371902,0,0,0,0,0,0,693202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GUY",174592,280247,766071,0,18490228,11186,0,0,14540697,1548,0,2989102,28822,10376890,69612449,3692,0,0,130066,80682,0,48791,0,4270169,0,7238995,114375,0,2259605,784502,326001,37669,63925,0,112166,0,1108266,0,0,79994093,506190,0,483731,0,0,631416,0,0,0,0,0,0,0,0,0,2883811,0,0,0,0,0,0,0,0,0,0,0,0,0,458440,0,0,0,0,0,0,0,0,0,0,0,0,0,3928472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HND",422104,6208137,10661307,0,21317913,15023300,0,0,44211415,1655670,638545,20005194,4118299,9041472,14962927,3204793,0,0,0,130201,0,50551,128236,20747603,106230,55563069,22546,0,11651378,3587516,61726,281328,1973709,0,1725334,0,10765138,8078,1414826,408213646,395252,0,0,94797,0,2645,593940,0,0,1153772,0,0,0,0,0,3099885,0,0,0,0,0,0,0,0,0,0,0,371830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431468,0,449294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HTI",522559,572504,8483650,0,11566511,1402319,32429,0,14874515,744214,0,1207659,756834,14584446,1677321,196098,0,0,7966,56227,0,91068,0,12524051,19554,1525381,0,0,1904217,86230,18362,0,1757,0,0,0,50515,0,0,357437389,0,0,24492,0,0,8071,19778,0,0,0,0,0,0,0,0,100792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8237,0,8852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRN",2902556,41418435,171283282,0,122967662,48435567,1730,441376,582244817,54103228,251091,1102500209,51895538,713648343,452142841,12121,0,0,2663,76774,0,89483,36461,1705005279,2795406,2623278765,0,27091,1631788884,856354,185684,48486305,198421265,2216030,26038874,314020654,44495508,30110,2203349,664234819,58437,0,8736,710,321003,8863,0,0,428189,8477,17941271,0,0,0,0,1329,0,0,0,0,0,0,0,0,0,0,0,904390,0,49085802,0,0,0,0,0,0,0,0,0,0,0,0,71514371,58255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRQ",3592223,56840556,363127684,0,24367,1417323,0,64775245,412387262,330753,8954986,596576287,6248,722049768,84526272,0,0,0,0,0,0,226231,3007,956400184,16763590,156364307,0,689395,208391015,6409,1133767,493976,165324597,284144,23940670,570782,72488,28284,2388182,117563658,286958628,0,0,0,508302,4553,0,0,0,0,442633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,749484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KHM",0,0,0,0,0,0,0,0,0,0,9670,13989,0,1223,85638,0,0,0,0,0,0,0,0,52865,1374,243046,0,0,0,572,12152,107426,0,0,0,2448886,53596,0,0,111117,0,0,0,0,0,0,0,0,0,0,10904,0,0,0,0,63029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KIR",43943,0,0,0,0,0,0,0,14124,5446338,0,23118,0,2227,23795,0,0,0,0,0,0,0,0,165338,0,10105,0,0,1113,0,1872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KNA",0,0,0,0,1496615,0,0,0,0,0,0,0,0,0,3729104,0,0,0,0,0,0,0,0,0,0,5141,0,0,0,0,0,0,0,0,0,0,0,0,0,42204197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KWT",350449432,28244,47838109,0,251640,2075636,0,23433,279196553,296926156,58873835,29233711,0,167804329,171215955,0,0,0,0,1778656,0,8260,0,1057453413,23429188,1441154555,440023682,72987609,792381051,25430,4315447,447531908,14101344,3563755,123325301,806277389,73011,19225223,5442437,253549224,98794066,0,0,350945,612105,0,0,0,0,3160832,360683419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9191283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAO",0,0,642345,0,0,0,0,0,12648,130889,41068,10179,0,26952,70507,0,0,0,0,54127,0,0,0,37429,49937,570830,0,0,2903,308243,0,45387,0,0,0,0,750,940949,0,1990761,0,0,0,0,0,8813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LBN",404519,537273,3056397,0,522120,30216292,116544,5322351,4543417,205102,17056059,496079,0,3534923,8359170,7666,0,0,476,15952,0,124105,2257,25899831,21103353,1462435,15268,4993,2367120,346717,1789,512543,7993,9083571,143493676,79502,483401,10843,1230467,7043258,1893956,0,2120,8577498,95885,0,0,0,21584314,1450414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429605,0,0,0,0,0,0,0,0,0,0,0,0,0,1220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LBR",0,187810,66380282,0,0,371594,16013,0,168250447,2010331,2782212,16256209,0,41637274,7869964,277307,0,0,0,76650,0,565952,0,98278429,21020,90133425,97031187,524786,20295392,31728301,0,6274486,141526,0,0,18851715,282137,0,0,106085304,0,0,69481,0,4473457,4479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1033006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,542119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDG",543728,653838,1149371,12583,1207070,1635268,2916,0,29388775,964999,3790,3633740,179725,107783989,5443557,471300,8513,0,8489,422705,230649,5837,4588,17032711,0,36719238,200514,238803,14516493,122153,54528,91514,3902829,14103,0,10603141,307775,30689,428744,67372445,60207,1024,4940,0,0,0,48524,0,0,0,84075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257685,0,0,0,0,0,0,0,0,0,0,143797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MLI",10189,46546,18917358,0,0,332485,3971,0,16171426,1352524,0,2921624,22811,20173679,6897177,0,0,0,0,323501,0,1308584,0,3629591,208286,2789813,0,0,1040922,52552,0,62192,5786502,0,0,0,667359,5371586,3022899,1057277,3009650,195065,0,20627691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MLT",1159593,1809201,10364652,0,1697349,840512,18249,85751,103459312,3283809,57334,2533069,779207,6265260,54605208,12612,0,0,0,49332,0,1756716,67472,43775425,453816,1887645,1500311,19295,13486129,850609,266052,2411236,208268,629704,3490271,355294,6298424,10620,6356834,17057363,44717,0,80180,1043994,0,1772,0,0,32248800,289521,0,0,0,0,0,45113,0,0,0,0,0,0,0,0,0,0,0,7809,0,956,0,0,0,0,0,0,0,0,0,0,0,0,10093,7782,0,507166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMR",2456748,92729,9591836,0,164445,1732173,616187,0,12340200,11721506,69864,17718589,554518,1440461,7756567,0,0,0,0,24734419,0,26360,90026,2398607,916,29001745,12768535,25917468,3145875,1048300,341786,3749023,729885,1420777,1561832,60865112,2170099,31166754,37894,13125572,0,3030,0,316828,18549954,0,0,0,0,71504,0,0,0,0,0,3387,0,0,0,0,0,0,0,0,0,0,0,22212,0,5693654,64616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MNG",19434,31487,5244,0,0,693213,0,0,1386320,5728,0,1541,44395,785418,5624122,0,0,0,0,0,0,0,0,836326,13004,9524408,0,0,928863,21042,0,36305,0,0,0,3420,918,0,20756,2179210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MOZ",0,187170,90983,0,314999,185168,717300,29688,4700031,516625,0,2631825,314848,5038986,10771071,52033,0,0,5294,126711,0,64017,0,602484,17135,12825783,19468,156382,4445973,17943,0,0,9141357,187980,7436798,10949405,50874,1752169,0,23713469,0,0,0,0,16317837,0,0,0,0,38172,938114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95839,0,0,0,0,0,0,0,0,0,0,0,0,97580,791803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MRT",0,1408,45638080,0,849,32132,433877,0,8105909,8871,0,18338569,0,38228141,12424179,0,0,0,0,70226,0,0,3380,61505640,0,56536341,0,0,203940,0,0,252607,2620228,0,0,0,1736,0,0,989452,0,0,15657,5785780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MWI",5554840,1053937,4469945,0,2053046,1768744,0,359229,21061852,2558438,6122177,2515184,2016556,10467823,80231521,0,656982,0,0,0,0,1898193,0,417449,2548309,10708757,0,3915,14871147,1962715,965438,4064299,3382787,0,32365,0,811119,53847,0,29750676,0,451271,0,1243917,47942,245185,0,43321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9072263,0,0,0,0,0,0,0,0,0,0,0,0,0,121028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,594320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NCL",1080654,63230,0,0,315873,26810,0,0,28531988,0,0,349465,0,99354404,64910,0,0,0,16818,726955,0,0,0,2595735,0,58299800,0,0,1373,1351,20690,2891,5447,0,0,3616880,12293005,0,0,16895023,0,0,0,0,0,0,0,0,0,0,425328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NER",0,0,45499,0,0,0,699,0,46404,1637,0,1121447,0,175182234,454076,1238,0,0,0,0,0,0,0,1373134,0,3229333,0,0,112746,0,173147,0,0,3298,60967,0,0,0,0,477917,0,0,0,787185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NGA",35389,177619606,591368500,0,176243753,62844766,169374,1603,2016069033,53927352,217490,550725506,1194941,2011843797,528603823,0,0,0,0,97144,0,16192909,16890,1166748039,0,6333589,133543,479271,726822873,881089,85884,11575,175836459,0,3057494,27202,93654223,32255,0,2379860652,357916,0,22674047,0,8035,0,19862,0,0,712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103700067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NIC",462485,6164584,3788159,0,31677826,6183947,0,8933,30144045,714375,2759,20583614,3359986,35747933,2652553,856,0,0,5049,0,0,386136,9326,10467635,0,95456561,467686,0,8060780,19719,46684,11745,287704,0,0,0,317766,0,0,62342386,214666,0,0,15366671,720566,0,9795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NPL",96865,339055,292615,0,180419,1331963,0,814,17774303,120156,75802,57731,46765,1309454,6681037,0,0,0,0,370995,33742151,2286,0,5652739,0,487973,7144,78904,255813,80095,43429,519978,0,0,0,1817178,456666,17370,0,7278503,0,0,7742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRK",73919,2941747,199373,0,295567,81025,231153,296841,134600079,97042,63393,1735157,14718,3335940,551935,29586,0,0,0,21077548,0,0,0,1511721,712369,131545119,0,323917,237953,55391,0,81832,0,21099,7168763,4402974,399135,2625553,5163,13415,0,20676,67101,4006877,10840046,44733,326954,0,7614650,0,960463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232695,0,0,0,0,0,0,0,0,0,0,0,3149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RWA",9514,326592,2367213,0,0,20490,976,0,64057046,6569,0,182961,4785756,8579320,9588048,0,0,0,0,0,0,360611,0,5086290,0,1697612,0,0,243080,63238,0,5604654,0,0,0,0,2541618,0,0,16145105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SDN",212175,773742,7895355,0,404509,3916683,0,727935,43960905,3096734,111047337,5088037,1836978,28603089,20223156,460,0,0,0,3681294,0,882361,52155,62312715,259585,44040912,14623718,585605,6490480,402508,56050,21073528,5454681,435580,81748407,1762337,1578423,42514963,3544240,19987022,0,0,35423,0,1660267,0,0,0,0,100547,56260,0,0,0,0,821,0,0,0,0,0,0,0,0,0,0,0,0,0,676172,278002,0,0,0,0,0,0,0,0,0,0,0,0,11343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SEN",2800,122324,19885601,0,169869,1519243,5608268,0,12626852,1797226,31241,17244350,30687,176549840,28122860,149538,0,0,44593,806315,0,4070859,0,23528426,0,8581330,0,0,6648204,24313,0,0,1970168,0,0,0,58704,0,0,2600267,208850,0,0,234318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,988447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLE",0,7471038,45555641,0,4445,60628,0,0,17127516,81916,0,143415,8614,3950581,22200116,0,0,0,0,714,0,226168,0,294962,0,1838,494,1427,13681466,70634,0,0,2532439,0,0,0,363010,0,0,36966800,3051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8003310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SOM",0,42036,17728,0,0,13871,0,0,293209,1481,30613,191992,0,1090127,1927127,0,0,0,0,1817988,0,17338,0,7181359,16830,415422,0,25760,144486,0,0,0,1731,70681,44361813,0,959,0,0,815105,9280,0,0,0,0,0,0,0,0,44997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SYC",1207,0,26008,32406,10970178,602,0,0,74059,0,0,21951,0,254492,689954,0,0,0,2977,11136,0,21205,0,4552841,0,636105,0,0,1649,449,0,2688392,0,0,0,0,0,231824,67875,304721,0,0,0,0,0,0,0,2258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TGO",0,6084527,13650152,0,0,886036,238156,0,13342655,2523552,0,5742680,378143,33111617,3195954,713,0,0,0,216317,0,485481,0,12452294,0,965658,0,102440,24118140,4912475,4473,0,580623,0,0,0,946489,0,4863039,33542868,1060033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TZA",1609648,990611,10017929,0,2981007,2674400,0,158264,90624758,4394471,3656817,3639685,12857268,10853567,52593895,2869,0,0,0,12706218,0,1745476,0,30162609,2382478,15441629,28296,4557134,14175037,14125,2707627,3439235,10469317,106712,1675744,13122099,5812504,2048574,0,11507516,0,0,0,7718318,3312749,0,0,0,0,36535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004213,0,173964,63939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
