"","AUT","BGR","BHS","BRA","BRB","CHE","CHN","COL","CRI","CUB","CYP","CZE","DEU","DNK","ECU","ESP","FIN","FRA","GBR","GIN","GRC","GTM","GUY","HKG","IDN","IRL","IRN","ITA","JAM","KAZ","KHM","KNA","KOR","LBN","LKA","LTU","MEX","MNG","MWI","MYS","NGA","NIC","NLD","NOR","PAN","PER","PHL","POL","PRT","PRY","SDN","SGP","SLV","SVK","SWE","THA","TTO","TUR","URY","USA","VEN","VNM","ZAF","ZMB","AUS","AZE","BEN","BLR","BOL","CAN","CHL","CMR","DZA","EST","GEO","GMB","HND","HRV","HUN","IND","ISL","JOR","JPN","KEN","KGZ","LVA","MLI","MLT","MUS","NZL","OMN","QAT","ROU","RUS","SAU","SVN","TUN","TZA","ARG","GAB","MAC","TGO","ZWE","ARE","ARM","BIH","CIV","EGY","GIB","HTI","ISR","KWT","LBY","MAR","MDA","MDG","MKD","MMR","MOZ","PRK","SEN","SOM","SUR","SYR","UKR","YUG","ALB","FJI","MRT","NER","NPL","UGA","AGO","BDI","BGD","BHR","BLZ","COD","COG","DJI","DOM","ETH","GHA","GNQ","IRQ","LAO","LBR","PAK","PNG","PSE","SLE","TCD","TKM","UZB","SYC","AFG","ASM","ATF","BFA","BMU","CAF","ERI","FLK","FSM","GNB","GUM","KIR","MHL","MNP","NCL","PLW","RWA","SHN","SPM","TJK","TKL","TLS","WSM","ABW","ATA","GRL","SMR","UMI","VAT","HMD","SGS"
"AUT",0,148710935.19,1321682.11,281132715.68,2049969.31,3471016372.58,508154051.22,29373620.09,7711742.57,10252478.46,36724917.19,1548570195.25,16709776009.4,509193150.42,7378436.67,1585394697.3,343111624.19,2633416580.42,2340923866.98,9116333.45,276588040.77,5371985.61,148188.2,485311783.65,242459037.91,167810979.56,276551511.38,5473938624.32,2229700.76,23831841.33,6328666.4,23015.48,268139371.69,26406223.15,19471159.71,43725440.32,181347925.72,1636818.42,1052255.15,124635661.78,50442014.09,1601241.31,1209301146.55,242768434.65,3148037.48,19283042.61,94686905.81,1006233785.44,287355726.22,4495067.5,13805804.23,282705306.66,8841915.27,554391441.31,661074524.17,83770389.1,6592096.54,515590179.18,6890406.16,3230485170.43,41933938.39,33286534.49,242909151.03,750888.79,299458860.24,10369306.13,4881289.52,60524786.04,2958029.02,463203775.95,49633803.62,2431912.78,109190426.6,26463583.89,10910753.64,315729.65,2423242,521500318.48,2449880472.02,93629663.0700001,25617764.3,30225801.71,896632559.179999,9898889.79,1087397.93,35854621.52,3132610.65,20521540.22,6430527.44,60119815.09,16112383.71,12019284.83,354725853.46,547234888.32,158767817.65,853425955.690001,42288011.19,2961892.03,84078919.06,4337617.94,1392009.68,1687274.2,1745925,101586172,3387342.55,144217805,3702755,94580391,425557,696483,118846637.78,25836626,39186167,18061033,7551512.03,1536738.49,46439894.23,1484435,984538,6805981,7239327.61,1767334,88727,16990113,179585517,145781222.79,13440798.18,54600,2183151.59,619009.14,1412703.12,1292711.26,777174,186416,7686605,7158189,937953.19,91400,359715,1798651,5378891,1707917,7093765,1472,27745288,10371,463227,17079379,142588,107864,3904954,73737,4106643.73,32969212,333488,489391,0,0,395448,91131,121129,139445,3613,0,19939,0,3613,60087,0,789554,0,770153,0,62495,380125,0,0,0,142522,0,1472,0,0,0,0,0
"BGR",80888063.02,0,21249,5333357.78,129626.54,38977550.05,12639597.49,2059207.62,115564.52,14223457.29,16600440.61,25088919.65,517085299.89,30692443.93,217978.34,112914328.06,12864775.66,277582370.94,136246952.91,260534.18,385420894.25,464072.08,13628.79,1420895.53,7827740.78,7706020.7,29558526.5,674349515.62,195508.94,3935025.46,160124.68,8527.69,10430328.29,21609891.08,2635438.93,10055097.74,22457541.44,5079653.17,74950.18,3118381.76,22696396.69,18950.9,96704807.03,11972717.79,885789.26,3695227.7,1814061.72,34461751.62,13995193.12,30528.14,7317458.08,18272250.5,457333.22,9533900.45,27279756.14,7417380.3,65595.18,370037201.37,841401.22,248265988.85,870814.85,5005832.66,2929578.03,237148.4,3581681.15,5856909.23,119865.7,12491862.74,107399.25,37828338.7,374759.31,891328.21,7715797.37,4712391.88,22318085.33,66440.42,3107956,9074115.83,36937504.29,13189787.3,375112.11,14721147.33,24055278.3,626061.58,1010447.93,9411975.36,145166.71,9745621.3,79975.61,347939.39,470190.45,776372.16,87218011.7699999,133170175.66,10689557.08,40105669.38,4822908.27,1229707.54,3883492.08,9388,18024.92,1785,81283,5813839,9442967.59,8939062,88051,28867274,3514,0,31547190.66,1125337,2813721,6324113,16345010.3,26990.56,99526653.3799999,40328,15695,123731,8778.88,0,0,14511316,193208227,347114879.52,25803148.2,20377,0,2849462.02,73754,178877,187515,7247,2219171,162433,287010.59,0,0,4669,725298,2361119,4302660,15506,3077293,0,101093,2222023,44807,0,35711,0,1397161.01,2593238,135813,8503691,0,0,8631,21541,0,0,15912,0,0,0,0,32769,0,0,0,7123,0,0,302305,0,0,0,0,0,0,0,0,0,0,0
"BHS",43236.21,29019.94,0,1018521.14,327559.35,8822747.08,0,15742,394137.57,23180244.1,265608.69,412473.88,35446203.67,4868572.87,34926.13,66128297.41,847919.55,34817507.55,15699107.15,0,115843.81,132031.78,108674.63,152232.85,6750,548963.97,0,19311124.19,711527.37,26452.96,0,12681.64,590852.43,38919.06,58964.35,4606.05,23032326.83,0,0,33404.13,39141.24,2112024.47,2017889.99,23267.16,326907,20118.29,0,77492.99,2606360.02,27378478.33,135072,2650254.12,6019018.63,70000.55,13908,31221.42,93550.86,1332034.56,367653,455167066.73,29474834.08,0,899088.17,0,3947509.9,0,0,675458.9,296585.39,9515368.76,138631,0,16514,389951.73,178133,0,7149762.01,1015953.8,126475.46,0,920118.13,0,29572952.04,160880,0,331350.37,0,299473.09,255220.23,94364.38,0,0,374731.68,80623.84,2943247.41,56928.23,1008.08,99482.53,664650.62,1040725.04,0,18823.09,0,0,46260.19,0,0,0,0,47523,2623985.17,0,0,0,0,0,102467.34,0,0,0,4762.46,0,0,0,0,77993.66,0,0,0,0,0,84212.74,0,0,0,0,324696.41,0,0,0,378066,0,0,0,0,0,1783,0,0,0,0,0,0,0,0,0,0,0,0,163302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424020,0,0,0,0,0,0,0
"BRA",172353168.14,33763971.07,25925712.04,0,28047075.82,504847836.44,1162977734.66,537957750.87,125192851.62,108584530.56,9273914.95,96768334.13,2985320045.15,131287091.72,140740737.54,1103829410.7,172099477.93,1995200037.93,1614003047.85,4334697.47,129229101.17,81975923.33,6607621.9,515588710.29,255768138.57,119681639.68,401382712.32,2262409581.61,48655976.01,27397471.63,447565.5,484628.34,675953434.64,56773652.17,11011043.67,17329144.43,1777925475.16,42288.4,2501510.55,146248096.73,260882516.46,14868029.36,2735383452.67,261705361.63,79524432.23,358118854.22,109935482.53,271776903.07,416328402.31,626771620.22,3556225.67,271460485.99,51089807.88,14991050.24,277162343.06,258295805.42,120719074.84,301205634.28,669280556.5,13996972008.84,733156798.99,12544982.51,302319922.04,1055242.32,366830063.8,3922317.57,2348383.2,22270305.98,336508723.52,752674568.109999,1299684710.56,7371167.67,57418573.58,9471574.58,6823214.52,14594299.42,29833565.49,40916729.48,157506710.5,243326775.56,2236539.64,20112954.3,2612649136.2,13318379.78,261384.54,2128121.68,4547902.5,6147303.9,3528326.45,42198894.47,11166460.31,29044619.78,135680543.18,434337383.68,604651547.45,63634850.96,45298806.02,8257779.5,6262719593.11999,3553359.96,3081556.58,560252.92,4857212,229103270,1520196,1531183,20062789,239520977,1658101,17233542,83902589.95,40655446,45705011,138611990,238611.51,4079217.52,10653597.31,945100,3327260,109195117,13258688.22,18326194,6862988,21856603,57731101,13051827.23,1221397.64,735893,4119923.96,661739.6,48978.51,3914262.38,104782551,306641,48933831,58876696,3690038.11,486385,3817903,1401231,131592335,8328998,42854289,241595,17681241,113506,1966332,48927984,1071914,0,1576967,0,0,57994,384694,8656,0,0,524991,266803,235202.81,0,2250,0,122201,228648,0,0,26060,268696,0,95370,0,0,0,0,0,0,3503523,0,11862,0,0,0,0,0
"BRB",891460.3,3468,3725644.2,7064612.67,0,750005.9,168762,54153.56,77992.02,57245.3,0,359789,2424099.33,344503.74,42956,464624.46,67218.12,9948986.51,36010139.07,0,3527,1948107.39,6683335.35,166445.08,12407.59,2478001.97,0,1766324.96,20358940.57,0,0,6073144.85,54978.04,1000,19832,0,420863.84,0,0,151751,456180.42,0,1304792.69,270223.54,102150.93,20033,839533.38,0,32830,0,22025,459404.29,5000,16332,598174.07,155619.88,51054147.3,161279,4285.19,42242014.38,1906919.34,0,266118,0,531371.49,0,0,0,0,5504328.55,8102,0,51951,21623,0,14399,15129.83,2333,81284.72,34317,0,0,367667510.06,0,0,0,0,5764,0,181434.28,0,0,2000,7786.94,461334.25,3811,4745,0,26017,0,0,0,0,0,0,0,15013,0,0,614846,112482,0,0,0,0,0,0,0,0,0,7000,0,3458620,0,0,17100.07,0,0,0,32779,0,0,0,0,0,0,2761193.65,0,0,0,1784345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484483,0,0,0,0,0,0,0,0,0,0,0,0,75986,0,0,0,0,0,609861,0,0,0,0,0,0,0
"CHE",2249288374.42,89879884.63,43271616.44,833525610.65,6814655.25,0,1016274747.14,130754365.68,39693277.78,9932370.79,53289944.78,489472173.55,16976443051.04,549147473.21,30420193.1,2029979448.38,473972672.32,6769256280.98,7334805854.37999,8351808.4,440919165.51,21723706.18,416950.32,2060061148.42,192815985.69,378154706.28,354861231.65,7094384294.20001,15262350.25,45947077.6,22302819.49,324353.81,946909400.430001,437461093.71,105326461.64,55263379.09,695817551.34,1220113.84,7110492.88,585791734.73,99173152.59,3602383.46,2385293880.02,360043404.799999,115271623.35,64157268.63,222952306.57,708349448.49,371026100.26,36320170.56,39226296.81,1254248705.24,19581989.9,152171642.14,979130763.89,675292692.15,7582693.89,888500457.060001,31617995.51,9067094600.59999,100981793.6,100738317.78,525183170.62,5074001.15,693387197.680001,55247595.1,16006606.55,38128314,12971663.28,795536462.85,126756341.06,7354198.66,118058289.6,31398569.87,24102598.22,1317798.82,14606003.18,126043440.96,409794231.34,2689254219.33,26600822.62,68916944.48,3363966796.18,33458893.71,2983507.66,59906962.25,2439468.38,46132117,24974383.46,108060301.88,65952953.94,70181545.54,168123417.72,330378334.56,1027357167.87,209249916.62,93963050.19,12191761.54,236996086.79,1917838.35,5565042.22,5542114.03,9673159,294390125,22333553.05,18384334,20528407,199669834,1772840,1432274,711584256.749999,73685795,54026641,73517298,6434752.7,2456316.56,24448743.65,1454156,3553107,5766303,9601004.96,76711,1000214,41324763,65008767,84284928.56,5683147.68,199369,1624651.34,2404744.58,2931417,8244303.91,4689968,251982,43548843,52908208,575980.69,6586133,2003134,152091,12690632,2879583,12186759,172959,66924078,385962,5595277,112979766,840583,1785082,387122,703230,5294212.14,12848288,1238820,1030297,0,0,608684,7259825,131345.45,378844,4499,0,532811,0,46507,490775,153479,1096723,1000,222492,5496,30399,502654,331059,103008,2958,4832278,3663,39943,1487912,0,3575476,0,0
"CHN",1062027297.48,80994601.75,8269120.07,1297408350.7,16630367.76,1385742345.95,0,345068310.06,93589073.49,403812108.58,138313879.52,684013120.53,15587215524.58,1306938540.19,83317878.02,4173096709.93999,1039537008.33,8771388340.91,12007970238.35,37526918.49,774354444.92,112573376.46,20251989.54,71281754439.8099,2495412180.35,733291434.820001,806567846.25,6174928209.63,52492809.92,271963582.8,196291766.94,236672.48,12413521832.51,279883473,285198276.74,86670613.47,2559379973.47,130110193.76,15245272.84,3071879811.61,531101555.52,44899867.07,6435480532.54,1060208598.63,741298494.859999,283255369.86,1116181007.06,1390764408.26,362248023.62,261023698.29,190057097.21,6985614935.4,65995798.55,164835126.24,988463635.090001,3269994466.67,55571814.6,1328356764.27,130325374.63,86609623658.7699,222546908.22,1640308024.22,1064474026.3,30045703.72,5118210226.14001,22544539.92,272066344.66,45314961,55793963.72,6480055037.45,972542692.050001,44852358.97,229713863.05,155272000.06,3896812.87,61753070.35,56564114.97,92397451.1,980273499.780001,1586679441.36,52584912.82,209824060.17,49980493593.4,119165055.79,82124138.27,32822946.64,50246809.42,99624264.26,151316327.24,857714690.62,91327984.26,99607122.3400001,190353940.4,1362447664.87,1218211941.95,135793107.32,110833812.03,77605111.05,1149747077.11,8228663.85,879056830.580001,79372067.17,26027588,2071028256,2125975.49,1555117,222421453,802831778,976324,15641351,626222799.409999,167720663,52245132,277375598,2086605.13,122428831.47,14936992.85,469717314,24664787,426106247,41694785.79,997429,10548622,172589622,136329715,100317112.76,19646184.05,15034746,25463029.18,21693661.92,157644367.2,27586389.47,33672974,3420321,895118103,48959147,5007056.66,18412401,18275231,54054836,74968812,54580966,105281771,3533907,325206062,33904477,102828606,620863401,24789694,6142496,8539454,619980,13721006.1,39403997,1520887,19854317,0,0,2928555,15734091,713899.07,1255328,0,1616641,4615451,0,1221081,1834772,0,2965990,1939280,3411402,0,0,6782558,0,0,1947809,6826245,0,335662,299886,0,0,0,0
"COL",5389037.1,2333323.02,26840319.58,293374789.55,2942967.2,44858126.84,32766634.03,0,131310921.69,86028200.7799999,673613.33,16449801.54,458096895.42,34665792.32,475321536.97,198323782.73,58676767.64,161155343.24,312141615.7,42636.44,6085291,69702799.19,3270191.95,14863990.49,2707502.16,46190216.55,122133.88,242523896.51,24882864.2,107570.24,0,777398.96,47165987.63,1046175.23,14290390.4,1141906.55,237570382.88,0,1617,1607103.4,1314561.24,5743391.82,197773235.06,31826897.72,177885279.84,383388548.68,5168775.51,23367235.38,79599412.92,3179816.39,6730,9120433.72,28244266.82,4379289.97,50648355.09,7038892.03,196207019.98,2035653.47,9834604.76000001,6803348454.28999,1289983333.48,80403.14,2461700.28,0,11439074.58,1094458.65,167257.26,200377.9,38811931.84,187490288.36,201997060.51,758698.94,12394,1495972.91,253798.7,1868482,78028809.64,12435804.86,3140964.19,3320139.53,848830.17,1188993.07,235287524.89,296985.24,0,20853.53,34149,442327.15,72265.03,2731351.75,112705.02,24152.04,14570252.89,54691705.98,7405733.2,6882634.72,164353.88,3283792,60047908.74,33282.69,70726.53,4527.52,0,1886818,0,0,553337,268078,51633,24313351,63024029.12,514318,449304,4810387,27833.58,56333.68,5520260.25,93553,0,2678,576421.35,0,3296452,4395734,2264124,5452545.06,931472.96,477889,0,0,0,2850492.6,350056,73467,0,4620,1170988.54,0,1821479,0,102092177,0,151149,19246,0,0,572547,24089,177522,0,0,0,0,0,0,0,6972,0,18250,187272,30105,0,0,0,0,0,0,0,0,0,0,7258,0,0,0,0,0,0,12947421,0,0,0,0,0,0,0
"CRI",19392739.64,603162.24,3759299.41,33571372.23,3479589.32,33444062.96,19904131.82,17811802.88,0,14985800.98,979757.85,5363821.61,241823813.69,4257483.89,16725127.96,65413801.13,35562982.95,92079701.29,778762723.86,0,3745276.72,196836858.17,1564342.02,21996918.47,1015028.93,42204273.14,10036.41,79213287.05,25249285.83,17836.81,0,22608.99,76908367.24,861403.56,0,2254239.96,119869247.71,0,9559.89,45042778.42,28785,185551345.17,317985106.45,12946519.6,136754843.86,7192370.12,46038839.13,19342903.2,26492179.23,60542,1298067.79,35021505.71,147630203.44,2141490.16,48748286.64,1934668.34,3389691.63,5003071.79,674067.42,3464630768.99,22555395.27,40196.34,3453037.3,9566,11952569.65,2392.93,0,725368.52,471244.03,92373173.78,4589064.63,1389147.75,15324,1003268.67,20000,0,85640131.48,642129.92,4129061.81,3413872.38,1625122.89,265720.81,181856429.86,0,0,27513.09,0,402749.25,15086.27,606868.11,306125.58,24281,1080249.97,13802431.52,1505790.62,972523.24,707840.09,1577.9,5355964.36,0,11416.21,0,0,1784372,0,0,3320,336583,0,6346028,2425524.27,37340,15037,5425437,0,8453,49053.65,636646,0,367416,5140.11,0,715510,29017,646448,161998.65,51337.17,0,0,2503.38,0,14439.1,0,0,14889,1399,2598088.45,0,0,0,48029170,0,55392,0,0,1264,11256,180641,0,0,0,0,0,0,0,0,0,0,0,699226,10519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1197201,0,0,0,0,0,0,0
"CUB",4012391.23,671261.78,16604208.35,21316997.06,167755.68,18505950.74,80330427.48,18995315.36,10362101.15,0,9061068.18,1218855.4,140797557.93,739824.71,386588.5,150947426.63,5478398.11,54504448.86,38345783.15,5517.56,378531.56,1095412.7,150165.57,5467603.63,0,714792.2,21563838,48490780.88,4754089.69,28477327.09,9891,0,48553728,175676.94,249881.35,73638.66,39202278,10123.04,0,0,2231175,1177015.6,84507835.34,583489.85,4904812.19,551970.77,422644.76,1954556.53,23563398.45,361884.06,167457.92,2490230.07,353979.89,740818.48,50274305.88,421756.91,347998.36,420863.35,1270199.02,20699,10262339.28,28453,945135.12,0,3729652.66,0,18594.3,36640759.58,745833.13,509957517.33,1887798.42,0,1147608.36,143568.72,0,5391.77,9350170.31,166951.37,351424.9,8369748.46,58290.75,360676,34451009.61,0,68077,1164,0,225362.15,69577.4,429275.31,0,26719,14615826.74,320944089.15,172362.59,53325.86,7463489.6,0,2397063.06,48991,666320,19216,13458,7714,46373,0,0,2094858,5048119,13665077,95315,0,0,0,0,14620,0,10250,0,42812,34071.92,0,0,3842053,477540,38299.52,53928,0,0,0,0,110848.62,132698,0,0,0,10445435.04,0,30298,0,19793559,0,0,0,14781,3199,0,260186,0,0,0,0,0,26399,0,0,0,0,0,166598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464139,0,0,0,0,0,0,0
