"","ARG","AUS","AUT","BEL","BGR","BHR","BRA","CAN","CHE","CHN","CSK","DEU","DNK","EGY","ESP","FIN","FRA","GBR","HKG","HUN","IND","IRL","IRN","IRQ","ITA","JPN","KHM","LBN","MYS","NLD","NOR","NZL","PAK","PHL","POL","SAU","SEN","SGP","SUN","SWE","SYR","TUR","USA","YUG","CAF","CIV","COG","GAB","GRC","ISR","JOR","LKA","MAR","MEX","NGA","PAN","PER","PRT","THA","VEN","LBY","MLI","MMR","AFG","AGO","ALB","BEN","BHS","BMU","BOL","BRB","CHL","CMR","COD","COL","CRI","CUB","CYP","DDR","DOM","DZA","ECU","ETH","GHA","GLP","GMB","GTM","GUF","GUY","HND","HTI","IDN","ISL","JAM","KEN","KIR","KOR","KWT","LBR","MDG","MLT","MNG","MOZ","MRT","MUS","NCL","NIC","OMN","PNG","PRY","ROU","SDN","SLE","SLV","SOM","SUR","TGO","TTO","TUN","TZA","UGA","URY","VNM","WSM","ZAF","ZMB","BFA","DJI","FJI","GIN","GNB","GNQ","LAO","NER","NPL","PRK","QAT","TCD","YMD","BDI","SPM","MWI","ZWE","RWA","BLZ","GIB","KNA","MAC","ARE","SYC","GRL"
"CSK",5573000,6700000,29620000,14956000,0,0,12511000,11878000,16566000,0,0,71772000,13872000,0,4156000,9981000,22805000,47309000,1741000,0,42532000,1226000,6910000,0,36114000,6005000,3619000,0,1776000,25521000,12836000,1668000,2809000,0,0,0,53000,2506000,0,20178000,0,8388000,12771000,82144000,0,80000,43000,30000,10895000,249000,3622000,4327000,5877000,2707000,7093000,217000,1550000,1982000,2299000,4085000,2708000,743000,2630000,5128000,0,0,31000,0,0,1344000,0,3147000,683000,0,1814000,0,0,0,0,0,0,660000,0,10979000,0,96000,0,0,0,523000,0,0,3133000,0,0,0,0,0,0,424000,0,0,0,0,0,0,0,0,0,279000,0,2759000,1026000,467000,0,0,54000,0,4076000,0,0,0,0,0,0,0,22000,0,0,0,0,0,6000,23000,0,0,0,86000,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEU",107866000,161131000,795682000,1196536000,36375000,2214000,115119000,158955000,1091278000,25381000,80713000,0,557620000,105102000,317421000,269288000,1859473000,773559000,43942000,70441000,217154000,70540000,136727000,29989000,1193726000,252773000,3255000,41394000,39207000,1667794000,322858000,26791000,123573000,46741000,74409000,29078000,8034000,30770000,191656000,848803000,22794000,88293000,1179495000,186081000,2012000,11352000,5159000,3382000,181425000,65316000,14706000,15843000,27652000,96728000,66983000,6700000,71599000,119774000,52441000,101562000,31466000,1454000,14232000,14064000,11552000,777000,888000,0,2645000,11534000,0,67328000,8844000,23408000,62090000,11419000,11560000,5827000,0,10211000,13895000,19998000,13910000,40429000,3541000,434000,19299000,161000,2246000,6622000,1324000,52475000,15909000,6712000,25587000,574000,23848000,24895000,33682000,5266000,4976000,55000,10522000,1822000,0,2670000,15056000,1704000,0,5006000,80879000,23649000,8989000,15060000,2180000,6791000,5559000,3613000,14893000,7340000,0,19113000,8300000,74000,223486000,13325000,666000,489000,0,2349000,461000,744000,232000,1190000,185000,897000,1686000,1926000,6978000,1643000,30000,0,0,0,0,0,0,0,0,0,0
"DNK",2371000,7352000,18266000,24112000,2163000,1404000,17959000,14570000,61521000,1095000,8609000,332101000,0,4557000,21951000,42182000,67755000,522389000,3297000,3933000,5633000,7374000,5989000,1921000,98045000,23047000,202000,4689000,5071000,46132000,111089000,1637000,3399000,2205000,11839000,2175000,350000,6796000,35354000,239587000,2505000,2952000,124923000,4109000,166000,220000,67000,86000,9345000,6254000,1212000,2410000,1022000,2205000,3974000,969000,2262000,5343000,5545000,12774000,2071000,10000,553000,73000,937000,45000,109000,0,0,272000,0,7552000,237000,7e+05,4947000,1315000,2519000,1309000,20824000,1190000,574000,876000,1110000,1601000,946000,33000,1248000,0,571000,763000,262000,1887000,9141000,595000,1718000,93000,117000,3064000,30773000,196000,2781000,0,610000,6000,585000,429000,3e+05,3e+05,0,66000,2041000,1632000,653000,1884000,126000,252000,129000,1372000,366000,560000,332000,2044000,147000,1000,13553000,792000,28000,206000,0,131000,0,102000,42000,28000,61000,0,0,153000,1952000,53000,0,0,0,0,0,0,0,0,0,0,0
"EGY",0,274000,2730000,9869000,0,0,2000,117000,5738000,0,0,33503000,2657000,0,8760000,2176000,16024000,24113000,326000,0,27826000,309000,0,0,42920000,21759000,1000,0,611000,13996000,1158000,8000,1269000,239000,0,0,1668000,818000,0,2573000,0,952000,24284000,23781000,0,114000,0,0,4311000,0,4076000,2756000,482000,143000,573000,0,0,1193000,2943000,5000,2161000,566000,0,446000,0,0,40000,0,0,0,0,281000,402000,0,1000,0,0,0,0,0,0,0,0,545000,0,6000,0,0,0,0,0,0,14000,0,0,0,23000,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,13304000,275000,0,0,0,0,0,1765000,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,472000,0,0,0,345000,0,0,0,0,0,0,0,0,0,0,0,0,0
"ESP",9008000,5901000,6927000,35351000,733000,19000,11006000,10819000,33223000,9000,2776000,192081000,17234000,4334000,0,8451000,138826000,216892000,301000,749000,659000,7631000,1252000,6e+05,61444000,19778000,1000,2555000,610000,35188000,25269000,660000,790000,2158000,5524000,372000,1382000,761000,3274000,30527000,2707000,1015000,116481000,2308000,435000,577000,316000,317000,3343000,819000,609000,101000,6587000,8935000,6598000,630000,2023000,15770000,519000,8609000,3515000,6000,74000,1000,221000,2000,125000,0,85000,346000,0,5740000,606000,2236000,15638000,545000,31346000,751000,1877000,2825000,3041000,714000,299000,1563000,29000,19000,1021000,0,5000,297000,34000,197000,949000,62000,309000,12000,48000,2e+05,5026000,104000,778000,0,420000,176000,0,2000,335000,0,0,402000,2570000,71000,450000,606000,8000,0,438000,132000,867000,93000,1000,1603000,484000,0,2758000,124000,107000,38000,0,71000,0,0,0,206000,0,2000,0,465000,49000,8000,0,137000,86000,0,0,0,0,0,0,0,0
"FIN",12774000,16243000,3562000,49974000,7940000,65000,7818000,2941000,10883000,6569000,5990000,176914000,65246000,8446000,14045000,0,79483000,324363000,1120000,8492000,5561000,14947000,2753000,1310000,42154000,2742000,26000,2483000,1486000,94004000,12086000,2263000,318000,165000,26004000,287000,204000,1362000,155723000,74690000,954000,2158000,74332000,4902000,1000,5000,12000,4000,9429000,9478000,639000,606000,1764000,3561000,1309000,58000,3125000,1679000,1045000,1643000,260000,0,628000,112000,62000,0,3000,0,44000,206000,0,1241000,37000,133000,9692000,110000,1812000,889000,12953000,133000,728000,381000,139000,411000,1000,1000,67000,0,32000,52000,98000,997000,2545000,215000,482000,17000,335000,202000,46000,5000,192000,0,419000,3000,0,45000,99000,28000,0,49000,3140000,715000,59000,84000,7000,0,26000,145000,1094000,107000,105000,989000,923000,1000,7317000,656000,6000,16000,0,15000,0,0,4000,2000,0,0,0,0,49000,8000,0,0,0,2000,0,0,0,0,0,0,0
"FRA",50236000,55556000,79132000,876290000,21078000,969000,51101000,63529000,532438000,49599000,16029000,1581006000,107638000,17004000,277126000,81928000,0,516064000,12518000,24277000,29782000,20896000,29608000,4985000,713732000,70451000,12284000,44656000,11476000,320583000,67295000,7690000,10206000,8611000,39559000,6344000,100694000,10188000,64073000,156370000,13167000,20669000,493452000,47115000,17453000,152903000,36613000,32767000,62310000,68088000,3098000,11417000,177199000,37937000,27838000,1528000,12512000,54813000,12326000,35837000,13278000,10912000,9227000,952000,4867000,615000,17048000,0,3134000,1076000,0,30325000,70725000,13500000,12937000,3088000,20886000,4597000,26261000,4712000,494970000,3179000,3261000,11796000,103286000,271000,2616000,9912000,727000,793000,1704000,18407000,1474000,0,8976000,118000,114000,6973000,27940000,97278000,6571000,5000,2386000,7825000,0,45716000,1012000,1269000,0,646000,42883000,10134000,3468000,2197000,2893000,691000,11725000,6935000,106367000,5508000,0,7897000,18022000,22000,66222000,5197000,19532000,6875000,0,11488000,659000,552000,1091000,18737000,199000,38000,805000,17016000,2594000,1524000,1304000,0,0,0,0,0,0,0,0,0,0
"GBR",80842000,776007000,99247000,454120000,7716000,21258000,37460000,530933000,257300000,49646000,35149000,682170000,359371000,70910000,214980000,193814000,543270000,0,146685000,24032000,321369000,493632000,96022000,56583000,395579000,185316000,3463000,40461000,200177000,467667000,262132000,352455000,133660000,37313000,67039000,38345000,2328000,114268000,106333000,580822000,18060000,55740000,1128376000,69264000,1310000,4199000,1924000,1731000,94714000,158326000,21135000,67619000,13587000,50023000,220253000,5687000,37504000,104560000,62223000,66694000,51667000,615000,25734000,2081000,14828000,432000,1036000,13560000,13023000,5044000,16206000,41722000,7398000,13383000,34694000,6208000,26492000,30931000,14145000,9760000,18465000,9772000,8555000,93117000,1768000,4695000,6809000,234000,25421000,3160000,1616000,22465000,17417000,65815000,92117000,2768000,3205000,53862000,15412000,1608000,48731000,16000,16038000,278000,20585000,0,4788000,19886000,4254000,2708000,22846000,63165000,37587000,7112000,2319000,3945000,3971000,68021000,10055000,27622000,15726000,14923000,4790000,676000,629698000,115551000,503000,2481000,12486000,4911000,871000,1815000,2469000,674000,1416000,49000,7587000,852000,36155000,411000,0,0,0,331000,0,0,0,0,0,0,0
"HKG",226000,23148000,2726000,10618000,0,1479000,48000,24342000,6985000,2274000,48000,61950000,7578000,171000,2825000,1604000,3963000,219071000,0,0,908000,2430000,2292000,257000,13286000,28868000,3336000,1513000,44818000,10053000,5992000,11426000,3189000,7805000,5000,3127000,708000,37363000,45000,17202000,161000,187000,248531000,12000,347000,1413000,109000,128000,951000,216000,590000,2637000,64000,732000,13046000,1913000,1361000,263000,19272000,6178000,1630000,62000,985000,534000,129000,0,408000,254000,94000,275000,407000,236000,951000,1128000,707000,192000,0,570000,7000,676000,498000,566000,1408000,5019000,0,430000,227000,0,607000,333000,218000,13718000,252000,1593000,3315000,399000,5908000,2787000,1181000,643000,1806000,0,586000,3000,1811000,0,326000,792000,3271000,76000,1000,3295000,2617000,708000,175000,0,316000,2053000,181000,1069000,607000,114000,1650000,201000,9870000,1795000,364000,115000,1602000,7000,22000,87000,901000,598000,9000,3000,368000,185000,4340000,0,0,0,0,0,0,0,0,0,0,0,0
"HUN",3274000,1460000,27052000,7456000,0,0,2987000,704000,19598000,0,0,61840000,7085000,0,1240000,7749000,11754000,20561000,130000,0,13037000,343000,6827000,0,42831000,637000,0,0,402000,12070000,4980000,90000,761000,0,0,0,16000,438000,0,10870000,0,4642000,1664000,35266000,0,197000,3000,132000,8105000,5981000,1054000,681000,1859000,37000,2283000,28000,0,123000,261000,623000,1509000,106000,1689000,30000,0,0,4000,0,0,45000,0,63000,617000,0,756000,0,0,0,0,0,0,195000,0,4682000,0,254000,0,0,0,387000,0,0,258000,0,0,0,0,0,0,270000,0,0,0,0,0,0,0,0,0,61000,0,1554000,1050000,1000,0,0,52000,0,562000,0,0,0,0,0,0,0,11000,0,0,0,0,0,0,16000,0,0,0,170000,0,0,0,0,0,0,0,0,0,0,0,0,0
