"","ARG","AUS","AUT","BEL","BGR","BHR","BRA","CAN","CHE","CHN","CSK","DEU","DNK","EGY","ESP","FIN","FRA","GBR","HKG","HUN","IND","IRL","IRN","IRQ","ITA","JPN","KHM","LBN","MYS","NLD","NOR","NZL","PAK","PHL","POL","SAU","SEN","SGP","SUN","SWE","SYR","TUR","USA","YUG","CAF","CIV","COG","GAB","GRC","ISR","JOR","LKA","MAR","MEX","NGA","PAN","PER","PRT","THA","VEN","LBY","MLI","MMR","AFG","AGO","ALB","BEN","BHS","BMU","BOL","BRB","CHL","CMR","COD","COL","CRI","CUB","CYP","DDR","DOM","DZA","ECU","ETH","GHA","GLP","GMB","GTM","GUF","GUY","HND","HTI","IDN","ISL","JAM","KEN","KIR","KOR","KWT","LBR","MDG","MLT","MNG","MOZ","MRT","MUS","NCL","NIC","OMN","PNG","PRY","ROU","SDN","SLE","SLV","SOM","SUR","TGO","TTO","TUN","TZA","UGA","URY","VNM","WSM","ZAF","ZMB","BFA","DJI","FJI","GIN","GNB","GNQ","LAO","NER","NPL","PRK","QAT","TCD","YMD","BDI","SPM","MWI","ZWE","RWA","BLZ","GIB","KNA","MAC","ARE","SYC","GRL"
"IND",27277000,40443000,3038000,18700000,6822000,4303000,441000,33413000,12558000,9000,33995000,93429000,7244000,33262000,5701000,1254000,31242000,394629000,8711000,15693000,0,7529000,9625000,7029000,20825000,141992000,4198000,1486000,20847000,19084000,3700000,15710000,21897000,1858000,23384000,6502000,499000,33303000,158193000,5965000,3588000,846000,309695000,21508000,18000,251000,15000,7000,2285000,156000,2091000,36670000,1635000,487000,11610000,512000,2788000,103000,6482000,357000,1257000,0,15463000,8020000,14000,0,121000,17000,9000,235000,170000,2485000,325000,134000,155000,238000,910000,938000,25468000,602000,870000,703000,2897000,766000,9000,259000,0,3000,809000,511000,213000,4920000,148000,431000,10845000,74000,59000,8410000,92000,401000,698000,0,2173000,0,2481000,10000,886000,1180000,279000,296000,6862000,16066000,2076000,70000,1e+06,165000,128000,832000,3179000,5765000,1618000,2532000,6369000,45000,61000,4586000,9000,0,1915000,29000,20000,0,91000,28000,26830000,0,5513000,181000,13148000,25000,0,0,0,26000,0,0,0,0,0,0,0
"IRL",76000,396000,428000,9039000,15000,26000,3000,5198000,4024000,58000,636000,28699000,831000,33000,3877000,345000,14284000,479047000,42000,325000,1000,0,16000,138000,13041000,1501000,0,555000,38000,8882000,1328000,143000,35000,9000,977000,62000,33000,342000,81000,2258000,237000,26000,36551000,0,0,23000,0,0,353000,426000,35000,75000,19000,18000,1210000,6000,7000,397000,583000,182000,15000,0,461000,6000,7000,0,0,72000,77000,20000,231000,23000,57000,146000,5000,36000,178000,345000,1056000,22000,35000,20000,105000,79000,1000,8000,34000,0,111000,37000,3000,81000,33000,189000,53000,2000,0,3e+05,4221000,5000,365000,0,0,4000,31000,0,16000,4000,0,2000,1000,19000,739000,1000,0,21000,3000,1212000,6000,19000,81000,81000,310000,5000,554000,232000,0,0,10000,249000,0,0,0,0,111000,0,8000,0,25000,0,0,0,0,6000,0,0,0,0,0,0,0
"IRN",3500000,39221000,3567000,99150000,63000,0,0,28755000,8578000,0,5736000,177065000,13648000,270000,16061000,10419000,78804000,111066000,7031000,5555000,67719000,16130000,0,2252000,33407000,202382000,2000,4261000,8171000,44503000,697000,9606000,26085000,6519000,5623000,165000,140000,24322000,21159000,11626000,170000,7109000,77537000,3205000,64000,6000,0,28000,5226000,674000,284000,5827000,13000,0,218000,427000,103000,2768000,10455000,257000,98000,10000,1304000,993000,0,0,20000,0,0,4000,0,1000,60000,858000,108000,0,0,387000,1797000,0,14000,55000,2034000,0,1541000,0,0,0,0,18000,0,5951000,19000,0,8917000,0,1000,7298000,1879000,3534000,4000,0,10300000,161000,393000,0,0,10784000,0,0,0,256000,0,0,40000,0,14000,0,59000,1823000,0,0,1483000,5000,68113000,1337000,0,10315000,0,0,0,0,22000,2000,0,0,365000,19000,47569000,0,0,0,0,0,0,0,0,0,0,0,0
"IRQ",1735000,16838000,35000,35975000,0,0,28927000,2200000,16000,0,0,94819000,2433000,0,46608000,29000,150561000,224997000,0,0,5176000,13007000,542000,0,112371000,48571000,3000,0,82000,5483000,9636000,217000,644000,11771000,0,0,136000,66000,0,8708000,0,17651000,7437000,5929000,0,751000,0,0,445000,0,943000,1379000,14000,8000,1130000,0,0,20303000,578000,5000,5000,131000,0,2000,0,0,284000,0,0,0,0,1000,16000,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,1000,0,0,0,1000,0,0,0,0,0,0,0,246000,0,0,0,0,310000,0,234000,0,0,0,0,0,0,0,101000,0,0,0,0,0,0,222000,0,0,0,74000,0,0,0,0,0,0,0,0,0,0,0,0,0
"ITA",113406000,51458000,138697000,225145000,27736000,2322000,26431000,62397000,352469000,18490000,36018000,1084337000,71750000,39689000,117250000,35053000,634645000,370122000,28871000,32001000,41055000,11758000,27474000,12506000,0,42098000,1211000,37681000,9988000,216940000,42594000,9172000,19231000,8547000,31284000,18026000,5163000,9016000,90715000,126523000,11281000,31938000,524961000,174410000,681000,4807000,1578000,1071000,71793000,34609000,4738000,4477000,12714000,32771000,36051000,2013000,15522000,34432000,12281000,48855000,58673000,59000,2391000,749000,2267000,2138000,642000,0,2787000,1407000,0,14265000,3789000,6613000,12162000,2566000,7158000,8406000,13245000,5503000,19226000,4447000,22105000,10966000,1933000,81000,4060000,113000,429000,1115000,1091000,18146000,1168000,0,8212000,143000,4494000,14643000,2467000,2381000,13096000,62000,2491000,6000,0,757000,3646000,609000,0,445000,42379000,9481000,2109000,3083000,12562000,373000,584000,6256000,14613000,3623000,995000,8097000,8456000,8000,73343000,7049000,314000,7e+05,0,213000,701000,94000,59000,344000,127000,653000,810000,684000,5524000,436000,61000,0,0,0,0,0,0,0,0,0,0
"JPN",23505000,223672000,8860000,36636000,7503000,6712000,33816000,161306000,44152000,152757000,2831000,158943000,41102000,17850000,19986000,11915000,47783000,205137000,271124000,4003000,147134000,12854000,44247000,17361000,67743000,62844000,16927000,16300000,100985000,45933000,58798000,50258000,76488000,173237000,2468000,36595000,312000,119030000,181824000,46875000,8847000,6853000,1769888000,7734000,225000,1204000,444000,471000,27034000,7161000,6426000,28170000,2873000,28067000,86272000,7113000,32330000,1477000,225717000,72029000,8420000,88000,46431000,9240000,1992000,50000,113000,410000,3644000,9713000,881000,11930000,6082000,5135000,26025000,10312000,34395000,2205000,95000,12089000,6635000,8104000,17926000,18242000,87000,1873000,11224000,0,1390000,5423000,715000,121713000,3708000,9312000,31549000,2026000,110118000,35750000,193790000,1664000,3637000,533000,7620000,0,2886000,1644000,7352000,276000,6592000,2471000,19157000,19204000,10112000,12789000,1329000,3156000,5890000,4504000,410000,15100000,6900000,2949000,32071000,338000,116380000,16883000,256000,624000,7728000,572000,595000,668000,1345000,99000,767000,11284000,7513000,635000,28910000,1908000,5000,0,0,725000,0,0,0,0,0,0,0
"KHM",13000,6000,2000,545000,2012000,0,0,4000,82000,6222000,2999000,3758000,6000,0,609000,0,11027000,1249000,9141000,0,1e+06,0,0,0,435000,5441000,0,0,3965000,919000,2000,3000,4000,1162000,0,0,11100000,12562000,786000,3000,0,0,4394000,1977000,2000,2390000,93000,164000,0,3000,0,12000,11000,4000,6000,15000,0,0,2000,1000,0,0,123000,12000,0,0,499000,0,0,0,0,0,374000,0,0,0,0,0,134000,0,4000,0,0,0,558000,0,0,0,0,0,1000,3283000,0,0,0,0,1000,17000,0,0,0,0,0,13000,0,78000,0,0,0,0,0,0,0,0,0,0,323000,0,0,0,0,0,1000,0,0,492000,4000,0,0,0,0,0,9000,121000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LBN",0,36000,773000,10330000,0,0,6000,76000,1291000,0,0,5238000,7188000,0,113000,142000,1930000,7538000,57000,0,291000,1000,1465000,0,5028000,194000,0,0,127000,63048000,240000,0,402000,0,0,0,117000,183000,0,1137000,0,544000,8232000,571000,0,27000,0,0,389000,0,8822000,1439000,385000,1000,235000,6000,6000,91000,14000,78000,1196000,0,20000,787000,0,0,1000,0,0,3000,0,4000,1000,0,0,0,0,0,0,0,0,0,0,92000,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1945000,46000,0,0,0,0,0,120000,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13000,0,0,0,0,0,0,0,0,0,0,0,0,0
"MYS",11181000,29319000,4492000,8540000,1e+06,163000,4743000,31975000,4994000,440000,2898000,59811000,4369000,2120000,17883000,3464000,52775000,142898000,15695000,73000,21458000,2849000,3513000,3704000,51199000,256137000,214000,132000,13301000,9415000,2111000,15001000,4963000,12147000,11566000,328000,28000,317993000,41537000,11334000,158000,343000,159194000,5617000,0,4000,0,0,2472000,657000,547000,3884000,3004000,2931000,82000,4000,251000,2357000,9746000,1300000,1000,0,5257000,7000,0,0,0,0,0,1000,0,962000,4000,0,2251000,0,159000,12000,36000,5000,0,240000,0,203000,0,0,0,0,0,38000,0,1200000,7000,0,184000,0,3670000,63000,119000,8000,0,0,437000,0,199000,0,0,0,18000,0,3119000,353000,8000,0,0,0,0,251000,33000,26000,0,662000,427000,1000,11458000,1240000,0,0,31000,0,0,0,1000,0,0,0,0,0,497000,0,0,0,0,0,0,0,0,0,0,0,0
"NLD",19843000,36172000,58755000,879726000,3724000,2178000,15016000,36946000,127234000,2856000,8e+06,1291865000,126053000,8149000,62659000,48170000,497685000,659828000,23988000,9696000,26269000,30145000,20868000,5637000,261405000,58799000,2287000,9854000,21161000,0,100007000,11251000,11456000,21451000,7962000,11598000,4271000,20557000,11891000,221185000,4151000,13024000,215200000,26230000,1120000,3609000,3009000,1534000,31593000,34739000,4205000,10599000,10428000,15454000,28572000,3303000,16371000,22997000,24225000,27754000,8999000,292000,16165000,986000,1894000,10000,545000,0,2541000,1328000,0,6082000,3355000,6841000,10355000,940000,1.5e+07,2692000,14286000,3722000,6865000,2859000,2377000,16797000,2680000,345000,2147000,232000,2630000,1702000,788000,9284000,5038000,2515000,4450000,124000,4035000,6495000,7843000,2980000,6179000,0,3066000,80000,0,766000,1102000,2114000,0,761000,4031000,7e+06,7242000,9526000,102000,7399000,2542000,4963000,4221000,4772000,0,1475000,1721000,15000,38872000,4921000,936000,726000,0,212000,576000,348000,48000,1408000,1000,4740000,1115000,1293000,5159000,299000,0,0,0,0,0,0,0,0,0,0,0
"NOR",2965000,9015000,8980000,22841000,1112000,202000,10399000,25282000,13262000,5872000,9313000,200372000,86383000,1400000,14876000,22341000,54912000,278795000,2447000,3753000,2249000,3998000,2862000,820000,35058000,12735000,59000,928000,1072000,43604000,0,1992000,1081000,2057000,8934000,310000,83000,2322000,16743000,185626000,429000,1511000,119426000,2007000,15000,6e+05,21000,42000,5575000,6199000,192000,1431000,1206000,1435000,13579000,349000,3861000,4984000,1588000,2875000,109000,0,1723000,7000,1508000,0,558000,0,544000,307000,0,3865000,1119000,723000,811000,295000,3960000,781000,15921000,1342000,204000,688000,986000,1068000,149000,4000,268000,1000,228000,76000,120000,469000,14130000,1113000,1714000,14000,149000,937000,13994000,94000,269000,0,914000,0,118000,63000,138000,13000,0,89000,895000,729000,67000,119000,9000,183000,35000,1147000,254000,1422000,102000,151000,23000,1000,8067000,123000,0,24000,0,33000,0,135000,1000,14000,8000,5000,0,5000,227000,23000,0,18000,1372000,0,0,0,0,0,0,0,0
"NZL",15000,51265000,809000,38565000,224000,2000,37000,13016000,1305000,6698000,3361000,40449000,3247000,640000,5122000,2254000,77644000,582333000,2273000,235000,1882000,3254000,36000,0,37351000,56771000,4000,11000,4430000,15542000,2311000,0,245000,3576000,4394000,10000,13000,6559000,3310000,5552000,15000,4000,148127000,2749000,0,0,0,0,6845000,114000,230000,832000,39000,754000,476000,890000,2154000,4650000,142000,121000,3000,0,195000,29000,0,0,1000,245000,899000,0,1095000,1e+05,13000,0,0,0,0,1461000,605000,0,0,2000,3000,715000,275000,14000,0,0,354000,0,29000,4000,40000,4235000,298000,1417000,1135000,33000,0,5000,37000,0,203000,0,183000,376000,0,0,534000,3000,0,9000,2e+05,0,3000,1000,0,4225000,0,10000,1000,70000,3000,2019000,3795000,477000,0,0,3972000,0,0,0,0,11000,0,3000,39000,0,408000,0,0,0,0,0,0,0,0,0,0,0,0
"PAK",4596000,14488000,1626000,23980000,5000,2285000,2000,3894000,1198000,40370000,2802000,20140000,1638000,4009000,8160000,286000,22649000,75310000,31038000,467000,22847000,2723000,2014000,5987000,10193000,31145000,658000,249000,1923000,6797000,312000,994000,0,1846000,5933000,3121000,663000,3164000,3145000,2340000,33000,263000,39473000,8090000,16000,1292000,42000,0,1200000,66000,86000,6856000,642000,457000,7166000,3000,2793000,4707000,1515000,26000,67000,166000,16132000,4716000,1937000,0,138000,1141000,0,9000,0,807000,398000,90000,6000,7000,4362000,215000,0,1000,66000,1000,851000,981000,0,40000,2000,0,116000,79000,7000,1227000,3000,2000,3548000,49000,1692000,4092000,8000,667000,21000,0,5550000,0,208000,0,140000,4094000,90000,1000,878000,1875000,29000,6000,48000,0,136000,2000,461000,774000,432000,399000,2070000,2000,15086000,5473000,11000,22000,0,218000,0,24000,20000,193000,82000,28000,361000,60000,3926000,0,0,0,0,0,0,0,0,0,0,0,0
"PHL",227000,3374000,2250000,7945000,0,0,1000,2747000,3795000,0,0,64382000,7034000,77000,7485000,1700000,9642000,13489000,2935000,0,1146000,149000,15000,1000,10567000,224333000,4000,89000,2648000,25379000,2837000,386000,116000,0,0,14000,419000,1645000,0,10229000,0,8000,396490000,391000,0,0,10000,0,48000,14000,1000,95000,367000,10000,0,586000,764000,48000,611000,3401000,0,0,4000,1000,32000,0,0,0,0,0,0,78000,0,0,1237000,1000,0,0,0,35000,0,37000,0,0,0,0,2000,0,0,1000,1000,241000,91000,0,98000,0,8996000,15000,0,8000,0,0,0,0,0,0,7000,0,4000,0,0,0,0,6000,0,0,1000,0,122000,0,0,32000,233000,0,2077000,0,0,0,0,0,0,0,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"POL",2521000,2005000,39874000,12761000,0,0,10074000,8584000,10492000,0,0,90622000,32477000,0,8046000,29855000,30813000,134811000,926000,0,30564000,4453000,4534000,0,52889000,2078000,1176000,0,472000,13604000,11338000,124000,2937000,3000,0,0,99000,384000,0,33067000,0,7023000,54147000,59575000,0,523000,7000,20000,6092000,6172000,1245000,9561000,6240000,1034000,4613000,410000,0,4284000,2542000,1327000,1428000,609000,3499000,471000,0,0,179000,0,0,86000,0,315000,246000,0,1207000,0,0,0,0,0,0,220000,0,8124000,0,40000,0,0,0,806000,0,0,2891000,0,0,0,0,0,0,412000,0,0,0,0,0,0,0,0,0,13000,0,5121000,436000,13000,0,0,294000,0,5606000,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,10000,0,0,0,27000,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAU",0,52482000,4000,6964000,0,0,18807000,17161000,1611000,0,0,128770000,7139000,0,70577000,2000,41777000,34106000,2453000,0,37459000,5679000,49000,0,161291000,198228000,0,0,5291000,26739000,18898000,2765000,2150000,27764000,0,0,0,10791000,0,8972000,0,11212000,85867000,30000,0,0,0,0,14891000,0,5503000,448000,1662000,11000,28000,0,0,75000,2313000,0,3000,0,0,4000,0,0,36000,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,59000,0,0,0,0,0,0,5533000,0,0,0,231000,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SEN",9000,314000,9000,124000,0,0,63000,1167000,86000,0,0,4620000,2901000,20000,360000,1000,115962000,3276000,0,30000,207000,1081000,5000,0,267000,3569000,6000,94000,0,1786000,1588000,225000,0,0,53000,0,0,0,307000,1429000,3000,0,11056000,2000,585000,6171000,264000,341000,66000,0,0,0,87000,0,361000,0,0,33000,0,0,8000,561000,0,2000,0,0,1484000,0,0,0,0,0,528000,5000,12000,0,1547000,0,0,0,545000,0,3000,46000,11000,238000,0,8000,0,0,0,0,247000,133000,0,0,0,0,59000,1184000,0,0,0,0,0,1000,0,0,0,0,0,0,102000,0,0,0,590000,0,2000,0,0,3000,5000,0,970000,0,1250000,5000,0,4e+05,0,665000,2000,1647000,0,0,0,675000,0,0,0,0,0,0,0,0,0,0,0,0,0
"SGP",9087000,25382000,136000,3027000,4134000,1004000,1541000,8388000,520000,325000,2525000,15700000,2539000,1712000,5515000,960000,15836000,59817000,44448000,84000,9076000,23000,78000,3346000,12807000,26673000,885000,963000,97773000,8141000,6333000,11766000,4582000,2785000,3819000,1682000,51000,0,24663000,3510000,284000,1710000,38053000,1365000,0,0,0,0,4606000,1715000,60000,1065000,82000,2165000,149000,22000,606000,17000,12626000,126000,92000,0,3824000,197000,0,0,0,0,0,17000,0,37000,28000,0,399000,0,1902000,107000,8000,212000,0,29000,0,0,0,0,0,0,0,1000,0,742000,0,0,1848000,992000,433000,614000,3212000,2000,0,0,472000,0,1510000,1219000,0,1575000,2888000,0,5799000,275000,37000,34000,0,0,0,410000,37000,722000,0,965000,3507000,92000,13131000,3653000,0,0,2218000,0,0,0,731000,0,0,0,0,0,3087000,0,0,0,0,0,0,0,0,0,0,0,0
"SUN",2936000,1959000,51516000,49677000,0,0,27572000,2597000,8107000,0,0,130868000,26977000,0,3621000,247443000,141108000,252902000,1545000,0,144673000,2317000,32068000,0,147038000,226746000,1971000,0,1712000,35115000,25765000,376000,11315000,0,0,0,57000,2925000,0,69305000,0,7910000,21520000,100186000,8000,11000,13000,4000,27407000,77000,1990000,14437000,10575000,78000,138000,0,3000,2000,2145000,110000,3981000,8795000,7937000,64923000,0,0,18000,0,0,3000,0,14000,17000,0,220000,0,0,0,0,0,0,11000,0,16750000,0,2000,0,0,0,0,0,0,11018000,0,0,0,0,0,0,16000,0,0,0,4000,0,0,0,0,0,0,0,4217000,30000,0,0,0,534000,0,3766000,0,0,0,0,0,0,0,2000,0,0,0,0,0,7000,4000,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
"SWE",23442000,55075000,34652000,149219000,2080000,319000,23283000,35883000,82109000,13971000,12386000,597930000,334506000,11680000,59892000,172943000,200684000,584616000,7232000,10443000,22175000,16713000,9689000,8371000,135160000,33224000,216000,5497000,4137000,193220000,378587000,8932000,5846000,5471000,14741000,3626000,441000,3246000,86678000,0,2067000,9276000,202735000,16343000,38000,537000,189000,93000,27239000,12145000,1851000,2829000,7078000,16037000,6115000,606000,10940000,16024000,6284000,10214000,894000,35000,1732000,1e+05,3713000,22000,119000,436000,0,1263000,0,5401000,327000,1069000,13591000,629000,6922000,1319000,25614000,1561000,1724000,3428000,2001000,1911000,538000,70000,1065000,22000,253000,589000,136000,1799000,7019000,1244000,3743000,374000,860000,1472000,6116000,374000,399000,0,1432000,2000,601000,197000,495000,213000,0,1030000,7051000,3469000,1038000,1144000,26000,242000,170000,595000,5956000,746000,3e+05,2726000,540000,22000,34859000,766000,48000,28000,0,74000,0,106000,1000,16000,29000,0,137000,45000,404000,272000,0,190000,2564000,127000,0,0,0,0,0,0,0
"SYR",0,35000,534000,2349000,0,0,0,456000,865000,0,0,3979000,8090000,0,291000,31000,9463000,2927000,1231000,0,282000,35000,926000,0,8236000,1494000,0,0,10000,93601000,17000,18000,24000,0,0,0,13000,306000,0,592000,0,0,5322000,2273000,0,0,0,0,476000,0,8087000,848000,167000,0,103000,0,25000,318000,0,87000,1098000,0,0,23000,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,414000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287000,0,0,0,0,0,0,0,0,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUR",17000,897000,8203000,17747000,2598000,0,0,1117000,9250000,0,7111000,73247000,11016000,787000,10532000,1947000,22174000,52732000,421000,6789000,64000,877000,5793000,895000,39486000,3868000,0,17669000,145000,8355000,2104000,180000,207000,107000,5553000,85000,6000,169000,9040000,9425000,2543000,0,60465000,4519000,0,0,0,0,3174000,6072000,1954000,1000,0,1000,4000,7000,67000,13357000,26000,317000,789000,0,519000,0,0,0,1000,0,0,2000,0,0,0,0,3000,0,0,379000,4858000,0,76000,80000,0,0,0,0,0,0,0,14000,0,0,7000,0,0,0,40000,63000,0,9000,222000,0,0,0,0,0,0,0,0,0,1794000,91000,0,0,0,0,0,0,217000,0,0,244000,118000,0,50000,1000,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0
"USA",255489000,708024000,96072000,524757000,4806000,8812000,435825000,4780328000,313195000,3000,11260000,1690115000,226772000,267810000,352851000,91940000,1136374000,1793039000,172017000,13646000,817506000,68803000,113092000,56400000,979520000,2336802000,4011000,56980000,60540000,755550000,148163000,100946000,414965000,347739000,137905000,89155000,8976000,63095000,146356000,386850000,11013000,154555000,0,172809000,1490000,23083000,3272000,6763000,100956000,202126000,31220000,11088000,41767000,1023297000,80952000,79806000,235351000,81076000,110385000,675098000,67680000,424000,25643000,21769000,11149000,18000,671000,95276000,41628000,52893000,8399000,222717000,6355000,65749000,272874000,59959000,72000,4588000,19881000,113126000,52973000,68403000,12466000,30152000,11045000,152000,82796000,946000,14261000,49222000,23500000,68890000,15618000,77852000,13876000,2205000,202020000,55311000,35303000,6051000,7048000,0,7062000,2921000,1866000,13385000,56810000,0,1165000,8046000,5136000,19639000,4899000,66309000,1953000,33398000,1309000,52782000,24707000,6580000,1538000,35386000,125711000,517000,392357000,22715000,893000,725000,0,10432000,1174000,2300000,7102000,1229000,818000,0,16936000,2600000,5201000,1055000,162000,0,0,0,0,0,0,0,0,0,0
"YUG",321000,1643000,26535000,9496000,10049000,65000,12024000,2405000,10520000,93000,44833000,154583000,4449000,12752000,2782000,626000,19158000,51309000,90000,24143000,22768000,456000,3625000,2753000,133605000,921000,527000,1700000,17000,9496000,976000,169000,1481000,0,39156000,895000,41000,146000,116130000,8377000,1231000,4732000,50324000,0,0,291000,4000,4000,14496000,8239000,1236000,327000,1382000,10000,743000,8000,145000,2000,530000,722000,2087000,359000,1068000,2000,47000,853000,23000,0,0,55000,0,6000,91000,27000,2064000,61000,3774000,924000,63177000,19000,5050000,41000,1454000,3218000,0,10000,1000,0,0,4000,3000,18176000,31000,0,114000,0,114000,1525000,6724000,16000,1118000,74000,2000,0,0,0,3000,0,0,30000,9813000,4085000,13000,8000,1000,1000,164000,74000,3459000,829000,0,126000,1000,0,0,83000,14000,0,0,389000,0,0,2000,11000,0,0,55000,82000,119000,0,0,0,0,0,0,0,0,0,0,0,0
"CAF",0,0,36000,306000,0,0,0,0,0,0,0,112000,0,0,1000,0,15157000,4000,0,0,0,0,0,0,272000,42000,0,0,0,1645000,3000,46000,0,0,0,0,9000,0,0,26000,0,0,7256000,99000,0,1000,0,0,23000,5500000,0,0,118000,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000,115000,0,0,0,0,0,0,17000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000,0,0,0,0,0,313000,0,0,0,0,0,0,0,0,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CIV",1000,92000,447000,5630000,0,0,56000,575000,1587000,0,39000,41676000,3721000,0,3460000,464000,137803000,14841000,0,985000,0,274000,2000,0,23331000,1939000,0,424000,0,10040000,133000,47000,0,0,1071000,0,8000,0,2597000,1033000,134000,2000,64036000,98000,95000,0,224000,160000,221000,960000,114000,0,3716000,8000,512000,0,0,40000,0,6000,46000,2354000,0,0,52000,0,356000,0,0,0,0,0,232000,12000,26000,4000,0,0,96000,0,12719000,0,0,29000,86000,76000,0,26000,0,0,0,0,3000,0,0,0,0,0,62000,129000,0,0,8000,3000,0,19000,0,81000,0,2000,302000,2000,3000,0,11000,0,238000,0,776000,0,0,2000,0,0,5000,0,6288000,0,0,24000,0,0,0,1427000,0,0,0,65000,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG",0,64000,1e+05,3229000,0,0,4000,9000,1329000,339000,102000,17112000,2e+05,0,199000,78000,6990000,2727000,0,311000,0,217000,0,0,2096000,534000,0,0,0,2270000,89000,37000,0,0,181000,0,1000,0,0,93000,0,0,288000,383000,0,48000,0,0,110000,610000,5000,0,115000,0,230000,0,57000,39000,0,21000,0,3000,0,0,40000,0,12000,0,0,1000,0,0,89000,397000,13000,0,0,0,0,0,27000,3000,0,87000,0,0,0,1000,0,0,0,0,1000,0,0,0,0,0,12000,2000,0,0,62000,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,293000,0,0,0,0,0,1284000,0,0,0,0,0,0,609000,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GAB",0,12000,779000,1244000,0,0,0,635000,715000,0,19000,16498000,1001000,0,214000,1000,62768000,3603000,0,283000,0,50000,5000,0,715000,469000,0,529000,0,4366000,109000,1000,0,0,11000,9000,1352000,0,0,712000,145000,0,7099000,0,0,82000,0,0,228000,3377000,0,0,421000,2000,401000,0,77000,0,0,0,0,29000,0,0,0,0,61000,0,0,0,21000,0,228000,1000,0,0,0,2000,11000,0,177000,3000,0,0,53000,0,0,29000,0,0,0,0,0,0,0,5000,0,0,60000,192000,0,0,1000,3000,0,63000,0,0,0,0,0,0,82000,0,0,0,33000,0,146000,1000,0,0,8000,0,253000,0,8000,0,0,3000,0,135000,0,36000,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0
"GRC",5000,1576000,6842000,5299000,5446000,73000,1262000,1435000,5108000,7000,6384000,88247000,1518000,2887000,1382000,3403000,16691000,26901000,231000,8043000,29000,820000,418000,1334000,20618000,3858000,0,1492000,21000,10782000,1770000,26000,78000,67000,10027000,783000,12000,23000,24214000,4691000,540000,1095000,39971000,11046000,0,0,3000,0,0,3155000,229000,112000,218000,45000,670000,19000,22000,3803000,72000,165000,2600000,0,23000,0,36000,0,0,0,13000,1000,0,2000,4000,77000,5000,0,0,2342000,6566000,0,53000,0,420000,56000,0,0,1000,0,0,6000,0,0,14000,0,31000,0,0,162000,44000,26000,321000,0,0,0,0,0,3000,149000,0,1000,4075000,586000,4000,2000,2000,28000,1000,1000,333000,11000,0,150000,792000,0,113000,29000,0,12000,0,0,0,0,0,0,0,0,13000,1000,120000,4000,0,0,0,0,0,0,0,0,0,0,0
"ISR",1046000,1209000,3433000,26164000,3122000,0,1442000,5795000,10877000,41000,199000,34503000,5682000,0,2659000,5078000,9729000,50758000,5721000,5443000,957000,2460000,6148000,0,7809000,15006000,34000,0,935000,7872000,4087000,69000,2000,1e+05,3149000,0,48000,928000,505000,8968000,0,5618000,55293000,9610000,9000,34000,1000,3000,3605000,0,0,47000,0,133000,2059000,19000,139000,822000,802000,304000,0,1000,1278000,0,11000,0,9000,0,0,73000,6000,76000,9000,19000,1196000,340000,22000,2311000,46000,13000,0,56000,1213000,2940000,0,1000,111000,0,0,10000,7000,0,220000,0,725000,0,2000,0,58000,1005000,448000,0,34000,0,266000,0,50000,0,0,5000,2425000,0,65000,16000,5000,0,43000,19000,0,908000,151000,176000,773000,0,2134000,706000,27000,76000,0,24000,0,0,0,19000,2000,0,0,6000,0,0,0,0,0,0,0,0,0,0,0,0,0
