"","ARE","ARG","AUS","AUT","BHS","BOL","BRA","BRB","CAN","CHE","CHL","CHN","COL","CRI","CUB","CYP","CZE","DEU","DNK","DOM","ECU","ESP","EST","ETH","FIN","FJI","FRA","GBR","GHA","GRC","GTM","GUY","HKG","HND","HTI","HUN","IDN","IND","IRL","IRN","ISR","ITA","JAM","JPN","KHM","KOR","LBN","LKA","LTU","MEX","MLT","MYS","NIC","NLD","NOR","NZL","PAK","PAN","PER","PHL","POL","PRT","PRY","ROU","RUS","SAU","SDN","SGP","SLV","SUR","SVK","SVN","SWE","THA","TTO","TUR","TZA","UKR","URY","USA","VEN","VNM","ZAF","AZE","BFA","BGD","BGR","BHR","BIH","BLR","BLZ","CMR","DZA","GAB","GEO","HRV","ISL","KAZ","KEN","KGZ","LVA","MAR","MDA","MDG","MKD","MLI","MOZ","MUS","NCL","NER","OMN","QAT","SEN","SRB","SYR","TLS","TUN","UGA","ZWE","ALB","ARM","CIV","MWI","RWA","TGO","ZMB","AGO","ASM","ATA","COG","EGY","GIN","IRQ","JOR","KIR","KNA","KWT","LBY","MAC","MRT","PRK","SLE","SYC","TKM","YUG","ABW","AFG","BDI","BEN","BMU","CAF","COD","DJI","ERI","GMB","GNQ","GRL","GUM","LAO","LBR","MMR","MNG","NGA","NPL","PNG","PSE","SOM","TCD","TJK","UZB","WSM","GIB","GNB","MNP","FLK","FSM","MHL","PLW","SHN","ATF","SGS","SMR","TKL","VAT","HMD","SPM"
"IND",8954817924.34001,232610535.25,956460138.78,323704604.56,8217554.02,12706368.59,1189040304.19,4479031.42,1433878545.78,585668378.87,168363031.93,8298294461.81,430650408.41,29646709.1,21357373.33,42696691.17,238713988.65,4199936143.62,618584205.479999,31306940,37452854.57,1960049239,24753150.58,208496638.8,196201222.44,34472859.9,2789360342.77,5175503029.66,204361480.5,455127734.37,71484259.27,16890290.7,4773454745.64,33022136.29,15718016,118673790.9,1375742921,0,302581696.43,1143825880.83,1294124018.97,2852022008.3,22076811.47,3132929226.63,24332862.46,2150882640.55,146948043.57,1494723599.61,32383243.76,912216941.64,36893787.05,1159911059.08,20984790.92,1925758761.46,223223948.13,165040141.99,611119139.32,57011910.13,133472507.57,479737174,369362370.61,274600992.49,25631565.16,171860501.62,815959787.670001,1812976067.69,329423991,4378315680.35,16119338.53,19147245,75478319.88,90628250.44,426698415.12,1298071567.25,64789055.75,1312214911.23,215451146.03,222795726,42618660.53,19159286918.74,98439695,667121210.07,1196879164.94,63576631.09,35250170.47,1459734148.13,40361822.92,249244315.64,25064647.29,45286176.36,2563128.89,42011689.27,352965631.92,17773551.17,20415034.24,62777986.02,21656438.64,111722851.83,367507050.4,21515603.98,27657531.02,171447992.52,13128507.85,100542382.9,11509221.72,44618320.63,116745205.44,226053761.44,3690633.29,45480043.25,426834260.420001,361506811.7,129144472.49,43767308.18,262812344.34,1593418.83,125329640.31,134798077.58,40221243.6,12498251.01,11947088.27,93014640.92,66598094.48,22106967.91,126554915.99,112421897.8,103300001,308381,46658,105944772,579618294,59577315.49,131058446,171509891,319379.72,247208,502348768,138212741,8195689.75,47441123,37961474,16958746,10827524,20273907,7112327,1534178.44,146965706,10249859,90916117,365220,890102,2876816,193449217,6890613,17670257,6493771,8191,365062,5917672,23919556,116739881,1910424.48,849582380,831124808,17299961,0,36239103,3343478,6566749,24366273,417640,323748,290688,51648,42593,62933,216104,18181,502554,12968385,0,0,60925,0,54408,2787696
"IRL",167139936.23,64176315.02,1591306390.88,630339398.71,2158485.41,826749.98,304502495.55,4123171.04,1658664964.05,4801473297.22,55275821.34,1402475722.51,66384366.12,425138783.04,4617440.41,42029677.67,436194863.9,11119596530.56,878877842.759999,6743480,26532578.96,4035154510.21,33055752.42,9987566,539761001.09,2871680.69,8972409546.68,17913860886.11,26338578.97,490761790.51,10144381.01,2915800.64,1004135285.88,3588821.34,734584,291570522.65,117836820,232628879.5,0,82628094.6,409504529.51,4603812481.38,10084606.71,3739627147.25,7123372.33,876037542.94,56769878.28,15260143.67,30571168.89,798808914.38,25565112.18,794697216.69,3325248.92,4571761494.04,890390981.419999,144126296.88,41744999.84,13692975.11,22189830.27,408614617,554725418.89,569523840.68,2291473.94,253306316.17,330630510.06,433974770.94,20452431,1210994586.85,4822246.38,830388,108428308.36,75378029.43,1546780204.62,208510027.62,16617236.78,739335739.76,13939585.84,29514925,12960788.42,28171393634.25,39344775,37040725.05,650147782.72,15665357.77,2579474.18,3263424.61,63208001.01,24304236.44,18351883.66,20906620.56,4328425.68,11264333.41,103314606.46,3757266.09,4996865.52,106631560.49,133325322.93,36364801.32,19898177.92,452398.61,25885988.13,169802583.35,3213402.34,2405062.18,14895067.44,12741685.36,6570256.05,9288648.62,6660019.34,727267.72,35057202.66,38729183.61,48993884.74,45596892.14,9918015.35,158180,43282481.44,6197246.66,7497651.52,11322896.39,1099863.48,17453820.42,5294340.27,846156.9,6108463.95,8151598.15,8034532,0,0,11861943,66194850,968272.68,12798273,33701959,117172,224711,62468292,21989839,3979045.78,144437,275056,962525,1801494,515698,8173647,1972425,3005074,129196,3040841,1851308,80055,16837345,18431,199179,974265,55798,24138400,0,1510606,2782078,4164707,454478,132035794,23179,7815015,82615,45779,200332,4662,1081178,250848,3832587,11977,12218,4051,0,6184,0,0,0,0,234049,0,342910,0,0
"IRN",1191671353.98,498468.64,23451859.01,205776509.66,0,15934,3044003.1,11107,38361768.36,47306803.8,1424500.99,5990950861.49,494432.89,18051.88,3703152.64,3581996.66,14172189.5,619003700.61,13092191.56,11880,208257.62,1797699865.31,3127956.83,17529448.27,5264052.43,426162.8,2828230719.47,96258429.09,902913.84,1696481511.12,88260.51,331576.16,195143052.33,280432.4,26110,4926116.07,107649829,806184290.87,14112552.16,0,12000,3783353697.63,45328.55,11048644990.39,51748.72,3198529733.1,36433909.88,454686311.9,4128816.66,4996671.92,4196262.92,311115714.1,5010,1052427889.8,8943121.27,3471036.46,417208033.3,1259489,1316828.83,7902764,17432498.92,123028122.98,23404,93590782.35,164994715.31,451627353.17,22109918,1147066022.84,15922.43,0,13296258.03,3452910.65,149847901.66,43602779.89,317050.27,2459092407.7,7087484.14,33734161,726105.66,176416737.94,13292017,28972183.9,2260615619.99,265897918.35,1571891.32,31470536.8,8672261.57,109521646.38,2649155.87,2712340.16,0,1315238.27,9271755.88,285291.26,39302373.61,2239145.5,423020.01,32761420.61,9148761.2,23003601.75,689366.86,515583585.03,637917.76,2521978.05,1960289.93,622684.15,495511,2054648.55,65198.98,3905840.12,63021980.21,83952506.11,1742962.74,3784274.1,178047419.81,0,2887369.55,3151992.2,2230346.8,19372059.02,131690338.66,1644869.95,187274.8,666909.3,78885.19,351494.12,136040,9068,171521,729356,18836397,1206608.28,917479448,13984806,0,0,398168882,2166430,28934.29,66230,10965,825148,338443,126763196,2426083,71291,482251447,0,1324669,0,1079138,0,7268585,2494362,136843,0,0,30192,0,34535,1414312,544598.28,8762605,107540,0,0,192933,21133,100274784,68218480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISR",3104000,76741041.06,520051543,115490574.77,1197431,3305884.64,523112568.9,1940610.07,683901564.900001,354605046.17,85320243.87,1058206640.65,115196644.84,159411622.66,20918553.47,428976635.03,112769834.52,1525004980.52,117427218.76,15390000,54242869.53,758807516.87,13740352.37,66036157.55,135237750.25,380896.54,1255931961.12,1767355933.2,20928249.36,239315072.61,33518679.94,105927.26,1646596382.93,10078990.12,4207000,93597721.4999999,11860000,1167229567.38,174651765.75,84000,0,1115875890.71,18164252.78,881249735.36,108458.9,558555387.72,20000,46897348.2,19945976.27,362340807.73,5849135.81,19392000,11051535.16,1376366245.25,90595511.7,50705489.69,1833000,10038987.77,38344898.42,58123000,250039087.66,74410488.26,4557178.11,225825152.1,388032626.63,486000,0,443084714.1,5933420.07,14000,23327112.37,81553926.59,146143472.66,542074196.98,8840080.49,814486262.43,11070593.53,102187000,15133167.25,16639265642.35,39290000,48535598.22,402306517.4,11375610.16,11994362.28,70927.61,49497787.55,259000,3214172.94,23272129.35,1557235.43,7715724.91,152000,497829.82,11544320.25,22462633.27,10883410.7,71876754.01,48595998.98,535414.35,20944933.75,11533000,9415340.21,1442844.43,9804668.86,1494204,1134458.51,12528192.64,959864.69,6221672.03,147000,465000,5852731.14,20353943.42,0,0,1901000,35647643.58,3880823.59,5502130.89,102601990.2,14107329.08,391738.46,15960214.17,526305.44,3076668.51,0,0,0,1520000,72559000,335912.91,5550000,112402000,0,0,1457000,276000,1667281.19,106000,45000,2420000,1231000,2036000,12580000,394948.55,119000,414000,4361000,135000,35000,83000,16429000,307000,283000,6730000,1808110,0,3503000,1424000,1855000,9403622.02,44421000,1110000,172000,0,0,607000,396000,5462000,120000,589000,0,0,5000,0,0,0,0,0,0,0,0,0,0,0
"ITA",3054987097.63,800953096.81,3203665919.44,8521922530.59001,64623617.27,26842565.91,2379669075.89,14269443.65,3446471599.78,13646030747.6,555580640.14,5949593323.88,348289819.26,101081468.24,302140098.09,692330720.67,3582947428.15,45645381433.21,3158306352.98,150168647,126066602.13,25814034134.94,284302919.85,243233292.08,2030872782.13,11300961.52,42823537774.7401,23185681041.95,188424068.59,6675431391.84999,128703320.59,3859177.85,3568595923.44,34268157.02,14033325,3171267594,590437824,2025607792.37,1706200729.78,2841524003.88,1793309186.87,0,22891339.69,5808972010.85,11972164.09,2719987949.78,1000286792.49,171277476.37,457567825.68,2990561042.28,1117859665.37,1062335460.16,15444383.39,8100220425.69,1683119284.98,585264992.07,580607979.99,590464878.46,203007585.39,283423298,6845529788.87,3354821834.88,31024915.67,5873724371.06999,6642371038.47,2416589874.82,265268774,2022368358.54,51017742.27,7872268,1551672214.83,3330936898.02,3576618786.24,1038790394.93,95923069.75,7634077269.37,71301820.73,1585784654,90982444.73,30603190715.49,605247210,315928063.46,1660045762.06,138316688.43,32906725.65,204985382.27,1618005561.61,203428258.8,624715142.6,356520737.68,11987886.86,92624974.6099999,1703373706.25,53778543.5,88795001.92,3007968324.38,168463377.96,640370086.91,130936026.04,14867977.3,283250691.95,1310155535.32,162507106.1,28354400.75,202542057.3,28523455.9,30647059.01,97348098.85,48427054.65,52356507.24,210265800.1,717186038.84,128468503.52,890630033.21,816734198.68,263130.13,2904396332.54,53189023.49,15849430.6,767911361.279999,74780249.43,150895233.92,11337615.89,6020651.93,71620463.23,14934814.16,164293332,447160,0,95426734,1699827190,82531868.29,362260293,404169698,3326.34,518843,522113796,1694477766,36764562.43,26812599,11942585,7867183,39622443,24685512,1153926309,15357522.55,26685969,19326165,45726259,72247860,1535429,33235070,17469245,81898257,6977550,212448926,49340.25,17710947,1376282,62970357,5283024,6065980.56,703728699,3903244,1636186,2172720,2338977,6542944,21555161,62608480,331836,416087140,47277561,7919507,3182,147427,62118304,0,88166,4638,71433,0,313613,14328759,0,1783507
"JAM",27402882.19,108188.27,5627305.57,575758.49,2173696.46,5010.78,6873320.99,11951888.77,301644516.46,1304361.37,71760.79,124271774.44,1206821.05,570776.28,2669554.86,25038,541106.42,99906648.7,339577.41,4746379,467724.2,3428961.48,232017.93,65151.53,7054963.07,22447,61946341.97,169836129.93,75006.74,14009,917707.39,3730152.97,1767792.76,1080085.06,534631,88783.31,0,2737437.48,858997.3,11815806.81,108683.88,2932158.57,0,19700015.81,9723,956789.56,31622.13,1717,0,5666731.15,7991,141189.56,19931,63788256.06,124127228.18,4863641.67,151395,1639286.69,593355.5,15769,206525.67,27629,0,15808,22451583.95,232443.94,0,504269.59,565859.54,916018,20711907.22,23956.33,9300388.8,2312088.43,18077101.65,84038,56560,0,111981.85,388996154.62,196138,640917,10175010.67,0,0,246335.38,20065,44329.47,0,31600,4059873.17,0,42574,0,3120,29117.47,6196819.33,6477,1269705.77,0,0,20594,0,1276259,2256,0,26226,20011.5,1923.04,0,0,0,0,1602,0,0,9157,4735,1366,0,0,15964,0,0,81394.88,6319,0,0,0,0,0,0,0,6049,0,1706098,0,0,17600.52,0,20710,0,0,0,0,1272623.71,0,0,0,881560,0,0,0,0,0,0,0,20203,0,0,0,0,13862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JPN",4752075793.9,564893633.34,12959268420.07,2028222159.49,223473721.87,126239823.55,3332794063.63,118394375.3,11526866110.2,2436591323.41,1274393871.99,81677793133.5602,720226029.09,545064545.63,255558710.75,315152119.69,2179535360.28,23343021407.53,773894038.86,313142735,350861784.28,6957542073.48,436172775.94,131527504.23,1896957847.97,71224695.21,11682190426.23,15347571376.07,112454372.23,1172139155.99,383434856.78,26451131.7,32924987657.43,104336408.22,23825540,2243206304.49,8883102782,3709579682.71,2042655139.22,1410619588.9,1243898074.75,6214136616.98,191605269.96,0,107310752.51,45642722074.71,295345637.94,395740582.78,76035418.2,10961986180.17,86213552.79,13457649464.51,113132720.54,9485854254.63001,1744978316.36,2818582696.62,1661946159.79,7258133627.23,437375323.16,8673080268,1762415124.29,770881626.04,103256563.58,561586008.47,5114102737.44,4884398964.02,178636940,18321185470.56,147198836.23,42607521,530554683.99,293612136.49,2342961767.9,24164120615.44,217785140.15,2910922638.24,185814654.66,385712140,55574654.4399999,133476890599.66,769911010,3764013757.89,2615929702.52,70479064.56,15660942.64,711842759.290001,218823189.36,573488341.54,49893109.2,55440803.17,13850475.37,74562192.24,686760643.72,51118760.65,14423788.12,261207270.5,270880337.67,522044775.55,309158914.38,10694041.06,37573695.41,347124108.91,21103966.66,40006655.91,22415573.08,23401986.39,74398623.14,114568084.17,60477325.87,18433098.08,1427633352.88,1247183515.92,60618051.2,105097020.3,277190955.76,12333991.43,178995202.77,131015862.41,30207680.32,11228296.86,3054564.93,72918913.7,14416180.55,19648985.23,18610979.38,43733046.76,116213408,3973810,0,5665530,780922463,14747093.14,131460278,238824457,15931698.49,9627923,1173353503,139352534,305501881.32,27085228,59791546,7228239,5810284,15097167,10114665,942755.19,76290527,7325100,18169831,25220433,1155113,16261236,45415887,3686585,3633698,5967171,542155.74,116672270,17616919,1087794986,91337473,98024467.14,515932329,17037914,78923058,354238,219838,529368,1628642,30016268,21709791,54280344,313562,36109459,14571,8829469,202958104,5321618,177894,0,0,0,7829,0,0,79641
"KHM",1790135.29,730022,10316493.73,29149279.75,0,0,1007002.24,18592.95,145123109.83,25504517.06,1293398.97,37704690.66,257615.87,9396.37,34037,286264,5665365.28,371578600.84,2204570.24,0,90924,60271719.03,829894,0,5057732.79,0,117845773.25,195813520.67,12043,3746768.34,104486,0,548366717.38,0,147921,136077.14,1164259,553396.74,14874872.31,0,188474.48,14506578.24,6090,165152796.05,0,7213004.38,442004.1,276921.97,81038.01,12589582.46,75053,12460496.95,99680,21597784.7,10198772.65,720447.54,1448534.11,1051072,1201952.28,1742092,6770066.01,95306.61,0,457003.78,8735900.24,1260255.78,0,107703903.23,174017.98,0,886665.04,1636876,15059954.49,41688688.88,14286.14,10426767.17,41503,337027,51964,2438181624.34,21224,162166882.34,1030635.49,1039,32890,52832,9186894.77,120045.05,146399,128200,2616,27353.92,670234,14037,1107,624264.27,574377,61874,437688.77,0,21019,40862.95,12190,0,3171,0,133503,3672,55289,0,0,336703,0,281843,0,11998,38143,0,0,4031,0,150250.46,2433,0,0,0,25122,0,0,28984,45451,0,0,36544,0,0,3084,0,229056.4,100945,5481,15782,0,0,18709,0,40799,0,0,1792,0,0,0,0,0,0,0,0,174206,0,52877,3251,0,0,5072,0,1851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32155,0,0,0,165913
"KOR",2376279795.64,379895699.5,3928178160.12,1046551536.25,1583437782.89,18269397.76,2376160228.58,17912393.24,4279896066.83,677958539.43,1144950259.92,60338983713.64,624873448.909999,164052090.21,88802308.97,893833304.42,546475009.1,10531150596.31,746789258.61,120401622,396141195.98,3599687024.1,111920074.92,59202506.4,1073237989.32,19392623.34,4166838395.1,5781052113.03,124411740.89,1517964441.27,612544205.22,3171745.72,14616414124.16,112147393.23,15056707,1171676706.98,5044853322,4838226165.06,1015675477.01,2347052212.82,869304792.75,5078198333.68,25909023.07,23886764154.57,200628448.95,0,120596026.87,226730074.09,124432320.25,5645265876.14,421748700.01,5221288384.64,121710777.55,3386255152.66,674431329.53,722070242.07,724476599.1,1554226544.34,340554949.33,3216897790,1478917830.25,390789460.42,42543284.47,545843411.92,4219197424.96,2436646684.27,165181730,8439428832.12,106864681.83,5298516,850483133.6,144160091.86,1100473133.69,3740788180.91,42740576.95,3245027442.32,38362511.15,686650472,53443036.62,43982978073.86,570474366,3500437631.19,1501044110.21,48417031.41,1415626.41,633852597.290001,152769508.96,178522310.28,30122702.01,49479301.26,4142300.73,19083724.99,389996776.16,3007674.75,9192525.49,179312133.06,58640793.69,300502290.37,67163509.62,54527793.8,46514803.06,262607249.77,13662826.75,20770387.95,32648485.89,2068136.18,14315332.8,35603409.66,49542073.8,3990376.07,307091383.11,675015265.47,19506763.81,88336214.04,421098962.84,979684.68,102583692.87,17271055.62,13871720.14,12196304.3,5878940.07,45734591.39,9679680.84,2469662.99,17891910.83,23071305.26,1517369545,2638353,132169,17188874,706746018,18570400.54,68159426,467749340,151860.6,602402,457994422,364676603,63459020.48,3418931,0,2248250,5317117,6441698,18186410,15026142.68,59623840,1028225,15228455,661214487,616558,2817380,15365016,839551,2312888,450280,0,187561391,13899079,1987058929,119888854,76269297.99,831031039,13734948,16851863,10455059,1782719,467042,12720594,493041399,6188267,12722145,148620,75831006,64359,4831521,1141074614,2869924,157391,0,0,50886,1885556,104556,0,2158
"LBN",199664650.07,216713.5,9584585.82,1314459.63,0,1109,5422652.72,27035.25,10435544.91,237621062.68,431484.56,24509914.6,367045.08,27997.95,1000,27964657.91,1331414.68,20465528.01,1610840.29,31000,198963.81,17845900.59,712286.9,851421.28,1153902.47,0,43339304.34,39023464.69,16147471.4,25104194.17,13398,13000,8389316.61,45282.42,47000,2431980.78,636000,21278618.78,3972375.96,52385699.25,0,33247296.24,45345.89,4465411.52,0,13697530.63,0,2173592.06,488505.59,299805.7,9509553.88,2126929.77,1080,21915921.04,1252453.7,384299.82,14442562.09,538977.88,64611.47,71000,9020242.74,3795765.87,51473.85,4148972.64,5755416.13,157926252.6,14689000,1427009.95,8253,31000,51441,2778693.29,10981377.41,1503730.55,38424.43,192592056.46,818609.67,2393000,100315.88,89130984.51,607000,205127,3526992.66,121874.87,7845200.93,6610598.81,670921.02,19560340.8,183364.45,1714582.38,0,1989212.93,22914059.69,8919298.48,294382.71,252907.32,45492.88,401645.03,318318.14,11871,227789.2,12070015.58,379070.38,486649.64,4438.75,1879569.8,1070262.19,253871.1,2019737,822247.67,10280192.92,47659470.57,7045095.55,124523.59,201656201.11,0,10004800.51,473245.76,594078.29,1458248,10523857.76,7505787.99,19643.79,0,2038764.87,2619863.03,17398000,0,0,9329000,54454000,12583716.16,178194000,75139000,0,0,80939000,16802000,25000,1508000,11000,6228000,0,1113000,221000,10232,490000,25000,1870000,0,4615000,2052000,308000,193000,2249000,3715000,0,0,81000,12719000,0,2000,26945000,2000,2000,0,0,10000,3000,7000,0,0,1000,0,0,0,0,0,11000,0,0,60000,0,0,0,0
"LKA",148729475.56,5691864.1,74170445.53,21371253.12,23550,1529839.52,11838889.14,196031.62,87937104.66,51662797.66,18978115.78,37115513.94,4240082.98,414993.67,28339,1551089.94,13501685.61,331441240.8,13769401.96,0,2634534.41,87295402.01,3160762.14,590865.36,14690424.49,2859220.59,164013598.47,861248392.88,1960735.37,5617961.13,1721161.36,177365.93,65296566.52,444625.68,8949,3228239.91,23473896,591808294.2,28036331.02,72387735.14,40629323.55,185507904.5,1491780.97,185473461.42,460712.63,32996461.86,7778589.05,0,3680073.38,61170642.43,388678.11,15980800.61,513925.87,114323972.08,13575845.19,19084508.51,55553339.79,4318045.1,4867993.32,3198170,26386419.59,6113357.03,162378.1,2513686.62,163955033.99,46604025.5,417466,79988859.64,682737.39,69414,2210376.5,2731355.13,32389488.35,22779614.56,1060772.91,37208491.37,1526019.82,25152695,794257.38,2140950141.55,367702,11813117.64,13662972.68,5035112.52,24665.3,17893955.31,1347293.31,11244395.98,385559.06,4393131.64,216203.98,191526.63,1604242.94,0,397043.92,5288100.06,1064434.21,3731086.22,4527895.51,1358404.66,1147033.26,3001106.02,959428.74,3175976.45,1170469.24,316836.23,20641,3328583.07,183365.97,45105.64,8240074.49,5458947.69,256064.03,2856765.03,65034009.9,0,12576907.78,331782.56,129457,88032.54,575141.96,832113.33,59016.78,264727.42,450102.65,62870.07,525567,0,0,143113,13722835,801959.69,20231890,27326237,1011.25,20749,12198224,21163199,938852.67,252745,3270,364654,894966,241126,0,51923,2037054,0,0,0,0,47046,15043,0,713273,0,18395,35083,111904,99509,102228,1110672.22,4112121,289979,371768,170936,0,0,82994,3131496,79668,0,41965,0,0,0,0,0,0,0,0,0,0,0,0,0
"LTU",4408302.07,5413576.43,12156126.47,42830462.24,7668090,10184,4947151.02,2552354,389006321.48,41473546.7,916175.69,20851404.08,824936.92,85525.91,234812.4,5902604.74,68322846.7,1007525985.46,467757123.94,19090,137980.65,274722548.63,545561772.669999,0,117692793.75,0,843623450.51,532612852.73,475169,10833218.65,584756.8,0,6597487.13,29782.88,0,46731640.63,122737,32002231.37,63686812.31,6678726.16,12847735.66,200775645.98,3385887.6,24306868.58,9253,11989147.51,1409090.77,2142082.74,0,10728445.44,1732603.99,10612806.76,28888.95,349740822.74,268635353.37,1417042.42,24358561.9,17180653,688930.43,938332,618072498.29,59921134.58,31285,25676672.58,1186950855.82,10026610.95,118445,333914386.54,4000,0,20753873.66,5220536.56,815775951.81,5901852.01,185443.99,155742841.95,61449,281279634,42719.7,629553874.830001,2742406,2034930.89,20315265.87,8165073.94,499395,1442305,15011845.31,246142.15,1568742.69,331271379.59,9636804,428622.44,6706303.55,88914.78,31312107.76,10691210.14,75687191.36,62088147.5,55229.18,7610011.21,1113874061.42,4065434.79,14447092.98,9042,658899.76,165035,3549948.82,79186.07,110943.38,104689,540825.22,219614.09,311104.13,3535271.81,499325.43,0,771102.85,43847,3069,99100,2177139.66,2409429.83,1953944.43,241305,523644,0,414911,0,0,109849,822690,451565,622764,9273169,0,0,1100624,39978,57976,966204,0,84942,667492,1183446,3265581,12429,10714765,0,148797,0,24547,236072,0,0,269339,32709,318806,0,0,16891021,897597,690605.16,95435,88390,64897,0,0,0,20621133,23677559,0,0,31059,0,0,0,3039035,0,0,13793,0,0,0,0,0,0
"MEX",55365293.84,736393883.21,609100931.98,150419956,14446581.13,49184989.75,891600871.610001,14779075.76,9806490142.21,171955566.26,796796657.94,1535541596.57,1739423632.89,438491389.530001,269285379.43,5126769.14,96784509.58,2544460613.71,85472360.12,542354271,339824367.77,3080764599.82,5891142.18,493417.67,132883717.49,1225402.52,756212387.57,1769361217.94,1445193.91,35328059.68,921271321.03,5149855.96,224473931.07,264198221.49,11116412,44291352.86,66215654,602443303.45,177770091.23,35529973.68,92815155.99,344835739.21,102407927.51,2127862977.84,463841.35,416620243.57,10296799.79,4316334.64,5285043.79,0,2822223.2,104630976.98,255817980.71,769877377.890001,86555402.16,78888826.49,17341529.65,383472056.95,398201546.98,40585079,149102162.04,296789422.47,21752232.49,86011504.08,82556834.49,232660607.28,4234784,449571211.73,553261291.299999,5866100,24766741.55,21629964.25,63320204.37,173030498.67,75687443.32,190054198.92,261542.7,4138240,67939896.52,169469494104.62,1287009105,9923256.27,163763745.77,725286.76,0,4632087.45,11598074.04,4200094.98,2195387.97,6009340.11,80851442.26,1101301.29,106455198.41,709726.92,950288,13660438.08,4096809.1,65671975.22,929131.71,265268.3,1978006.75,14245097.59,315778.45,242719.53,906236.07,237256.27,6514803.79,1482275.21,2213037.08,164590.04,2773571.07,35967196.41,888643.39,7170577.25,15374422.84,7907,14988489.16,182890.98,314517,978649.18,68262,17952366.76,1110,0,14122.11,42802,31107038,0,0,69418,44002403,294544,1453810,2044529,0,289756,16064925,3590994,10171062.09,135718,8006894,14520,31380,0,538903,1448960304.85,162453,10883,1500,6791712,211945,0,0,96540,104496,0,0,145267,5930,2106794,317921,104042,22933402,9442,4898,0,0,55614,0,0,0,476070,60591,0,0,78599,429452,0,0,0,0,0,0,0,0,0
"MLT",16608498.41,7883.42,9375381.59,16033858,164836,65418.13,28734921.17,623564,30151286.52,13861975.56,2291663.76,215164533.29,1759533.31,296879.81,8483,10637489.6,23313177.81,303735686.55,6415183.36,878270,56886.73,28298894.43,2950105.66,22136.76,6427243.32,1754,381122002.27,327358590.31,1239566.58,10640807.84,64392.41,98739,132848400.3,15178,2041649,191461313.55,34482,37513723.6,5997571.06,1290421.33,19859761.8,250340376.88,638766.61,97294368.85,0,61482940.91,32037185.08,597992.54,526797.69,210014674.78,0,61124240.41,93088,28191896.57,15147166.45,556884.12,858198.53,0,231908.91,4692118,10701750.77,18810646.82,2700024,4029355.72,22106691.19,13560393.77,105241,375665588.62,64352.8,95764,1675546.07,805034.6,23612818.72,38326912.56,288806.6,48482555.32,164413.01,93717,443197,528807386.49,723764,326536.61,8767110.85,735498,50763,47738.24,11105983.07,1723945.9,2447411.17,339600,0,595087.15,1662372.45,611299.37,0,2889047.24,5643963.22,4808,645887.09,1434475,1300742,11812370.86,5621,73139.43,56352,1302619,0,145194.02,5290,227027.05,3109514.7,1463636.77,2538429.22,13892.69,212976,0,19242674.16,35133.12,149096,245153.29,213572.75,132893.69,2045218,0,581342.77,2899119,3517313,0,2185,172108,6853684,2825598,1327816,1058006,0,0,2454803,103716362,59367,29744,0,293101,6139,8635787,20170,2524,512675,1269079,0,0,36390,0,1502493,23588,639224,0,0,716804,0,283248,0,28435.64,15439047,27464,0,0,350735,0,0,0,0,0,665492,0,0,0,0,0,0,0,0,13089,0,0,0,0
"MYS",1698585760.3,106312243.66,4683179596.52,309544093.97,1137584.28,3013215.37,633901029.17,4762877.03,1992969016.04,191154092.45,164178423.6,11283941756.87,75245012.46,56218656.87,9313215.54,21889804.34,405060162.18,4351866670.08,344109627.94,11093207,11737385.2,840085864.37,59949798.92,25855492.14,405004624.07,34190134.66,1901646192.54,3244714714.86,66740739.69,96413671.3500001,29118663.45,6839290.39,7742825117.29,16936446.64,37407710,477894701.24,3243795736,4044563064.51,686881418.91,398597961.96,39886721.2,872441981.46,18859937.16,13926300309.94,156884328.19,5585466171.82,74645451.42,383928894.34,55800260.51,3096474346.62,56306484.18,0,9132471.72,4975942211.15,212720171.45,648634418.26,737233994.91,64479953.98,92156982.52,1960812599,349702145.25,87772038.21,32124328.07,122857216.57,718031382.69,633866219.87,126758711,25154216884.07,13871547.05,1229897,141859445.12,51715364.95,220758596.13,8199183414.08,13253769.06,794062549.31,25634727.42,147182057,9883066.41,30774570350.42,24768278,1309353003.05,703197212.1,22507815.94,1692118.9,477069396.13,42786980.06,68143392.1,4205483.15,52431411.74,950087.59,11360844.18,88555159.7,5861430.8,1240841.07,50847009.77,11398179.67,70014546.96,33926462.21,2012397.94,7268470.23,54141238.96,3177277.57,22675326.89,9519771.87,2452623.46,15051993.8,97280558.8,6591836.37,7737732.86,101355049.88,132487976.16,22036111.74,36673112.28,166197710.62,2396894.02,47805851.42,44717528.33,4598002.08,1966065.54,1315219.89,10725065.52,5735614.37,364313.83,51403872.98,3767793.26,22816570,576900,0,16451234,457542664,6413190.3,23522053,112397148,484470.72,72477,119449443,15651971,34212375.55,12798382,17442273,5543950,6016296,1171566,10454698,221164.87,5409222,80227,26353470,158737,316419,8692845,21525283,230044,15785488,671948,0,1945907,6179026,8332266,241235377,7624215.76,182827744,6575750,73261785,151315,7247317,38658,224777,7378463,1153930,10004,0,187577,0,20202,41371,382237,34199,0,0,625560,1187612,0,0,0
