"","AUS","AUT","BEL","BGR","BHR","BMU","BRA","CAN","CHE","CHN","CSK","DEU","DNK","EGY","ESP","FIN","FRA","GBR","GRC","GTM","HKG","HUN","IDN","IND","IRL","IRN","IRQ","ISL","ISR","ITA","JPN","KEN","KOR","KWT","LBN","LKA","MAR","MLI","MRT","MYS","NER","NLD","NOR","NZL","PAK","PHL","POL","PRT","ROU","SAU","SGP","SUN","SWE","SYR","THA","TUR","TZA","USA","VEN","YUG","ZMB","ARG","CHL","COD","COG","COL","LBR","MLT","MUS","MWI","NGA","PAN","SEN","TTO","ETH","HND","LBY","NIC","PER","JOR","SDN","AGO","BDI","BFA","BGD","BHS","BLZ","BOL","BRB","CIV","CMR","CRI","CYP","DDR","DJI","DOM","DZA","ECU","GHA","GIB","GIN","GLP","GMB","GUF","GUY","HTI","JAM","KHM","KIR","KNA","MDG","MEX","MOZ","NCL","PNG","PRY","QAT","SLE","SLV","SUR","TUN","UGA","URY","VNM","ZAF","AFG","ALB","ARE","BEN","CAF","CUB","FJI","FLK","GAB","LAO","MAC","MMR","MNG","NPL","OMN","PRK","RWA","SOM","SYC","TCD","TGO","WSM","YMD","ZWE","GNB","SPM","GNQ","SHN","GRL"
"MWI",566000,1000,535000,0,51000,0,1000,951000,363000,0,0,2771000,1018000,420000,1401000,267000,843000,30890000,244000,0,445000,0,0,32000,3994000,0,0,0,208000,303000,569000,16000,0,155000,0,0,0,0,0,1000,0,3049000,615000,133000,53000,0,0,1198000,0,24000,25000,0,230000,0,13000,0,994000,3689000,1000,0,2834000,0,0,1035000,27000,0,521000,34000,0,0,6000,0,7000,0,1477000,0,0,0,0,0,0,30000,0,9000,0,0,0,0,4000,28000,320000,0,53000,0,0,5000,8000,0,0,0,0,5000,387000,0,0,0,10000,0,0,11000,85000,0,335000,0,496000,0,0,1521000,0,0,1000,0,0,0,4001000,0,0,0,0,0,0,0,0,138000,0,0,0,0,0,0,0,0,0,0,0,69000,61000,0,4244000,168000,0,0,0,0
"NGA",339000,9509000,27969000,1383000,2000,2000,23809000,61384000,16894000,4836000,1399000,286275000,34504000,328000,36967000,1578000,346608000,389757000,3466000,0,21000,1973000,1000,217000,5253000,9000,1000,24000,18000,60631000,79961000,27000,1147000,4000,1128000,2000,2000,19000,0,6000,1828000,295731000,1005000,70000,13000,0,251000,1084000,0,23000,80000,28722000,72342000,13000,0,16000,3000,454037000,1000,1339000,6000,2000,0,448000,23000,0,145000,1000,0,1000,0,0,4753000,21679000,199000,0,250000,0,3000,0,4000,15000,0,201000,0,0,0,0,0,13003000,754000,0,9000,0,0,0,0,5000,10142000,0,0,0,19000,0,4000,0,0,0,0,0,0,2000,0,0,0,0,0,8014000,0,0,31000,4000,0,1000,0,0,0,0,1682000,720000,0,2000,0,0,0,0,0,0,0,0,0,0,5000,0,6696000,607000,0,1000,0,12000,0,12000,0,0
"PAN",2000,4210000,3829000,0,0,59000,24006000,3772000,12040000,0,0,30607000,2085000,2000,8357000,1954000,1525000,5118000,29000,488000,1445000,0,13000,0,1780000,82000,0,219000,142000,21866000,3267000,0,2773000,2000,0,0,0,0,0,8000,0,4487000,4884000,0,438000,1381000,52000,326000,0,0,12000,0,5647000,63000,368000,0,0,54014000,3337000,1305000,0,3884000,1568000,0,0,1181000,0,0,0,0,0,1484000,0,73000,0,1340000,69000,3534000,836000,92000,0,17000,0,0,0,0,0,2029000,4000,54000,0,5488000,0,0,0,3466000,0,144000,248000,0,0,2000,0,0,10000,3000,91000,0,0,0,0,15457000,0,0,0,235000,0,0,5931000,110000,0,0,0,26000,611000,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0
"SEN",3000,28000,3701000,0,0,5000,15000,54000,305000,52000,89000,6057000,54000,14000,3207000,850000,133967000,6413000,665000,0,9000,0,0,316000,174000,22000,0,0,2000,7130000,2912000,226000,0,136000,3202000,0,664000,6170000,5470000,0,1236000,5610000,3190000,4000,0,0,73000,884000,0,0,0,4e+05,1005000,33000,5000,0,0,975000,2000,22000,18000,25000,0,4608000,422000,0,470000,0,3000,0,913000,0,0,3000,1000,2000,0,0,0,0,3000,49000,0,1585000,0,0,0,0,7000,8743000,1415000,2000,0,409000,190000,0,0,0,50000,0,1137000,84000,735000,32000,0,0,0,0,0,0,173000,0,6000,19000,0,0,0,795000,0,49000,51000,0,0,2000,195000,0,0,0,2440000,60000,0,0,0,1224000,0,0,0,0,0,0,0,0,19000,0,1658000,644000,0,0,0,7000,0,2000,0,0
"TTO",275000,168000,310000,0,0,233000,13018000,13696000,365000,2000,0,8013000,8585000,1000,624000,10000,1009000,48821000,16000,71000,94000,0,10000,1000,9000,10000,0,0,8000,4286000,2136000,7000,0,0,1000,3000,416000,73000,1000,66000,173000,295000,7701000,93000,1000,4000,0,207000,0,1000,154000,0,46921000,0,1000,0,0,259845000,892000,5000,12000,202000,9000,304000,474000,208000,127000,8000,0,0,1072000,253000,256000,0,0,167000,0,138000,484000,0,0,2237000,0,86000,0,2020000,237000,2000,11790000,290000,774000,465000,10000,825000,0,1284000,1700000,8000,4000,2000,0,1524000,77000,2311000,19351000,182000,16397000,0,0,16937000,0,9000,9000,29000,10000,16000,0,0,325000,11146000,0,0,263000,0,0,0,0,0,112000,0,0,1000,0,0,0,0,0,0,0,0,0,0,3000,0,0,197000,0,0,0,124000,0,0,1120000,0
"ETH",1e+05,1163000,2011000,0,18000,0,15000,140000,1249000,5104000,1064000,12546000,1180000,98000,3561000,1944000,6706000,5602000,2604000,69000,6000,0,10000,5000,16000,183000,6000,15000,2367000,10935000,14155000,523000,27000,195000,765000,4608000,41000,1000,0,24000,5000,3621000,993000,2000,17000,0,0,12000,0,9728000,3564000,3046000,548000,22000,0,0,12000,58761000,22000,2105000,2000,0,0,85000,0,4000,0,10000,410000,3000,24000,0,45000,19000,31000,2000,101000,0,0,433000,611000,0,0,0,0,0,0,0,0,1000,2000,0,183000,7000,9678000,0,179000,0,17000,0,0,0,0,0,5000,0,0,0,0,0,1000,8000,0,0,0,0,0,0,0,0,28000,32000,0,0,1000,0,0,0,0,0,6000,0,0,0,0,0,0,0,0,0,0,85000,1153000,0,0,0,0,2260000,0,1000,0,0,0,0
"HND",9000,3420000,4216000,0,0,0,85000,19612000,5290000,0,0,34973000,2963000,0,2626000,1898000,1917000,755000,32000,1262000,1000,102000,0,0,108000,4000,0,66000,112000,5388000,5453000,0,0,110000,0,0,0,0,0,0,0,4390000,1240000,0,0,197000,1566000,3000,0,0,0,0,2354000,0,0,0,0,108922000,33000,3198000,0,0,3000,0,0,630000,0,0,0,0,0,1317000,0,2589000,0,0,157000,4010000,1000,36000,0,0,0,0,0,0,0,6000,1246000,0,0,1809000,0,0,0,761000,0,4000,0,0,0,1066000,0,48000,0,243000,4549000,0,0,0,0,227000,0,0,0,1000,0,0,0,0,0,0,0,0,39000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LBY",0,13432000,32029000,14053000,0,0,19704000,41023000,45003000,0,0,659683000,3210000,882000,84625000,65000,252253000,360104000,3456000,0,0,0,6000,0,24000,0,0,0,0,483943000,4793000,0,39000,10000,1634000,0,0,143000,34000,2000,1028000,95241000,3000,0,0,0,0,0,21408000,0,10000,49287000,647000,92000,0,2000,0,227048000,49000,62000,0,1764000,0,0,0,0,0,297000,0,0,1000,0,56000,86765000,0,0,0,0,0,0,10000,0,0,69000,0,147184000,0,0,0,0,0,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,631000,12000,0,2000,0,0,0,0,997000,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,125000,608000,0,0,0,0,0,0,0,0
"NIC",105000,770000,4609000,0,0,0,101000,2595000,2269000,0,0,20791000,3790000,0,1227000,723000,2284000,686000,2000,8658000,3028000,0,0,0,1000,3000,0,0,0,4478000,51112000,0,0,0,0,0,270000,0,0,1912000,0,2933000,51000,0,0,0,1657000,2286000,0,0,1879000,0,273000,0,698000,0,0,81861000,925000,0,0,7000,0,0,0,1000,0,4000,0,0,52000,2037000,373000,35000,0,7776000,0,0,240000,94000,0,0,0,0,0,0,0,4000,0,0,0,26542000,0,0,0,59000,497000,7000,542000,0,0,0,0,0,0,143000,1045000,0,0,0,0,241000,0,0,0,0,0,0,13525000,0,0,0,0,7000,1000,0,669000,0,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PER",1999000,7479000,35990000,4492000,0,1000,15166000,9319000,13932000,42713000,6959000,133721000,4793000,0,22700000,1161000,37392000,31456000,1273000,308000,161000,4490000,0,4363000,2129000,2119000,0,0,1781000,31572000,185462000,0,1266000,523000,315000,0,0,0,0,328000,0,39263000,4302000,48000,3000,1624000,13246000,1189000,2297000,6000,1110000,6107000,4430000,0,0,0,0,313447000,3178000,7345000,0,17769000,8097000,0,0,8387000,0,184000,0,0,1000,474000,0,619000,0,197000,0,183000,0,83000,0,0,0,0,0,86000,0,2749000,4000,0,0,73000,7000,7833000,0,319000,0,2837000,1000,0,0,44000,0,0,1000,6000,149000,0,0,1000,0,12568000,0,3000,0,28000,0,0,527000,0,0,0,460000,0,153000,0,0,369000,0,0,6796000,0,0,0,0,0,0,0,0,0,1247000,0,0,0,0,0,147000,0,0,0,0,0,0,0
"JOR",0,0,197000,0,32000,0,0,3000,0,0,590000,242000,2000,2334000,0,0,334000,1564000,6000,0,0,0,0,6689000,0,576000,2371000,0,0,361000,2859000,0,22000,6804000,5467000,170000,0,0,0,0,0,179000,2000,0,353000,0,0,0,0,5979000,178000,0,2000,4512000,0,664000,513000,1000,0,690000,0,0,0,0,0,0,0,0,0,0,118000,0,1000,0,6000,1000,0,0,0,0,79000,0,0,117000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,247000,3000,20000,0,1000,0,0,0,0,0,0,101000,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,63000,0,0,0,0,0,0
"SDN",442000,1445000,3930000,723000,0,0,130000,163000,5803000,41555000,7568000,38804000,969000,21993000,5990000,2061000,12838000,5151000,1057000,0,2707000,4415000,292000,51056000,170000,860000,2000,25000,0,37548000,28972000,3000,0,240000,2459000,15000,0,0,0,94000,0,3163000,339000,58000,22000,11000,5460000,9642000,1606000,9313000,1237000,1359000,1653000,347000,1269000,6000,0,10002000,352000,6891000,1000,1000,3000,12000,0,17000,0,0,0,3000,18000,0,9000,9000,590000,0,626000,0,41000,1118000,0,0,0,0,0,0,0,0,0,0,1000,13000,0,3316000,92000,0,419000,8000,0,0,0,1000,0,0,3000,0,0,2000,0,0,0,45000,0,0,0,0,0,0,0,0,430000,8000,0,0,0,0,0,867000,0,54000,0,0,0,0,0,0,11000,0,0,162000,49000,0,3e+05,0,116000,0,0,1443000,0,0,0,0,0,0
"AGO",873000,2293000,7473000,0,47000,0,728000,45594000,6933000,0,0,31178000,3008000,0,27003000,580000,20046000,16453000,903000,0,1227000,0,23000,0,528000,46000,6000,56000,0,3964000,71178000,0,388000,0,11000,0,85000,0,0,0,0,19652000,248000,449000,0,0,0,174351000,0,0,1124000,0,161000,0,0,0,0,0,0,204000,43000,0,0,9097000,3000,0,0,0,3000,9000,1441000,32000,16000,17526000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDI",0,13000,724000,0,0,0,0,0,0,0,0,2616000,95000,0,493000,0,728000,104000,0,0,0,0,0,1000,0,0,0,0,0,1551000,389000,0,0,0,0,0,0,0,0,0,3000,256000,0,0,0,0,0,211000,0,0,0,0,93000,0,0,0,1000,0,0,142000,2000,0,0,95000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BFA",0,0,16000,0,0,0,0,8000,504000,0,1000,991000,1256000,0,246000,0,4725000,61000,94000,0,37000,0,0,0,0,0,0,0,1000,1388000,808000,2000,0,0,125000,0,84000,316000,0,0,116000,9000,0,0,0,0,0,514000,0,1000,0,145000,96000,3000,0,0,0,20000,0,0,0,0,0,2000,3000,0,1000,0,0,0,0,0,17000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411000,23000,0,0,0,0,0,0,0,862000,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,23000,0,0,0,0,0,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,79000,0,0,0,0,0,0,0,0
"BGD",4690000,0,0,0,0,0,0,0,0,0,0,11846000,0,0,6813000,109000,0,0,0,0,0,0,28000,1479000,0,0,1871000,21000,0,0,6354000,0,0,0,0,0,0,0,0,0,0,0,0,2012000,0,0,0,0,0,0,1975000,0,877000,0,5000,0,0,0,0,2250000,223000,6938000,0,0,0,0,0,0,0,139000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12000,0,0,0,0,0,0,0
"BHS",148000,0,3461000,0,21000,692000,2303000,16828000,1353000,0,0,762000,541000,0,0,0,249000,10604000,0,20000,19000,0,0,0,255000,0,0,24000,0,148000,5823000,0,0,0,0,0,0,0,0,0,0,1692000,3575000,33000,0,646000,0,271000,0,0,0,0,697000,0,0,0,0,0,92000,0,6000,1963000,55000,0,0,20000,0,58000,0,0,0,121000,0,2000,0,6000,0,0,15000,0,0,0,0,0,0,0,0,1000,24000,0,0,0,0,0,0,9000,0,12000,0,0,0,3000,0,0,249000,0,0,0,0,0,0,98000,0,0,0,0,0,0,9000,0,0,0,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLZ",3000,12000,103000,0,0,0,0,2888000,8000,0,0,1877000,169000,0,0,1000,415000,6525000,0,0,0,0,0,0,1000,0,0,0,0,240000,142000,0,0,0,0,0,0,0,0,0,0,123000,5000,14000,0,0,0,0,0,0,0,0,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108000,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,1000,0,0,0,0,0,21000,0,0,0,0,0,82000,0,0,31000,0,0,0,0,0,0,191000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0
"BOL",10000,367000,6437000,0,0,0,11763000,921000,461000,0,2579000,15401000,256000,0,1475000,18000,6831000,41899000,2000,4000,0,0,0,70000,5000,0,0,0,0,1233000,18718000,0,0,0,0,0,0,0,0,0,0,964000,0,0,1000,0,182000,147000,1345000,0,142000,3624000,325000,0,1000,0,0,66230000,13000,71000,0,28379000,7321000,0,0,1227000,0,0,0,0,15000,1000,0,0,0,0,0,0,10544000,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,1172000,0,79000,0,4000,0,0,0,0,0,0,1000,0,0,0,0,0,0,430000,0,0,0,2000,0,0,16000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRB",43000,57000,25000,0,1000,172000,0,2071000,2000,0,0,292000,4000,0,0,0,27000,17960000,0,0,3000,0,0,0,21000,0,0,0,0,22000,17000,0,1000,0,0,0,0,0,0,0,2000,59000,0,20000,0,2000,0,1000,0,0,0,0,0,0,0,0,0,5484000,24000,0,0,0,0,0,0,5000,0,1000,0,0,0,1000,9000,3349000,0,0,0,0,8000,0,0,0,0,0,0,87000,0,0,0,0,101000,0,0,17000,0,1000,0,0,0,0,0,103000,1000,1000,847000,0,977000,0,0,0,0,82000,0,0,0,0,0,0,0,127000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CIV",704000,3952000,13341000,157000,7000,0,16000,1865000,4648000,0,265000,108219000,2541000,53000,29613000,289000,214851000,22215000,5573000,0,188000,3236000,13000,31000,862000,90000,4000,1000,752000,66948000,12073000,15000,33000,211000,909000,0,12447000,8593000,319000,43000,4926000,28626000,177000,9000,872000,0,983000,1312000,740000,9000,37000,5953000,1509000,214000,3000,428000,0,76921000,0,5061000,21000,35000,0,593000,373000,10000,886000,256000,30000,6000,619000,177000,14496000,26000,1000,13000,31000,1000,55000,7000,2216000,0,1000,6631000,0,0,7000,0,0,0,1185000,0,120000,103000,0,0,3797000,20000,888000,28000,41000,361000,6000,12000,0,7000,0,21000,1000,0,371000,29000,159000,158000,0,0,0,228000,0,0,1443000,7000,0,0,0,0,0,0,2344000,183000,0,0,0,1450000,0,0,0,0,0,0,0,1000,0,0,166000,814000,0,0,0,5000,2000,0,0,0
"CMR",1000,269000,7977000,132000,2000,0,0,664000,2430000,0,0,34230000,1083000,5000,5751000,22000,79767000,4845000,647000,0,818000,0,0,0,17000,0,0,7000,5000,6739000,9449000,0,55000,39000,309000,0,173000,9000,4000,10000,117000,51084000,23000,0,0,3000,95000,20000,21000,6000,0,4385000,198000,0,0,0,0,20256000,0,696000,1000,38000,0,274000,4921000,0,3000,0,0,0,270000,1000,47000,0,0,24000,377000,0,0,110000,53000,0,0,13000,0,0,0,0,31000,2687000,0,0,0,0,0,0,1212000,0,2000,0,163000,26000,0,0,89000,0,0,0,0,0,14000,2000,0,0,0,0,0,4000,0,0,74000,0,0,96000,0,0,0,0,69000,3552000,0,0,0,7123000,0,0,0,0,0,0,0,0,0,0,1597000,11000,0,0,0,0,0,411000,0,0
"CRI",51000,4037000,5948000,0,31000,1000,11000,10369000,7961000,0,151000,43637000,1309000,3000,2034000,8516000,4688000,956000,19000,13060000,17000,129000,0,0,79000,9000,0,128000,22000,17143000,7740000,0,26000,1088000,3000,0,997000,0,0,0,0,7579000,3283000,15000,0,53000,142000,0,0,0,0,3201000,8599000,0,0,142000,0,113143000,52000,208000,0,1000,3000,0,0,384000,0,26000,0,0,0,10193000,0,8000,0,5150000,345000,19225000,61000,88000,0,0,0,0,0,0,0,16000,0,0,0,0,0,1513000,0,310000,0,39000,0,0,0,68000,0,0,1000,45000,253000,0,0,0,0,2001000,0,0,0,0,0,0,14120000,1000,0,0,0,0,172000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP",109000,1415000,527000,0,197000,0,0,523000,292000,0,0,9456000,1278000,516000,5225000,1745000,3674000,54147000,2447000,0,58000,0,0,0,1296000,16000,358000,18000,1208000,18917000,268000,33000,0,1328000,1147000,0,25000,0,1000,13000,0,2147000,917000,17000,37000,67000,0,17000,0,0,14000,0,1628000,0,0,1163000,0,0,309000,818000,244000,833000,0,39000,0,0,0,195000,7000,1000,87000,0,0,23000,35000,0,3428000,0,0,242000,17000,0,0,0,0,0,0,0,56000,1000,0,0,0,0,0,0,0,0,0,0,0,0,41000,0,19000,0,0,0,0,0,0,0,0,0,0,0,0,189000,0,0,1000,74000,0,10000,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DDR",10101000,32967000,44254000,0,9000,59000,17712000,4450000,15316000,0,0,0,22880000,37708000,4003000,19181000,82445000,53651000,6346000,28000,738000,0,3e+05,25413000,2763000,711000,24083000,772000,32000,50819000,12071000,525000,0,2571000,4532000,1913000,1369000,143000,0,325000,68000,53817000,27155000,472000,460000,0,0,172000,0,0,1387000,0,48116000,0,1236000,8085000,307000,0,570000,100201000,75000,177000,909000,1993000,246000,3342000,243000,371000,69000,0,824000,137000,271000,304000,11000,156000,943000,0,41000,2149000,3553000,0,0,82000,0,0,0,24000,79000,1308000,1248000,49000,0,0,0,60000,0,513000,369000,0,0,27000,2000,3000,16000,0,0,391000,0,0,123000,1315000,0,0,122000,0,0,1519000,0,0,725000,118000,0,0,0,0,0,0,770000,0,0,31000,0,0,0,0,862000,0,0,0,0,0,135000,0,130000,207000,6000,0,0,0,0,0,0,0
"DJI",0,0,0,0,0,0,0,0,0,0,0,158000,7000,0,119000,13000,298000,101000,2000,0,5000,0,0,0,0,1416000,0,0,6000,365000,0,0,0,0,0,0,0,0,0,0,0,4000,15000,0,0,0,0,0,0,0,0,0,6000,0,0,0,0,0,0,0,0,0,0,15000,0,0,0,4000,0,0,0,0,0,0,199000,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383000,0,0,0,0,0,0,0,0,0,0,0
"DOM",0,556000,10328000,0,0,0,5000,4524000,862000,0,0,6404000,254000,0,19485000,2402000,7816000,5161000,0,0,10000,0,0,0,39000,0,1531000,0,0,4992000,35762000,0,0,0,0,1362000,3279000,0,0,4129000,0,662000,819000,2129000,0,0,0,11000,0,0,0,2654000,7472000,0,0,35000,0,228884000,532000,0,0,0,7000,0,0,32000,0,6000,0,0,0,46000,0,180000,0,58000,6000,37000,6000,0,0,0,0,0,0,0,0,0,8000,29000,0,1000,0,0,0,0,1678000,6000,0,0,0,692000,0,0,52000,201000,564000,0,0,361000,0,13000,0,0,0,1000,0,0,27000,319000,1006000,0,0,0,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1283000,0,0,0,0,0,0,0,0,0,0,0
"DZA",5000,2969000,63168000,0,0,0,44539000,1204000,22675000,0,0,282347000,1114000,7329000,119106000,177000,337473000,57298000,470000,0,0,0,1000,3000,1153000,0,2365000,3000,0,89882000,6e+05,0,0,6000,243000,0,19151000,68000,1696000,0,981000,29028000,436000,1000,2000,0,0,2000,0,0,0,0,20324000,0,0,0,0,0,0,2456000,0,0,0,0,6000,0,0,29000,7000,0,60000,6000,3389000,2465000,0,0,813000,0,0,1000,0,0,0,48000,0,0,0,0,0,3395000,12000,0,0,0,0,0,0,0,519000,0,0,4635000,0,2000,0,0,0,0,0,0,716000,1000,0,0,0,7224000,0,0,0,0,956000,0,0,0,0,0,0,0,73000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8000,0,0,0,0,0,0,0,0,0
"ECU",142000,4005000,4135000,156000,0,0,3535000,10855000,4007000,0,1444000,43297000,1169000,0,767000,1955000,7344000,2645000,1198000,121000,79000,6906000,0,14000,489000,1278000,89000,28000,171000,7388000,71572000,0,233000,784000,263000,0,1105000,0,0,961000,0,4223000,2045000,3797000,3000,15000,987000,2000,1537000,165000,294000,1646000,4925000,0,1000,0,0,113180000,192000,4061000,0,5689000,14622000,0,0,10490000,0,286000,0,0,0,10173000,0,16613000,0,3000,1315000,64000,7784000,220000,0,0,0,0,0,0,0,122000,0,0,13000,84000,0,534000,0,29000,0,0,0,0,0,0,0,0,0,0,12000,0,0,0,0,649000,0,0,0,67000,0,0,168000,303000,4000,0,25000,0,179000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85000,0,0,0,0,0,0,116000,0,0,0,0,0,0,0
"GHA",7536000,5960000,4289000,0,1000,0,498000,12074000,5971000,1847000,3703000,42599000,3715000,612000,10197000,1459000,4774000,76701000,3716000,0,1327000,0,48000,791000,4528000,385000,0,6000,471000,15427000,46831000,456000,0,0,336000,37000,242000,155000,0,1465000,188000,12335000,7823000,3785000,5000,860000,6941000,0,335000,0,2437000,34945000,7518000,0,12000,291000,1000,55783000,0,6599000,2000,8543000,0,44000,2000,0,96000,280000,2000,0,1243000,0,0,0,4000,0,24000,0,16000,27000,0,0,0,672000,0,4000,0,0,1000,229000,0,0,110000,44000,0,0,0,0,0,0,0,0,84000,0,2000,0,3000,0,0,0,0,35000,0,0,0,0,0,77000,0,0,0,2000,0,0,0,0,0,0,139000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1435000,0,0,0,0,0,0,0,0
"GIB",0,0,158000,0,1000,2000,0,1000,0,0,0,61000,1000,11000,0,0,55000,1483000,0,0,8000,0,0,0,0,0,0,0,0,256000,3000,0,0,0,0,0,297000,0,0,0,0,11000,2000,0,0,0,0,43000,0,0,0,0,16000,0,5000,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,1000,104000,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GIN",0,1550000,427000,0,4000,0,0,51000,4894000,0,0,8972000,1000,33000,10539000,149000,556000,357000,68000,0,0,0,1000,2000,22000,0,0,0,49000,249000,1000,0,0,707000,160000,0,0,33000,0,0,0,40000,9654000,0,7000,9000,0,0,0,0,0,0,12000,0,0,0,0,0,0,3178000,0,0,0,0,0,0,96000,0,0,0,4000,0,22000,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,14000,6676000,0,0,0,0,0,0,0,5000,0,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GLP",1000,0,97000,0,0,0,0,8000,127000,0,0,2066000,2000,0,58000,0,105878000,748000,28000,0,3000,0,0,1000,0,2000,0,0,0,1877000,1000,0,1000,0,0,0,295000,0,0,0,1000,8000,1000,0,0,0,0,0,0,1000,0,0,54000,0,0,0,0,133000,126000,0,0,0,0,0,1000,0,5000,44000,0,0,0,3000,0,2000,0,0,0,1000,0,0,0,0,0,0,0,0,7000,0,20000,4000,0,1000,0,0,2000,4000,0,2000,0,0,0,5003000,0,555000,0,88000,63000,0,1000,57000,7000,0,0,112000,0,0,0,0,0,71000,7000,0,0,622000,0,0,0,0,1000,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0
"GMB",0,0,24000,0,0,0,8000,302000,3033000,0,0,659000,0,0,81000,0,680000,11481000,23000,0,6000,0,0,4000,44000,0,0,0,3000,3092000,42000,0,0,0,0,0,0,0,0,0,0,233000,660000,0,0,0,0,2677000,0,0,0,0,2000,0,1000,0,0,2000,0,0,1000,0,0,0,0,0,0,0,0,0,9000,0,101000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30000,0,4e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
