"","AUS","AUT","BEL","BGR","BHR","BMU","BRA","CAN","CHE","CHN","CSK","DEU","DNK","EGY","ESP","FIN","FRA","GBR","GRC","GTM","HKG","HUN","IDN","IND","IRL","IRN","IRQ","ISL","ISR","ITA","JPN","KEN","KOR","KWT","LBN","LKA","MAR","MLI","MRT","MYS","NER","NLD","NOR","NZL","PAK","PHL","POL","PRT","ROU","SAU","SGP","SUN","SWE","SYR","THA","TUR","TZA","USA","VEN","YUG","ZMB","ARG","CHL","COD","COG","COL","LBR","MLT","MUS","MWI","NGA","PAN","SEN","TTO","ETH","HND","LBY","NIC","PER","JOR","SDN","AGO","BDI","BFA","BGD","BHS","BLZ","BOL","BRB","CIV","CMR","CRI","CYP","DDR","DJI","DOM","DZA","ECU","GHA","GIB","GIN","GLP","GMB","GUF","GUY","HTI","JAM","KHM","KIR","KNA","MDG","MEX","MOZ","NCL","PNG","PRY","QAT","SLE","SLV","SUR","TUN","UGA","URY","VNM","ZAF","AFG","ALB","ARE","BEN","CAF","CUB","FJI","FLK","GAB","LAO","MAC","MMR","MNG","NPL","OMN","PRK","RWA","SOM","SYC","TCD","TGO","WSM","YMD","ZWE","GNB","SPM","GNQ","SHN","GRL"
"YUG",902000,52925000,23896000,36323000,76000,31000,1071000,9723000,30198000,14749000,128188000,520968000,9540000,10811000,22308000,8533000,93779000,53564000,55352000,20000,427000,54191000,2058000,7094000,332000,22872000,3284000,41000,18905000,377790000,9817000,1267000,0,3433000,3593000,1153000,3202000,8000,4000,266000,0,36500000,23327000,345000,7784000,3000,100433000,2814000,55463000,1981000,508000,329397000,55200000,2227000,428000,10327000,648000,150286000,845000,0,3660000,312000,161000,924000,10000,3011000,268000,1382000,10000,32000,1235000,23000,229000,43000,449000,24000,20872000,51000,86000,655000,5223000,0,0,77000,505000,0,0,45000,18000,109000,45000,176000,1573000,81373000,10000,21000,2891000,25000,1457000,0,510000,10000,14000,0,37000,5000,0,0,0,0,2000,369000,28000,0,4000,0,265000,94000,0,0,5120000,1142000,43000,682000,0,1000,6516000,0,23000,39000,498000,7000,0,0,0,0,1210000,204000,3000,0,7000,3000,40000,0,5000,4000,0,89000,0,0,0,0,0,0
"ZMB",393000,7498000,4858000,0,0,1000,49528000,30000,6075000,17689000,3022000,64998000,437000,1253000,17866000,2386000,73740000,150808000,4976000,0,53000,0,1183000,32466000,1270000,293000,183000,0,95000,85471000,165425000,2912000,0,5000,2188000,0,762000,0,0,1162000,0,2970000,3000,0,185000,59000,573000,1005000,0,0,1296000,0,18871000,0,30104000,177000,2295000,2585000,0,27633000,0,190000,38000,1854000,413000,0,0,1000,0,4576000,779000,35000,9000,72000,336000,0,0,0,0,144000,0,290000,0,0,0,0,0,0,0,17000,0,0,0,52000,0,0,0,0,11000,0,0,0,0,0,35000,0,0,0,0,0,0,0,982000,0,0,0,0,0,0,0,192000,255000,0,0,13493000,0,0,0,0,0,0,0,0,0,0,0,17000,0,0,0,0,0,1000,0,0,0,0,0,1502000,0,0,0,0,0
"ARG",627000,5414000,82991000,46000,6000,60000,217632000,11777000,30475000,2567000,8125000,267380000,8274000,41000,84210000,5052000,135266000,189169000,18352000,592000,2538000,3656000,21000,186000,8613000,3998000,528000,39000,14547000,276326000,78208000,193000,109000,102000,2012000,2446000,1155000,0,2000,157000,0,95453000,5704000,146000,588000,606000,14350000,12746000,8136000,24000,628000,24102000,11534000,520000,572000,408000,0,192044000,11201000,8693000,177000,0,143959000,3156000,25000,14981000,164000,81000,2000,6000,114000,1029000,60000,438000,1000,181000,670000,363000,19825000,1928000,1000,1000,8000,2000,655000,262000,6000,30714000,1214000,171000,21000,951000,647000,716000,4000,156000,4156000,3573000,12000,23000,4000,780000,1000,7000,51000,17000,172000,38000,1000,3000,62000,22370000,432000,1000,10000,11475000,1000,395000,294000,232000,310000,2000,26578000,354000,3277000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHL",742000,4372000,11559000,0,0,7000,22886000,6576000,3783000,23173000,283000,170234000,1165000,0,19676000,1311000,45946000,89532000,233000,14000,0,0,0,17000,446000,6000,0,0,56000,70076000,179962000,0,765000,0,285000,0,20000,0,4000,171000,0,13933000,463000,4e+05,0,77000,320000,99000,2886000,0,161000,8695000,28028000,0,375000,355000,0,82102000,3962000,18785000,0,55640000,0,0,0,12539000,0,0,0,0,0,160000,43000,10000,0,0,0,6000,8410000,2000,0,33000,0,0,0,0,0,3184000,1000,11000,0,12000,0,322000,0,2000,0,2459000,17000,0,0,12000,0,0,0,0,0,0,0,0,0,7623000,84000,0,2000,416000,0,0,5000,0,5000,0,1558000,5000,77000,0,0,0,0,0,12829000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COD",116000,160000,289605000,1000,0,5000,8757000,3099000,2214000,0,2000,48453000,119000,181000,7964000,332000,60948000,11293000,4549000,0,165000,0,0,2008000,28000,2000,59000,2000,361000,87076000,27128000,2078000,0,0,303000,0,384000,31000,4000,0,10000,16488000,66000,61000,25000,13000,18000,1646000,0,0,4000,0,1757000,1000,1000,0,5000,13804000,0,755000,8e+05,0,0,0,86000,0,12000,0,4000,12000,2457000,0,323000,121000,1000,0,0,0,0,0,20000,277000,1176000,1000,0,0,0,0,0,113000,5000,0,103000,599000,0,0,1000,0,97000,0,182000,55000,0,0,2000,1000,0,0,0,0,0,14000,0,0,0,0,0,1000,0,0,58000,270000,0,0,1040000,0,0,0,21000,673000,0,0,0,0,0,0,0,0,0,0,1000,1412000,0,0,513000,8000,0,0,16000,0,0,0,0,0
"COG",45000,270000,3916000,0,0,0,2135000,23000,1473000,1746000,46000,19321000,1496000,182000,2572000,15000,20642000,4143000,2692000,0,9000,47000,0,9332000,355000,0,0,536000,638000,16532000,5003000,0,1000,0,423000,0,0,68000,8000,10000,0,1670000,1349000,23000,0,0,379000,1262000,0,0,0,688000,1331000,20000,0,2000,0,993000,0,208000,0,73000,0,11000,0,0,1000,0,2000,0,7000,0,1392000,0,0,0,0,0,0,0,50000,1000,0,1470000,0,0,0,0,0,806000,1835000,0,0,38000,0,0,338000,0,1000,0,0,0,0,0,0,0,0,0,0,4000,22000,0,28000,0,0,0,0,0,0,0,90000,0,0,0,5310000,0,0,0,3000,0,347000,0,0,0,0,0,0,0,0,0,0,0,0,0,2247000,2000,0,0,0,0,0,0,0,0
"COL",109000,4582000,12705000,1879000,15000,20000,4784000,30722000,9267000,514000,1604000,130938000,9531000,1000,52682000,18605000,19388000,6614000,301000,1651000,4788000,2287000,9000,58000,4238000,12000,2000,3000,612000,10033000,41008000,0,686000,3000,19000,0,888000,0,0,2073000,2000,26869000,4902000,3652000,0,94000,8201000,703000,814000,0,1669000,1346000,25130000,1000,41000,8000,0,301810000,12701000,6703000,0,13838000,9519000,0,23000,0,0,1000,0,0,14000,6513000,1000,1520000,0,1841000,1787000,1092000,38809000,0,0,27000,0,1000,0,1965000,5000,2719000,456000,8000,8000,2435000,0,4263000,0,1990000,421000,18995000,1000,0,3000,3623000,0,489000,111000,782000,2011000,0,0,657000,161000,2552000,1000,0,16000,46000,0,0,752000,65000,55000,0,196000,1000,330000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50000,0,0,0,0,0,0,0,0,0,0,0,0,0
"LBR",29000,48000,27230000,0,0,0,0,1526000,283000,1000,0,94757000,263000,23000,14162000,1000,26477000,15806000,2244000,0,3000,0,10000,5000,30000,0,0,1000,3244000,58166000,72072000,6000,872000,145000,33000,0,2000,4000,1190000,5000,97000,18837000,8975000,2000,1000,0,0,21000,0,0,571000,1000,8000,0,2000,0,0,50188000,60000,1000,0,10000,6000,27000,2000,0,0,0,0,1000,41000,0,23000,0,0,0,12000,0,3000,0,0,1000,0,0,0,0,0,0,0,17000,1000,0,0,0,0,2000,3000,0,116000,0,381000,0,3000,0,0,0,0,0,0,0,3000,26000,0,0,0,0,0,130000,0,0,6000,0,0,1000,8000,0,0,0,7000,61000,0,0,0,28000,0,0,0,0,0,0,0,0,0,0,0,19000,0,0,0,0,0,0,0,0
"MLT",241000,195000,2421000,212000,36000,20000,0,640000,848000,0,65000,7804000,539000,0,336000,32000,1489000,23616000,90000,0,25000,121000,2000,1000,125000,9000,0,30000,70000,4774000,36000,36000,0,70000,133000,0,217000,2000,0,0,0,2311000,109000,49000,4000,0,638000,28000,0,160000,28000,51000,1112000,13000,8000,0,5000,2607000,0,0,33000,0,69000,0,0,0,0,0,3000,2000,270000,0,1000,0,65000,0,2259000,0,0,67000,0,11000,1000,0,0,1000,0,30000,10000,0,0,0,322000,0,38000,0,12000,0,0,3000,0,1000,0,0,2000,0,1000,0,0,1000,0,0,8000,0,0,0,30000,1000,0,0,18000,0,0,0,183000,0,0,147000,0,0,10000,1000,0,0,0,0,0,0,0,14000,0,0,1000,0,1000,0,0,91000,0,2000,0,0,0,0
"MUS",16000,1000,684000,0,0,0,0,18309000,240000,0,0,373000,18000,0,5000,0,1782000,67595000,0,0,110000,0,0,10000,148000,582000,2000,0,1000,13000,953000,11000,199000,0,0,0,0,0,0,1506000,0,358000,2000,269000,1000,0,0,0,0,0,4000,3295000,20000,0,0,0,1000,6636000,0,0,176000,0,0,4000,0,0,0,0,0,6000,27000,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000,0,0,0,0,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224000,0,23000,0,0,0,0,0,0,0,0,0,0,0,3383000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88000,0,0,0,0,0,0,0,0,0,0
