"","ARG","AUT","BHS","BOL","BRA","CAN","CHE","CHL","CHN","COL","CRI","CUB","CYP","CZE","DEU","DNK","ECU","ESP","EST","FIN","FRA","GBR","GRC","GTM","HKG","HND","IND","IRL","ISR","ITA","JAM","KEN","KHM","KOR","LBN","LKA","MAC","MEX","MNG","MYS","NLD","NOR","NZL","PAK","PAN","PER","POL","PRT","PRY","ROU","RUS","SLV","SVK","SVN","SWE","THA","TTO","TUR","URY","USA","ZAF","ZMB","ALB","AUS","AZE","BFA","BGD","BGR","BHR","BIH","BLR","DZA","ETH","FJI","GAB","HRV","HUN","IRN","JOR","JPN","KAZ","KGZ","LTU","LVA","MAR","MDG","MKD","MLI","MLT","MOZ","MUS","NCL","NIC","OMN","SAU","SEN","SGP","TGO","TLS","TUN","UGA","ZWE","CIV","MDA","MWI","NER","VNM","AFG","ARE","CMR","EGY","GEO","GHA","GIB","IDN","ISL","KIR","KWT","LBR","LBY","MMR","PHL","PNG","PRK","QAT","SDN","SLE","SYC","SYR","TKL","TKM","TZA","UKR","VEN","YUG","ARM","ABW","AGO","BDI","BEN","BLZ","BRB","CAF","COD","COG","DJI","DOM","ERI","GIN","GMB","GNB","GNQ","GRL","GUY","HTI","IRQ","KNA","LAO","MHL","MNP","MRT","NGA","NPL","PSE","RWA","SOM","SUR","TCD","TJK","UZB","ASM","ATA","BMU","FLK","FSM","GUM","PLW","SHN","SPM","WSM","ATF","SGS","SMR","VAT","HMD","UMI"
"ARG",0,35751339.29,26642826.46,295234133.58,5444551460.84,222770023.6,39969110.77,3882749052.45,2697730399.25,292393592.539999,89556740.76,109628191.28,21479776.82,40896419.73,875956667.68,304608113.72,246882043.92,1478529005.97,6268310.37,103150401.94,343605533.29,438594701.9,122351639.62,90696686.2199999,118493307.35,36654423.29,604738267.73,49544950.39,175582557.83,1010574418.76,11875284.73,77398566.66,1723176.84,410694497.76,43099737.22,54321159.11,582001.51,1095653365.81,757566.25,365960585.5,1240473696.66,38653888.39,14698294.78,46869159.82,77946713,556763805.1,201029128.79,143653259.9,504427697,24970559.61,396108744.24,60133415.82,7324265.41,17328119.62,67772921.34,311302353.13,34798162.59,259949169.95,691182146.750001,3825144140.9,533224419.68,294983.77,3477004.86,131982669.57,662367.15,482119.32,145652719.55,23338298.15,10424555.58,13851732.34,3960867.84,513267158.25,222639.09,196097,6699633.58,41368489.73,16790329.64,11410084.49,81296736.13,424317568.61,4584327.92,18600.49,14961147.16,7696814.41,217565406.4,22115939.98,7174574.11,1495887,6221149.59,48528843.68,26639246.28,846316.93,14976017.1,32504082.67,191797885.66,25226022.16,21396072.2,2053284.8,83796,123286864.73,6644560.04,27844692.74,7807263.54,469558.12,11276772.43,5986712.94,179211437.8,450976,192294142,3549718,593880265,639750,13195307,4207,234769689,725755.17,0,24897546,3559975,53545680,108423,256085076,40376,0,8392942,4578650,3825348,109496,126357124,0,0,25814450,24431896,431719841,2109730,2216944.31,3926141,79898827,144180,3228117,990988,2503908,44740,16550008,35723738,5326439,116445401,77200,853237,1831378,53000,756187,16732,1170599,12731937,34306579,170519,55870,34890,17333,3681828,94226261,661558,274651,119304,0,3356002,454087,0,1758972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUT",97277769.2799999,0,1934147.7,3973789.71,367139625.19,1038482934.08,5075332089.27999,77571347.2699999,1523739619.13,53442169.1,48530425.98,6793482.25,43483768.78,2876294289.12,29894384182.07,848334217.5,11350953.7,2643065055.44,87506994.6,537746592.51,4212338608.79,4392166636.66,628155149.18,8389389.19,513457439.32,6483042.82,362651898.83,769765758.33,210878747.22,8908442605.71999,6145436.31,7565592.13,585743.28,522950681.8,43273875.82,31461545.9,7773727.42,367629015.82,7563561.45,202246757.84,1912807014.74,391728517.35,107864805.9,75578098.11,7801661,25207035.44,1721587926.48,496270147.59,2737177.04,1222306645.46,1535103583.54,7171480.69,1510385661.78,1831940706.15,1116863593.6,213863244.67,14764440.41,1102611271.37,8908090.2,6102164758.62001,424676215.49,1836650.29,30559422.98,685031269.78,34199932.56,1079058.64,18875744.81,361349381.45,107253026.19,240834370.97,82979491.21,189315031.7,12907954.58,83347.54,14282747.04,1204239581.99,4923040037.67,698532658.21,40113334.53,1341846052.58,159190850,2589602.71,149771808.55,111309516.71,70320665.14,802164.82,68738548.42,5961576.09,28615586.17,4752252.9,5783564.6,10374962.87,1783200.14,67361629.99,388431969.44,5412670.77,395257321.81,1501372.26,19573,65738124.12,1976342.08,1920351.09,8662266.07,21891718.1,656736.39,672941.87,79267312.78,26250356,254411722,1969998,120107215,22244764,11274888,5024771,111523731,26553683.8,0,69845732,1952538,80588848,6532016,178171529,43304.15,5151502,30257976,22572089,1435570,2190919,34183893,401816,15856569,6007580,408568347,51281588,499196384,8958044.75,608383,4652488,144130,4336324,4059566,917268,36855,760175,3448214,927755,5548668,522319,16672981,1047151,210067,85220,13511.53,96513,873271,37480683,61346,710589,8821,13084,2185752,119161049,1647189,1780780,170111,762622,721609,1486168,1688058,24231475,0,0,40095,0,0,63992,137010,27860,0,2626,109428,0,4509433,1107849,0,0
"BHS",1097131.12,150586.19,0,184309.66,2558586.46,44692550.8,40119840.27,119668.18,666828.38,9753,7000514.9,151800,6237.43,1073819.4,13116605.02,236137.74,62697,128355153.89,100557.79,1204292.07,44470897.4,15475266.28,1460983.05,53165009.29,29000,684288.59,196295,395906.75,1057100,3956788.35,940681.12,32105.81,0,11413182.97,35799.83,0,0,33739829.37,0,376142.78,1079109.53,8613117.94,114439.85,72870.67,300191,18853,214055830.45,95517.86,9061522.92,292109.83,543007.62,4368463.05,188300.37,147932.47,742224.78,367104.12,9337263.53,579794.08,456993.64,592394953.89,64052,0,0,2027309.82,0,11769.2,0,201812.92,52382.2,137804.71,36822.45,8734,152457,20668.26,0,284670.11,3178165.59,0,0,932142.07,348387.63,11833.83,2979249.01,0,146908.24,8653.46,14212.25,0,163078.23,70944.54,20972.43,0,29170,0,0,10644.06,25009336.04,6222.78,0,12864.58,24919.4,117091.55,5365.01,5559.62,0,0,15825,7000,0,0,2000,0,0,0,0,278653.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,603050.05,174616,0,0,0,0,190820,0,0,0,0,56437,0,0,0,0,0,0,5636,292544,0,7052,0,0,0,0,0,0,0,0,0,25000,0,0,0,0,0,215723,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOL",134325619.34,2611607.82,55378.35,0,714016874.02,22207278.66,52471022.64,52893754.97,23903932.08,125614997.44,286067.94,31883.13,0,83868.47,14087714.51,695355.48,14615133.62,14160832.9,11432,4212234.74,14324279.94,55937117.12,7367078.07,1527637.22,4919342.33,721985.35,902520.97,55543.2,526256.13,22663875.42,1003985,1158.45,0,62015490.01,116347.9,112043.31,0,29077407.78,0,20709676.57,29593512.99,407866.38,377474.45,106812,7945772,136951631.24,512828.38,461498.4,16337963.42,162421.43,2689636.94,7786138.22,87941.8,130200.35,981807.94,1645662.32,86975.76,867611.21,1530312.57,361869094.73,588140,0,0,2127257.84,0,0,291794.19,4513,0,7497.68,6300,24950,18125,0,6318,80370.51,38716.51,0,42500,70367425.85,0,0,0,88965.6,103967.98,0,2069.56,22971.64,43676,0,0,0,46941.36,0,25123,0,133726,0,0,0,0,0,0,0,0,0,25858,0,2055595,0,2713900,24718,387079,0,1577955,1995,0,0,0,0,0,0,14136.53,336740,2701,94025,0,0,0,0,0,0,30160,244452806,0,0,50638,0,0,0,3760,9840,0,0,65550,0,1655659,0,0,7699,0,0,0,94755,104732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87997
"BRA",7470572370.87,278286046.14,484159627.67,534352977.01,0,1483369521.48,431781841.400001,2677968824.65,5650565532.44,1057538731.79,379819319.51,152219450.88,59284040.26,136952841.01,4632510391.78,154257961.15,514330747.86,2105621264.01,48942978.52,279622372.1,2431219569.06,2299948037.34,328130959.07,245385268.2,797759372.76,107494138.48,713735229.94,262430749.84,226615416.03,3137125506.97,194257950.77,23644768.66,765087.52,1618065768.58,96754151.92,31111583.12,7127826.52,4085349380.56,2113731.98,334670682.09,5873669091.54,362286737.63,63488047.33,104433114.75,214069321,664241293.490001,444313043.65,998822535.950001,852261868.51,341822694.36,1686528979.26,170310540.92,92763393.64,135800543.41,556848433.66,684187768.29,574116241.970001,494960734.72,678763381.01,20809886668.87,1041416433.88,8685046.61,31747946.29,396894080.44,19682980.53,7841759.54,300607011.99,195627567.87,118750873.52,34223646.56,39691392.42,411084581.08,30253823.44,2406484.7,15535954.34,89550699.2899999,130508023.81,1266762842.6,82977266.13,2867940226.54,32136880.4,2022332.17,22850961.59,9694492.11,370123961.37,13822090.15,34050078.28,10018917.25,37627927.06,26777908.94,15885929.74,6872949.9,55788318.73,51663685.21,967458049.99,84612402.05,599222825.91,17494648.38,93982.43,143342497.57,8020620,3496905.61,50211977.72,9741581.6,5791446.7,6988592.6,56954823.71,180878,707247631,0,623563488,80316214,169323894,618195,382786293,20133104.56,73690,127956752,27982490,116384440,3105471,243216857,2212519.72,170054122,41514167,48930352,7184347,296547,161408455,0,8021218,8201623,183278067,1468196096,27076104,10414065.91,178781400,356805708,147681,18316695,1731938,13847111,433142,13015368,21550772,9711740,268869282,28513,14697675,30937628,281840,3571235,0,13586338,25376018,61610153,414959,210372,0,47090,39660400,503408805,123109,0,47205,44343128,28309043,141330,306016,10159644,37955,0,2499663,1798,271933,479909,0,0,0,1120147,0,0,0,0,0,0
"CAN",131244137.88,323355302.15,27500163.75,14026802.97,824283546.769999,0,553183423.94,341101088.49,5663528881.20999,353856465.43,79350191.71,281553724.78,23753438.45,135436748.81,2318070231.22,237702746.97,151286785.15,1008320026.53,14714595.46,227153669.03,1971901553.89,7155986537.26,226722759.23,130143283.71,1119470824.05,25170892.88,726653160.73,372833902.07,288833537.99,1568073874.4,147813335.15,39792399.12,2022000.71,1920560929.64,39927281.77,43153531.49,24161025.99,3554163212.69,8641720.43,410921909.68,1468793752.25,1268928447.37,400346448.24,288706299.76,55231278,177896175.35,224121322.93,140808144.02,6955175.62,143492164.85,373533477.82,50291109.95,32753131.24,56928550.58,363697319.54,469319083.74,119558837.09,343123351.85,28362161.58,250136067919.08,338405680.01,17548093,5049352.05,1310156651.14,21245049.39,7611089.37,106938898.13,39189098.88,29317498.49,3147327.58,9922092.87,267551669.37,14457316.34,5072216.05,9317044.94,21071585.8,80904525.53,240898304.78,34301277.6,6878166247.84,83925008.25,5823774.03,18603967.99,18422753.96,141787561.85,2845806.46,11001731.8,12523194.55,12782436.09,15998473.11,3598547.36,4263166.72,21789143.28,53778073.42,499039558.41,27279073.07,644228555.02,4586959.02,64920,39704901.34,12716551.07,6164557.18,105147189.16,3228644.84,4262389.52,3004313.96,110251156.84,7294769,313801761,7538835,151967441,5029356,50418750,14355023,511962239,62688985.26,79127,61014204,2030148,78981226,1266348,314084268,4702848.29,22598201,99962348,59786063,2480601,318798,29158637,0,13644895,25087401,43029618,387042518,9535330,4344616.22,5837721,17446730,1080887,4399965,4065006,34202901,512572,7973721,9026821,1496980,74834749,466381,3921916,132283,11063,1411546,11454811.78,7703238,13365408,24089875,3085464,564820,0,0,4189970,61643813,9030224,0,1098363,53231,10191713,2796316,654868,3214272,1883264,227264,50781926,98452,0,4764411,0,0,15513379,330986,112037,0,0,0,3693,0
"CHE",248072919.29,3813721139.03,49298909.97,7831499.77,1205222988.38,1455762470.65,0,111391396.08,2783535073.18,164550506.16,71222029.84,20166882.43,85109648.85,1010843708.57,25190015642.89,725171090.600001,47557627.77,4471551117.68001,62575423.81,611206030.91,10452807658.86,5572710602.04,896691039.17,150088508.45,3433771241.08,21516322.07,3620594239.48,766882849.46,2295777294.42,11932465054.81,27122069.11,49802367.67,6335653.87,1298713783.35,454946863.38,123221041.19,17471681.78,920366155.19,5593123.54,697848530.75,3246804645.8,487844986.82,151475213.29,400978651.03,167725647,63047481.68,1069532669.05,531494556.01,60771231.28,378879624.77,971091156.89,24660151.28,259771391.99,337267715.89,1264520375.8,841136232.64,11767499.14,3577842749.4,22301770.64,11983399291.46,566569771.57,19131066.21,58126057.67,1051533106.81,43097518.33,3066528.17,106383987.53,232267951.8,143464493.11,85528709.56,57474235.36,221116720.33,19006148.6,6673296.65,11282472.66,215272311.03,925038910.330001,1406681011.67,157001872.71,5022478400.28,107425456.18,3489616.85,70499617.98,115068128.91,251373329.96,4639585.53,44498365.9800001,4697759.6,57281524.08,14318709.06,58963222.74,6830070.65,7739345.24,68450110,1157750905.54,15912409.42,1595434445.25,12955777.87,240001,154805297.6,8007201.07,15930917.52,34158578.43,18083210.43,1381628.32,9290129.25,691427129.28,1821214,912245938,12412991,315526033,7157122,21374323,24896091,234198906,41356673.11,2469,190975989,10595240,153081244,3485048,174953803,5197478.51,4949687,191310189,26792397,649436,1301585,106299938,27372,5010220,8003159,187580798,98909477,175290257,44167256.28,12072394,9643184,552451,9475866,894442,7018794,165589,3929042,3158607,1524785,11236730,1815904,13277677,1023713,288754,188057,52171,757596,2350597,81266763,302029,1067836,1821815,755160,1767083,115841901,3588987,8920903,475746,143824,2057259,1368926,2679933,19526303,0,4940,21592720,13711,0,0,1024,104582,0,128117,83651,0,0,0,19309,0
"CHL",439612976.28,24507879.08,1921945.1,393547806.75,1412812310.23,899226780.16,79018625.22,0,3556899809.93,336331133.57,116097795,54918961.62,689669.38,15366560.24,1179221442.24,91039991.57,400614534.91,843242298.12,7200113.3,139844150.56,1420008475.85,1023672694.17,140074543.82,170223114.31,167538482.05,61171081.34,467011316.9,46935738.26,15744856.87,1538114694.65,22003090.1,1013950.75,67402.42,1921677621.5,2077269.05,30986763.97,648790.79,1403831906.9,54455.1,179060709.6,1694191639.64,50324060.78,28446559.01,3356345.67,165745054,631984041.309999,32187762.4,44444468.53,90312770.32,11559208.06,100228877.23,71590817.3,2219082.18,9926660.47,254411740.24,155388841.38,7026686.36,167795774.61,65998488.52,5162877880.69,46779843.31,217479.26,115067,93749098.31,123195.64,289161.73,7819952.11,170658095.65,2481489.68,311132.99,1605210.74,2618276.82,95357.3,2680584.82,956668.75,3642200.27,1565272.73,99503487.02,835024.38,4000553122.04,910250.1,24628.37,5822810.81,3511790.04,11974009.72,15433.99,136255.3,186784.02,1098081.31,31468.12,1858540.95,579050.99,12079411.18,14064872.19,120688811.66,457086.87,76484775.19,236586.24,0,2148410.36,101359,215392,682917.32,322861.35,133027.18,900395.3,42366959.49,40084,55568465,1298504,4548255,149123,2981188,0,167421976,3312808.67,0,10128147,0,67543,0,63451378,1251247.56,14224055,268448,421307,0,0,50039,0,0,151761,3128334,261855501,321234,0,3689,3465426,0,121652,355965,1153397,0,0,903004,0,28541899,0,228168,10201,0,116702,0,413331,4679251,0,0,0,16746,0,0,21965071,24367,0,0,0,990594,0,2096126,0,0,0,2421,0,271803,0,0,0,0,3036239,2632197,0,17205,0,0,0
"CHN",1384679052.48,2295403734.65,98677062.46,104310556.99,3772944852.43999,16749987676.17,2320526113.38,2479921729.68,0,1223858126.69,287001110.71,559256876.08,257212643.95,3241740005.72,35459227771.82,2604713912.95,715716042.07,9692579768.22,409208007.21,2194885215.97,18117792496.94,23845527867.03,1819391497.42,269898825.34,105220634330.97,117752743.12,6074575026.36,3059851881.45,1479986579.33,13957413819.39,148533832.2,286719750.02,458758792.94,28157326163.83,711333137.57,530971255.82,1658945184.21,12026470146.03,273148328.17,9361604419.12999,18052690840.25,2294693227.57,2145403219.22,1897794689.74,2186902887,755068708.72,3714468746.87,590652307.18,420807886.02,1124468444.87,5870854311.57,161725835.5,624813341.26,463656443.12,2368171325.89,7644686581.69999,126376796.18,4294616785.56001,182382200.15,169600713682.72,3722744430.74999,70514872.62,116970153.5,12724359562.41,197935060.97,37366386.64,1661011761.61,482597750.16,221863385.22,108573459.03,149014087.95,990791961.55,329597403.09,54372421.7,19457237.97,639540784.27,2905100153.91,2331865769.43,756546203.08,85273614643.05,961208827.52,360700644.4,313543489.54,125543746.49,817061573.97,302651921.31,80429315.3199999,78604423.8400001,288252568.39,64195526.73,258859657.05,55404440.05,155602363.99,168000119.47,2927867260.3,109404024.16,15350287471.63,395491493.35,1833181.14,310780578.58,110725629.06,79806501.95,138863673.66,54998707.49,27961631.73,41285417.02,4399023580.8,56965817,6840807209,99967409,1344815507,22843048,510334668,750077,6255910912,138319275.77,860456,483865980,181780435,243419528,930522875,4268015581,60350161.65,794080961,103457483,729846820,28176996,1761423,690238019,0,84532115,214634980,1443241862,595486462,163042657,19541089.2,3728343,193229017,4800359,577227893,22538503,10349736,3308770,36959887,92970705,72157416,232707372,7525213,92943168,124194245,5959663,10081460,505260.93,21150316,22199611,149454071,192924,87107323,104544506,0,64300918,1718405205,160931989,9823323,5108806,9512229,30215786,5935273,52580872,172333780,0,0,126683818,0,7430929,0,415123,0,0,5853894,0,0,608849,2046,0,0
"COL",37602139.05,6755990.74,44297118.11,61085377.05,152678011.62,233730377.46,187574452.74,271956851.22,143622439.93,0,261065804.45,49375027.26,396743.43,10830709.74,419104225.42,118129051.85,1038725163.28,256043099.97,538094.49,68043772.73,224192269.88,401362033.24,6826749.63,140885021.7,23132229.45,43818539.99,10136972.33,61307316.32,198916376.37,472943218.88,75497059.88,269350.26,0,96878239.61,1573977.38,11638956.14,207289.41,541667177.490001,13024,2169018.8,548846084.91,25699908.05,3696849.38,2089352.18,216295090,552747194.15,25135066.49,113774834.41,2752295.49,4782659.8,63265894.31,57554925.56,9233883.52,32863036.11,34423738.4,11455208.66,77513000.4599999,65668526.21,6204427.05,7154225337.43,34541082.67,86206,545436.69,21632492.24,167528.45,74600,1277183.42,293229.62,258447.5,2330412.28,2886225.04,3760420.94,189394,214807.45,145511.34,14078584.96,3268303.14,2957865,1060232,270527353.89,144701.97,30427.24,1107025.96,381672.44,52408317.11,642681.53,1882051.07,368809.14,239968.86,202851.63,169331.9,102518.29,7338394.78,26595.17,4650895.64,1285385.28,28853058.93,876498.53,0,1758882.64,3104,0,3898275.41,171767.52,0,110699.95,608812.74,457379,4352085,730979,1192835,3398850,961822,238248,2461819,410880.18,1820,2094555,566807,29601,91225,4760281,0,385204,113757,23128,0,6093,5770105,0,0,84288,3063469,1622930551,74060,0,42864986,320725,2894,884810,1014812,1927874,26152,40908,501959,0,436700779,0,46832,151565,30058,5640,0,3781118,38384250,540365,51259,10447,0,2170,0,1870143,0,0,4250,0,5608470,235726,11440,0,322362,0,222840,0,12283,0,0,0,0,0,0,0,0,0,0,0
