"","ARG","AUT","BGR","BHR","BHS","BLZ","BRA","CAN","CHE","CHL","CHN","CIV","COL","CRI","CUW","CYP","CZE","DEU","DNK","DOM","ECU","ESP","EST","FIN","FRA","GBR","GRC","GTM","GUY","HKG","HRV","HUN","IND","IRL","ISL","ISR","ITA","JAM","JOR","JPN","KHM","KOR","KWT","LKA","MAR","MEX","MLT","MNG","MOZ","MYS","NIC","NLD","NOR","NZL","PAK","PAN","PER","POL","PRT","PRY","PSE","ROU","RUS","RWA","SAU","SDN","SGP","SLV","SUR","SVK","SVN","SWE","THA","TUR","UKR","URY","USA","VEN","ZAF","AGO","ARM","AUS","AZE","BEN","BFA","BIH","BLR","BMU","DZA","EGY","ETH","GEO","KAZ","KGZ","LTU","LVA","MDA","MDG","MKD","MUS","NPL","OMN","QAT","SEN","SRB","SYC","TGO","TUN","ZMB","ZWE","AFG","ALB","ARE","ASM","BDI","BGD","BOL","CAF","CMR","COD","COG","CUB","DJI","ERI","GAB","GHA","GIB","GIN","GMB","GNB","GNQ","HND","HTI","IDN","IRQ","KEN","KNA","LAO","LBN","LBR","LBY","MAC","MHL","MLI","MMR","MNE","MRT","MWI","NCL","NER","NGA","PHL","PNG","PRK","SYR","TKL","TLS","TTO","TZA","UGA","VNM","IRN","SLE","SMR","FJI","GRL","WSM","ABW","BRB","SOM","SSD","TCD","TKM","UZB","TJK","ATF","FLK","FSM","GUM","KIR","MNP","PLW","SHN","BES","BLM","SPM"
"HRV",3458672.11,810683340.63,79414537.85,5871533.76,8214,476951,13294848.18,41277351.18,187655041.28,2158169.77,104917782.47,7427868.63,64485935.11,6471246.46,45211,19265869.23,181477839.7,1409256648.38,77643132.55,23653.42,2451493.73,220180409.34,10676551.73,23085469.07,295908836.99,236311084.81,99296921.99,262494.47,159893,9872904.94,0,473976041.48,34859348.99,21582502.34,3134906.42,61104490.33,1543586274.83,4101,10064741.89,110138164.38,60968.92,11651286.55,9538741.25000001,349298.64,11538388.97,23006924.52,69371147.66,277330.89,839225.87,8960375.49,35724,269855752.93,77942368.94,2568111.76,3801198.14,3057194.85,1669937.23,236986168.59,54387971.73,41941,452991.97,149370420.82,254632945.72,776322.19,87747649.26,3048249.5,7839664.15,607485.06,0,199030497.33,1435117273.11,71564856.3,5390542.07,138714128.56,15573436.09,249673.74,453957415.45,2623,13330228.38,1058760.7,2435065.81,23656379.52,5261964.25,44074.49,38282,1035314505.11,30635728.9,111728,65936338.73,134153888.4,8750690.18,1344144.07,12723740.55,236660.19,19774873.33,13795149.09,2507389.8,48034.27,110366948.22,795915.62,559789.06,20478232.19,26102606.06,399414.26,655265710.260001,488338.43,106334.16,5704332.43,1709442.52,2438.8,118312,70553811.61,34912247,0,0,6402241,75424.22,33866,7273820.25,1313,93708,1882682,399548,98916,267587,282630,27074837,32100,129558,63028,37349,18511,83790,5753690,31583071,2637953,0,19556,20836140,500302,20401318,7970,60567466,4900,868877,132464406.87,109951,0,91657.66,418373.25,9677045,6785989,64897,54459,109627,4654,0,337083,6107806.96,529121.68,23414079.75,3694529,9210,23113,1779,1334.34,0,10174,32335,1820949,66782,0,39013916,749563,19469,0,0,0,0,0,0,0,0,0,0,0
"HUN",148694543.27,4083171334.42,1053981094.3,34905371.2,439845.43,3213475,425437718.2,454940362.53,1127837341.53,75448424.11,2265362048.33,12388662.43,65865007.42,22671400.38,2507131,42853220.99,3463371939.67,25677266128.76,628460167.63,9903554.38,13258972.69,3028706890.27,250299674.49,322767645.97,4326346602.03,3948442272.38,418514671.95,4205294.81,114562.42,267165808.79,1583761850.76,0,272038959.16,166251930.3,21787332.27,294611252.53,4968668151.73999,12135530.72,45278334.04,1156114196.75,1019786.92,690381387.74,92791306.7100001,19790502.85,191882451.41,863484318.43,21568535.59,9856004.36,1168295.71,152770800.04,2742711.87,2656754752.17,310190137.27,60244315.35,35880040.76,13308834.14,51897310.05,3338158702.3,354755318.73,5264594.09,9095279.73,5271574344.86999,1754948359.21,1224546.47,359299369.49,1550689.08,265046374.42,2851834.62,2128354,4263580404.61,775122057.689998,1136134065.54,157693381.71,1493691229.81,1535212659.09,10094087.31,5280981347.49,5159779,267043305.39,6279553.5,13597468.07,422800539.67,59878436.05,5650716.09,5215011.51,244944787.16,136286877.47,355983.47,164345882.59,327549161.77,39139738.83,52319964.05,106340255.1,9359818.59999999,225239471.01,139690795.14,82881860.8500001,2223626.96,108410142.64,7226483.28,632062.35,19355029.73,95904439.0699999,10408358.84,1011591625.69,1181373.41,1282428.59,129516666.27,2032720.24,681130.56,6087220,48857049.49,211357162,0,332575.23,10171423,11305152.32,208000.61,20726708.3,2165290,4316369,1181496,1163473,275585,1043674,12020611,628440,972084.2,563151,52639,147321,2928089,1262015,48494888,29575187,20066102,176695,314706,58085259,1305586,8737935,1258272,0,2246395,4463135,37258426.97,1641648,377523.11,8464901.08,1716425.29,43186439,17288548,1282,39624,3546550,2712,0,11084449,8723593.58,8316532.05,126103787.8,28149800,1020685,38343,394234.21,902499.95,0,419263,2482497,57810,0,124628,52963292,45684918,4752103,81403,0,0,0,0,0,0,0,5650,232764,1405
"IND",731597729.2,712615106.09,182503053.58,644170330.080001,5836529.48,23699108.67,4211135881.39,2943291212.98,1561940529.66,726725933.579999,11649276292.82,380078345.21,949877784.690002,151552318.24,38850271,75962295.67,767493302.19,8344370482.57999,689812153.920001,188189998.03,484632115.52,3521162826.8,77110590.68,353546257.43,5918266633.49,9237453849.84001,346622124.529999,294753008.59,26518145.65,11495495122.48,134553972.39,392541289.19,0,617511958.87,36842939.75,1892903319.63,4416000998.13,51795682.91,584497250.05,5085767683.77999,184619616.91,4184428311.31999,1349069583.09,5496316700.73001,417279806.94,3762752029.11,147879911.63,17594416.96,612921036.58,4842734984.29999,121206754.55,3734735333.80001,724787492.790001,418556294.17,1890549192.53,208361583.96,932648452.559999,1631242355.88,553320869.2,170399084.47,33723032.29,288622728,2217762312.77,185755020.8,6575023125.95001,898170793.48,6631456782.29,114900954.84,16269671,268450590.6,344779974.41,722730296.56,2846712885.12,5479005994.02002,434927533.99,280088299.64,43991807435.9099,158391462,4190126190.77,327725772.8,51890408.38,3503500779.91,64179970.88,421190875.3,112621663.03,59408239.1,119141860.25,2829002.82,1105504636.39,2447949665.13,1173850559.48,59466609.8200001,239536222.46,30425605.89,73627290.88,58975224.06,25785265.12,182991091.02,48379892.67,785220605.19,3733528219.81001,1671913630.69,1209889938.85,444711202.98,132254271.34,36565688.28,449269331.42,262174041.43,391219595.249999,248848252.64,534177439,24859334.59,29970680922,297295,66166923.45,5508225910,125491098.32,15653649.35,234637568.2,322654238,206270842,52499837,203968569,7025724,37787595,641701032,1021015451,297954547.58,55526810,11580131,13976721,170594415,75113917,2866751464,1135077306,3183233611,2123293,51232844,244059274,159281998,122163466,2675332.57,104497285,105420835,859449058,18279941.63,58086950,245334999.02,13970842.32,99956267.6,2281823088,1303702064,39314921,108549378,138230129,0,2886623,111569634,1299271240.03,1057760383.78,3194984596.13,3126009191,99133915.85,151656,56337273.71,4484228.64,1675387.79,6503542,9794228,418351126,0,52785353,80436298,107803840,31327227,61484,3081,295384,441237,1152335,571713,66578.8,169517,0,0,0
"IRL",207550119.82,569404723.21,93551594.34,61576915.52,3530327.25,630026.74,530384795.69,1315808219.44,7407536730.15998,190072294.15,3804271660.31,30773682.25,178593007.48,63136497.16,28977,29401254.03,1176791977.21,11508338240.05,983470669.15,22383627.85,31064893.38,3608054180.75,56862907.66,507520869.83,7033694489.88999,19007365905.83,362112212.49,32769881.69,3887002.12,686284525.82,57497225.83,465445287.15,842020283.01,0,123717424.94,1351743891.94,4512399140.04,6200784.03,134797509.24,7195686306.61,6026136.89,1014397216.74,212143384.48,15217559.83,111174559.06,1504026411.43,43709462.09,3362254.68,14103371.56,305636312.66,4392765.31,6006186749.52,564084516.96,158853161.54,144298072.58,29913480.8,65259173.5,1505546809.28,708102806.4,5914037.29,19310735.88,411519588.99,811566864.36,1014982.72,1716323065.92,17513108.95,880718666.19,15328932.61,143598,222474715.97,86980612.48,1952467695.11,385560665.58,1044823213.1,74800562.71,19678493.89,34336547542.09,23926994,386014171.55,18643759.71,8187631.02,1610132270.3,13438328.6,9214168.06,13820211.39,21243708.65,32288255.38,1211775.14,198304061.7,286970763.27,38993734.03,458346439.28,179159521.59,3929142.83,90494189.37,161046364.19,8096080.73,1405849.48,16257239.09,13808330.41,2162124.24,60354792.57,151847553.28,18098986.89,82066886.45,2735381.98,30492753.5,50961660.36,36044925.03,16155026.11,4243689,11334567.03,487951624,0,115942,10238458,17258841.36,318781.86,53457184.09,16186157,75785579,6678820,45706,14407,6861104,43841113,1449600,2069243.55,1500485,0,676986,3238087,1184111,72110324,82877457,69899194,191412,5993640,78481124,4522998,57085298,2555482.28,5587,26027329,4713459,2748426,804843,6925780.43,10180038.22,1773180.15,340541389,128045459,1603530,0,7622728,438380,0,21295403,18454296.6,24977603.24,268960240.27,84729757,1548741,51800,1087416.56,502476.07,37035.42,31758,8509032,3071030,186076,1589524,1679689,9919174,2101876,0,0,0,573000,0,0,0,0,0,0,0
"ISL",1462299.57,15871965.73,1806115.5,508104.15,2142395,2628683,20217789.26,100081066.07,64878410.61,44423346.95,73846664.41,2435878.74,2093153.1,179843.67,0,1099323.06,75325750.4,552951403.94,131130229.63,162772.32,145710.02,506536807.5,4347913.04,19085713.04,328643971.44,611350195.07,8529597.14,11951,0,8101169.58,1521821.57,49488960.25,4744514.05,16554516.63,0,3245628.03,65548154.07,60077,177507.04,137506373.81,104043.61,32735422.82,1128710.76,287186.52,2756790.5,10184498.36,5441906.43,8499.77,174609,1156165.09,585668.48,1131335523.76,230250280,2983371.12,1259974.04,2177266.96,786208.54,111446766.17,26353852.75,21069,49771,2680329.28,112239649.7,82684.77,1273754.2,44516.32,4170092.63,39065,0,6878956.84,2464408.54,35147720.27,11428235.16,30384764.47,27320789.49,502603.71,317255384.69,38495,2654296.12,1380281.01,51526.75,23495441.41,2160796.74,4033885.3,2635.61,582578.25,27483231.94,307339.6,99138,12398439.25,253935.69,5047352.61,2756398.79,19951.69,7776634.36,5061899.26,3432680.31,13784.21,284447.73,71812.5,0,236249.1,389432.73,1227284.4,1333657.21,2621,953028.02,986335.63,137737.02,1143,0,550721,3133780,0,3253.89,322636,56331.65,0,59748.28,0,0,377044,0,0,132794,3035338,1569382,2890435.67,0,0,0,0,0,59605,0,6095709,29109,0,0,391885,16704,21921,982673,0,0,698778.11,139618,6554.34,401675.6,76617.41,104082321,314889,0,0,0,0,0,1224,1659,159029.35,30251767.75,399219,3166,158539,38702,35759993.48,0,19571,0,0,0,0,0,0,0,0,0,0,0,0,0,2883,0,0,0,0
"ISR",132531417.52,184836580.32,45145728.29,193248.02,1429723.39,3406902.96,871668430.74,931688876.279999,784212139.419999,167704341.15,3266446751.99,32924465.93,183285409.9,52876963.14,11187000,309495778.7,204479843.13,1782845902.71,70429160.8,25314879.63,36142500.36,795267434.009999,12240949.29,107451220.21,1651798362.39,1521639182.82,514525221.43,36420753.3,2030720.02,3016727785.06,17964837.39,209387886.82,2135279717.72,136729509.27,14711806.24,0,992546242.39,7381294.06,112704205.43,1503763984.54,2382431.3,871087072.73,0,55662912.49,22853000,708135697.48,137004949.38,733956.47,8302066.8,1419464000,10695290.1,2026320006.37,117773450.78,89665931.5600001,180000,23496599.21,88887455.92,334743231.49,131309595.55,22654343.03,2923387157.98,121076852.89,787498108.37,8407810.03,0,0,740912303.840001,5318090.38,84000,71911699.09,75239958.0200001,152803537.07,420632538.469999,1694992307.33,170080124.47,32513833.34,24015602476.6499,8407000,307006048.28,44419749.93,8148059.4,597913828.779999,115026440.16,519764.7,12562242.8,5262261.58,105866153.75,135914.69,0,120361042.02,36021096.45,28413854.69,89312576.1500001,1968856.54,30225034.96,29116995.37,28801393.05,3024219.08,29079797.85,5277458.64,5066643.86,0,24776,16408716.77,25365223.95,862899.75,117511614.89,947067,8982334.71,7423555.77,215000,12234436.21,0,0,513373.73,446000,12129278.07,6526859.67,9265140.71,108000,9502000,23473000,13311000,10000,4580000,40108000,736000,3743314.74,669000,528000,17045000,10947000,802000,95589000,0,93880000,113000,127000,0,3409000,0,622852.6,0,727000,19163000,1130723.62,27000,3398798.57,1373456.06,1231607.94,128191000,126726000,3121000,78000,0,0,0,8377000,56101631.63,11071434.2,1411283102.51,0,769791.9,18000,3036430.77,39596.1,10231.44,183000,2287000,99000,271000,5700000,22122000,14912000,735000,0,54000,0,246000,0,0,2632.11,0,0,0,0
"ITA",1364595981.33,9254618727.46001,2046722985.52,299814284.35,88474595.77,34908520.18,4604786310.92,5019026266.34999,19525197419.4401,1169107240.14,12383924563.74,383820889.430001,823373279.520001,180895395.81,6905939,479063021.94,5650515295.3,52492218020.6101,3000702765.02,317046543.14,376082498.21,20079916955.32,402323170.26,1523503018.74,44107904745.5,24637239431.6701,3786718978.87,128292818.22,8321046.44,6318906517.18,2748250467.01,4030812030.23,3844341508.16,1357133544.42,148961145.72,2738869164.78,0,30581548.83,793898391.329998,6605776376.8,76244931.83,5459214525.07998,1018439598.99,218199769.97,1859788371.15,4448029755.43001,1482731619.71,36198432.8,75139873.8,1189498433.05,42832838.56,10328527443.08,2129929624.92,645860305.13,510483607.1,395633910.67,785091535.11,11290910208.31,3627717964.01,82276491.05,52657381.09,7223560098.82,7693333742.86999,31360336.68,5693262525.42,165266760.05,2700081000.43,77833254.1200001,22618662,2742861560.29,3881092349.67,4134355542.96,1676473714.6,10844992071.89,1029375720.81,172978076.05,42638657149.7899,471795080,1949138725.08,339315624.78,145982414.17,4285069825.25,745916650.689999,76290963.66,78224970.19,960602322.309998,543193379.33,9657161.73,4738420892.76001,3402878307.02001,504980376.77,207208317.51,1173856152.32,25588278.89,1177253892.87,423984399.740001,273280857.25,46444687.7200001,381027713.76,100570666.14,18443739.54,643754577.21,1289027648.52,208958368.52,1763202750.43,26025794.14,104322950.36,3094556530.75999,50338358.83,28708228.01,8474628,1294889433.07,6785415690,469955,5501371.16,520834057,162488752.13,24850801.51,131460498.05,50152441,211800247,366179304,38813903,18659814,71202479,223503541,1155179993,67270043.71,6056584,1430911,44731253,67465453,13900810,1211772441,1008476372,224371401,17115914,9888711,1309555844,17785549,1648646291,170793753.31,32018356,78563017,77872220,132963417.38,29364367,16332006.5,62520473.91,26416278.13,795892103,587360160,13656348,1635980,153710154,279079,248194,98375531,99966342.71,52562257.13,1347021904.37,1319579361,21212559.7,43483029,10244899.94,2452725.67,409067.33,8572886,8083903,23921674,839396,42055124,137222002,153990302,22773585,1142,421562,18530,8590753,10052,2670526,328122,118727,411803,2908282,125173
"JAM",4602,394339.49,2477.77,48682.91,3163203.97,6057895.34,1986803.43,188227150.66,2402286.2,233421.44,30787643.99,3005,2193503.04,3218187.51,2012614,31428.54,1178045.1,57545529.05,38310.35,2125299.58,212464.8,474776.73,1410532.33,1550554.34,22365590.87,72782197.55,14139.58,202685.72,10909968.87,2181790.01,0,22478,1120037.5,1764482.49,90123222.7,47210.96,2733438.09,0,1972,21432933.86,3597.09,8912811.72,9609,126479.36,12263.22,3405991.66,1732,1357.82,217684.15,3517798.14,3147,49337416.9,526728.77,4389128.81,666867.5,1829229.71,1121401.24,546006.57,6419682.86,0,0,0,99046237.77,3085,197301.14,1005309.9,685654.79,98358.41,9737326,21759005.03,10508728.44,953698.3,1604593.57,213535.58,2351427.27,1556.88,346610316.19,10727359,715535,3490,2646.57,1374321.56,13031446.71,0,56903,0,148275.37,2212951.46,2611,19776.16,164168,25056319,15415.75,5751.93,0,0,131577.19,0,0,6203.63,0,0,513398.46,11601.76,8318.25,34137.55,0,1002,16287,0,0,0,24228774,0,0,0,0,1445,0,0,0,899480,0,0,0,37516,0,0,0,0,0,45912,1245863,210162,0,0,3280780,0,0,17771,0,0,0,0,0,14722.61,0,4243,1145.28,0,3173,62596,0,0,0,0,0,11828420,0,21220,5696971.4,0,0,0,31081.75,4027.9,137378.71,1069725,6665244,0,0,0,0,0,0,0,0,0,35575,0,0,15701,0,12517,0,0
"JOR",7873304.92,7054806.05,74612199.9,59616655.4,0,0,6709215.01,73793323.34,8801300.58,2850743.1,478456288.87,1972635.18,3123059.68,376409.21,0,2322444.58,1056607.46,24747146.68,2558216.76,1102434.32,854447.52,66355155.38,172567.6,602484.92,29754171.34,89285193.37,6388004.57,605967.85,18529,31326685.53,381653.9,1854686.46,879256753.36,2631823.08,305368,445150924.72,79453516.38,283154,0,46730824.58,25740.82,75895967.08,209539035.7,2142924.91,37388710.26,16706144.65,1366344.1,106886,5734239.86,127765422.96,66707,71182402.53,4486815.47,1426693.76,30026674.68,604288,2882560.13,17834765.79,7023773.78,1052588.9,163328081.37,2431778.22,15466254.93,1355374.32,1238879444.62,783813220.41,24211475.59,121853.28,0,2490602.12,1964174.47,6412560.17,12045941.24,142651965.06,5112625.44,250013.45,1819275172.32,210621,50179937.38,3104145.12,165588.94,30074422.61,912332.29,144440.06,90902.73,553121.09,300998.89,0,125590595.92,142191944.86,6917492.7,357041.19,913884.78,553108.43,198595.44,145307.91,982172.88,29945.86,156580.94,1051664.54,579505.71,80142581.9100001,149022604.95,838033.55,26037438.74,7865.04,1260658,26464176.95,1083182.55,92442,1470791,388212,375356740,0,6863,33532617,411332.27,42213.15,1706210.17,0,349045,0,1135859,184506,142831,1760986,0,2817698.44,0,0,0,89649,1560748,138645687,749528364,5760244,0,0,134668742,1230356,37327536,0,0,234042,2817,37921,1115210,2518578.91,45322,151115.26,1836162,6398276,0,0,137719169,0,0,0,2533139.09,4748391.74,13591061.76,28196044,279370.85,0,8152,0,0,0,0,1472721,138934,619523,0,408969,158172,0,0,0,0,0,0,3725,0,0,0,0
"JPN",1207053399.62,1811274680.73,100170129.98,1116357079.02,1007896290.44,10973680.33,4800325371.52,10740301066.61,3505250493.04,2087536891.7,116622417684.11,192171430.48,1184628568.04,412023660.27,22104684,263204351.03,2035406764.71,20701317079.62,376413733.31,317067782.24,687233628.859999,3433775614,228928183.19,681022168.71,8479205913.9,10509395985.56,290817075.55,284539493.92,54692271.06,33550298034.17,30077980.7,1296528155.22,8802883023.51999,1686341298.79,89673706.1,1192410726.6,3477921824.47,175288909.48,620436160.43,0,369279792.66,43355742649.19,2147093030.44,1386152777.27,307357256.47,15264050606.04,378454133.18,347120645.13,237108667.64,12644872824.29,141353608.23,9649237644.46003,1592078372.2,2349848142.81,1746747017.16,4648403500.74,1050110044.38,2401672934.99,381700083.51,232677886.76,56894480.35,327586929.520001,6158983447.88999,47088448.43,8103970368.6,215548373.6,19588650836.74,154289692.8,73702796,647295450.67,229043067.6,1106550062.19,29543988104.68,3016147149.54,368386781.44,90652388.9,128469186936.29,210779715,2340053505.71,171110810.89,42932300.61,14442808263.9,533239803.42,8230290.47,68545322.14,59821843.89,78663023.54,57998986.72,526514119.7,1565616052.27,574321761.78,215812331.03,548940517.56,53328808.88,48557973.76,37509671.16,41430094.32,43224603.26,55383647.5,110159488.46,56475471.9,3149152905.97,1956993753.18,133643380.9,98651803.22,13820116.03,86394825.62,208159414.6,184434039.12,124109492.72,24502237,16025561.46,8454759363,1123027,13768148.45,1362158136,473089421.67,19838250.23,111018228.11,53226295,10523962,31474625,48537453,844837,35904134,104150420,78096653,17974267.2,965366,192657,9192430,70820515,38661336,11257041020,499751426,892970427,10206790,101735684,460537605,861768196,58753908,224543489.57,1610531888,5658952,1038272191,19014723.99,10338190,75034153.11,90658838.87,50952436.35,356261922,8890488909,166920430,0,8852286,1851,4620971,220080003,371498312.58,315543942.64,13036497271.61,281777297,45915488.16,0,95209399.52,2816991.59,22324968.77,9724779.77,25293793,5363083,13257162,8575239,25779102,248311475,5328667,0,78583,20502988,239612238,30656139,46923112,19562960.89,17884,0,0,0
"KHM",16351759.11,161453615.24,2936572.87,4888417,6415,75598,43546924.45,861558305.43,118203723.42,28008353.48,702747136.07,1383867.76,16155599.22,3638347.91,39914,1109355.88,128518179.11,1445313577.48,66882649.77,898623,6001852.98,507319848.56,7057495.68,37623672.06,673679619.06,1490671771.8,23967363.37,278070,0,279818639.98,6299190.97,673757.86,45137329.67,67056044.06,1754056.88,5959251.51,392440548.55,109768.49,2544659,1144447746.37,0,239947970.14,23747258.81,1095110.04,3606418.43,125564752.42,596760.05,494775,447599.97,165254852.84,2652738.82,266285182.87,48905524.95,13183696.63,2455225.95,10451886.81,17482922.47,249519381.12,7096391,1226767.31,29969,7494969.72,113243845.3,1452,57835697.49,0,171716195.98,2716296.05,3051,63649733.86,16118071.09,75033818.35,716436070.21,99353476.24,10721640.77,3968017.34,3536031691.44,682300,18852996.62,346975.14,1942340,144516946.17,165806.94,405912,124386.18,3464739.14,1435869.19,207284,4362714.6,3073194.77,664760.71,10075,5022714.82,161034,1105453.15,2015617.83,599470.71,219061,1811690.33,528437.61,66022.49,290703,16327527.58,149596.3,7526079.21,21432.17,36376,1434697.45,9482.27,124487,0,585355,62813268,29024,0,1391030,1333752.2,8804287,101123,0,14039,0,0,16619,3078151,637873,0,123131.91,1899,0,0,1225,278739,14520902,454806,108670,0,5443075,268305,0,2049637,4838855.68,0,131341,1440353,922386,0,3666,855378.34,360079.93,23989,17287466,0,651436,0,0,0,15355,5962391.98,2463,985774062.5,7015,0,0,1084498.42,88353.13,8365,3850,0,0,0,0,0,0,0,0,0,0,114343,0,0,9807,0,0,0,0
"KOR",1075978932.78,877649475.740001,114944409.32,235629787.32,778125182.53,6938660.35,5489028041.45,5879565613.73,1744189240.93,1987612326.44,138914424628.71,144789646.09,1171408323.29,377475755.81,20920900,27780133.27,3030612303.9,7886823330.29001,1673715796.64,290664426.56,820303658.64,2472297376.59,85575370.31,516799488.37,3477106846.99,8921475760.92,1566582395.65,434890012.87,706017381.88,26610528998,310710083.32,1602104693.27,12525951314.42,572413134.11,60162738.51,1146241709.54,3550135639.88,21863332.54,814343387.44,24992448793.86,736297644.249999,0,972886802.139999,312502908.06,425886614.52,13327413496.52,2160925293.26,263826260.41,67107965.53,7890952719.62,139608456.52,3366311438.06,5267847263.34,1399179410.59,813644472.21,2278975364.98,1312908343.21,3170742870.8,493819948.8,280353743.89,116554921.67,541929779.06,4675538601.92,28155166.48,9587121091.85,212608116,18110559062.54,180218682.93,9614573,4237407978.1,718698048.02,758633162.6,6719332715.05999,6979274703.19001,252742569.56,220279037.74,71559896936.1299,449306693,1209908103.69,2783753610.06,31004285.84,10220742968.14,137424068.7,38336672.71,46390957.21,42455479.47,113855081.47,2031981497.38,1105955755.45,2479244168.23,252304925.03,56831937,594211740.09,72906581.2599999,148636575.33,63367523.78,21492356.76,35641062.88,26734660.38,55407329.95,44775170.77,945378577.430001,861978351.14,113740692.4,114018569.72,28093332.42,184474818.16,198939734.86,54731315.66,32107016.93,39586799,20106086.69,6080162862,11203290,3296534.05,1207331219,181349789.2,3562155.49,51004528.34,26540838,501947090,51508895,53714035,8298020,23949276,252789891,27367166,34184865.67,2993822,394414,4955416,117072624,46665672,7874222337,1427857121,256433902,11057064,170271013,252937078,1316159335,544298408,68780511.36,7494631496,12687144,659725198,15846629.98,7018674,25258123.35,172858950.51,10869022.96,685721385,8330545314,199122662,0,209335598,0,8950602,105605266,191229684.18,44324059.08,25714430505.14,3758945009,7433123.08,325001,159875269.08,488000.89,32152076.48,20942195.87,8469545,5512531,771203,3271112,182081632,1284081787,20261844,0,19953,46402798,66389070,10543308,12495562,9921274.18999999,9466,0,0,0
"KWT",2004198.09,21884906.58,293102.91,205226506.29,0,0,399124971.19,12745508.91,62608151.4,4741,7046427852.65,3067793.62,74456,33527.48,0,4094029.7,582847.02,60991743.2,27595668.91,2060963.51,10048,97439156.23,187940.94,52014.24,643779159.23,1052897666.86,20550905.76,0,16549,58716677.82,19718,4972032.26,5718895167.32,631147.46,11328,0,191730299.35,28469,179688370.13,5890727518.22,13109,8243764407.76,0,27038284.44,40751091,415045.9,3795,1488,7384603.98,751782141.77,0,1940326102.79,3115583.81,108292678.75,1452053554.22,267900,0,813443.14,16288552.23,3267750.49,968513.73,61512.28,15978082.58,6759,836943674.78,21521518.64,2435484620.49,129928,0,191781.49,1772482.41,586765.05,743999510.12,150180582.31,430689.41,4770374.56,4349208421.8,5133000,327002363.7,1749401.69,41875.2,13856172.18,3687847.12,382033.45,290217.92,269267.04,265031.32,0,19279180.95,1427681989.09,1373995375.06,155457,521112.02,2650276,35811.45,327688.85,8592.73,7720591.63,0,277549.52,604690.58,203047902.62,275931930.89,5512957.03,520008.42,22045.48,1805525.97,20218902.58,361982492.24,3847727.75,6869177,23158,787510491,0,1654,3358466,248182.85,8285,414838.71,0,153479,1159,1779050,26871,249129,1781392,0,43612.46,0,21582,0,0,0,125969551,428466320,1075578,0,0,31270694,822366,2172457,0,0,0,20070,1370,95080,28551044.79,0,1387522.52,1339582,2329335,49520,51309,2059929,0,0,48753,1410312.89,864428.39,134534919.02,56078552,1881356.15,0,1960,17238.14,0,0,19836,84305,0,23562,48168,0,0,0,0,0,0,0,0,0,0,0,0,0
"LKA",8776000.62,68451515.34,2063253.96,9800492.61,83556.29,759591.95,52126819.39,250771228.57,174295640.85,42485603.49,356848327.23,2554834.04,16727404.79,2287683.92,17737,1302789.48,40203170.36,578407663.51,30183647.96,1945108.12,10403228.41,111619934.2,6484473.9,21260114.57,289464784.07,1114985866.63,5309979.24,4720513.19,469416.31,157263355.33,1835656.95,24868032.25,830662573.34,58521592.45,2127612.95,114004294.37,421024855.33,3235050.14,40331987.77,264635266.18,8272222.46,83954600.48,45154044.68,0,5462163.34,141986702.98,1640766.51,1220731.02,448878.39,66236123.51,1979270.76,192487560.68,41790693.35,35800198.37,77217951.1799999,7626076.46,24023396.45,65671813.65,5859359.06,535539.9,3825971.72,8066183.24,249714809.77,2162314.11,103034595.12,58331924.84,109245940.81,2572866.4,307031,39644646.06,9233427.08,60771728.73,54085129.37,110299824.05,26594616.93,3214808.26,2988104929.45,20590663,34501120.56,2318863.1,2100632.75,171222321.36,40947505.49,370613.07,1374725.88,2601897.23,5561714.32,123381.1,2001623.45,44427462.65,3516107.4,1702455.52,6362656.17,2841332.46,8347825.49,6432556.86,2076328.89,1662044.48,1754233.47,2861834.52,3925812.42,11455857.32,32117457.76,4764523.31,2627594.21,5640972.96,2517721.41,1513395.32,910566.09,440192.15,491535,8872726.87,285270431,1861,0,98443202,2237580.32,3088765.17,2466053.36,0,3473779,0,105531,66540,37314,10072652,0,3590023.35,2582746,39927,17811,2403975,133805,35589387,105134839,16796149,13006,1473,25113694,647045,32946310,613551.66,16430,360011,1717379,326665.98,1711487,2082119.94,871761.99,289199.61,4552592,17829692,1324171,1368160,48049361,47673,8033,2061164,13459255.61,7636595.35,82072077.6499999,155808114,1662871.06,0,4431740.1,47514.54,0,2534,156527,131181,0,114181,485216,5680992,194526,0,0,0,4696,48528,42194,0,4424,0,0,0
