"","AUT","BGR","BHS","BLR","BOL","BRA","BRB","CAN","CHE","CHN","COL","CRI","CUB","CYP","CZE","DEU","DNK","ECU","ESP","FIN","FRA","GBR","GRC","GTM","GUY","HKG","HND","HRV","IDN","IRL","IRN","ISR","ITA","JAM","KHM","KNA","KOR","LBN","LTU","MEX","MYS","NGA","NIC","NLD","NOR","NZL","PAN","PER","PHL","PNG","PRT","PRY","ROU","RUS","RWA","SGP","SLV","SWE","THA","TTO","TUR","UGA","URY","USA","VEN","VNM","ZAF","AUS","AZE","BFA","BLZ","CHL","DZA","EST","ETH","GAB","GEO","HUN","IND","ISL","JOR","JPN","KAZ","KEN","KGZ","LKA","LVA","MDG","MLI","MOZ","OMN","POL","QAT","SAU","SEN","SVK","SVN","TUN","TZA","UKR","ARG","BEN","CIV","CMR","GIN","GMB","MDA","MKD","MLT","MUS","MWI","NER","TGO","YUG","ZMB","ARE","ASM","BGD","BHR","BIH","EGY","KWT","MAC","MAR","NCL","NPL","PRK","SYR","TKL","TKM","UZB","ZWE","ALB","ARM","MMR","MNG","MRT","SDN","SYC","AGO","CAF","COD","COG","DOM","FJI","GHA","GIB","GNB","GNQ","HTI","IRQ","LAO","LBR","LBY","MHL","MNP","PAK","SLE","SOM","SUR","TCD","TJK","WSM","AFG","ATF","BDI","BMU","DJI","ERI","FLK","FSM","GUM","KIR","PLW","PSE","SHN","TLS","ABW","GRL","UMI","HMD","SPM","ATA","SGS","SMR","VAT"
"KNA",0,0,16748,0,0,57220.51,356357.69,3530254,18415,14385,0,0,0,0,11192,1632752.36,405602.51,0,2733,0,232949.82,9990111,0,2669,10965.32,0,0,0,30428.46,0,0,0,33582,5617,0,0,6136,0,0,13539,6380.97,0,0,34510,0,0,5707,0,0,0,0,0,0,0,0,0,0,33992.96,1268632.68,305272.76,0,0,0,41641492.15,0,74486.85,4553,0,0,0,0,0,30781,0,86723.25,0,0,141590.17,0,0,0,340360.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2216,1199,0,0,450766.46,8789,0,0,0,0,0,0,41894.85,0,0,117616.26,0,0,0,1218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27648.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KOR",332592463.78,36397676.88,504417422.26,21220949.85,20103266.71,1590038105.71,5866570.31,2629099256.85,491298721.45,18980377828.77,275385137.73,140919013.72,87984190.17,418204281.86,153479513.45,4362342061.46,325898851.73,181687302.83,1820009654.46,254967345.76,2165958520.83,4313237997,860927569.88,175020613.87,2385750.85,9619269846.18,130546340.69,67968700.63,2820678790.58,783441879.18,936947934.64,529646082.87,2392685556.26,16995593.44,124223768.75,397619.42,0,107214140,46249904.1,3048973611.45,2767511795.96,454612113.28,61798187.34,2352787370.24,436936956.02,304097978.65,1678311347.64,250138832.47,2417883367.33,11059669.89,270958696.22,33084269.75,179075818.24,882518552.919999,1349039.49,3566746960.3,75356535.63,403196459.81,2173605177.31,27096761.78,805312449.79,5057520,69345932.14,34539596524.71,480758950.77,1809978105.28,507894517.63,2335975171.01,6985289.74,1597798.74,12045450.85,553390354.63,183256437.09,38784494.73,40135434.87,6141536.1,1646535.58,424276429.6,1379148049.1,35650514.72,170827846.87,16565336107.98,124351032.3,52391286.75,18751754.07,311789690.65,10359665.64,13213000.5,3685880.66,6147311.4,194825929.32,506962689.37,244648459.34,1331079420.41,12002433.17,39678966.4,66121823.39,95992339.17,17652130.4,139524484.57,406292211.49,15552607.14,26542175.47,7605434.73,6401977.82,2222057.79,4920727.27,7939095.68,317152240.19,28832061.63,3603727.33,1551295.7,41447782.27,37677821.71,5666180.52,2168917057,25895438,654677005,46566928,4828266,431261283,178429009,105840467.77,106431255,12196297.71,14520289,0,425864578.08,130760,14669625,345628849,8390668.74,2873750.49,1907467.51,321646410.76,68102078.67,1805478.12,94299976.84,525266.68,695548492,223963.66,1012337,17058737,122850816.44,9718383,89653949,33646,191949,66575,8662883,73194664,6251671,987016169,201861027,510574061,82909871,355198468,6992073,2231191,2659290,324026,2267362,4191940.72,95008936,0,374347,36387360,11050135,3329286,191453,4989899,180890769,244042,7065052,1308722,0,312519,5993572,2702,0,21570,0,0,0,104317,0
"LBN",1377050.59,1446462.26,0,135864.03,0,1860984.39,57326.08,21572469.11,62785428.95,2758435.97,812474.18,5514.59,0,9004368.55,294333.84,19519740.18,3175451.36,12997,20056576.2,6439102.01,46463519.19,20560565.52,13438148.05,0,8289,10584278.01,11272,12042.04,752476.54,1628798.21,11749899.26,36734.59,24350147.3,5648,0,0,4707069.95,0,40285,515151.83,479866.24,14928418.38,0,15625671.11,1827350.26,190607.76,215615.49,1625,2785591.82,0,1889769.59,154009.6,1711575.02,5856111.79,0,645226.92,0,5679411.11,734138.83,0,35744517.82,191053.97,693221.22,55450320.4,691385.85,86451.67,524638.61,2804173.32,81984.5,1615001.14,0,205421.91,9902002.15,0,545411.29,2209434.63,1369376.27,1115307.57,14458153.46,8045.27,45227901.31,5270661.14,182323.99,128577.82,10842,2574886.19,122828.38,173279,464080.96,76803.96,5214536.64,2227185.02,11931828.16,106676840.72,2132502.61,3219,62297.37,7150062.22,297349.77,1482058.88,142921.61,493057.35,2179848.91,4038112.48,1766940.97,1092500.84,51086.07,11470.37,422752.33,44057.3,4191.35,166977.76,910274.58,121566.97,71495.23,44248634,0,1313314,6723768,8161,23658388,23678364,5805.66,3954697,28447.74,8315,11936,40851471.52,2944,155567,0,31495,1139035.3,5891189.73,0,0,198635.53,4282263.09,0,2371411,996083.7,321647,2868381,0,10001326,2612555,0,52387,24331,310674,67980083,0,2740908,2864264,0,0,588421,2230431,0,40048,68329,0,37201,65558,0,79707,0,147182,138880,0,0,0,0,0,0,5385,0,45468,0,0,0,0,0,0,0,0
"LTU",25660804.1,3668455.46,153439,135808009.2,51066.82,410512.71,0,21918488.09,29572658.63,5037246.87,2301533.97,4549.58,1783248.97,2543297.65,28091870.64,632740682.3,243207256.29,2043088.78,142998651.86,73331523.15,287162767.88,402018305.17,3873014.21,279933.32,35150,2184709.01,7487,1191929.96,1438784.09,18366047.89,5287174.56,5844491.38,117802014.09,633957.52,3461,0,10547354.46,801954.19,0,3301181.76,4063733.72,322650,11146,166605535.98,88636867.45,19311.13,1102729,708012.62,2939020,0,53678697.44,0,2792189.92,384651234.11,370438,1281466.13,0,234832154.61,1066912.75,28887.93,78258277.39,0,12300,234608212.38,683332.13,630664.51,713246.65,1414056.28,1500551.08,13058,20202,437643.93,7546908.36,126493756.79,396140,1508,5659554.96,19409858.1,3198804.52,6941064.76,276540.09,25137250.44,13003729.64,0,3644193.45,739426.85,295386129.49,22500,0,11659,10683,294709682.27,86897.03,739045.05,24149,6568282.37,1997260.36,3386921.46,63754,142537418.28,122796.14,67532,2500,144167.75,40594,0,8902872.46,2539132,177844.12,18020,19236.07,591965,60255,1511517.19,43636.93,1471164,0,450417,41880,307264,285481,79786,0,254771,78422.33,95884,1875,67820,0,896922,19793033,6912,23377.74,4648872.99,0,139124.87,1640103,652186,329380,113513,0,0,0,817232,0,36283,3300,0,0,0,7500,0,437966,0,0,0,3915490,0,0,12800,0,1451016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39625,2302,0,0,0,0,0,0,0
"MEX",139059730.34,8151289.58,13582723.99,1156934.75,37343800.36,715499486.69,21013400.54,6799233742.59,115145864.55,599347965.11,596223834.309999,394736074.4,288811017.35,5267599.83,49634098.22,1470740176.37,58818808.21,202765660.76,1424669799.28,35001568.74,528459577.02,1157040609.35,13604890.38,596297947.95,4298816.6,290242454.93,107979664.74,3052633.64,31010857.21,228431473.92,30351093.17,46903508.91,287392092.09,121545037.8,20844,431784.69,339707444.37,13113381.21,2929838.28,0,135185181.16,6237469.86,144852747.15,606371655.07,38346214.56,69816689.78,237139341.25,261817001.82,36543252.46,178216.74,120296723.89,19071031.29,6962278.15,59652295.17,0,349137239.73,323990849.5,35137506.07,117768870.25,45774943.58,31735127.96,795317.06,41600000.99,128117295962.7,786482322.84,8711998.45,64176705.83,307544500.26,4424743.65,39177.63,46835941.45,545551970.18,113464434.77,4427494.11,600538.27,192062.64,25510,119164908.69,204708788.38,2430686.68,2456089.36,1781470210.62,4474957.64,871437.39,38708.03,2907332.52,892667.13,399378.19,20061.23,538939,3230342.94,81827403.7,10187104.71,158792510.34,151258.94,19203921.33,10062440.98,7652968.01,250661.41,2184651.78,432624663.72,109193.11,44547085.61,79746.63,133292,0,105940.33,294548.41,2438926.99,227203.01,0,16907.69,72281,1713239.98,77823.58,70448598,0,1299678,625855,0,15525839,10765537,3958164.24,3301576,672184,0,17129096,9882382.71,0,0,0,24575.56,134586.29,22617,201098,0,13296,1543837.35,1497.24,24688,86002,75348,455009,420563224.39,194006,86942,722390,440280,0,7414531,3444,2530,1895895,5275390,132212,1447,10239882,0,0,5488129,82581,0,0,328664,0,0,20523144,0,11627,0,0,223272,22089,0,0,0,0,29645224,0,0,0,0,0,0,67640,0
"MYS",519039425.81,14218023.02,199115,6227363.94,2138637.86,357099868.93,2409716.22,839568622.93,210081451.77,4725322190.4,33158146.42,8646145.58,12882256.67,19102693.36,307317959.67,3058857427.58,191652149.79,23865842.68,500635211.98,243409853.98,1716531516.11,2984106383.51,129168275.08,11059562.05,1025086.33,4677510358.68,1534500.53,32594570.89,1244946090.65,512863516.3,169998342.05,23541818.86,591959814.7,5802571.71,72323625.08,46380.73,3203109584.5,76591985.16,21545392.22,1647250928.12,0,46066314.02,1420397.57,2564860614.93,129372002.85,390638489.85,97108406.99,33694634.3,1184587203.46,30948176.1,64224024.26,10129410.08,33372914.5,160431391.77,1688175.7,14512217586.79,6032737.51,194849154.2,3148919302.9,4898610.13,252570871.43,21294241.89,7052028.26,21675848195.4,17935071.27,495969380,303872499.46,2003362201.39,2975315.61,1138253.27,410500.65,98256804.76,41792155.29,34973677.5,11541025.88,816304.69,563082,473074395.39,1523667502.63,5169544.75,57643960.78,8476265411.85,10027727.03,27465619.96,488068.41,207597951.61,2985223.42,12981163.46,2032826.05,4179286.93,145037146.15,248102895.36,59608091.46,366607552.54,2939024.5,67201277.64,29579181.32,24384454.16,20188105.59,46386851.93,142237363.21,3718120.19,11073752,5168135.02,3906425.46,779296.1,1449111.95,3140764.39,25244179.61,65790998.34,4293004.07,926052.07,4928561.68,11260920.52,8432036.68,562410583,0,165574392,22937210,199000,208875300,59334570,21140313.63,15530885,3980948.72,6595921,7064585,85223332.36,24930,338809,1179373,14068922.15,613953.29,1331432.55,242485693.13,2864671.92,7173366.37,23807183.73,4714981.53,3590353,77315.15,1264347,852894,2430547.28,9752064,19720549,22203,0,0,4113612,30688290,1265586,330285,1438218,285019,58978,397212196,1481631,2598145,342679,0,21000,499879.94,2335670,0,15511,215483,4532322,150848,5635,19110,0,83377,117623,0,298836,0,46192,0,1609948,0,0,0,0,0,0
"NGA",247898961.34,44251.51,2323.9,7378.82,15594.63,1225461506.31,0,134476962.75,266327798.41,205824804.99,7280569.24,0,0,4257,11307276.91,571411598.79,1469852.71,2704.78,1732056239.94,98002.01,1087040590.49,77134920.88,182394.4,0,0,3882371.93,5295391.42,85801.97,445734765.44,622329.61,0,1232396.31,406599768.33,4589,0,0,70404854.91,643613.45,51833.74,19340145.36,4074505.53,0,0,380863012.59,204492.35,42455.78,0,108749578.62,0,8924,649097806.97,0,132262.91,6736152.79,273088.48,528091.66,0,53148234.62,27876911.91,0,4661593.18,721147.45,32579581.87,8103000021.1,137201399.24,11048431.02,236467930.67,336909,1846.74,6454267.49,0,121700898.76,898967,3172918.15,185423.98,3065519.95,0,373780.47,2105313037.67,0,8229.08,264195811.01,12062.69,1037260.49,0,175753,11578.61,57585.45,27699366.3,1296,129463.79,4105224.1,50914.95,598069.82,168875038.66,3102.77,19838.47,1824.24,426438.41,1505719.85,100966614.74,30726295.03,434752063.83,240519965.95,1243287.16,240437.45,0,0,7337.05,77591.89,30388.43,26903536.39,4983024.95,822036.48,106251.03,0,0,0,0,0,16297,0,0,0,0,0,25758277,9021297.53,0,0,0,0,17091,0,0,0,6971,1054,0,891160,34197.99,0,2676721,0,0,271148898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2063887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NIC",2550198.13,1121.44,0,11174347.43,108515.58,26746,5374,27075008.18,5226093.11,461171.93,1204544.48,33883314.68,2389939.72,28012,578665.98,33441466.13,1153167.82,665425.17,10765047.51,3296805.05,10992618.51,16408645.76,124316.74,27011403.28,0,788726.9,43523514.11,22460.61,22683934.48,2015026.91,0,123654.78,5366243.35,10404,0,0,50292,5825,168975.15,29598466.63,45389.7,40054.71,0,9831519.4,220515.91,25363.05,9900593.55,141672.79,89035.41,0,1387287.26,1199,92166.78,44040347.37,0,10685,84798002.59,1675606.56,31739,5508399.93,75225,25378.78,2140,443908226.59,1755407.37,109024.76,191003.64,854800.9,0,0,152241.22,7806.59,174693,24921.38,20512.38,0,0,329605.62,29626.79,14007.8,17236.22,7464920.25,2871782,1739,0,0,0,0,0,0,4896,468543.05,10600,184839.89,0,28682,32691.59,0,57282.14,9434.76,14872,0,0,0,0,0,0,0,2062,36106,0,0,0,68253.33,316770.83,45366,0,0,0,0,7074,0,10905,346082,13399.04,0,0,412933,0,0,0,0,0,0,0,0,12996,0,0,0,0,0,0,2611793.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NLD",2183871781.45,141441859.9,66605002.45,93624111.75,8155835.47,630376493.779999,11792486.34,920677797.62,4407950582.5,1307082423.17,94925134.0200001,118510402.46,79374714.46,88914224.9899999,889283937.339999,35338713173.57,3091503972.66,50249119.88,6568239016.51,1263229656.13,14645435012.01,21517817045.43,1586118948.78,19560028.58,21206487,1288695931.5,27058039.62,174761825.22,349257725.06,1723129452.72,325465221.27,1289093863.21,13641805031.75,26132025.26,1803754.21,2615300.33,1053519422.68,141220936.97,160675479.1,464092358.2,618230666.68,572052613.21,7052579.87,0,1436030119.52,129543718.63,37586140.46,41019570.84,264118446.22,3125502.83,1893431167,10517934.82,336680116.18,1232665141.52,8549135.17,1096391923.22,14701250.26,4142841366.42,545410248.080001,49571957.21,1073966461.39,16349175.23,31534552.01,8821864477,174463072.78,109018993.32,537814935.060001,573209596.04,18862287.98,11139373.64,5389091.39,124155462.92,182434064.57,84537494.05,44428474.17,42062712.85,12012622.19,712493381.52,513868871.13,152274546.98,93543622.67,1875437094.62,97714764.69,73611870.92,3404512.38,81678313.9399999,134839856.69,13627307.47,13677283.42,9670094.61,116169919.82,1891075605.49,120759989.12,721235513.780002,58052456.7,235628102.09,202652612.14,198165487.53,34618100.75,212013908.09,142256340.89,43112630.88,101378226.67,43761765.16,29835918.84,24224301.31,18211358.46,38686392.83,91837496.91,25152054,7193896.61,13263164.3,22896516.16,95652059,8077014.65,775889983,54641,58253410,65054893,39821570,334198603,136414932,10283132,251154398,7477685.02,2955090,10686321,109244782.22,17020,5143417,13947764,10942344.04,11532871.3,7919330.29,9158710.41,3081284.99,16997736.1,58885904.36,4322743.98,101619447,1629982.21,28972203,35743193,44611300.77,4166142,93574713,32886633,3312496,11909020,19294493,30852364,2158761,11974422,131646815,317996,52850,151400835,35181576,2285962,69506842,8803453,5917338,56433,2610223,56432,1954536,3879516,16772954,6611563,402193,71661,343970,5375,18811,3787241,20604,530292,61032988,118259.99,0,4479,331429,29560,0,38264710,1623102
"NOR",93804367.82,5287666.02,66616771.93,23000267.29,2773755.76,219890508.04,3245413.29,2278532937.99,196642509.6,716467053.98,32305081.81,3839392.24,2632690.96,33545283.95,364695689.94,8476288613.58999,2084290161.53,12710497.96,838313414.57,1030620227.87,5801094594.24,8358491762.13,168013194.14,3836958.1,1341817.27,133211199.48,275623.29,44993863.94,31636126.06,891376353.890001,21349999.04,74145575.7,1091628632.75,13921433.86,1883815.96,303263.56,414325220.12,13279627.48,63423611.17,146232948.81,59902930.47,36788515.08,1032614.15,4587476953.34,0,21138863.49,100843799.91,4776884.53,32180732.71,357884.88,751655587.29,1045981.9,32279750.29,247331189.84,101744.63,305557459.06,672813.95,5361454686.38,97047495.44,82844706.28,336714957.78,4963801.33,5516543.61,4945147657.37,28531915.29,6624230.66,51562115.77,128964729.9,4143987.9,200690.91,125115.05,34568739.87,9405349.63,54902290.01,1759978.03,10816292.79,613656.26,45603345.34,60256068.99,178435732.31,5565549.16,1093941748.59,6987459.33,17343245.03,50573.76,6810002.75,48239041.59,565657.61,441723.54,2480588.21,5750789.65,502337712.53,5967743.73,60100864.74,1406424.02,23364683.04,18568328.38,6381869.43,5675628.02,81961336.25,22363233.05,522916.46,4176109.94,3211845.05,1712517.89,508904.55,2832307.84,2413615.08,123522962.06,3249231.08,385336.82,140589.76,1029745.09,10484956.75,280909.29,57249505,1133,4543298,2423324,2113701,24237698,5181000,877894.11,17816141,1462695.65,172745,0,4171740,9473,503078,1392952,906904.5,9181984.99,136713.28,140494.76,517117.74,1283478,1207742.15,341158.09,67036149,19199.68,1899916,3912925,23707113.02,49974,2532009,9610881,23289,1799968,1480569,56501,1967698,260655335,2971042,42283885,0,7328560,142171,8963,268735,0,290762,0,838008,0,27351,308758,252205,344411,3824,0,563929,0,0,70876,29046,0,426842,47750812.76,0,0,0,0,0,0,0
"NZL",24387028.26,305364.25,1076516.95,104904.34,2640696.97,35755168.88,11213854.44,321926200.19,57602985.16,698687403.419999,12836006.13,1710354.76,53279518.73,5754968.41,6898203.23,464747304.53,57997224.54,1873986.33,101687966.12,15425673.22,232023766.72,722648058.279999,35703149.36,26033932.87,6699169.88,368391480.53,2623728.88,1715344.2,228922679.48,21828112.19,35365361.75,8173362.28,266677503.4,22197776.7,1475402.87,66320.09,692533712.569999,4774494.78,4180198.88,249161463.86,331528013.89,8971453.97,6705052.79,160943109.31,14538925.73,0,17004078.51,35877363.27,264335785.15,47301437.88,23638689.71,307212.98,1365429.13,23756899.99,266816.24,186513102.86,23334170.15,29477125.66,205495845.6,11777322.96,16520684.3,525865.49,3987417.06,2190540911.99,67497315.99,158953924.93,63837377.22,2476889195.61,8140931.21,8187.91,258820.88,33172008.25,53489491.62,7972172.34,1822179.4,368230.69,686846.4,4066493.4,76158843.33,1024239.14,15029495.65,1902152475.06,921387.31,2789261.34,27369.56,72173409.9099999,22146948.77,1212693.69,12695.9,502609.83,11474025.98,9383615.57,6367609.27,141806896.78,1135546.12,2627362.79,2552654.08,4693797.58,1393137.03,496784.02,23249633.51,1611,565670.31,114836.73,15933.36,15147,38648.51,141665.78,6450223.98,15981673.7,306141.37,0,0,858518.67,1438677.76,69986579,19569789,9944314,7826305,125918,69754893,18646776,5963740.7,11104996,50341237.39,11987363,0,3939027.35,0,52287,108130,440403,213957.58,0,8148636.82,92080.77,0,1970073.98,2782964.85,1118520,0,0,5452,17140127.75,104165075,2828332,216087,0,0,242145,0,565384,0,867104,432970,995189,8968842,336546,0,34247,0,0,46997424.43,77269,0,22718,1931966,311450,0,172545,647744,5107435,1374526,126755,136949,0,771980,379293,190163,0,0,0,2055,0,0,0
"PAN",10151929.3,674543.53,4436405.08,121228.9,6527195.83,23912615.53,1826126.8,7436975.89,11126828.25,4274659.43,60027171.49,111934185.19,23432752.39,21821.95,10173865.6,78610306.77,76867124.32,48963915.73,34967205.41,11836917.39,17644621.85,10179090.64,57142948.74,74433221.1,4026168.49,18176500.73,113049343.95,388105.62,54340566.38,248936.99,0,661066.58,46854778.22,29055259.23,6108.27,347301.47,130236512.46,118169.3,109351.11,59471457.34,1353734.45,7571107.78,70328062.54,8589942.66,56318044.35,360407.37,0,4433817.09,2993043.58,12499.74,13640612.03,2122736.18,607260.37,828740.78,0,2479307.69,121620955.03,27647858.36,374885.12,182392151.9,2160660.77,44235,3106651.3,337990027.58,374794410.65,0,567897.45,1573057.43,0,3110,4072872.08,4606379.15,130589,1018571.35,2811.15,321151.39,0,1322365.26,3194569.17,2554584.43,304851.09,55891525.09,0,90048.42,0,0,102977.28,7613.47,0,196071.88,165004.63,43804216.28,3018,336091.28,0,5544761.58,39496.02,919796.71,35842.06,1628972.36,1033762.83,8400.78,17745.59,1505123.5,0,0,29814.7,192311.56,211547.64,195034.96,265005.15,0,8295.38,1533724.99,0,0,0,0,0,0,0,0,0,0,50301,0,0,0,0,0,0,0,285292.61,18818156.92,0,0,95667,165437.8,0,0,0,0,0,40549070.59,0,0,0,0,0,676811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1190267,0,0,0,0,0,0,0,0
"PER",8053162.32,11705785.16,1213383.2,4391071.55,92816268.24,229016128.53,440727.46,158310490.38,305825601.26,430543037.03,159908291.54,8582329.14,3795628.89,1037218.84,9834330.87,235613190.85,9535621.24,112597705.05,214369019.51,19496203.96,100800845.41,978134757.44,7950251.15,20515565.84,995647.25,25557152.44,8564077.04,2180890.46,40306400.45,2083492.41,20421219.44,5092769.23,139717870.94,4082415.12,0,1099.4,119011535.9,1525584.64,12862245.84,137545837.35,7780930.87,1546080.19,3643265.53,79545145.05,28486893.81,2271462.3,74230979.46,0,21262588.81,119177.92,16697849.05,1329905.42,7376252.54,32809112.07,22739.8,8505955.95,15035312.85,10714076.07,72947061.43,19661639.08,10598097.72,0,4680817.07,1727269295.76,146664232.23,8925588.64,7246770.66,36097392.37,0,771410.7,33914,219858886.52,28764.92,859484.22,92173.49,221190.76,0,6719957.78,37134746.47,44823.26,1193946.12,344244581.29,22799966.8,327018.22,37675.78,2583086.92,715275.72,1108691.59,3537861.31,68314.59,6235451.68,10406211.59,19008,2361162.43,0,8638720.13,871916.37,235956.66,35846.12,1406914.46,20638070.37,0,194798.49,2372375.21,13392,14443,44311.19,97104.75,91048.54,1303206.83,1178.5,17268.71,11008,2753076.4,0,22491131,0,621615,4614,1385,4694325,546430,49490.71,847612,718706.61,77196,10352491,789274,0,0,18529,0,0,0,0,0,0,3841273.66,0,24199,0,36750,27865,13588648.59,202673,811841,2250,0,0,9760228,0,18960,34296,0,0,0,1293051,12368,0,65042,0,0,839018.3,0,0,0,770875,87229,0,0,15449,0,162378,0,0,0,0,614993,0,0,0,0,0,0,0,0
"PHL",66692891.73,1979202.47,772556.32,903381.51,685808.4,126111479.45,2589624.82,413533859.96,73537824.61,1373475384.56,5610964.91,9596994.09,1758707.52,2071247.91,43284506.85,2092560613.7,48935850.5,1824379.38,121709787.58,59438397.56,435273244.92,1847294477.79,11614372.61,2485268.32,26586,2619361195.97,1285324.31,5346650.88,126757306.97,352323710.33,4603317.55,31152610.54,161910165.65,3632431.61,4956042.33,0,1801395688.24,6930998.53,2745676.38,690322492.69,1610987738.18,6405391.65,139116.13,2077228953.69,33957413.5,39089888.81,38659385.41,13848888.88,0,1596115.68,26787316.92,1840976.23,6733848.33,25221329.64,5226,2269692628.04,602783.88,33788523.7,1161281508.37,876921.74,36906410.53,47524.78,1698734.4,10582306233.96,6305632.86,60518080.96,46171297.45,276965815.3,0,155086.95,3379413.63,26187407.38,4251274.34,4187165.3,122008.28,195257.19,0,190141736.34,84449500.81,1219770.61,1767222.51,4939672602.29,731392.77,293472.81,15649.56,8296885.91,376620.25,658885.73,2570445.45,1476411.24,2917773.64,64265107.65,11810093.35,52198136.4199999,337603.11,9753920.86,6863796.8,2125509.57,1406245.69,2936140.51,27388620.89,546712,966385.79,88073.91,23425,0,50793,585802.53,849585.43,2953781.33,3309,55370,1028,1266963.85,111516.67,96715826,235450,7939899,3288300,679511,3850259,11751047,4765422.3,4576185,873534.4,434793,0,2020775,0,0,25480,95415,0,0,11977791.35,108534.96,12120.63,620976.48,229883.41,595260,0,307228,0,1431062.73,1745802,421210,135948,0,0,2184407,5639,80242,232047,242613,604396,0,8033443,0,60504,37573,2250,0,49159,29145,0,33976,1589159,0,0,15124,1441204,12323789,0,2738903,0,0,13697,800090,0,0,0,0,0,0,0,0
"PNG",682167.03,305957.29,0,0,0,0,0,8478717.67,4579959.07,46885862.72,0,2112,0,0,55811.93,139763383.19,408828.23,0,3053613.77,449142.16,2684103.61,57074900.88,894774.65,0,0,10872859.12,0,0,12205481.96,705168.63,0,77242,30968612.34,0,20744,5163.95,87259788.22,4893,1360,6540,14047586.56,69192.64,0,16152111.52,6280.48,33679736.17,0,0,74581662.29,0,1374606.36,0,0,2733390.39,0,170814859.83,0,14596490.4,64490844.84,0,665000,0,0,53848268.42,2078,17770.63,3835106,608973256.4,0,154129.08,0,0,0,0,0,13010.85,0,141752.22,12232,12043.94,1241,305136986.62,0,207011.46,0,143246.59,0,0,0,0,0,2528097.61,0,0,0,23897.12,11117,1957,0,66061.55,0,0,3298.5,1207893.32,0,0,0,0,0,11498,2785.7,0,0,4021.63,0,0,0,50805,0,0,0,0,1786.98,0,1618498.09,0,133079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4301944,0,0,121389,0,0,0,0,0,0,0,0,0,57176,0,0,0,0,0,0,0,75499.03,0,0,0,0,0,0,0,30363,0,0,0,0,0,0,0,0,120977,0,0,0,0,0,0
"PRT",330584640.85,22581689.62,524600.79,1733831.4,852443.37,210201467.03,2158352.84,160876130.55,317436759.43,70668732.52,9128608.25,7267916.96,10803104.68,17936169.47,75716523.37,4473277703.88001,327521329.45,2188777.64,4372634814.03,159594897.81,2906647418.89,2368247100.43,96441160.38,3754515.61,28405,83736557.22,405634.28,5138324.94,3230078.17,153984821.1,14461736.53,84725284.78,1136053538.68,1200534.49,1013168.64,34473.17,22622130.62,26821825.23,15486855.15,112622815.38,20740766.25,19688249.49,1211663.68,898361903.95,330454068.05,16924627.17,4096573.78,5420063.44,13168201.94,214330,0,2015589.68,34114428.63,27818236.71,260762.03,73322922.44,6691458.05,347042999.96,25580443.82,860758.31,73348360.82,469899.19,7740357.47,1590350026.89,26488770.44,7256692.87,77273013.17,96811900.67,2557024.57,1209962.72,194321.92,55937587.24,55457664.46,10862253.69,1149921.55,3704902.98,2437859.79,118718769.88,15537588.04,19322653.7,14592852.11,137103816.72,1085265.79,4402537.74,165176,3230185.45,5585717.54,2920550.85,1625398.72,80385690.5999999,1202943.79,158493735.33,3755637.55,76455984.66,9775957.46,29323687.78,16427741.17,46064066.87,994373.24,9161717.46,60542939.76,1349267.57,5307618.25,2634057.57,1510205.38,1029568,3488597.88,1030377.69,11171159.87,4608905.23,1958194.74,1799029.15,733236.12,4156644.3,943559.2,18968154,7894531,1328895,1612522,170977,23233248,7951079,14468463.71,88864186,3264887.12,20879,256017,13385739.97,12235,93062,7138,3010722.88,667674.86,456337.16,89282,74434,1259695.74,2263778.82,263979.65,448111106,194381.62,770704,2922894,3655615.89,90046,4122604,1347153,20212879,28926,524158,925019,0,827334,2361878,2602,5290,1510146,82451,175393,125854,1130423,0,481282,100693,0,204489,923134,40259,29994,5891,194728,1144,0,0,352678,202975,1740817,64129,109114.97,0,0,4030,0,32655,1655066,0
