"","ARG","AUT","BGD","BHS","BRA","CAN","CHE","CHN","COL","CRI","CUB","CYP","CZE","DEU","DNK","ECU","ESP","EST","FIN","FRA","GBR","GRC","GTM","HKG","HND","IND","IRL","IRN","ISR","ITA","KOR","LBN","LKA","MEX","MWI","MYS","NLD","NOR","NZL","PAK","PAN","PER","PRT","PRY","SLV","SWE","THA","TUR","UGA","URY","USA","ZAF","AUS","BGR","BHR","BIH","BLR","CHL","DZA","FJI","HRV","HUN","JOR","JPN","KEN","KGZ","LTU","LVA","MAR","MDG","MKD","MLT","MOZ","MUS","NPL","OMN","PNG","POL","ROU","RUS","SAU","SEN","SGP","SVK","SVN","TUN","ALB","CIV","ZMB","AGO","ARE","ARM","ASM","BOL","BRB","CAF","EGY","GEO","GMB","IDN","IRQ","ISL","KAZ","KIR","KWT","LBR","LBY","MDA","MLI","MNG","NCL","NER","PHL","PRK","SDN","SLE","SOM","SUR","SYR","TJK","TKM","UKR","VEN","YUG","GRL","MAC","NIC","ABW","AFG","AZE","BEN","BFA","BLZ","CMR","COD","COG","DJI","DOM","ETH","GAB","GHA","GIN","GNB","GNQ","GUY","HTI","JAM","KHM","KNA","MMR","MNP","MRT","NGA","PSE","QAT","SYC","TCD","TGO","TLS","TTO","TZA","UZB","VNM","GIB","ATA","ATF","BDI","BMU","ERI","FLK","FSM","GUM","LAO","MHL","PLW","RWA","SHN","TKL","WSM","ZWE","SGS","SPM","HMD","SMR","UMI","VAT"
"ARG",0,21746471.61,149191820.13,1739443.06,4691165025.33,273239075.06,42155015.7,2593838211.93,237652152.57,49079991.28,35645915.99,26905235.6,37563083.68,794845863.960001,275596145.84,146464989.34,1456808596.78,5899894.16,86641347.83,369985183.45,407289361.74,121397579.46,78346112.6099999,109841653.34,12354007.86,597289583.49,73629523.76,46523344.07,103910095.44,977817102.61,443999732.44,32801644.99,1543909.65,819330118.15,6166140.19,222761501.84,1119324762.44,27597598.04,12756670.95,57007156.17,62613870.44,457971176.180001,145698654.25,445340805.81,21242407.11,80456431.58,463899038.89,200610661,2087168.77,549199159.03,3261282415.81,282756924.66,123745102.14,23413882.06,9214201.81,3829653.85,2576360.3,3568926505.93,217333081.1,2126688.37,15279829.32,20225943.46,90885828.17,375423638.1,7556618.39,22533.83,15573238.85,4418201.31,183289386.39,5397402.3,3990500.29,4345233.19,19432911.16,21800637.93,2962478.65,35135123.47,30889,143888860.84,21147797.18,216335770.5,152827452.7,18685575.41,17112356.34,4306523.37,18922520.94,103979361.25,4385981.06,4341131.15,374141.5,63862932,182263748,458910.2,0,257616321.1,890138,0,446588025,516098,988158,73563909,15446678,651761.79,51550,0,26138378,5513639,21775171,99996,450935,326709.61,361176.14,2578994.55,236271745,0,873641,1030718,0,2348584,132640786,705870,0,11729086,139659728,2103898,60190.43,1001074.23,8198211.55,3657115,165000,117618,1923107,61160,2094800,1884385,471802,21924989,4953773,69608279,10476,5438454,10367260,250625,268380,772672,1475898,12029126,5122038,175417,69216,60119,9363,291530,70160232,102955,12117177,2015,509770,1285247,181698,16010990,2165539,1829210,137116027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUT",61025567.88,0,17254180.12,906587.83,283143178.62,753991715.04,4298432564.69,1078765392.29,42317105.14,11560898.54,5335875.11,37094934.77,2375546727.99,23405122208.74,725439877.02,13226773.7,2148283338.09,66911267.3,466179167.680001,3717232673.1,4389901665,537127656.84,10965541.49,514997471.63,4550319.24,228357855.38,236017491.2,444199397.16,162365320.33,7888663849.38999,405303042.2,37994947.64,20812933.89,248903837.22,1176941.27,124815917.9,1652167388.62,331511927.37,82689697.9,58148228.59,7999987.59,25935221.87,407841998.46,3076366.3,6029676.03,1087376188.5,165219394.52,836104411.11,2163757.59,3411060.19,4573690892.33,347215218.78,509874394.68,252320285.19,29599620.37,176416861.52,76882760.22,56772876.55,132648761.54,278340.37,986495962.369999,3142540555.11,32072948.83,1030657245.04,6990799.12,4269638.17,106843423.19,83382575.74,54084992.99,4264471.93,61319316.8399999,26465251,1193744.51,6401212.69,4816815.01,26360783.32,309219.36,1515909899.55,974876296.900001,1172653897.29,362825445.68,9185119.78,272994334.17,1214124977.66,1291619144.11,54597301.91,32099518.17,7278303.13,877204.92,7415805,194497595,5836456.39,0,2797668.34,562006,93264,92659437,14125564,835018,81575151,12972871,21491945.72,93454612,231600,72953134,322474,46651584,20774960,6597306,5705053.52,3774373.97,963460.03,172696525,1332176,16561887,5362418,987615,533732,31335647,1360420,28441382,372827987,49469585,381316970,378719.4,3441657.26,8652867.07,306271,3726918,9844565,3617575,410567,1911012,3432046,1021843,1645150,1192975,3599556,5141872,14891649,8225781,22166521,0,18530,51891,1692833,549218,1276176,5223,5495285,3068,2471083,92995993,79949,14415274,921283,2792627,1523130,31079,7850403,3162904,15234751,34202720,4207591,0,5780,805966,49152,1018091,4556,0,99359,29130,0,5370,56157,0,51631,4854,1880036,0,12087,0,0,0,0
"BGD",793368.28,117045845.58,0,12072,14133583.93,262540187.36,53260841.95,42049228.11,280937.1,637200.61,1132,2165125.21,14758144.09,1205988541.35,109682160.78,308006.52,274180112.44,3524218.06,49908787.64,617163043.2,1030255204.49,12722593.12,42807,112699364.69,209169.05,85348340,39356264.88,38762598.39,114202,305488315.31,31609540.34,2346804,7320595.9,33027739.89,187554.28,15742641.54,299340223.01,47962170.87,6190827.75,45619214.26,221271,129204.29,9012649.95,61210.46,817546.04,135407806.06,32573024.33,45715432.81,772004.75,664495.98,2367818487,6066315.78,27681387.67,2030628.08,3122180.16,244998,73958.02,1114497.94,1370647,55657.29,5324901.56,12984539.18,2751449.92,160805299.85,3401553.45,49019.63,2164230.48,662783.52,1500317.14,519675.25,271085.22,992730.81,233662.15,73173.01,4723109.28,2448848.16,607532.89,20904338.47,2283426.07,6778050.62,20252946.09,1147605.88,113727939.24,3770909.28,4808202.98,3033682.4,0,4165482.15,53390.67,633211,12966215,0,249343,423670.59,0,0,3780760,125965,27413,6576889,0,2472455.46,269309,0,4019039,292255,597701,0,23343,9199,664046.78,41714,198391,106705,31860778,116766,14326,12419,16609320,0,0,2830989,99021,414603,244358,4778,137691.08,0,1956576,95674,22182,0,0,593673,19026,80973,797004,0,709221,33346,1022214,206213,0,6700,0,0,46652,981369,71894,2370645,0,15257,1812858,64075,1864493,0,0,193481,7786420,10067,464846,105954,8895815,56626,0,0,0,12102,11415,0,0,3414,101873,0,0,0,5709,0,0,44763,0,0,0,0,0,0
"BHS",547051.98,1711907.99,7728.87,0,549834.05,34192611.31,68891661,780942.02,292822.1,7757654.51,16055354.85,331093.27,496465.73,16248531.33,10569317.84,36478450.01,148364053.17,251410.09,646098.19,69058762.43,30230369.74,20784593.82,60972335.37,4484,400379.32,371130.62,412186.71,0,1111464.14,31184702.98,175375.38,7308.07,0,48445719.31,0,407598.81,1839694.85,1052474.29,194371.19,2521.03,808447.22,10286119.11,58988.72,54317811.2,2603471.63,5683.39,1379275.66,3307483.86,0,464699.11,457850707.84,316562,1659643.59,0,70318.81,16832.17,701986.58,159191.46,29510,12808.03,226357.74,517187.13,0,494794.22,9955.65,0,69508.18,0,208530.18,167725.43,19904.73,218213.24,349709.79,41481.6,0,0,0,75172140,255856.85,366241.88,1873,12935.08,40740406.56,131557.19,78201.16,8850,0,2138531.76,0,0,0,8137.14,0,180920,390767,0,0,0,0,0,20000,1788071.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5300,0,0,0,0,17326,0,32362.98,5931.88,14276140.13,258817,0,0,0,0,17904,0,0,0,0,257988,0,0,0,0,0,0,3300,146050,643588,0,0,0,0,0,0,0,0,0,0,0,0,198975,0,0,0,0,0,0,0,283844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRA",4614463947.34,143315865.22,98971711.54,391469003.77,0,1202656587.4,338284986.56,4701688032.53,811434371.12,232099685.84,80773792.41,17660727.43,119995898.36,3591429439.34,120191849.07,387371100.99,1651388336.5,23166862.77,195377358.39,2005931104.8,2039508484.17,145960763.76,167592035.25,715278084.63,85663479.6699999,596915153.93,254825583.9,1063988601.24,177552541.57,2306459932.65,1335969091.8,61115175.68,17023908.26,2855184189.12,4449104.15,242745170.94,4203806489.76,319023140.3,56750255.93,50643349.63,197762694.35,517434066.62,666989374.62,668475575.01,115888811.53,343554895.98,487008675.85,368362435.37,3437733.07,454283594.859999,17298745710.79,749928707.4,333853222,107486128.28,89052233.25,14902754.18,79682258.38,2013257032.96,172075846.14,2759920.92,82442264.4,157990732.36,43140132.45,2389579936.04,18592640.34,285273.57,22732006.94,7103681.97,241590834.57,9213877.79,21340089.36,20741419.54,12156538.37,6858021.35,778584.52,45263210.68,1476443.31,170700904.73,257305655.11,1557080823.44,786738230.59,67544689.65,356172161.23,67918182.31,90789645.48,64009953.03,12640749.58,33961897.32,4924478.64,234830220,551245927,7601059.83,0,365695335.57,12211455,795659,462084857,53960371,27168208,322790287,42354929,10975103.72,7445528,32180,73895870,2208078,52549082,1231429,7443898,309326.77,4571991.67,3151441.74,117378986,73609015,7954219,4355850,21628061,16331256,66590489,181458,7389357,93421453,607396999,12374112,356257.45,3177808.02,39372626.21,33823025,336773,6201622,12776840,5075149,2743845,0,9160415,13187139,8156725,227023862,8193880,7671368,104740558,12715249,252473,2647486,9651771,31562236,84345139,669566,342074,4618131,49803,19516230,468448809,0,30660508,391484,341250,7119138,94013,223056279,4707234,2711742,25013322,356137,0,0,189522,706047,20053,1367,156143,582092,231034,0,0,540158,0,0,709542,4188952,0,0,0,0,0,0
"CAN",85223844.04,333328229.43,95729294.87,26200529.34,732614052.73,0,404553498.03,3857913750.11,318894502.3,73349483.1200001,232087962.2,8864177.75,111749020.43,2289571269.85,197055847.47,129706022,745619057.23,22496014.44,199423034.12,1718297066.7,5113440625.61999,135007583.5,96535786.37,933628470.040001,32799342.74,587071720.17,364396237.39,267877464.77,214241794.02,1345396481.57,1613909759.91,27013525.21,37343844.19,2589073430.77,5774747.27,382167787.28,1125522437.52,811017096.899999,329481004.8,263564398.6,41936023.53,111489177.85,212884828.32,2111469.23,50512952.98,321546065.67,377748024.46,229883635.73,6695519.43,11860183.06,216939294027.09,278354037.74,1125421522.87,18213988.26,20890736.31,4384931.32,9111390.52,312410658.85,300155173.16,6261777.34,40715704.88,122239827.26,22918801.48,6162810320.11001,22976588.1,5373254.23,20152926.06,14317345.14,117954018.31,4729965.12,3243900.3,14347262.57,13874020.42,3118896.19,6041700.23,35952952.38,5822178.42,178424014.85,129454146.01,305385345.67,381272789.29,22363497.67,408416668.47,24128353.15,51294285.14,75724915.83,5102376.98,6324267.96,11757134.59,18978508,239420851,4487020.52,652225,8052037.58,28094457,96285,164363639,1794054,251561,323071145,3767090,31927134.41,29012513,210550,57959657,644836,47605247,1039649,3521796,3694221.35,3140083.57,3112199.45,263592222,21437264,42093686,2505683,84256,4453602,12287536,1197190,827706,46227578,219299515,5772380,15046958.88,6648426.22,13139162.83,4292680,6287281,20352566,4080750,2013676,3670208,13573147,7607556,4578151,381512,57854838,16205229,2054892,38200792,2845855,118333,1996483,5737143,12812030,82547011,1000724,9404930,351285,0,1155331,51310711,0,25663746,420974,2973958,7154475,24671,86308803,18682345,1120427,60631274,7992565,573342,32246,1732142,31640503,1550860,96670,0,2529662,0,0,0,990821,0,0,307077,5453211,0,13369095,7904,0,0,0
"CHE",187267379.41,3791478172.47,64072141.88,98626454.4,1041321677.41,1079683502.72,0,2097874749.75,172390039.73,50365553.35,15765231.01,62178130.02,825757488.11,21443486255.38,691313331.53,36620561.81,3434816221.13,53260200.13,564829766.68,8736722993.43,4725838990.77999,744114101.16,99315425.2599999,3114589710.1,18205036.36,3104181393.29,666631553.06,720493047.18,1752409010.33,10565319445.02,1333249366.96,260828088.05,105191520.29,777854146.01,2592340.91,475669329.32,3210231909.45,446190938.289999,134371513.04,305218205.05,160834517.74,59825703.74,526028653.400001,60829462.67,22494237.01,1147954383.87,755723567.48,2786196728.09,8094004,23254762.02,11083478541.5,513349653.77,783365667.189999,124944794.4,91713724.09,69324255.46,35499865.57,109807632.08,147314610.62,2623853.85,190538406.21,665773696.36,106838530.32,4091295030.93,39382510.89,2666389.77,79037384.14,104050052.49,238029851.88,3663224.39,28024127.43,75406438.34,4850182.53,39215312.76,8471216.21,74958718.49,4224375.02,854306926.039999,257027218.26,808388894.07,1184779494.05,15557941.33,1385324985.5,239343081.23,361272700.54,132487216.12,17602319.04,25756937.78,13115916.74,5672876,746566090,44277860,0,8033689.16,3160383,63798,308729327,5638210,759820,217601109,28551694,36610502.66,57745166,2894,181924380,7690178,91418207,13925229,1388225,8797327.54,4458335.79,8747430.01,154920694,5889868,22490144,499333,92506,2024686,81220592,347016,4836871,150564722,69907465,145557971,1043843.91,12025229.18,10927595.58,8039233,805346,16715439,15766408,1194101,459014,8609191,3496263,10108056,399510,15729863,6137043,5831012,12005382,18647941,83018,367895,800363,1062761,11861074,5577414,119371,2316555,410256,1399286,110832057,3948759,86942291,1251746,502097,12583471,992841,3949947,6319903,20335274,97879548,18531860,5835,4502,408999,41626182,849239,84096,0,0,569217,1213669,1934,1756232,2822,861402,203034,17958769,36153,8010,0,0,0,0
"CHN",719447673.73,1738988813.66,1116305748.69,121698348.67,2196551379.54,11928474069.87,1806632874.35,0,672646126.54,166672819.8,457528962.14,299320075.91,2504203163.51,24802622900.17,2011799311.72,486593849.54,6998924479.65,314595487.83,1827903925.09,13237082072.07,18293772540.93,1412072149.35,229982157.35,86509592692.5201,79194262.06,3560957650.76,2133110218.66,2378654559.4,1021247812.26,10507364175.64,20847851261.71,528636524.46,375671819.74,7949739213.21999,23470855.15,6957942675.01,12428725006.82,1875647451.47,1594817373.22,1273133981.25,933192043.12,628260286.77,428992924.05,264846290.47,135733153.97,1794296588.77,5600636359.55,2548360354.03,76676208.24,105102511.17,129894407664.47,2395926664.1,8914766539.98,290716968.58,186548794.59,59307673.26,74520323.56,1661847819.9,610479464.67,40292535.8,400884541.779999,3298734724.4,482899096.23,68667504475.9901,167613778.73,205995418.77,302977126.39,94219405.0999999,604161300.78,212145702.37,55538914.07,148408168.39,52390064.49,202957979.67,169661516.38,114371108.06,68209290.24,2755238744.15,677566316.67,4402029369.31,2230585804.22,76197047.94,10764530765.2,444990461.38,321934489.45,208508608.5,72947199.23,140707506.3,54907049.37,145662704,5036242541,10133201.43,0,81071310.3200001,9140099,2113132,908169736,19504878,115934726,4464780620,56042267,99963778.94,1571175509,879986,394702924,26166763,162902176,6709315,35178500,203804180.38,41235361.34,54649102.06,3092283057,622088056,455620694,16546638,3897522,19706770,479880552,19956345,78806040,928504487,199182476,135474347,9106259.88,1287520155.44,108403334.96,2184585,26420641,203476199,471022872,11692403,10223922,64859883,25384871,59834800,65827454,148091591,152540017,8847006,321721762,73246787,12331064,4533065,18079691,26368132,101921620,294543606,151217,891120850,0,56131500,1785696763,6678819,61759279,1755654,1678807,262393762,943435,58458619,185825147,146610442,3182472915,21151213,0,0,3040654,31619995,5457178,0,2721960,0,97942936,100176417,167959,3470668,0,0,2806702,28696712,0,0,0,433158,0,0
"COL",19560653.38,6700837.06,162355.83,39029230.85,100851757.68,220207718.24,154434386.68,86070960.89,0,205774606.78,75439404.4299999,720493.3,30860169.75,384830000.49,158459604.85,785201609.55,223105687.83,631451.17,59132871.49,177738821.14,267931803.58,5495261.18,99596907.9599999,22887462,43425679.34,8401037.32,27100056.29,3174313.12,172356159.26,347251651.9,85048355.2,996887.53,1820239.52,364474618.72,5402.21,1995395.13,417030928.94,19975407.12,3535323.42,909014.12,180422422.32,402451069.8,88967459.89,2157124.19,54158699.44,29344798.52,6408158.89,56120313.17,24940.25,4420264.88,6244791140.3,17151429.41,14139182.9,413391.92,543312.19,595901.38,7959545.14,198369340.25,4769325.67,560192.98,13210787.87,11943210.71,1100951.79,208322122.3,136337.49,2247,1121231.11,53739.82,12039221.74,39132.01,1001809.19,740650.5,344913,348200.95,0,152070.2,10864,9516917.65,3045212.56,39494005.42,4434247.04,2633139.06,11865164.67,7322467.78,15650695.97,3478553.63,711467.65,3760488.65,0,48791,1274789,0,0,37403260.47,2450843,0,12063964,10216,575044,2010781,3395,212585.23,6946,0,557928,4073005,0,3481,23883,5580,56106.75,316748.09,6122284,700397,0,0,0,5212541,6647517,0,0,2234134,694229210,2317683,279319.11,126880.76,7433135.38,12520868,40940,0,775112,0,1263763,1474740,0,1006244,0,342346674,0,64875,2255648,3664020,30600,157656,3225970,34251119,29492880,9038,0,135035,0,5245395,8594914,60171,154831,0,0,65006,0,98396820,6150,3300,263765,542002,0,0,10606,153618,0,0,0,0,0,0,3024,11457,0,0,0,0,0,2542,0,0,0,0
"CRI",5915788.81,23663496.15,889227,3918522.08,61835007.74,156947301.37,60433176.19,594981406.15,26952480.65,0,19585462.29,305797.25,173221210.7,305562831.92,7457296.93,16657659.05,55895551.82,1531566.79,57271460.13,67784394.75,530533727.42,7123346.02,289271940.66,243054330.38,157754216.8,11221931.53,58983470.84,29213.46,2931909.01,116265492.78,68204590.35,816824.76,0,529218746.73,0,362686113.62,606652268.16,32364392.29,2144021.44,83560,172525318.97,8152649.29,43344837.68,62162,167092894.41,57024059.25,13189102.56,30115817.56,7467,703421.57,3191066211.61,16293181.24,13564410.17,2088600.4,65165.31,644520.32,299861,12353410.34,3077018,24606,2062774.94,62111022.99,179448.57,222161365.23,26649,102448.15,1652839,5196.02,577074.15,25767.36,1366572.08,246154.21,0,109062.04,38408.66,111846,0,16322219.88,7181039.4,19681012.8,3951144.24,0,65155412.41,17323985.8,2538113.65,184334.01,720334.34,28682.14,0,53705,264318,10345.19,0,399858.68,4751132,0,51805,0,0,971363,0,2889387.66,0,0,83416,0,0,36609,0,0,99120.05,0,32940872,274657,0,3759,0,1833516,133312,0,0,48177,22703725,20136,64315.13,143704.84,177948412.75,1462708,0,0,0,0,4363981,1904179,0,5505,0,66062311,0,0,186951,0,0,0,2384208,6241047,39342452,74012,74890,266908,10949,0,372951,0,0,6030,0,0,0,14533065,0,0,587532,0,0,0,0,2010985,0,0,0,26460,0,15295,0,0,15410,0,0,0,0,0,0,0,0,0
