"","AUS","AUT","BEL","BGR","BHR","CAN","CHE","CHN","CSK","DEU","DNK","ESP","FRA","GBR","HKG","HUN","IND","IRL","IRN","IRQ","ITA","JPN","KEN","LBN","MMR","MYS","NLD","NOR","PAK","PHL","POL","PRT","SGP","SUN","SWE","SYR","THA","TUR","USA","VEN","YUG","ARG","BRA","CIV","COD","COG","ECU","GAB","GHA","GRC","ISR","JAM","MAR","MEX","NGA","PER","SEN","TCD","BFA","CMR","LKA","AGO","BHS","BMU","BOL","CHL","COL","CRI","CUB","CYP","DDR","DJI","DOM","DZA","EGY","ETH","FIN","GNQ","GTM","GUY","HND","HTI","IDN","ISL","JOR","KOR","KWT","LBR","LBY","MDG","MLT","MOZ","MRT","NIC","NZL","PAN","PNG","PRY","QAT","ROU","SAU","SDN","SLE","SLV","SUR","TGO","TTO","TUN","TZA","URY","VNM","YMD","ZAF","ZMB","AFG","KHM","LAO","NCL","WSM","BEN","CAF","MLI","NER","ALB","BDI","GIN","GMB","GNB","KIR","MNG","NPL","OMN","PRK","SOM","BRB","GLP","GUF","FJI","MUS","UGA","SPM","GIB","ARE","BLZ","MAC","GRL","KNA"
"ITA",38756000,124945000,134379000,13334000,1364000,48435000,313395000,18978000,27132000,929584000,62359000,44835000,414502000,316169000,18195000,23224000,39457000,9536000,22092000,9609000,0,28866000,7600000,30383000,2541000,8296000,142019000,34236000,17960000,5292000,28027000,23977000,12542000,102493000,113985000,12772000,10469000,33394000,448182000,55309000,104594000,120567000,42417000,2388000,4843000,766000,2692000,426000,24145000,53659000,15173000,1615000,16371000,25689000,17514000,13701000,3540000,301000,243000,1295000,2420000,1796000,0,933000,1201000,12635000,17861000,2610000,1437000,10478000,7835000,650000,4203000,9498000,34268000,14874000,24914000,132000,2489000,365000,1111000,956000,6829000,1150000,5003000,3090000,11532000,5676000,48858000,1172000,8999000,2278000,294000,1513000,6599000,1868000,0,391000,510000,37256000,11819000,13057000,1299000,2125000,148000,363000,4897000,14033000,1328000,10225000,4871000,4579000,39813000,5444000,540000,1728000,63000,226000,2000,422000,352000,447000,332000,967000,670000,1652000,81000,941000,45000,11000,101000,163000,210000,11179000,0,901000,0,0,0,969000,0,0,0,0,0,0,0
"JPN",138503000,4382000,34311000,1657000,5647000,117098000,37446000,38461000,3603000,113730000,25368000,13534000,25223000,149095000,192014000,1981000,81146000,9989000,25322000,14512000,47764000,41119000,27831000,9885000,49915000,80519000,31537000,18157000,58257000,106419000,2687000,1134000,119803000,149384000,34070000,8640000,161387000,16729000,1362259000,42009000,11998000,63941000,60190000,315000,3461000,392000,3776000,192000,21674000,19810000,5998000,7690000,3131000,19601000,67949000,29154000,436000,511000,803000,3046000,37488000,1031000,568000,826000,8502000,14603000,17318000,7999000,10597000,1180000,366000,315000,11041000,2133000,16437000,14166000,5434000,177000,6219000,1627000,4189000,216000,117264000,1876000,6156000,66494000,26047000,50805000,4306000,1870000,3007000,4626000,34000,5333000,26760000,4690000,3946000,2574000,3994000,6366000,22543000,15170000,6414000,8165000,2491000,1390000,4412000,1143000,10034000,7481000,63420000,18240000,60158000,7694000,8190000,20060000,2384000,323000,172000,8000,1247000,62000,18000,11000,1023000,239000,1698000,40000,1621000,120000,189000,219000,4779000,483000,785000,32000,0,2933000,1759000,5231000,0,0,0,0,0,0,0
"KEN",0,0,1249000,0,0,2949000,2107000,0,0,28758000,3976000,8526000,2632000,42609000,2687000,0,13910000,2307000,0,0,4477000,5098000,0,0,43000,480000,5009000,589000,415000,224000,0,110000,628000,0,1702000,0,253000,0,56041000,0,3000,374000,0,0,0,0,5000,0,38000,722000,1490000,46000,163000,0,4000,0,22000,0,0,0,154000,0,0,0,0,0,39000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162000,0,0,0,0,49000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LBN",0,0,7237000,0,0,53000,1070000,0,0,3520000,1202000,8000,1115000,8245000,53000,0,142000,78000,0,0,3036000,534000,0,0,0,71000,55777000,18000,576000,0,0,15000,286000,0,1226000,0,15000,295000,4278000,115000,352000,0,16000,18000,0,0,0,0,212000,201000,0,0,398000,0,428000,0,56000,21000,3000,0,1310000,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172000,0,0,0,0,0,0,557000,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMR",74000,1000,2313000,0,376000,46000,527000,18856000,2198000,6735000,6980000,33000,1057000,31570000,8972000,0,26771000,112000,246000,614000,3694000,16288000,740000,4000,0,15037000,3263000,887000,3145000,1000,2103000,0,13139000,9734000,2842000,17000,690000,8000,1233000,6000,1666000,0,34000,1673000,0,0,0,0,99000,0,759000,1000,0,3000,4000,15000,1827000,0,7000,0,39697000,0,0,0,0,0,0,0,585000,0,0,0,0,0,434000,8000,62000,0,0,0,0,0,31767000,14000,0,83000,0,0,0,0,10000,0,0,0,2000,0,0,0,0,0,0,0,933000,0,0,25000,0,0,0,0,0,75000,661000,366000,5000,23000,4000,0,0,16000,0,0,0,0,0,0,0,0,0,0,0,211000,0,98000,0,0,0,13000,5949000,0,0,0,0,0,0,0,0
"MYS",19300000,617000,6017000,798000,161000,26389000,5567000,498000,527000,67997000,4012000,14820000,53536000,103649000,36468000,96000,23729000,2705000,1049000,2498000,56132000,262151000,220000,68000,2054000,3582000,12019000,2358000,4442000,7264000,8561000,2331000,283748000,73570000,13520000,133000,2345000,2601000,187488000,3471000,2768000,7272000,11248000,0,0,13000,501000,0,20000,2342000,104000,189000,2232000,1393000,79000,138000,10000,0,0,14000,778000,3000,0,0,3000,64000,2740000,53000,0,3000,0,48000,6000,96000,2106000,9000,1841000,0,31000,4000,0,0,12597000,0,487000,7022000,114000,7000,28000,0,18000,142000,0,2000,2697000,157000,15000,0,10000,729000,208000,93000,8000,16000,0,3000,22000,174000,19000,655000,56000,416000,5529000,497000,0,193000,11000,0,0,0,0,119000,1000,0,0,0,0,0,0,0,4000,3000,0,2000,0,0,0,28000,70000,0,0,0,0,0,0,0,0
"NLD",20256000,34096000,673306000,1133000,1688000,34605000,113619000,3058000,9292000,1054416000,128254000,35402000,288232000,552988000,22511000,8799000,21186000,22924000,11018000,6935000,162775000,41065000,6182000,8321000,7487000,23176000,0,53921000,10993000,19173000,6637000,16884000,22389000,27035000,241374000,5572000,27403000,12008000,221325000,26741000,12807000,18093000,19438000,4192000,4750000,1615000,2939000,852000,25998000,28319000,27310000,4277000,8864000,14292000,24068000,16881000,3423000,477000,717000,1792000,8157000,3655000,0,19153000,3642000,8121000,13241000,1135000,6073000,3263000,8817000,529000,2178000,4166000,12206000,1930000,31653000,251000,1966000,2415000,618000,884000,3745000,3644000,2142000,1238000,5921000,4198000,9416000,2631000,4829000,5398000,62000,968000,3853000,2645000,0,543000,1084000,2852000,9814000,8124000,2664000,2948000,8272000,1576000,9943000,3300000,4233000,1477000,573000,3713000,27146000,4277000,760000,1989000,349000,574000,4000,546000,461000,634000,356000,5000,737000,2222000,178000,533000,132000,0,5000,1308000,0,67000,0,1298000,0,0,0,0,0,0,0,0,0,0,0
"NOR",7413000,6175000,19460000,1089000,115000,15045000,8580000,928000,9309000,151535000,88612000,10974000,34519000,186455000,2078000,2290000,3919000,1901000,1484000,1026000,33867000,9284000,1400000,1721000,9e+05,1493000,27343000,0,1319000,1038000,5408000,4327000,2612000,10424000,134995000,601000,1566000,1895000,90384000,3105000,1639000,3995000,12858000,83000,396000,84000,594000,52000,507000,4539000,2771000,647000,752000,820000,15323000,2761000,82000,5000,1000,1257000,851000,1152000,0,606000,189000,756000,1512000,253000,2003000,485000,6004000,26000,1053000,511000,1132000,326000,16467000,74000,283000,153000,68000,102000,965000,6155000,141000,94000,330000,10161000,139000,97000,207000,695000,0,73000,1771000,155000,0,103000,0,1401000,448000,491000,21000,146000,217000,4000,726000,78000,175000,244000,240000,106000,5073000,1085000,3000,80000,20000,79000,0,18000,14000,5000,0,0,9000,12000,16000,0,13000,0,0,1000,0,5000,0,260000,0,0,0,0,0,0,0,0,0,0,0
"PAK",10487000,929000,22117000,0,2395000,2390000,1424000,1645000,1987000,22417000,1657000,6889000,20652000,82160000,9849000,439000,37365000,3408000,4479000,4951000,9996000,28524000,966000,258000,6121000,1316000,5785000,25000,0,1072000,4987000,3116000,1486000,3678000,2850000,47000,362000,218000,41384000,8000,2546000,2750000,1000,258000,3000,10000,67000,0,251000,1029000,0,731000,888000,212000,3864000,4161000,5000,35000,0,8000,4414000,1164000,1862000,14000,2000,977000,5000,1600000,1707000,205000,0,0,0,1817000,3327000,383000,95000,0,11000,512000,15000,64000,68000,2000,13000,185000,2578000,4000,3000,160000,3000,4448000,0,229000,792000,13000,156000,1000,311000,663000,2613000,1136000,0,0,0,63000,0,62000,7e+05,326000,528000,1864000,18286000,4675000,203000,22000,244000,0,0,89000,9000,337000,1e+05,0,0,11000,0,0,7000,0,0,747000,0,123000,0,0,0,0,272000,9000,0,0,0,0,0,0,0
"PHL",1217000,162000,4808000,0,0,1351000,1932000,0,0,44407000,6970000,7660000,6448000,8446000,2907000,0,381000,336000,2000,0,6163000,183955000,11000,237000,26000,2411000,18745000,2875000,29000,0,0,41000,954000,0,6037000,0,317000,3000,321282000,3679000,89000,158000,0,0,0,0,23000,0,0,46000,15000,14000,289000,76000,0,654000,0,0,0,16000,51000,0,0,0,0,76000,3978000,0,0,0,0,0,0,268000,10000,0,14000,0,2000,0,10000,0,171000,89000,0,12028000,9000,0,0,0,0,0,0,9000,261000,510000,0,0,0,0,4000,0,0,2000,0,0,0,43000,0,3000,22000,0,774000,0,7000,47000,64000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"POL",0,0,12598000,0,0,4477000,11060000,0,0,81937000,29746000,11347000,24135000,107768000,2619000,0,14019000,5213000,0,0,45500000,1488000,0,0,1088000,524000,12176000,6395000,4948000,0,0,1611000,9e+05,0,33726000,0,1500000,7421000,45586000,398000,32109000,2707000,5829000,73000,0,50000,130000,14000,4795000,5510000,3009000,130000,4222000,92000,2421000,4000,25000,36000,7000,4000,5791000,0,0,0,16000,1019000,103000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1986000,0,0,0,0,501000,210000,0,0,0,0,0,141000,0,8000,0,0,0,0,0,0,0,131000,0,1608000,0,0,0,0,0,0,588000,1834000,0,0,0,1000,1000,250000,14000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRT",2739000,2926000,11732000,315000,15000,5604000,6759000,125000,1426000,34767000,8073000,10915000,18610000,52829000,471000,523000,727000,1237000,581000,1005000,18845000,4626000,333000,1054000,31000,312000,8392000,4365000,450000,667000,934000,0,317000,0,10830000,657000,522000,740000,52263000,3114000,19000,1932000,3408000,114000,1272000,652000,261000,343000,1000,1563000,3805000,233000,2751000,1217000,720000,373000,38000,340000,20000,1170000,222000,44748000,0,0,173000,121000,337000,95000,8000,1332000,351000,57000,196000,2166000,383000,113000,1926000,25000,80000,0,61000,45000,1549000,175000,376000,780000,162000,205000,542000,345000,296000,28783000,3000,27000,769000,51000,0,15000,0,1789000,245000,96000,342000,36000,105000,74000,728000,611000,80000,170000,1405000,61000,2813000,487000,21000,6000,0,12000,0,13000,388000,119000,11000,0,0,0,0,8657000,2000,0,22000,0,0,4000,0,24000,0,0,0,0,0,0,0,0,0,0,0
"SGP",26402000,546000,1773000,299000,1570000,11793000,533000,749000,3922000,2078000,406000,6823000,914000,44154000,22950000,290000,17931000,26000,1663000,3173000,1179000,22695000,1140000,687000,1461000,83413000,5056000,67000,3305000,2356000,6256000,19000,0,44528000,25000,393000,2158000,3222000,14943000,208000,2127000,9368000,7266000,0,0,0,16000,0,0,116000,585000,0,104000,1915000,52000,570000,44000,0,0,0,2108000,0,0,0,4000,960000,0,0,1417000,69000,1000,0,0,0,1981000,0,1690000,0,0,0,0,0,95816000,4000,141000,42000,648000,4210000,45000,0,0,0,0,0,12016000,50000,286000,13000,0,1181000,876000,0,0,0,0,0,421000,0,366000,1082000,16851000,2751000,9452000,2750000,23000,541000,79000,0,129000,0,0,19000,0,0,0,0,0,0,1935000,0,0,0,0,0,0,0,0,1944000,1358000,17000,0,0,0,0,0,0,0
"SUN",0,0,45945000,0,0,1657000,5865000,0,0,163691000,24350000,2102000,110703000,235524000,859000,0,68501000,6036000,0,0,165798000,147322000,0,0,6391000,2087000,35787000,13832000,4645000,0,0,0,2833000,0,63565000,0,1266000,6441000,16358000,18000,59136000,8208000,31807000,16000,0,15000,3000,3000,5119000,20320000,161000,1000,5243000,55000,111000,3000,3000,1000,0,6000,7148000,0,0,0,3000,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10124000,0,0,0,0,1478000,78000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390000,0,2231000,0,0,0,0,0,0,81029000,2248000,0,0,0,0,6000,9339000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SWE",37856000,19138000,120109000,1550000,477000,24170000,66602000,4773000,10830000,525735000,249629000,36461000,146002000,440235000,5293000,4513000,11506000,10567000,3633000,8656000,121514000,16897000,2174000,2962000,1039000,3417000,164399000,277996000,4376000,2479000,13788000,16647000,3157000,76319000,0,2260000,5790000,9251000,169279000,11514000,10743000,28794000,34934000,305000,1216000,134000,1984000,159000,2074000,23639000,8565000,1052000,7669000,15478000,3927000,11987000,369000,86000,70000,795000,4151000,3034000,32418000,0,1184000,6468000,13282000,567000,1154000,2518000,28117000,39000,583000,2051000,9933000,589000,119409000,90000,487000,164000,330000,158000,6489000,5243000,1156000,1035000,1259000,19607000,254000,533000,326000,1042000,26000,319000,4464000,596000,0,1234000,0,5655000,2475000,1717000,349000,442000,241000,126000,443000,2444000,832000,4264000,337000,417000,24953000,2907000,21000,174000,80000,117000,0,40000,34000,53000,19000,0,168000,671000,80000,0,95000,1000,22000,125000,2000,21000,0,344000,0,0,0,190000,0,0,0,0,0,0,0
"SYR",0,0,4576000,0,0,425000,1478000,0,0,16601000,7222000,789000,19339000,5118000,1350000,0,1174000,735000,0,0,18726000,8e+05,0,0,0,25000,84210000,179000,3000,0,0,5731000,59000,0,725000,0,0,1422000,4080000,174000,490000,1000,0,0,0,0,2000,0,4000,12000,0,1000,33000,1000,54000,2000,12000,0,0,0,55000,0,0,0,3000,0,13000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245000,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"THA",888000,13000,7623000,0,334000,963000,710000,0,508000,34468000,2938000,1287000,7284000,23103000,52956000,13000,2316000,368000,1262000,1736000,9640000,71679000,529000,115000,975000,87990000,5775000,1042000,59000,141000,1624000,1374000,39188000,5038000,1698000,0,0,4000,39142000,68000,934000,727000,3973000,149000,0,0,0,0,14000,140000,629000,3000,24000,1000,0,37000,1338000,0,0,0,4292000,0,0,8000,0,16000,4000,0,0,1000,0,5e+05,0,0,130000,133000,118000,0,59000,0,0,0,27013000,33000,1000,296000,907000,1000,1000,64000,9000,0,0,0,302000,9000,0,0,0,0,9622000,269000,0,0,1000,0,3000,19000,2000,37000,1713000,3090000,1533000,433000,0,2000,8107000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000,0,15000,0,0,0,176000,701000,0,0,0,0,0,0,0,0
"TUR",152000,3417000,15636000,1380000,0,1375000,8436000,0,9194000,71448000,10425000,7103000,18856000,41152000,46000,3911000,7000,1119000,11000,28000,56155000,2527000,0,19941000,4000,4000,7307000,1280000,9000,0,4645000,3279000,0,5466000,8076000,2271000,0,0,70502000,341000,3034000,42000,3000,1000,0,0,9000,0,0,3440000,4008000,4000,0,2000,1000,13000,1000,0,0,0,148000,0,0,0,0,30000,24000,0,0,1142000,1301000,0,0,14000,1060000,0,1251000,172000,0,0,0,0,0,3000,1572000,0,38000,6000,67000,4000,213000,0,0,0,46000,0,0,0,0,694000,37000,14000,0,0,0,0,0,820000,0,304000,0,0,49000,73000,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"USA",399222000,58295000,451079000,33000,8762000,4018787000,293690000,19000,6994000,1372445000,177433000,310681000,774945000,1335421000,138659000,836000,599732000,58444000,97082000,34549000,881133000,1809398000,21318000,43286000,9396000,60846000,597795000,110411000,280187000,252340000,94416000,52117000,65750000,20064000,316203000,29457000,93774000,181226000,0,546167000,182868000,398847000,456999000,5908000,68794000,2563000,44749000,3798000,26272000,67217000,208457000,52219000,57462000,782492000,39973000,217919000,6021000,1091000,1316000,5706000,9095000,11430000,54012000,37492000,39042000,199900000,269783000,49380000,13397000,6403000,1698000,669000,70292000,49868000,234385000,23229000,57469000,2037000,60801000,10964000,42763000,24206000,120049000,12051000,20873000,154042000,63842000,50964000,39099000,2862000,8674000,7576000,3490000,46040000,56652000,66227000,1412000,12024000,14583000,802000,77442000,12902000,3072000,40507000,15727000,1087000,40512000,34536000,0,44233000,104566000,3360000,222620000,13577000,10173000,15781000,2953000,7686000,173000,557000,1300000,1093000,1133000,0,0,0,0,357000,1298000,0,216000,0,0,4586000,5746000,4984000,0,0,1057000,0,0,0,0,0,0,0,0
"VEN",4472000,0,24876000,0,0,209498000,1739000,0,10000,134706000,14826000,37434000,54489000,209652000,83000,0,1846000,0,0,0,23041000,17899000,0,9000,0,11000,38886000,44042000,433000,0,0,4054000,1947000,0,20461000,6000,2000,110000,970089000,0,578000,47987000,107710000,3689000,101000,794000,33000,537000,4362000,7000,630000,3876000,235000,185000,4879000,3281000,4479000,24000,429000,972000,0,186000,10336000,2457000,243000,10373000,253000,1815000,2572000,0,0,0,1855000,0,126000,0,12000,0,1150000,193000,230000,36000,510000,522000,0,0,0,1290000,0,2000,54000,0,275000,798000,4495000,12089000,0,1643000,2000,0,56000,0,1286000,494000,1150000,94000,64058000,0,2000,12756000,0,0,986000,0,0,0,0,0,0,249000,324000,968000,22000,0,0,27000,0,186000,0,0,0,0,0,5000,3368000,45000,57000,0,0,0,0,6948000,0,0,0,1197000,617000
"YUG",48000,26870000,5797000,6242000,25000,1686000,6965000,34000,21346000,116586000,2237000,1812000,11967000,56262000,41000,11053000,12388000,42000,1139000,2305000,96901000,5e+05,181000,1287000,1453000,5000,5799000,1199000,2135000,0,42274000,2000,82000,43296000,8207000,1195000,275000,4382000,48289000,326000,0,225000,12468000,65000,0,14000,9000,22000,2291000,10394000,6188000,79000,799000,97000,295000,87000,60000,116000,1000,63000,43000,0,0,0,84000,150000,47000,30000,479000,966000,35335000,0,0,2407000,21270000,1005000,1052000,0,0,1000,2000,0,36378000,29000,375000,254000,795000,7970000,1664000,116000,1214000,0,0,0,18000,13000,0,26000,13000,7328000,367000,4723000,112000,3000,1000,759000,35000,1250000,140000,771000,0,122000,69000,14000,1000,470000,0,0,0,18000,17000,37000,32000,524000,0,3357000,0,0,0,0,60000,0,14000,22000,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARG",765000,1361000,70213000,685000,7000,5274000,23844000,25848000,13752000,191016000,20734000,26251000,85892000,260957000,1816000,6954000,209000,7096000,263000,98000,166559000,34462000,639000,376000,2000,63000,86262000,7485000,16000,5508000,16985000,613000,245000,7998000,16790000,256000,59000,151000,106146000,6847000,8014000,0,85542000,23000,191000,7000,1e+05,18000,694000,11049000,1508000,406000,2044000,1552000,24000,30029000,31000,0,0,48000,6000,4000,703000,76000,7943000,42834000,2461000,23000,3000,41000,2740000,0,271000,5374000,785000,0,3696000,1000,60000,129000,26000,7000,136000,29000,120000,1191000,25000,126000,2000,0,155000,7000,0,45000,11000,1586000,49000,5494000,2000,3552000,14000,0,2000,24000,20000,18000,303000,5000,8000,6741000,27000,6000,3144000,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRA",2263000,1874000,27624000,2252000,0,29517000,13045000,5000,10799000,173485000,29026000,21150000,66777000,72774000,17337000,3043000,251000,1588000,14000,174000,49976000,40079000,17000,5297000,57000,45000,36197000,18076000,3000,1279000,6180000,4438000,318000,39008000,47102000,264000,469000,603000,543420000,538000,3301000,62599000,0,1106000,32000,58000,67000,0,289000,4049000,1974000,206000,3063000,257000,23000,1842000,38000,1000,0,101000,0,77000,0,78000,571000,7119000,144000,29000,1410000,152000,8592000,0,1000,480000,291000,0,15433000,0,30000,37000,17000,0,566000,1362000,52000,239000,8000,85000,2000,84000,730000,93000,0,18000,32000,16000,39000,202000,0,3296000,0,0,0,30000,54000,11000,342000,914000,0,14138000,1171000,0,6199000,31000,0,50000,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,1000,4000,0,0,0,0,0,0,0,0,0,0
"CIV",166000,33000,3237000,0,0,228000,1309000,0,11000,19509000,1955000,718000,111914000,3967000,0,0,0,56000,0,0,17112000,1057000,0,150000,0,0,7197000,93000,0,0,77000,88000,0,0,820000,46000,0,0,27882000,0,0,5000,19000,0,0,136000,13000,149000,274000,89000,369000,0,2115000,0,17000,0,0,16000,3431000,58000,0,3000,0,0,0,0,13000,0,0,0,95000,0,0,13286000,0,0,269000,0,0,4000,0,6000,0,0,1000,0,1000,37000,0,15000,18000,0,0,0,14000,0,0,4000,0,0,15000,0,1000,0,0,101000,0,464000,0,42000,2000,0,2771000,0,0,33000,0,10000,0,620000,21000,3080000,2093000,0,0,13000,0,0,1000,0,0,0,0,29000,0,40000,3000,0,0,0,1000,0,0,0,0,0,0
"COD",0,2000,179361000,0,0,1233000,2062000,0,0,31292000,817000,1117000,33772000,10409000,51000,0,3608000,254000,0,0,40056000,4554000,4578000,0,0,0,2358000,262000,57000,0,0,359000,0,5000,542000,0,0,4000,48071000,39000,67000,97000,776000,196000,0,4e+05,19000,0,1000,1502000,101000,0,174000,384000,7000,0,0,61000,0,0,0,5000,0,0,0,0,2000,32000,0,2000,0,0,0,6000,6000,0,135000,0,0,0,0,0,0,0,0,0,0,0,0,0,30000,1000,0,0,0,0,0,0,0,0,0,804000,0,0,0,32000,0,37000,251000,0,0,0,375000,0,0,0,0,0,0,0,471000,1000,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG",0,10000,4908000,0,0,12000,8e+05,0,31000,11464000,204000,252000,8334000,382000,0,168000,0,32000,0,0,299000,261000,0,0,0,5000,841000,55000,0,0,32000,8000,0,0,239000,0,0,0,2063000,2000,0,0,5000,16000,747000,0,6000,36000,0,0,342000,0,687000,0,19000,0,8000,0,7000,36000,0,70000,0,430000,0,0,2000,0,0,0,1000,0,0,84000,0,0,0,13000,0,0,0,0,8000,0,0,0,0,0,0,1000,0,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,44000,3000,0,0,0,613000,0,0,0,0,0,0,25000,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ECU",29000,291000,4492000,0,0,8044000,3914000,0,66000,29144000,906000,75000,2373000,774000,13000,0,0,12000,0,0,2649000,6207000,0,4000,0,0,2239000,736000,0,53000,31000,1000,0,0,2148000,0,0,0,71311000,50000,0,432000,3000,0,0,0,0,0,0,44000,38000,7000,279000,1000,0,3183000,0,0,0,0,0,0,2000,1000,101000,2505000,4847000,51000,4000,0,0,0,15000,10000,0,0,60000,0,79000,0,1000,0,0,33000,0,2000,0,0,0,0,11000,0,0,136000,3000,529000,0,4000,0,0,0,0,0,18000,0,0,0,0,0,2000,0,0,10000,0,0,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12000,0,0,0,0,0
"GAB",10000,4000,1092000,0,0,1049000,785000,0,14000,11599000,421000,362000,45430000,2536000,0,228000,0,14000,14000,0,560000,268000,0,49000,0,0,3208000,32000,0,0,297000,0,0,9000,542000,44000,0,0,2004000,0,0,0,0,135000,1000,0,6000,0,61000,1e+05,3654000,0,287000,3000,391000,56000,241000,0,5000,161000,0,2000,0,0,0,0,0,0,0,3000,81000,0,0,255000,50000,0,0,15000,0,1000,0,0,0,0,0,0,1000,55000,0,147000,6000,0,0,0,0,0,0,7000,2000,0,0,0,32000,0,0,13000,0,0,0,0,0,0,110000,0,0,0,0,19000,0,51000,0,10000,13000,0,0,0,0,0,6000,0,0,0,0,0,7000,22000,7000,0,0,0,0,0,0,0,0,0,0
"GHA",2972000,0,3172000,428000,0,6572000,3259000,1248000,1743000,46514000,3018000,1382000,3204000,61202000,0,2095000,1306000,3255000,0,0,18820000,7995000,0,8000,0,3000,11943000,5750000,0,0,3940000,3000,0,12165000,4052000,0,0,0,64534000,0,1589000,0,1000,14000,1000,8000,0,0,0,1069000,919000,0,38000,0,279000,3000,3000,0,1792000,0,0,0,0,0,0,0,0,0,0,4000,2107000,0,0,0,278000,0,117000,0,0,0,0,0,0,3000,0,0,0,32000,4000,1000,1000,320000,0,0,1574000,0,0,4000,0,0,0,0,323000,0,0,990000,0,0,0,2000,0,0,0,0,0,0,0,0,0,18000,0,294000,189000,84000,0,1000,66000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRC",1069000,4729000,2516000,3343000,23000,1021000,4397000,14000,8331000,67314000,1070000,567000,19454000,29161000,1000,6430000,103000,796000,110000,631000,21344000,3e+06,49000,1068000,455000,34000,5917000,2108000,51000,18000,5627000,3447000,19000,19226000,3222000,965000,17000,2562000,35807000,109000,17436000,88000,1112000,1000,185000,13000,1000,0,1994000,0,1180000,3000,165000,12000,138000,6000,12000,0,1000,2000,39000,27000,0,4000,0,97000,6000,0,0,2471000,4590000,4000,3000,135000,2272000,123000,3332000,0,0,1000,0,0,7000,130000,36000,0,167000,209000,763000,10000,267000,0,4000,0,4000,5000,0,1000,4000,2881000,458000,354000,1000,0,8000,2000,5000,104000,11000,255000,1558000,49000,57000,30000,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,137000,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISR",1405000,2020000,14302000,2230000,0,5275000,8093000,0,5000,28083000,3896000,761000,6833000,42989000,9310000,2380000,20000,1532000,0,0,10058000,5188000,310000,0,89000,1559000,5027000,3201000,5000,310000,977000,201000,974000,336000,6243000,0,766000,8777000,41050000,593000,9784000,122000,218000,355000,30000,8000,67000,54000,1874000,3664000,0,5000,0,103000,3024000,162000,74000,5000,0,34000,32000,8000,0,0,30000,32000,20000,167000,285000,1805000,310000,60000,17000,121000,0,973000,4306000,0,84000,0,3000,3000,0,208000,0,413000,0,686000,0,302000,631000,21000,0,0,21000,14000,0,1000,0,2203000,0,0,0,15000,0,5000,4000,0,398000,317000,0,0,2011000,1443000,0,9000,0,0,0,4000,4000,16000,4000,0,0,15000,0,0,0,0,1000,0,0,0,1000,0,0,0,0,18000,0,0,0,0,0,0,0
