"","AUS","AUT","BEL","BGR","BHR","CAN","CHE","CHN","CSK","DEU","DNK","ESP","FRA","GBR","HKG","HUN","IND","IRL","IRN","IRQ","ITA","JPN","KEN","LBN","MMR","MYS","NLD","NOR","PAK","PHL","POL","PRT","SGP","SUN","SWE","SYR","THA","TUR","USA","VEN","YUG","ARG","BRA","CIV","COD","COG","ECU","GAB","GHA","GRC","ISR","JAM","MAR","MEX","NGA","PER","SEN","TCD","BFA","CMR","LKA","AGO","BHS","BMU","BOL","CHL","COL","CRI","CUB","CYP","DDR","DJI","DOM","DZA","EGY","ETH","FIN","GNQ","GTM","GUY","HND","HTI","IDN","ISL","JOR","KOR","KWT","LBR","LBY","MDG","MLT","MOZ","MRT","NIC","NZL","PAN","PNG","PRY","QAT","ROU","SAU","SDN","SLE","SLV","SUR","TGO","TTO","TUN","TZA","URY","VNM","YMD","ZAF","ZMB","AFG","KHM","LAO","NCL","WSM","BEN","CAF","MLI","NER","ALB","BDI","GIN","GMB","GNB","KIR","MNG","NPL","OMN","PRK","SOM","BRB","GLP","GUF","FJI","MUS","UGA","SPM","GIB","ARE","BLZ","MAC","GRL","KNA"
"DNK",6058000,12100000,18272000,393000,868000,12408000,35999000,3720000,7225000,326883000,0,16012000,31731000,425976000,2998000,2767000,2161000,5586000,4399000,2973000,56017000,9564000,2481000,3542000,1481000,4354000,38501000,73719000,2176000,765000,16629000,3251000,5903000,23775000,148656000,3392000,4431000,2440000,117054000,16416000,2673000,4063000,16931000,272000,790000,98000,1157000,33000,1921000,8233000,3420000,599000,1441000,1936000,4181000,6831000,263000,118000,43000,369000,2100000,454000,0,0,611000,6240000,6136000,278000,468000,1365000,25977000,469000,829000,437000,2481000,579000,37168000,65000,1163000,213000,342000,326000,3571000,6264000,824000,249000,1665000,3011000,909000,139000,2185000,347000,161000,578000,1041000,658000,0,70000,0,4720000,1362000,1137000,565000,1105000,156000,42000,1110000,360000,0,2768000,132000,1055000,5790000,560000,45000,493000,234000,223000,0,17000,73000,17000,7000,39000,52000,83000,0,0,45000,0,3000,147000,1000,24000,0,791000,0,0,0,0,0,0,0,0,0,0,0
"ESP",5460000,3827000,23352000,802000,28000,7904000,27014000,0,2017000,169415000,15370000,0,97477000,194862000,771000,1195000,904000,6619000,3e+05,235000,54938000,8264000,174000,2082000,36000,828000,23901000,15295000,1336000,1155000,7633000,6837000,1108000,389000,24947000,2565000,428000,5249000,91830000,6357000,2774000,4318000,24686000,245000,2370000,514000,336000,292000,3211000,2416000,137000,74000,7888000,5097000,5355000,1925000,1691000,325000,34000,1056000,94000,757000,0,0,186000,4040000,8853000,395000,1372000,810000,2940000,11000,1037000,2312000,4908000,93000,3506000,0,562000,0,186000,20000,185000,838000,436000,23000,226000,291000,393000,118000,445000,131000,192000,215000,194000,402000,0,785000,0,1345000,154000,105000,118000,463000,0,268000,0,644000,0,3337000,2441000,30000,1234000,235000,3000,0,5000,4000,0,147000,109000,59000,259000,1000,0,21000,0,0,3000,0,0,0,0,104000,0,11000,0,0,0,0,0,0,0,0,0,0,0
"FRA",28975000,63809000,664905000,9927000,657000,52461000,402122000,43297000,25548000,1297694000,85257000,149034000,0,367627000,11181000,27948000,20764000,19461000,22595000,1765000,534785000,46344000,6506000,31739000,2067000,10316000,225977000,62334000,10888000,8659000,24984000,55096000,11243000,138105000,128406000,14048000,19546000,28802000,424267000,32819000,26526000,68646000,65698000,93298000,10254000,46031000,2371000,23642000,7244000,55602000,30860000,5409000,181208000,32343000,16709000,19964000,100556000,15473000,17063000,55339000,6641000,5660000,0,8252000,2122000,23254000,12392000,1824000,1837000,6544000,15945000,3890000,2913000,562656000,13450000,2192000,61371000,520000,2969000,506000,627000,1504000,13814000,795000,2760000,5e+05,7682000,4318000,6053000,91060000,4739000,4493000,14361000,971000,6627000,1074000,0,632000,741000,20606000,5449000,4294000,2667000,2131000,523000,9035000,7661000,112564000,5979000,9963000,34725000,1662000,36312000,6555000,393000,18359000,1656000,22265000,1000,15178000,15099000,16933000,14850000,4016000,729000,10209000,276000,3177000,107000,15000,9000,641000,24000,482000,0,78860000,0,0,0,0,0,0,0,0,0,0,0
"GBR",640683000,69005000,367059000,3407000,22951000,525955000,187436000,23442000,36153000,569086000,296389000,149226000,387099000,0,132933000,18992000,258278000,381966000,79362000,56485000,383285000,145785000,82921000,32230000,32712000,202955000,355998000,218424000,131069000,26782000,90862000,86957000,125659000,117443000,447325000,23842000,49214000,70108000,1002775000,63896000,48574000,120477000,46235000,3301000,12137000,1564000,6633000,1155000,112886000,83727000,100687000,59078000,12738000,43222000,180105000,34488000,2467000,862000,1234000,2474000,65011000,13840000,12065000,20450000,5964000,33562000,31325000,5169000,7181000,41721000,20133000,1817000,7723000,4921000,68426000,7061000,153304000,2085000,5318000,24202000,1795000,1766000,50169000,10847000,20623000,5223000,48525000,17479000,37075000,1393000,41966000,13292000,2003000,3767000,299660000,5803000,3034000,3106000,13723000,23461000,24415000,66350000,30824000,4238000,4035000,3498000,68359000,6715000,28255000,19846000,3462000,31523000,415386000,117379000,1496000,3112000,441000,0,267000,484000,1015000,410000,5e+05,60000,667000,2290000,4327000,755000,2935000,0,182000,15770000,43000,2380000,14816000,1260000,0,10944000,16917000,12509000,0,0,0,0,0,0,0
"HKG",15036000,154000,2408000,0,4013000,17640000,3807000,1485000,0,34264000,3910000,960000,1806000,153480000,0,0,1584000,1141000,2484000,1847000,4957000,18938000,4319000,788000,5311000,43797000,5048000,4498000,1973000,7402000,0,113000,35214000,2000,10288000,364000,15274000,140000,169076000,4517000,1000,208000,164000,988000,955000,2e+05,334000,56000,2776000,421000,285000,1724000,92000,283000,11663000,1230000,791000,213000,178000,758000,5112000,66000,1080000,132000,193000,489000,1007000,147000,5000,837000,13000,0,789000,150000,113000,1061000,782000,0,151000,0,248000,295000,13469000,30000,378000,163000,0,1167000,1008000,451000,878000,623000,0,214000,6233000,1702000,2945000,127000,0,0,1994000,1328000,1823000,329000,0,196000,1914000,112000,1015000,70000,599000,2672000,6673000,2151000,97000,4275000,1315000,1391000,139000,399000,303000,271000,455000,0,0,42000,280000,0,298000,0,0,0,28000,89000,992000,1132000,0,990000,1927000,392000,0,0,0,0,0,0,0
"HUN",0,0,4696000,0,0,388000,11304000,0,0,48830000,4430000,565000,8097000,13371000,202000,0,4780000,127000,0,0,23008000,249000,0,0,111000,54000,6503000,1982000,348000,0,0,82000,360000,0,6809000,0,160000,4494000,1679000,574000,20926000,4004000,1117000,52000,0,8000,86000,63000,1502000,5828000,1926000,2000,702000,6000,757000,0,20000,115000,0,332000,199000,0,0,0,22000,41000,549000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250000,0,0,0,0,865000,298000,0,0,1000,0,0,0,0,84000,0,0,0,0,0,0,0,11000,0,303000,0,0,0,0,0,0,22000,0,0,0,0,1000,10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IND",39337000,787000,15975000,3578000,3798000,40617000,9744000,392000,20949000,81918000,7220000,3726000,24473000,380741000,7682000,13507000,0,9658000,12478000,6965000,24438000,93107000,10342000,879000,11457000,18143000,11664000,3525000,21873000,722000,23439000,608000,19511000,74441000,4807000,2251000,8150000,4886000,253536000,752000,22562000,19967000,398000,481000,263000,52000,364000,0,5748000,892000,123000,950000,2444000,312000,14126000,3069000,59000,72000,111000,237000,33981000,51000,18000,2000,346000,2712000,111000,301000,7176000,1229000,17924000,398000,223000,308000,26917000,4511000,577000,0,3000,650000,121000,248000,9677000,190000,1175000,979000,7873000,47000,782000,1436000,212000,2118000,0,754000,14465000,211000,322000,497000,3818000,7976000,5868000,20527000,1106000,11000,107000,211000,942000,94000,6594000,1411000,1283000,10162000,163000,5979000,9503000,2951000,71000,1000,8000,58000,103000,228000,31000,0,0,0,346000,4000,127000,2000,161000,1090000,83000,690000,131000,0,0,1517000,2354000,1025000,0,0,0,0,0,0,0
"IRL",472000,235000,2437000,4000,2000,4504000,853000,2000,999000,14712000,358000,3911000,4124000,388744000,1000,14000,57000,0,15000,119000,3735000,504000,382000,166000,2000,88000,3136000,538000,106000,5000,533000,236000,132000,113000,1409000,114000,2000,1000,37074000,26000,165000,3000,502000,6000,16000,0,1000,0,864000,425000,510000,45000,2000,9000,1169000,12000,12000,0,0,39000,37000,4000,32000,48000,4000,1000,2000,5000,5000,494000,19000,0,1000,31000,195000,34000,141000,1000,2000,65000,1000,1000,81000,29000,10000,451000,123000,7000,16000,2000,460000,1000,0,95000,269000,6000,0,6000,3000,0,40000,18000,86000,2000,5000,4000,835000,1000,0,1000,950000,26000,253000,69000,1000,0,0,0,0,0,0,0,0,0,0,115000,8000,0,0,0,61000,0,0,0,180000,4000,0,1000,65000,0,0,0,0,0,0,0,0
"IRN",0,0,32059000,0,0,29646000,6908000,0,0,255356000,14803000,22899000,38630000,98922000,5265000,0,107828000,7890000,0,0,17727000,88723000,0,0,1622000,3888000,15756000,564000,25963000,349000,0,2451000,18596000,0,17639000,0,10139000,13936000,57358000,146000,59000,0,0,42000,0,0,44000,0,0,3504000,0,1000,312000,0,1000,80000,0,4000,11000,0,12566000,0,0,0,5000,6000,285000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13000,0,0,0,0,73000,3544000,0,0,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,0,0,0,0,1570000,7000,0,0,12000,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRQ",0,0,52071000,0,0,657000,1038000,0,0,101195000,7980000,41836000,139443000,148656000,77000,0,3126000,17395000,0,0,136836000,33835000,0,0,11000,132000,1653000,67000,291000,2626000,0,22411000,2556000,0,669000,0,86000,10259000,8606000,1000,6044000,3000,0,737000,0,0,0,0,32000,81000,0,1000,3000,2000,2421000,0,366000,146000,175000,27000,1018000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,197000,0,213000,0,0,0,0,0,0,0,0,0,0,0,242000,0,241000,70000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
