"","AUS","AUT","BEL","BGR","BHR","BMU","BRA","CAN","CHE","CHN","COG","CSK","DEU","DNK","ESP","FIN","FRA","GBR","GRC","HKG","HUN","IDN","IND","IRL","IRN","IRQ","ISL","ISR","ITA","JOR","JPN","KNA","KOR","KWT","LBN","LBY","LKA","MEX","MMR","MWI","MYS","NGA","NLD","NOR","NZL","PAK","PER","PHL","POL","PRT","PRY","ROU","SAU","SGP","SUN","SWE","SYR","THA","TUN","TUR","USA","VEN","YUG","ZAF","ZMB","ARG","CIV","COD","COL","CRI","CUB","DOM","GAB","GHA","GNB","MAC","MAR","MDG","MOZ","MUS","PAN","SEN","SLV","SUR","TTO","YMD","EGY","ETH","MLT","HND","AGO","ALB","ARE","BDI","BFA","BGD","BHS","BLZ","BOL","BRB","CAF","CHL","CMR","CYP","DDR","DZA","ECU","FJI","GIB","GLP","GMB","GTM","GUF","GUY","HTI","JAM","KEN","LBR","MLI","MRT","NCL","NER","NIC","PNG","PRK","SDN","SLE","SOM","TGO","TZA","URY","VNM","AFG","BEN","DJI","FLK","GIN","KHM","KIR","LAO","MNG","NPL","OMN","QAT","RWA","SYC","TCD","UGA","WSM","ZWE","GNQ","SPM","GRL","SHN"
"IDN",21919000,3112000,34408000,0,80000,0,9000,3457000,15764000,0,0,4e+05,145033000,23824000,20277000,923000,59589000,36686000,4385000,33871000,0,0,549000,2237000,763000,5507000,22000,913000,72184000,283000,2217791000,0,153288000,773000,9000,0,0,389000,1000,20000,61433000,90000,80117000,1954000,2719000,3801000,438000,1892000,6250000,2194000,0,1000,157000,589000,5670000,7359000,671000,3118000,298000,5000,501251000,1931000,354000,0,40000,2000,0,24000,3000,4000,0,0,0,8000,0,0,2696000,466000,0,90000,50000,30000,0,10000,76728000,3000,80000,3000,349000,14000,19000,0,0,0,0,0,0,0,0,28000,0,214000,45000,0,3191000,147000,757000,35000,0,19000,0,7000,0,0,0,0,3213000,1000,0,0,67000,0,0,10000,2000,3000,2000,11000,0,1000,0,1129000,36000,0,0,0,0,38000,0,4000,0,0,0,0,0,0,7000,1000,0,0,0,0,0,0
"IND",59776000,5137000,50079000,28116000,8876000,69000,1145000,38460000,22013000,0,89000,52667000,148665000,23120000,23904000,3109000,116454000,354600000,1523000,39326000,27097000,9440000,0,13571000,54059000,18085000,373000,1073000,83316000,4287000,576783000,518000,11750000,26714000,4596000,6559000,9526000,639000,3834000,2179000,36712000,17423000,36985000,7047000,16484000,286000,1393000,3183000,60465000,406000,97000,21400000,23180000,46850000,389565000,28654000,1755000,12170000,2230000,3693000,403962000,180000,28164000,1988000,6815000,3886000,529000,53000,131000,89000,1000,89000,1000,2087000,0,0,660000,257000,1817000,5647000,533000,5086000,112000,129000,1056000,3886000,25250000,2576000,338000,8000,0,0,17576000,47000,78000,148455000,42000,5000,402000,331000,29000,1004000,491000,1702000,24140000,289000,71000,2913000,36000,76000,156000,27000,2000,978000,560000,144000,11593000,649000,69000,0,48000,34000,102000,712000,3435000,33253000,2580000,810000,414000,7297000,110000,1253000,19385000,4034000,0,8000,10000,16000,12000,38000,0,30428000,5284000,5196000,41000,358000,64000,5502000,101000,0,122000,0,3000,0
"IRL",12448000,4550000,66999000,1156000,137000,355000,9742000,26447000,21561000,54000,4000,1860000,125369000,5058000,29872000,8188000,116903000,1275341000,6838000,832000,399000,465000,12000,0,183000,185000,205000,14198000,38536000,66000,25709000,0,87000,880000,910000,1966000,1041000,16048000,4000,73000,762000,6413000,58748000,8409000,1102000,216000,510000,353000,4734000,1778000,5000,811000,942000,985000,1166000,18571000,87000,1354000,1964000,1164000,211309000,621000,560000,9684000,82000,1612000,80000,112000,408000,744000,4826000,230000,1000,834000,401000,0,226000,10000,94000,368000,391000,10000,1000,58000,2097000,270000,411000,468000,626000,69000,5000,0,273000,15000,1000,278000,363000,65000,499000,646000,11000,3096000,424000,927000,2067000,104000,197000,37000,76000,31000,14000,404000,2000,223000,9000,2651000,758000,61000,5000,0,17000,6000,48000,25000,10000,41000,273000,2000,3000,463000,218000,267000,6000,44000,0,2000,2000,0,7000,7000,0,2000,236000,38000,3000,80000,3000,49000,44000,0,9000,1000,0,1000
"IRN",31405000,43822000,182023000,1546000,5447000,0,57299000,131668000,32835000,7537000,220000,11298000,640728000,93993000,126325000,59672000,313254000,577211000,28620000,9094000,13103000,808000,10579000,22403000,0,11000,40000,2746000,453052000,599000,1927445000,0,13534000,15117000,4782000,771000,1e+05,113000,736000,5813000,1092000,617000,543798000,1004000,18092000,9406000,108000,15912000,9965000,8103000,0,13627000,8137000,122237000,99963000,60416000,1840000,1705000,103000,14729000,53635000,514000,132645000,14018000,27143000,4575000,42000,16015000,845000,10000,0,0,0,6000,0,9000,3693000,585000,86000,9379000,3000,36000,4000,0,12458000,2522000,27000,14278000,42000,52000,13863000,10000,7479000,0,7000,2596000,0,0,0,0,47000,3105000,1725000,259000,2213000,1655000,107000,2038000,0,0,2000,4000,0,19000,0,115000,44733000,2000,0,0,1610000,99000,0,632000,0,494000,22000,224000,405000,34716000,0,45000,4739000,778000,167000,0,0,0,0,0,0,0,2564000,2326000,8000,0,111000,207000,537000,20000,0,0,0,0
"IRQ",34835000,76293000,28225000,970000,1479000,1000,207245000,20549000,5178000,6219000,0,772000,54690000,115000,60309000,2276000,488089000,75159000,24737000,0,284000,104000,8183000,8000,80000,0,20000,0,514989000,2639000,3413000,0,0,16172000,46257000,0,956000,7000,2000,402000,192000,0,9011000,13000,410000,383000,0,607000,733000,41462000,0,621000,3354000,17503000,7497000,4942000,12502000,24000,10463000,33364000,3426000,1000,25778000,68000,21000,1827000,11739000,32000,42000,0,0,0,0,732000,0,0,2085000,0,5000,4000,0,6750000,0,0,10000,3420000,11274000,297000,4000,0,0,0,1194000,0,0,0,0,0,0,3000,0,0,1000,61000,590000,0,0,256000,0,1138000,12000,2000,0,2000,0,0,1912000,0,0,83000,0,840000,0,3000,4490000,58000,7000,611000,48000,146000,0,0,11000,45000,93000,0,0,0,0,0,0,0,306000,638000,0,0,1000,0,0,0,0,0,0,0
"ISL",444000,3187000,5420000,18000,2000,0,2797000,226000,12709000,1427000,1000,1735000,37918000,22605000,8571000,6707000,2727000,34056000,3459000,1000,832000,0,0,347000,32000,0,0,119000,9757000,0,11589000,0,16000,8000,577000,3000,5000,41000,0,2000,0,518000,4128000,4972000,1000,0,13000,8000,11111000,13126000,2000,64000,0,54000,10407000,6809000,3000,369000,0,124000,77899000,476000,596000,6000,1000,10000,0,267000,29000,8000,0,33000,25000,5000,0,0,0,1000,0,0,166000,35000,0,0,0,0,1000,76000,2000,3000,28000,0,0,0,31000,0,0,0,0,0,0,0,44000,19000,260000,160000,0,0,0,0,0,0,0,0,0,0,0,60000,0,0,9000,0,0,1000,0,1000,154000,0,0,0,0,0,331000,6000,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,28000,0
"ISR",13386000,16360000,68620000,881000,0,11000,8366000,22486000,38864000,0,17000,993000,136844000,8876000,16197000,12718000,73255000,147066000,9566000,68153000,2827000,134000,1172000,6934000,27271000,0,335000,0,48972000,0,79894000,0,11005000,0,0,0,5000,579000,64000,92000,2129000,5105000,34777000,9049000,976000,33000,350000,977000,0,3913000,45000,14160000,0,9761000,71000,19904000,0,2925000,0,2968000,267458000,1826000,9019000,11972000,4336000,1234000,4849000,2115000,433000,249000,0,80000,281000,1536000,0,0,0,135000,47000,150000,163000,183000,170000,8000,156000,0,0,4496000,1491000,20000,88000,0,0,90000,26000,0,588000,0,491000,107000,16000,472000,18000,9734000,41000,0,137000,79000,49000,17000,2000,92000,0,40000,76000,28000,3795000,27000,10000,60000,43000,50000,213000,38000,0,0,2000,0,14000,1680000,41000,38000,0,34000,52000,0,1000,3000,0,6000,0,3000,0,0,12000,0,13000,149000,0,0,3000,0,0,0
"ITA",151443000,523549000,828188000,67015000,9776000,1287000,215202000,237227000,1085032000,76298000,3993000,86260000,5322259000,193909000,578065000,86930000,3382486000,1229840000,316996000,62936000,113350000,23872000,59632000,57164000,137866000,29302000,5090000,151637000,0,10380000,294476000,1428000,19237000,44156000,112738000,464219000,5532000,60323000,804000,1639000,34548000,76601000,816745000,85945000,30962000,22549000,28838000,9352000,187676000,160124000,3865000,129852000,77909000,68287000,351377000,275200000,53373000,29540000,48743000,169195000,1906209000,97869000,562692000,212369000,25187000,165741000,25097000,78330000,22712000,6448000,21795000,12671000,3612000,9610000,675000,291000,50659000,6253000,14296000,2533000,4509000,14291000,5043000,1006000,3260000,2886000,42944000,31632000,37863000,5737000,20549000,9805000,15514000,1375000,1486000,8459000,22920000,842000,2364000,2564000,1140000,30583000,13962000,38842000,48271000,177631000,12824000,451000,7737000,9667000,503000,6371000,887000,1213000,4347000,4830000,23199000,4599000,954000,2e+06,3721000,2996000,3084000,1097000,2577000,14179000,3867000,33827000,3042000,22522000,6013000,8783000,813000,3745000,1173000,4000,3314000,356000,603000,188000,367000,959000,5035000,4458000,1814000,241000,1017000,3877000,23000,127000,185000,581000,376000,107000
"JOR",0,4000,50000,0,25000,0,0,0,1561000,0,1000,557000,331000,6000,34000,0,91000,1124000,160000,216000,0,0,6803000,0,1638000,5939000,0,0,549000,0,4013000,0,370000,6900000,5322000,19000,108000,0,0,0,135000,134000,54000,0,0,5e+05,0,0,0,11000,0,0,7749000,159000,0,2000,7825000,3000,0,1928000,3000,0,753000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,1000,13000,1063000,6000,0,1000,0,0,281000,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,162000,1000,1000,0,1050000,0,0,0,0,0,0,0,0,0,0,0,0,16000,373000,0,0,0,0,0,0,0,0,0,0
"JPN",1207317000,123606000,268368000,36432000,37869000,1950000,549399000,1018215000,294708000,1041493000,1446000,38693000,1392524000,204808000,248806000,122754000,544128000,1081507000,243455000,1136273000,10505000,712180000,288371000,38979000,537436000,60463000,23011000,59280000,366838000,16214000,0,6005000,1726895000,186369000,48172000,114813000,26033000,177759000,45064000,9155000,554640000,169420000,305011000,477739000,290936000,86920000,113207000,561098000,130193000,130317000,5102000,71431000,387693000,930031000,484593000,238558000,23926000,741095000,6196000,58920000,9566072000,205128000,65281000,596091000,47855000,256429000,19510000,57544000,89959000,40970000,107172000,35435000,5309000,32048000,3710000,2846000,24549000,9154000,39414000,10981000,32730000,2526000,35724000,9993000,23562000,12741000,13959000,28711000,5699000,26602000,29938000,92000,161641000,1541000,688000,70154000,7305000,945000,18119000,4071000,1162000,35211000,6586000,25040000,38383000,50787000,54525000,32706000,1286000,2620000,3428000,43091000,427000,5836000,6541000,17724000,72826000,12436000,250000,7610000,3937000,638000,22977000,44808000,99661000,24680000,14800000,3950000,2816000,43182000,3979000,77053000,32514000,3541000,6694000,41000,2106000,10277000,6480000,6422000,656000,9551000,12573000,19788000,2007000,1023000,1900000,8892000,2317000,36000,1000,76000,1072000,6000
"KNA",211000,0,597000,0,0,13000,33000,2334000,60000,0,2000,0,3386000,11000,0,36000,881000,31683000,0,2000,0,0,0,0,0,0,0,0,932000,0,78000,0,0,0,0,0,0,4411000,0,0,0,0,335000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177000,0,0,0,59000,0,0,0,70000,0,0,95000,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1542000,0,0,0,0,0,0,0,0,0,152000,0,0,0,0,1543000,0,0,0,0,0,0,0,0,0,1e+05,167000,0,0,956000,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,5000,3304000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KOR",25896000,6761000,16089000,0,740000,52000,4113000,90561000,7385000,0,10000,0,111821000,13304000,8010000,1671000,23633000,66169000,587000,116813000,0,20186000,1850000,2695000,14717000,127000,518000,534000,28259000,298000,1204680000,0,0,9811000,1024000,5463000,1377000,1435000,1161000,43000,7419000,8443000,29139000,1435000,5205000,3990000,65000,5306000,0,38000,2000,0,12682000,32504000,0,22293000,3e+05,19070000,99000,161000,1020894000,4256000,25000,10306000,39000,897000,225000,1205000,8000,95000,0,121000,18000,1364000,191000,48000,397000,9000,87000,193000,937000,34000,48000,74000,726000,6000,602000,789000,15000,1318000,729000,0,69000,0,2000,111000,0,0,66000,101000,261000,444000,215000,7000,0,16000,192000,2050000,0,9000,21000,11000,1000,349000,65000,258000,441000,264000,61000,9000,3000,292000,281000,86000,0,1086000,329000,6000,4000,465000,9000,12032000,86000,63000,0,0,27000,6539000,1000,18000,0,1064000,198000,64000,1000,0,0,178000,152000,0,0,0,121000,0
"KWT",59519000,723000,129542000,8000,2808000,0,99108000,3694000,16837000,17272000,83000,49000,121113000,31863000,64822000,1000,393454000,576441000,27000,3189000,169000,2037000,9540000,15784000,25908000,4257000,0,0,293451000,1519000,588671000,0,83406000,0,2500000,2000,1237000,1231000,0,0,18497000,516000,482231000,1000,59008000,25548000,0,57214000,1000,0,0,10000,62570000,144616000,22000,26022000,4175000,62820000,5000,5075000,58637000,0,9805000,3000,1784000,10931000,22000,217000,0,0,0,0,0,0,0,0,39000,311000,7000,991000,0,1000,0,0,0,12612000,1203000,1093000,1000,0,0,0,35461000,0,2000,10976000,0,0,0,0,0,0,0,42000,0,30000,0,251000,0,0,0,0,0,3000,0,0,949000,3000,0,0,680000,251000,0,176000,0,10314000,0,1682000,98000,5257000,18270000,0,169000,78000,59000,0,633000,0,0,0,0,0,8959000,9288000,0,0,0,0,0,0,0,0,0,0
"LBN",684000,2548000,27446000,6087000,5558000,11000,897000,1937000,4118000,1515000,3000,6372000,20072000,4784000,5343000,871000,9844000,19437000,27713000,256000,4576000,2000,135000,1085000,8324000,14534000,5000,0,19049000,24038000,3808000,0,2335000,44753000,1000,67446000,405000,1000,3000,0,13000,6877000,2850000,1160000,18000,102000,7000,2000,2195000,363000,1000,741000,96359000,136000,5342000,3420000,29879000,15000,677000,70369000,26137000,73000,4557000,237000,107000,5000,355000,1249000,119000,0,856000,0,0,1123000,0,0,1110000,0,18000,1000,13000,153000,0,0,6000,793000,19775000,429000,384000,1000,131000,0,14244000,0,20000,2000,0,0,0,0,34000,1380000,36000,4768000,2731000,2843000,0,0,0,16000,0,0,0,1000,0,0,117000,1388000,2000,3000,0,30000,1000,0,1000,5535000,576000,9000,220000,9000,0,0,951000,5000,0,0,81000,0,0,3000,0,0,537000,9503000,0,0,72000,542000,0,0,0,0,0,0
"LBY",0,21177000,142206000,23502000,0,0,61428000,41635000,74451000,0,0,0,837410000,4365000,73728000,0,185514000,403059000,65253000,0,0,7000,0,2000,18000,2000,0,0,798232000,0,35052000,0,8000,2000,2542000,0,0,433000,0,0,1000,0,72658000,10000,0,750000,0,0,0,7000,0,53799000,0,1000,54293000,2299000,497000,0,201000,1661000,310727000,1000,4388000,0,0,1888000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122000,0,0,9251000,0,2864000,1000,380000,0,0,0,0,0,45000,0,152331000,0,0,0,0,0,0,45000,0,145000,0,0,0,0,160000,0,0,0,0,0,0,1740000,0,4000,0,1210000,0,0,0,13000,0,2000,1084000,0,0,0,0,485000,0,0,0,0,0,0,0,0,0,0,0,0,129000,0,0,0,0,0,0,0
"LKA",12703000,2053000,989000,0,1367000,14000,65000,7580000,3656000,0,1000,0,18473000,1772000,3028000,204000,12533000,56222000,768000,11391000,0,561000,781000,1673000,7041000,11010000,22000,6000,9557000,995000,36526000,0,23000,5236000,3981000,11228000,0,2822000,56000,66000,1149000,711000,6556000,747000,6455000,32254000,371000,48000,0,292000,2000,0,0,6010000,0,7004000,0,212000,1061000,58000,0,0,2165000,0,1e+05,114000,0,0,201000,11000,0,0,0,158000,0,0,170000,98000,0,0,21000,2000,52000,0,257000,0,2924000,0,119000,42000,14000,0,0,0,0,0,0,0,0,120000,0,2081000,2000,0,0,0,126000,1071000,0,3000,7000,106000,0,73000,0,0,0,0,0,0,23000,1000,85000,4e+05,0,0,0,0,0,0,0,0,375000,1000,0,0,0,0,0,29000,0,0,0,0,0,0,0,0,6000,0,0,0,0,0
"MEX",10228000,3400000,12414000,0,2000,69000,56918000,83276000,14024000,35109000,0,480000,79582000,2459000,32722000,1974000,30327000,25020000,994000,5080000,468000,356000,2481000,1602000,3363000,1180000,11000,938000,45700000,39000,275538000,93000,1273000,633000,280000,410000,0,0,0,0,464000,77000,19037000,3370000,2031000,164000,15316000,1947000,3992000,2270000,732000,20000,3105000,1648000,299000,8865000,53000,2871000,39000,2461000,1810960000,34512000,8891000,1550000,1000,23207000,61000,239000,27023000,11091000,7231000,7166000,2000,153000,3000,0,259000,9000,0,5000,9358000,6000,9840000,282000,730000,0,2000,29000,666000,4901000,3000,0,2000,0,18000,0,4284000,1515000,546000,123000,44000,27956000,0,35000,2552000,0,5897000,28000,0,94000,0,15413000,2000,612000,739000,1043000,37000,81000,0,0,71000,1000,7827000,399000,0,0,1000,0,7000,0,1277000,20000,7000,0,0,0,0,0,0,0,0,0,0,0,0,1000,3000,0,8000,1000,0,0,0,0
"MMR",303000,246000,7184000,0,1698000,0,0,13000,1412000,2029000,0,0,6772000,7042000,337000,289000,2636000,17097000,248000,11414000,0,594000,90000,728000,13000,827000,31000,6000,2474000,0,52660000,0,61000,2331000,38000,0,5397000,0,0,0,9751000,289000,1660000,1124000,348000,5525000,0,0,0,6000,0,0,0,15508000,651000,2506000,0,931000,0,0,464000,0,3090000,135000,0,0,0,0,1000,0,0,0,0,0,0,0,150000,70000,345000,2753000,0,4000,0,0,0,0,28000,45000,2000,0,0,0,0,0,0,1458000,0,0,0,7000,0,0,0,0,0,0,0,216000,0,0,965000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,0,0,0,0,5000,58000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MWI",898000,1000,922000,0,35000,0,0,421000,559000,0,108000,0,2790000,1030000,1079000,350000,3427000,40573000,682000,118000,0,40000,21000,4697000,21000,0,0,216000,45000,107000,3086000,0,1000,41000,0,0,0,0,0,0,0,15000,4534000,997000,83000,6000,0,0,0,1330000,0,0,5000,21000,0,204000,0,8000,99000,0,6553000,86000,0,4020000,4374000,0,0,1238000,0,0,0,0,373000,0,643000,0,11000,60000,180000,15000,0,21000,1000,0,0,0,297000,554000,23000,0,1000,0,0,14000,0,0,0,0,0,13000,32000,0,203000,1000,0,32000,0,38000,0,0,317000,0,0,0,0,0,12000,566000,0,46000,0,23000,0,645000,0,0,1779000,0,60000,62000,26000,110000,9000,35000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,5589000,0,0,0,11000
"MYS",74603000,11288000,29809000,263000,1082000,36000,8527000,53993000,7016000,82245000,42000,8319000,166677000,11938000,49615000,4507000,157467000,232181000,4253000,37142000,0,13164000,31186000,7323000,7833000,21022000,19000,190000,96056000,290000,772219000,0,132393000,1659000,581000,73000,654000,1757000,438000,257000,0,312000,86072000,4427000,13842000,5871000,2724000,15378000,21261000,8402000,0,9601000,1457000,826483000,104597000,12937000,54000,18919000,793000,3937000,329512000,5423000,18711000,8607000,1419000,6440000,265000,24000,5926000,0,57000,4000,0,2644000,0,32000,3625000,248000,3131000,1185000,38000,20000,0,0,1309000,115000,79000,39000,109000,75000,608000,0,9000,0,23000,3171000,0,0,0,414000,12000,4450000,219000,205000,7000,0,2241000,550000,0,76000,18000,0,4000,63000,0,0,6313000,61000,0,0,79000,7000,0,301000,0,136000,63000,11000,23000,2218000,640000,674000,9000,29000,0,0,0,525000,0,4000,0,0,0,0,0,0,7000,443000,2000,0,0,0,2000,0
"NGA",589000,8102000,40066000,917000,1000,0,6481000,82155000,27125000,7516000,20000,2166000,407009000,39429000,15635000,1095000,414425000,505927000,5853000,1251000,2000,7000,43000,7263000,0,3000,28000,10000,51177000,0,189538000,0,21000,0,711000,4000,1000,10000,0,0,6000,0,374468000,2057000,44000,7000,0,0,5110000,719000,0,0,104000,140000,34939000,75547000,0,0,16000,0,834535000,1048000,2447000,3000,34000,8000,11163000,32000,92000,0,0,0,0,18027000,103000,0,6000,4000,2000,0,0,8610000,0,0,7783000,0,70000,1000,1000,0,31000,0,0,0,159000,0,0,0,0,0,461000,0,801000,69000,0,3000,29000,0,0,0,16000,0,0,35000,0,0,67000,239000,1000,54000,0,4784000,0,2000,0,37000,5636000,0,757000,1000,0,0,0,4555000,0,0,13000,0,0,0,0,0,0,0,0,0,9918000,1000,0,0,29000,0,0,0
"NLD",93393000,222022000,3490976000,18013000,6254000,2391000,165927000,118017000,459929000,27106000,7610000,59436000,7502667000,350733000,310250000,124700000,2243743000,2206448000,128046000,65927000,51286000,85112000,61356000,90198000,87995000,14195000,21790000,166143000,1362993000,10158000,164619000,4457000,9196000,24952000,26227000,43824000,3980000,56844000,4694000,4132000,31104000,74918000,0,298821000,32398000,39426000,25679000,17920000,107405000,97437000,731000,40626000,54352000,59340000,76879000,515546000,10568000,25047000,15852000,98096000,801834000,48862000,80241000,98771000,11296000,44814000,26099000,31561000,20790000,6928000,9491000,4926000,7579000,16608000,6544000,108000,35241000,4588000,10041000,3143000,7950000,8803000,16828000,22048000,8777000,2807000,27637000,5312000,14133000,4716000,13514000,1683000,14667000,578000,2307000,11856000,14332000,1644000,1403000,4806000,1700000,31423000,7822000,14606000,116343000,65583000,5614000,2289000,5708000,10820000,956000,5561000,2396000,6588000,2532000,6792000,22753000,6025000,504000,1492000,2977000,3086000,5249000,5885000,2490000,11263000,7906000,1282000,7004000,15546000,2366000,5353000,1477000,5705000,1610000,10000,654000,113000,377000,223000,14000,118000,5855000,6065000,404000,723000,1050000,2655000,92000,15000,79000,304000,25000,17000
"NOR",20553000,36114000,107311000,3442000,6e+05,85000,59246000,77577000,52066000,17665000,14000,14939000,576750000,358124000,47854000,114871000,172369000,760143000,16128000,4594000,10354000,2472000,7734000,17096000,10884000,1540000,33605000,8253000,118664000,286000,57841000,0,3028000,1186000,3031000,2438000,265000,1992000,189000,257000,4544000,17174000,154303000,0,3777000,6792000,2602000,1455000,42853000,19320000,66000,9354000,991000,12846000,22078000,728082000,616000,5549000,728000,7494000,221042000,7703000,20741000,17466000,2023000,12873000,2909000,6943000,2687000,961000,1190000,2797000,604000,8985000,0,13000,2936000,67000,1496000,37000,1074000,225000,761000,366000,2856000,24000,507000,701000,667000,133000,4232000,13000,536000,78000,23000,588000,19568000,5000,106000,1010000,5000,375000,903000,30080000,28643000,1702000,1405000,89000,14000,1010000,10000,650000,5000,644000,110000,556000,3482000,4841000,0,29000,372000,3000,167000,119000,5000,624000,186000,49000,132000,3425000,107000,258000,256000,203000,14000,0,259000,0,15000,6000,11000,48000,42000,126000,22000,15000,0,806000,10000,1000,0,10000,0,0
"NZL",215279000,4864000,59340000,0,117000,2921000,8356000,73114000,8344000,9399000,0,3520000,74161000,7397000,10263000,4307000,124189000,676548000,49364000,25920000,991000,5712000,8881000,14110000,15543000,311000,561000,241000,44961000,62000,415999000,52000,14955000,602000,318000,3000,2629000,5607000,95000,775000,32521000,1046000,26691000,6008000,0,1406000,23130000,28360000,21769000,5510000,19000,625000,868000,20005000,49295000,7987000,699000,13043000,331000,7000,401784000,534000,17197000,9807000,617000,75000,27000,77000,399000,594000,0,332000,0,2871000,0,2000,262000,609000,2059000,1621000,834000,498000,58000,10000,9905000,1000,246000,1000,1004000,0,4000,0,256000,0,0,1577000,749000,2000,0,4810000,0,4834000,247000,3776000,5897000,10000,5000,25469000,8000,1239000,13000,15000,247000,303000,0,13447000,501000,47000,0,0,8344000,0,0,2322000,0,1000,113000,0,29000,77000,147000,798000,2000,76000,0,0,0,4000,3152000,351000,0,262000,119000,93000,0,13000,0,290000,4953000,0,0,0,0,8000
"PAK",10161000,1725000,10377000,908000,9063000,6000,139000,6705000,7698000,14008000,156000,4158000,47359000,8535000,15553000,2372000,24617000,69108000,4078000,121506000,1252000,30612000,197000,1132000,17193000,8591000,28000,44000,46650000,502000,149880000,0,5018000,14923000,972000,2735000,13502000,138000,756000,1120000,10698000,4091000,14014000,1408000,1665000,0,729000,2242000,10149000,6518000,16000,2109000,19632000,33870000,16564000,6101000,158000,1425000,829000,299000,39169000,154000,6805000,983000,215000,87000,15952000,471000,38000,11000,0,1075000,0,4761000,146000,18000,2233000,1017000,0,9203000,123000,2147000,12000,2000,99000,1447000,2951000,671000,953000,49000,602000,7000,20281000,354000,544000,0,0,7000,2000,370000,0,1191000,2876000,909000,50000,703000,12000,612000,1000,36000,3000,22000,3000,282000,13000,10000,1214000,4252000,1000,116000,15000,271000,3000,36000,938000,4379000,2140000,624000,170000,1020000,0,69000,5393000,541000,40000,335000,382000,94000,0,6000,10000,4000,3773000,2956000,5000,1000,249000,261000,195000,0,0,0,15000,0
"PER",1014000,4113000,34084000,1000,1000,0,20033000,18890000,17880000,37783000,0,6292000,121083000,3459000,20389000,1491000,39753000,41012000,431000,205000,9072000,0,141000,987000,157000,97000,1000,94000,35113000,245000,235519000,12000,198000,614000,454000,0,0,5926000,0,0,0,0,18835000,289000,64000,169000,0,35000,9636000,962000,2e+05,6397000,18000,1000,15164000,2282000,0,7000,0,9102000,368569000,8331000,16211000,1006000,0,18867000,5477000,0,13060000,459000,1484000,2e+05,0,0,0,0,0,0,190000,0,835000,4000,892000,0,612000,0,0,0,6000,839000,0,0,0,0,0,0,104000,0,3379000,51000,0,12374000,0,17000,26938000,0,3981000,0,0,76000,0,191000,0,1000,1000,219000,0,4000,0,0,11000,0,225000,4000,7785000,2090000,0,0,0,0,1466000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PHL",17604000,3320000,6416000,3000,28000,28000,1994000,18203000,4989000,6572000,19000,0,121595000,6111000,10655000,2351000,42537000,23887000,637000,25976000,0,13352000,413000,1926000,388000,9000,45000,533000,9358000,8000,818848000,35000,39172000,2018000,134000,78000,7000,9586000,20000,3000,8651000,62000,40541000,4624000,1751000,217000,11000,0,0,2e+05,0,0,371000,15438000,7877000,14258000,90000,4895000,649000,23000,670871000,93000,470000,5318000,17000,231000,78000,0,24000,1000,0,21000,0,8000,0,16000,452000,0,0,0,127000,122000,1000,0,449000,0,103000,24000,38000,30000,1000,0,171000,0,47000,1818000,0,0,5000,27000,0,15000,36000,51000,0,523000,2000,236000,0,84000,0,31000,0,9000,3000,188000,110000,489000,0,0,77000,0,27000,209000,0,1000,1000,1000,0,0,0,11824000,1000,0,594000,0,0,137000,0,149000,0,2000,0,11000,0,0,0,0,4000,39000,362000,0,0,0
"POL",7191000,87629000,80035000,0,1501000,6000,26407000,29627000,28811000,0,709000,0,461897000,70887000,59644000,66057000,166791000,231830000,33511000,4652000,0,3017000,50694000,24101000,14684000,16535000,4140000,0,271196000,1443000,48964000,0,0,3168000,8075000,16220000,0,450000,435000,5000,2707000,19121000,75514000,62440000,862000,25508000,687000,123000,0,22612000,20000,0,0,3861000,0,107201000,0,4734000,5516000,8183000,0,2380000,128170000,0,161000,13753000,769000,1220000,4610000,283000,0,0,0,3319000,0,0,10692000,65000,0,22000,1170000,1250000,0,0,111000,0,23455000,573000,446000,464000,13000,0,0,0,158000,0,0,0,0,55000,24000,2044000,1080000,0,0,0,848000,20000,0,86000,584000,171000,19000,9000,0,0,4176000,2532000,0,0,23000,48000,88000,13000,0,4455000,3277000,211000,515000,5676000,0,0,97000,31000,0,0,0,0,0,0,0,0,0,0,0,0,231000,1940000,0,0,0,0,0,0
