"","AUS","AUT","BEL","BGR","BHR","BMU","BRA","CAN","CHE","CHN","COG","CSK","DEU","DNK","ESP","FIN","FRA","GBR","GRC","HKG","HUN","IDN","IND","IRL","IRN","IRQ","ISL","ISR","ITA","JOR","JPN","KNA","KOR","KWT","LBN","LBY","LKA","MEX","MMR","MWI","MYS","NGA","NLD","NOR","NZL","PAK","PER","PHL","POL","PRT","PRY","ROU","SAU","SGP","SUN","SWE","SYR","THA","TUN","TUR","USA","VEN","YUG","ZAF","ZMB","ARG","CIV","COD","COL","CRI","CUB","DOM","GAB","GHA","GNB","MAC","MAR","MDG","MOZ","MUS","PAN","SEN","SLV","SUR","TTO","YMD","EGY","ETH","MLT","HND","AGO","ALB","ARE","BDI","BFA","BGD","BHS","BLZ","BOL","BRB","CAF","CHL","CMR","CYP","DDR","DZA","ECU","FJI","GIB","GLP","GMB","GTM","GUF","GUY","HTI","JAM","KEN","LBR","MLI","MRT","NCL","NER","NIC","PNG","PRK","SDN","SLE","SOM","TGO","TZA","URY","VNM","AFG","BEN","DJI","FLK","GIN","KHM","KIR","LAO","MNG","NPL","OMN","QAT","RWA","SYC","TCD","UGA","WSM","ZWE","GNQ","SPM","GRL","SHN"
"CSK",15662000,113814000,40390000,0,523000,20000,19270000,42795000,56160000,0,118000,0,370675000,35731000,19314000,21074000,80563000,93686000,26210000,5619000,0,1241000,34182000,9730000,22242000,49629000,3066000,1321000,132400000,4022000,27749000,0,0,7310000,27099000,8674000,0,5351000,7678000,450000,3094000,12269000,62701000,24641000,3536000,7193000,2331000,83000,0,2359000,232000,0,0,5595000,0,47560000,0,3552000,2800000,11045000,0,7182000,198463000,0,1382000,1731000,769000,2276000,2751000,1033000,0,0,0,3163000,0,17000,5251000,76000,0,159000,472000,416000,97000,0,518000,0,30119000,4158000,1293000,945000,142000,0,0,0,45000,0,0,0,0,1e+05,32000,1797000,422000,0,0,0,1438000,155000,0,11000,195000,1189000,0,253000,0,0,3022000,948000,0,0,85000,53000,347000,124000,0,4789000,2380000,174000,395000,1213000,0,0,717000,102000,0,0,0,0,0,65000,0,0,0,0,0,0,34000,171000,2000,0,0,0,0,0
"DEU",497966000,3010622000,5522394000,155230000,12931000,2509000,904123000,612466000,3529588000,300102000,9066000,549570000,0,1598283000,1316162000,729659000,8603618000,3348729000,696111000,218254000,386546000,189173000,253397000,234085000,717759000,56915000,37978000,511915000,5689734000,27082000,1132619000,2300000,131979000,84547000,148823000,188057000,14642000,280498000,11121000,4741000,135661000,277412000,6600185000,885215000,98364000,83753000,124206000,83295000,988040000,443548000,13300000,439755000,125080000,203255000,1163395000,2175887000,76817000,159361000,54840000,417609000,5632182000,323919000,1060392000,899719000,34639000,239505000,56906000,104632000,103268000,31195000,32483000,25286000,15881000,55067000,1840000,6e+05,91158000,15701000,72909000,8668000,11566000,17313000,28218000,6680000,11325000,4871000,117346000,24758000,20810000,10991000,70518000,1897000,27002000,3027000,4050000,65357000,19848000,751000,16672000,4949000,3641000,115726000,33189000,42699000,0,309147000,47565000,2521000,891000,13497000,1446000,40384000,1117000,5365000,5731000,20811000,57839000,24179000,4477000,5742000,8042000,6816000,24164000,4379000,36432000,31500000,14248000,5836000,10547000,38030000,22686000,9305000,8484000,8281000,1002000,32000,1508000,492000,832000,930000,861000,3837000,7566000,8980000,2068000,3e+05,2055000,12396000,612000,2204000,687000,112000,145000,7000
"DNK",28202000,78783000,93489000,3839000,3310000,2330000,31960000,57033000,150115000,3806000,214000,20872000,826170000,0,66842000,131934000,216079000,1179039000,21812000,20715000,23736000,4619000,4120000,28634000,18985000,6008000,32822000,12285000,308776000,2663000,77306000,2477000,3029000,10143000,8600000,6741000,6500000,6315000,660000,848000,6566000,20579000,177696000,397535000,5994000,2104000,2971000,8009000,60443000,25330000,168000,13732000,11454000,15090000,34449000,812476000,3519000,7978000,2796000,6262000,447503000,12099000,24695000,23787000,2556000,3170000,1103000,9238000,4961000,1210000,3599000,1177000,256000,5816000,314000,134000,4707000,109000,947000,1275000,2743000,2010000,968000,858000,2711000,1163000,5962000,2276000,2419000,986000,4166000,4e+05,5573000,293000,104000,6111000,1660000,752000,1452000,1445000,193000,7322000,755000,7622000,31509000,15120000,1388000,292000,1253000,1063000,337000,1138000,44000,664000,849000,1182000,4667000,2838000,99000,206000,2091000,177000,589000,258000,93000,2346000,2201000,118000,721000,3234000,383000,772000,226000,378000,439000,11000,522000,175000,171000,43000,32000,115000,936000,2339000,169000,222000,292000,1121000,42000,56000,17000,34000,0,46000
"ESP",35734000,41537000,158493000,10393000,423000,393000,86795000,61584000,136926000,6354000,1883000,11106000,784589000,65371000,0,30910000,811084000,568099000,41584000,4689000,9113000,554000,3093000,21783000,30817000,20205000,6972000,15558000,279389000,2803000,85194000,0,2010000,6820000,20657000,45091000,76000,60266000,32000,565000,1648000,13110000,247171000,37343000,3768000,865000,13801000,2648000,35313000,166848000,1031000,17449000,5181000,5003000,17157000,89245000,8061000,2981000,12461000,10735000,714319000,43228000,38529000,26629000,1051000,21916000,3846000,9060000,44573000,3640000,38667000,8616000,0,2127000,0,5000,54974000,245000,3818000,139000,11718000,1117000,2832000,0,1041000,66000,8790000,825000,2623000,2064000,8518000,72000,1618000,189000,105000,3264000,0,0,1880000,498000,327000,25792000,3130000,6852000,14584000,103066000,5844000,69000,0,884000,1e+05,4254000,26000,936000,937000,5948000,1259000,1777000,124000,3259000,326000,369000,2754000,53000,1000,743000,2280000,48000,3388000,1232000,2610000,526000,8000,935000,214000,0,2197000,4000,0,2000,0,0,0,123000,0,0,428000,55000,3000,0,14729000,23000,0,0
"FIN",37996000,46487000,72139000,5687000,152000,39000,31512000,20737000,74550000,10317000,7000,14123000,430635000,229454000,50990000,0,183592000,809375000,22789000,5727000,11966000,3099000,2736000,36029000,27681000,1467000,9508000,24289000,79802000,797000,34613000,413000,422000,613000,12222000,4638000,64000,9689000,160000,617000,1837000,5425000,152572000,178622000,1910000,1775000,6478000,1521000,30500000,14576000,87000,7144000,2651000,13337000,437254000,605273000,3388000,3999000,1972000,4282000,165498000,3990000,5092000,17716000,1032000,21852000,1354000,527000,5342000,567000,2495000,437000,68000,728000,0,2000,6053000,1000,608000,167000,296000,1152000,586000,142000,433000,15000,6241000,136000,572000,83000,347000,9000,70000,13000,6000,70000,0,12000,236000,196000,49000,2451000,589000,2124000,23429000,5926000,651000,5000,49000,31000,16000,199000,0,253000,273000,644000,3321000,397000,0,8000,26000,40000,713000,161000,59000,810000,151000,37000,124000,765000,533000,3828000,42000,22000,20000,0,87000,8000,0,3000,19000,0,63000,52000,7000,4000,6000,86000,0,0,0,1000,0,0
"FRA",98372000,272053000,4136297000,39615000,6032000,3076000,241301000,326753000,1624729000,89917000,69614000,79287000,7103394000,307294000,985826000,135661000,2073000,2364089000,262684000,83912000,96068000,40701000,78496000,128471000,176112000,75322000,5206000,129715000,4166616000,7728000,537564000,4981000,46904000,27625000,130910000,147223000,35212000,100189000,2662000,1820000,41817000,131748000,1853768000,309843000,18789000,11367000,19299000,22315000,266607000,213310000,1355000,169374000,54330000,65946000,573852000,435608000,60625000,40267000,222658000,131537000,1697987000,80032000,215211000,241632000,9480000,67829000,311481000,68579000,50731000,8039000,28343000,6103000,109221000,24879000,3024000,849000,349128000,99300000,41857000,11893000,6154000,167110000,3437000,4539000,8184000,2367000,77612000,9429000,15302000,3311000,36494000,2803000,32946000,3656000,42372000,14236000,4632000,659000,1632000,1649000,29564000,36380000,158694000,32666000,81733000,752980000,10742000,1669000,2026000,325712000,1359000,6462000,37823000,1992000,6825000,8055000,18746000,7282000,42913000,41951000,123771000,37459000,4660000,679000,61923000,17676000,12323000,4480000,37976000,14288000,6420000,79948000,1623000,40394000,18396000,0,20401000,8192000,4557000,5371000,74000,1698000,8426000,8096000,1981000,526000,34948000,3932000,84000,473000,920000,5251000,27000,3000
"GBR",1114366000,368078000,1434160000,30267000,60470000,24626000,268172000,1005379000,711397000,191072000,1947000,65463000,1905092000,857159000,580817000,426698000,1734651000,0,195845000,333048000,63351000,98400000,322030000,1416947000,342479000,77608000,35393000,483464000,954417000,27369000,759432000,38567000,68926000,106512000,91794000,124154000,23815000,90596000,10620000,35188000,249221000,500407000,1197771000,636839000,459376000,72376000,36275000,77031000,261004000,349719000,9136000,79732000,141346000,280651000,230212000,1313820000,28100000,133430000,17002000,219696000,3616095000,89847000,174663000,893556000,114586000,104417000,11552000,41787000,43934000,15084000,42840000,11143000,6934000,73699000,7614000,1264000,37059000,3230000,47608000,35651000,10380000,4444000,9373000,6861000,89140000,10501000,34466000,19934000,66081000,6485000,41540000,82000,113800000,764000,987000,40162000,18814000,8889000,4916000,41235000,1981000,64062000,9596000,95635000,32801000,91258000,21856000,29454000,19294000,3661000,8954000,14812000,664000,44490000,3502000,103328000,145835000,18431000,1052000,2102000,3279000,3268000,7307000,11734000,2095000,80255000,34939000,5189000,7071000,70328000,10676000,3969000,6554000,6110000,4902000,789000,1882000,498000,3709000,309000,79000,955000,47979000,44943000,696000,6940000,1155000,27995000,813000,1548000,158000,201000,658000,2082000
"GRC",5701000,18460000,49186000,13841000,55000,38000,6931000,23382000,16351000,2184000,3000,17679000,468732000,6675000,28609000,4890000,111234000,109927000,0,228000,17904000,128000,25000,2505000,4006000,3110000,25000,4608000,145445000,812000,15964000,0,5843000,3055000,12087000,22836000,0,35000,0,7000,291000,2960000,68256000,3889000,273000,418000,36000,21000,24149000,8170000,4000,30230000,3709000,2927000,44489000,27718000,31210000,126000,14234000,6989000,93650000,242000,53372000,3261000,212000,3647000,141000,3552000,150000,0,0,12000,13000,2500000,0,0,1984000,13000,20000,8000,118000,73000,2000,50000,59000,9000,10531000,551000,2545000,5000,136000,2671000,0,208000,1000,0,0,0,9000,9000,130000,1000,70000,25484000,17712000,4483000,6000,7000,1000,13000,2000,1000,0,3000,5000,0,360000,41000,125000,6000,8000,0,4000,36000,0,769000,203000,13000,10000,5000,261000,31000,0,1000,31000,0,0,0,0,1000,0,0,206000,80000,0,0,34000,38000,0,0,0,0,0,0
"HKG",155387000,24738000,46443000,26000,7058000,1287000,10508000,109866000,64473000,9467000,293000,153000,432499000,35254000,18907000,8455000,41768000,640568000,4698000,0,594000,52242000,1927000,8505000,9993000,16000,1237000,3154000,38132000,904000,276498000,775000,29387000,16522000,6028000,23179000,1046000,4307000,445000,1653000,46142000,22720000,76323000,23560000,40819000,3123000,1887000,17634000,206000,3352000,136000,48000,13609000,143426000,1134000,72875000,1201000,28886000,110000,606000,1326066000,9773000,650000,33684000,8021000,975000,1721000,6328000,333000,765000,336000,1293000,111000,3138000,39000,96070000,2912000,692000,1616000,4350000,4514000,753000,644000,0,2925000,2097000,98000,1379000,1502000,755000,687000,0,18949000,0,149000,3192000,180000,773000,386000,1006000,331000,1060000,2085000,1419000,4614000,1067000,926000,4807000,415000,230000,567000,956000,58000,1522000,614000,2768000,8434000,2004000,186000,8000,2340000,16000,626000,6753000,221000,2015000,3087000,545000,425000,5234000,60000,2935000,1346000,773000,1244000,0,2000,1164000,505000,2692000,0,335000,354000,1714000,457000,353000,13000,1201000,411000,0,4000,0,0,0
"HUN",4561000,131735000,16754000,0,138000,74000,11669000,13272000,49393000,0,77000,0,316490000,23653000,8751000,19205000,68982000,41031000,11938000,1542000,0,543000,14648000,1717000,20451000,7977000,172000,6115000,270686000,2459000,14744000,0,0,8374000,11588000,8926000,0,581000,916000,19000,356000,1743000,48697000,11261000,519000,2302000,10147000,39000,0,396000,73000,0,0,1260000,0,35211000,0,740000,1407000,4439000,0,455000,85178000,0,189000,1584000,846000,713000,447000,163000,0,0,0,302000,0,0,2818000,55000,0,176000,84000,91000,6000,0,150000,0,14417000,1102000,871000,335000,2000,0,0,0,19000,0,0,0,0,93000,19000,302000,91000,0,0,0,1772000,119000,0,76000,587000,76000,4000,42000,0,0,1476000,332000,0,0,3000,79000,111000,40000,0,3066000,1440000,37000,179000,781000,0,0,4000,228000,0,0,0,0,0,0,0,0,0,0,0,0,33000,22000,0,0,0,0,0,0
