"","AUT","BEL","BGD","BRA","CAN","CHE","CIV","CSK","CYP","DEU","DNK","ESP","FIN","FRA","GBR","GRC","GUF","HKG","IDN","IRL","ISL","ITA","JPN","LKA","MLT","NCL","NLD","NOR","NZL","PAK","POL","PRT","SGP","SWE","THA","TUR","USA","YUG","DZA","GLP","HUN","TTO","URY","HND","COL","OMN","SYC","BMU","ISR","PAN","GRL","AFG","AGO","ALB","ARE","ARG","AUS","BDI","BEN","BFA","BGR","BHR","BHS","BLZ","BOL","BRB","CAF","CHL","CHN","CMR","COD","COG","CRI","CUB","DDR","DJI","DOM","ECU","EGY","ETH","FJI","FLK","GAB","GHA","GIB","GIN","GMB","GNB","GNQ","GTM","GUY","HTI","IND","IRN","IRQ","JAM","JOR","KEN","KHM","KIR","KNA","KOR","KWT","LAO","LBN","LBR","LBY","MAC","MAR","MDG","MEX","MLI","MMR","MNG","MOZ","MRT","MUS","MWI","MYS","NER","NGA","NIC","NPL","PER","PHL","PNG","PRK","PRY","QAT","ROU","RWA","SAU","SDN","SEN","SLE","SLV","SOM","SUN","SUR","SYR","TCD","TGO","TUN","TZA","UGA","VEN","VNM","WSM","YMD","ZAF","ZMB","ZWE","SHN","SPM"
"PAK",8143000,26718000,44203000,4018000,15031000,24665000,67629000,8585000,1049000,141588000,22701000,23854000,5504000,70795000,121526000,1209000,3000,112108000,38266000,5159000,111000,96969000,263033000,13590000,273000,44000,36476000,9602000,3712000,0,6528000,5262000,57142000,18266000,9457000,11382000,180458000,153000,1801000,76000,11015000,65000,3000,78000,186000,3427000,1204000,44000,0,37000,6000,15547000,0,0,286731000,614000,22542000,85000,0,231000,18395000,16295000,0,0,2000,0,5000,173000,145078000,45741000,4108000,266000,0,0,849000,1562000,23000,94000,779000,367000,112000,0,0,2000,0,0,8000,13000,0,33000,0,11000,28529000,490342000,9296000,0,2252000,5871000,0,0,0,19511000,54201000,28000,2564000,7707000,2237000,0,77000,0,85000,0,253000,0,0,2287000,2417000,227000,17460000,1000,902000,0,25000,49000,1677000,0,1155000,14000,18452000,10073000,0,263923000,3995000,4306000,4000,21000,3292000,66570000,0,1082000,0,7756000,147000,185000,2094000,115000,0,16000,20241000,3817000,640000,520000,0,0
"POL",198055000,100873000,12003000,132269000,32058000,35810000,2191000,70242000,2050000,993323000,58166000,93340000,162592000,316364000,236436000,18963000,21000,1960000,13466000,59948000,1953000,301537000,57499000,310000,4700000,25000,157482000,46499000,1138000,8395000,0,4812000,11988000,165676000,10213000,181942000,206924000,317034000,33095000,133000,52105000,324000,467000,52000,74819000,0,8000,18000,15000,788000,0,43000,0,10209000,383000,11312000,3311000,0,0,0,59205000,0,0,0,0,0,0,0,58430000,83000,0,0,0,9743000,152908000,0,0,474000,12544000,1737000,0,0,0,0,37000,0,251000,0,0,0,0,0,15936000,34764000,1050000,0,3764000,0,558000,0,0,5547000,1918000,199000,12191000,73000,23898000,0,31956000,0,34000,0,0,1238000,0,0,0,0,14897000,67000,3286000,0,754000,0,1320000,0,0,112000,148000,214084000,0,5716000,180000,258000,0,0,0,1081704000,0,2526000,0,0,5058000,0,0,0,6421000,0,0,0,0,0,0,0
"PRT",63543000,183491000,99000,13195000,47331000,87418000,1965000,92000,4691000,657664000,78889000,172133000,77990000,667391000,718422000,11833000,73000,5685000,1097000,32977000,19420000,199405000,56849000,4854000,1563000,301000,240288000,87413000,3309000,2441000,138000,0,15624000,176730000,3482000,5199000,305439000,8609000,44694000,1964000,3423000,1522000,208000,936000,348000,129000,90000,218000,13910000,1503000,69000,0,100052000,374000,1073000,1846000,18330000,31000,1188000,509000,4816000,256000,106000,25000,177000,129000,308000,1792000,16847000,1590000,3592000,1323000,210000,3870000,2935000,1000,374000,2803000,27764000,101000,46000,1000,247000,250000,337000,326000,360000,41575000,196000,613000,23000,170000,8760000,5732000,64474000,510000,2498000,342000,0,11000,327000,4712000,1617000,0,5384000,14696000,1815000,2296000,27157000,63000,850000,8000,515000,0,63453000,0,138000,198000,1471000,90000,21077000,262000,0,968000,882000,23000,0,1440000,1985000,10142000,62000,15136000,2250000,8953000,50000,962000,793000,50367000,61000,1537000,1000,382000,10557000,407000,41000,5409000,0,4000,58000,30085000,69000,1284000,0,4000
"SGP",20843000,54070000,192096000,48577000,136665000,40659000,1617000,1900000,3646000,433861000,19315000,27306000,11244000,240688000,442166000,4342000,250000,1434405000,3464476000,34607000,337000,178925000,1453137000,148947000,2958000,3262000,143238000,24685000,218315000,62922000,180000,8373000,0,108005000,632958000,33423000,2937085000,1073000,11370000,1750000,5921000,4501000,771000,64000,11868000,40798000,7401000,0,16634000,554000,31000,31226000,0,0,201920000,35891000,651330000,0,0,0,15760000,36778000,0,0,0,0,0,8729000,212790000,0,0,0,0,2683000,6713000,0,772000,2486000,95828000,37079000,73579000,0,0,470000,0,0,0,0,0,0,0,0,436770000,388647000,14194000,0,11829000,51959000,35354000,0,0,456269000,67182000,11296000,9802000,278759000,3983000,1196000,5211000,1558000,12396000,0,54421000,36000,12678000,0,11808000,0,3841608000,0,82370000,0,9371000,4326000,420850000,135262000,15192000,162000,18230000,4480000,0,461079000,27002000,0,0,0,0,179524000,0,7362000,0,0,1400000,5445000,41000,11587000,44947000,310000,16397000,0,1819000,0,0,46000
"SWE",341348000,1023951000,17737000,122817000,337387000,484207000,8577000,20834000,14776000,3250055000,2148195000,338024000,1434311000,1583441000,3080096000,95842000,566000,67829000,106731000,139914000,67969000,862892000,451561000,31795000,5493000,492000,1132979000,2528286000,43621000,35366000,46025000,122501000,114161000,0,89826000,146313000,2531559000,136462000,124665000,2215000,32000,9145000,4176000,2284000,72308000,13117000,650000,232000,116820000,9166000,6688000,306000,18182000,3466000,69727000,52025000,267036000,732000,835000,852000,46651000,7593000,312000,96000,2489000,442000,64000,24261000,114556000,6044000,6144000,244000,2756000,17033000,62697000,623000,2816000,14336000,188584000,10596000,422000,19689000,2420000,3058000,3459000,1065000,1053000,5268000,2000,2307000,80000,1285000,86884000,421810000,134297000,3092000,25478000,27884000,149000,170000,407000,119545000,65364000,1091000,21965000,9971000,75857000,7859000,50224000,1385000,70046000,357000,7750000,68000,17662000,1442000,342000,1742000,107254000,136000,70591000,5084000,2335000,35063000,39058000,718000,17528000,727000,15327000,16917000,407000,681561000,20041000,2071000,736000,7927000,1842000,290747000,475000,35795000,88000,446000,30584000,21439000,1456000,52927000,11540000,89000,7432000,141381000,9096000,9150000,11000,0
"THA",13577000,86133000,19370000,26681000,49124000,56633000,12710000,3175000,1541000,530965000,30574000,20042000,11153000,189684000,132240000,3371000,53000,322410000,208703000,13149000,267000,118669000,1018659000,18733000,348000,343000,440082000,8428000,17114000,1.7e+07,203000,4276000,505489000,29597000,0,570000,1016878000,917000,5067000,261000,650000,531000,0,49000,5000,6387000,89000,111000,12705000,138000,1000,2630000,168000,3000,69470000,202000,92346000,26000,3166000,3000,73000,10211000,115000,0,0,178000,363000,228000,106710000,18319000,5225000,980000,63000,8532000,10000,3615000,4000,0,21481000,77000,1905000,0,1731000,3047000,41000,0,16000,9754000,0,48000,0,1419000,67246000,103161000,8045000,2095000,25202000,2257000,212000,10000,53000,91155000,57349000,31916000,3394000,3450000,622000,0,13174000,22569000,353000,6000,5612000,46000,15518000,2594000,2012000,16000,275117000,3201000,126390000,0,2692000,54000,67466000,298000,801000,0,2250000,16473000,81000,183144000,2257000,48227000,41000,15000,4314000,65415000,80000,12845000,4000,1199000,3735000,5146000,58000,50000,842000,58000,10067000,2782000,3000,20000,0,0
"TUR",57553000,108866000,11207000,4453000,10392000,56425000,233000,972000,10000,711375000,18168000,75774000,8016000,236393000,280250000,28399000,70000,1234000,11979000,7625000,156000,416794000,53660000,6556000,2469000,76000,108808000,6440000,437000,21729000,17754000,54146000,4787000,43688000,2427000,0,316217000,21449000,158041000,1276000,12153000,2730000,156000,37000,1588000,229000,69000,2000,13594000,2000,2000,198000,0,584000,36222000,120000,4803000,0,0,0,33782000,2664000,0,0,0,0,0,746000,27655000,20000,214000,0,9000,304000,1822000,0,34000,0,120117000,1450000,1646000,0,0,60000,124000,0,0,0,0,0,0,0,18440000,1778519000,468463000,0,177168000,291000,4000,0,0,75000,144061000,0,205612000,19000,336385000,0,3160000,2000,1418000,0,20000,0,6000,0,0,0,1627000,0,6266000,41000,0,567000,37000,0,13257000,75000,12504000,85481000,0,596031000,7745000,0,0,53000,922000,163326000,0,99752000,0,0,58687000,76000,811000,1229000,0,0,1242000,3859000,0,0,0,0
"USA",650635000,3522355000,197759000,2514482000,43285199000,2388406000,72166000,7926000,73996000,10051232000,823629000,3461272000,730797000,8052218000,10648614000,348222000,20778000,2629260000,2533682000,1347875000,64234000,4751250000,24741890000,114884000,83057000,30922000,5402157000,1219881000,828118000,506674000,84561000,1162853000,4261579000,2185979000,1295071000,1033225000,0,776409000,624968000,45302000,1083000,1108666000,59335000,292912000,1762470000,182219000,2788000,212443000,1643527000,455373000,13395000,4176000,86283000,4051000,818259000,926742000,3868024000,2847000,11326000,12938000,63082000,126522000,436294000,26321000,95030000,182060000,914000,713945000,2157404000,88065000,65828000,14741000,370740000,552000,137685000,5330000,614913000,557703000,2088541000,38471000,15137000,114000,59138000,111639000,26917000,14709000,4749000,15943000,579000,301939000,29782000,346532000,1806584000,187468000,507036000,513069000,242007000,60923000,2372000,1668000,148795000,5680442000,686740000,0,244372000,101152000,186458000,0,345784000,20965000,8751618000,8463000,12981000,0,17997000,26417000,6561000,2404000,1662022000,1818000,849448000,122282000,5813000,878962000,1767453000,78424000,0,28298000,94192000,183191000,4905000,6540662000,148964000,35136000,9578000,329902000,42145000,1998680000,106683000,106055000,3231000,15904000,193955000,30099000,3065000,2662219000,20662000,3252000,6067000,2127522000,32087000,56803000,0,0
"YUG",193751000,56283000,1912000,382000,23532000,95159000,2117000,95382000,4356000,1713723000,38453000,47200000,16538000,322338000,126592000,72410000,29000,2125000,10457000,8611000,337000,1004751000,30172000,1710000,11877000,44000,120570000,18040000,9718000,19126000,89496000,2594000,3360000,76986000,3867000,40416000,399544000,0,177648000,148000,10000,253000,2000,14000,9089000,1357000,31000,14000,34965000,25000,0,716000,5416000,37753000,9880000,1736000,14980000,288000,42000,31000,117913000,444000,42000,0,293000,79000,2000,64000,36298000,340000,15836000,172000,119000,12811000,379623000,452000,166000,1549000,202136000,18175000,7000,0,2149000,2387000,38000,732000,0,5000,3000,150000,172000,79000,18408000,275206000,444839000,145000,30583000,2531000,0,1000,7000,32000,19043000,0,18755000,209209000,225179000,0,11693000,6000,3015000,853000,4746000,4611000,1031000,41000,13000,25000,20429000,0,29854000,1337000,372000,16191000,823000,211000,5172000,18000,9473000,110090000,280000,64812000,3768000,45000,30000,62000,129000,2699108000,26000,11351000,47000,1187000,14001000,4306000,205000,586000,94000,0,1749000,1308000,2456000,0,0,0
"DZA",182589000,107388000,0,153987000,121781000,249552000,44979000,4148000,7635000,1243866000,742000,904171000,3169000,3089926000,238528000,66509000,4000,0,3108000,66000,0,1352544000,344576000,0,0,15000,794566000,249000,0,498000,2369000,95866000,106000,69551000,3000,130634000,3814073000,82261000,0,24581000,43000,0,0,0,0,0,0,0,0,657000,0,0,1042000,906000,0,0,0,0,4141000,0,2074000,0,140000,0,0,0,0,0,2052000,0,0,0,0,883000,4506000,0,0,0,142000,670000,0,0,0,17544000,0,0,4248000,0,0,0,0,0,0,7099000,0,0,1175000,0,0,0,0,0,9000,0,1168000,423000,341000,0,290000,0,0,25000,0,0,12055000,22549000,0,0,0,1117000,0,0,0,13000,0,0,0,0,0,0,0,36000,0,19467000,0,0,0,16361000,0,23000,2000,0,10268000,0,0,0,0,0,49573000,0,44663000,0,0,0
"GLP",15000,58000,0,0,64000,71000,0,0,0,12466000,19000,38000,43000,163607000,944000,2000,4478000,0,0,12000,1000,107000,11000,0,0,23000,36000,17000,0,6000,0,3320000,0,78000,0,52000,22279000,0,0,76577000,0,322000,0,36000,57000,0,0,0,0,19000,0,0,0,0,0,8000,0,0,0,0,0,0,1000,0,0,110000,0,0,0,1000,0,0,6000,0,0,0,11000,0,0,0,0,0,0,0,0,36000,0,0,0,0,2097000,950000,0,0,0,0,0,0,0,0,4320000,0,0,0,0,0,0,0,0,0,71000,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,2000,0,1000,0,0,0,0,441000,0,0,0,0,0,0,210000,0,0,0,0,0,0,0,0
"HUN",329781000,39093000,12186000,0,22704000,109188000,747000,114133000,6199000,748831000,38561000,23179000,45928000,162967000,73422000,36723000,30000,2376000,4436000,3042000,456000,306739000,33898000,605000,1258000,28000,88160000,14170000,823000,11252000,106805000,1681000,5824000,62309000,9988000,50147000,166028000,296787000,83007000,91000,0,282000,10321000,154000,1061000,15000,0,509000,10376000,937000,1000,0,134000,0,130000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,38690000,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,620000,0,14560000,0,90000,0,0,0,0,0,6439000,0,1000,0,26049000,0,0,0,1000,0,0,0,102000,0,0,0,0,0,261000,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,965000,0,21000,0,0,1209000,0,0,1000,0,0,0,0,0,0,0,0
"TTO",718000,28681000,1000,1469000,7325000,1149000,2133000,0,17000,10753000,19434000,12996000,23000,23079000,64323000,5219000,42827000,99000,1000,468000,2000,91211000,6791000,13000,1000,20045000,23942000,34000,68000,10000,0,2123000,297000,5514000,5000,4926000,1355752000,0,6049000,21024000,0,0,1273000,36148000,477000,0,0,14000,14000,3476000,0,0,0,0,20000,196000,254000,0,0,0,0,1000,12700000,428000,3000,61552000,0,1576000,4000,0,0,0,1413000,136000,0,0,1375000,1211000,14000,0,0,0,985000,0,5235000,20812000,412000,0,0,1104000,66684000,15844000,97000,1000,0,40390000,2594000,6000,0,0,65164000,5000,0,0,3000,61000,0,0,2884000,15000,1000,0,0,0,0,0,0,626000,12000,0,15900000,0,0,6248000,2000,0,5000,0,0,0,0,26000,0,1121000,0,0,0,0,71070000,0,0,9818000,2800000,0,4000,2100000,0,0,0,2000,0,11000,0,0
"URY",9633000,11311000,0,112106000,9912000,13445000,30000,7649000,469000,83038000,997000,10558000,6066000,29994000,50545000,3249000,139000,7728000,185000,175000,113000,27874000,25362000,0,332000,7000,22466000,901000,101000,0,2259000,5221000,438000,1510000,0,9315000,388490000,3366000,60000,25000,3764000,256000,0,36000,4432000,0,0,7000,20478000,158000,0,0,385000,0,789000,89624000,372000,0,0,0,430000,0,139000,0,1587000,88000,0,9579000,12165000,609000,1129000,482000,19000,0,2673000,0,19000,786000,83307000,0,0,0,186000,2205000,0,0,0,0,0,4000,0,0,123000,121591000,11119000,1730000,252000,0,0,0,0,4243000,2568000,0,128000,0,187000,0,529000,0,3332000,0,0,0,46000,0,0,0,211000,0,10834000,20000,0,4397000,188000,0,0,8170000,1702000,50000,0,24363000,0,0,0,4000,0,59984000,0,0,0,0,0,0,0,2415000,0,0,0,5329000,0,22000,0,0
"HND",9428000,9932000,0,92000,29177000,16275000,3000,2872000,37000,44701000,2962000,14357000,3721000,12484000,10736000,110000,0,129000,0,26000,408000,19380000,45002000,0,26000,0,11769000,3857000,0,10000,4312000,236000,0,10703000,125000,410000,417651000,2069000,0,5632000,1949000,27920000,0,0,1400000,222000,0,2000,786000,1822000,0,0,0,1665000,1536000,0,0,0,0,0,0,0,0,590000,0,1861000,0,7000,0,0,0,0,9508000,0,296000,0,336000,0,1023000,0,0,0,0,0,0,5000,0,0,0,28168000,0,10000,5000,0,0,113000,5047000,0,0,60000,1307000,0,405000,0,1204000,0,0,0,1109000,0,70000,0,0,0,0,0,0,0,74000,0,0,9658000,0,32000,0,0,0,0,18000,0,0,8078000,485000,151000,0,13803000,0,0,1625000,531000,0,0,0,0,0,121000,1000,0,0,303000,0,0,0,10000
"COL",26717000,52866000,7000,5364000,76466000,40391000,189000,12759000,0,586186000,26016000,90385000,56337000,100501000,85578000,45000,46000,614000,1000,5827000,481000,176989000,148989000,0,0,2000,135615000,28226000,160000,21000,1427000,3385000,1272000,86518000,906000,1224000,1051641000,201000,9416000,1032000,17636000,19710000,394000,5361000,0,0,0,92000,182000,8442000,0,0,0,0,71000,42970000,3877000,0,1000,0,4466000,10000,410000,24000,1584000,756000,6000,11120000,0,20000,91000,0,4985000,1619000,30792000,0,5081000,42513000,5000,0,0,0,0,43000,41000,0,0,0,0,3717000,403000,752000,2193000,0,30000,1625000,3000,92000,0,0,880000,14802000,486000,0,726000,531000,0,1000,4893000,0,20761000,0,0,0,1000,0,0,0,11000,0,21000,4879000,9000,19568000,2715000,15000,0,205000,0,20942000,0,2476000,86000,285000,0,7541000,4000,21271000,2912000,0,0,0,1708000,0,0,117563000,0,0,0,436000,0,20000,0,0
"OMN",1000,62025000,78000,21000,27000,26000,10000,0,80000,53349000,13994000,68042000,2000,205229000,131298000,28994000,0,212000,8000,48000,0,31223000,2012164000,3000,0,0,113655000,24000,13000,18658000,0,1000,370293000,5000,318000,26000,373919000,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115511000,0,9973000,86000,0,0,0,1988000,0,0,0,0,0,0,31000,0,0,8000,0,0,0,0,0,0,977000,0,0,0,0,0,0,0,0,0,0,0,0,0,1946000,16315000,3089000,0,2267000,90000,0,0,0,4034000,6296000,0,133000,0,0,0,3000,0,0,0,0,0,67000,0,0,0,103000,22000,0,0,0,0,21000,4000,0,0,6070000,0,21000,113159000,241000,0,0,0,158000,0,0,1000,0,0,11000,196000,8000,0,0,0,17000,0,7000,7000,0,0
"SYC",4000,57000,0,12000,26817000,1000,0,0,0,42000,2000,5000,0,323000,938000,0,0,27000,0,17000,0,27000,23592000,0,0,0,71000,0,1000,882000,0,11000,44000,0,0,0,4437000,0,137000,0,0,0,0,0,71000,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49000,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29000,0,0,0,0
"BMU",37000,91000,0,0,15276000,1679000,4000,0,0,239000,3000,6000,7000,2623000,5625000,35000,0,1000,0,40000,143000,80000,89000,1510000,0,0,1578000,0,84000,397000,1369000,7000,0,8805000,9000,0,10687000,3000,0,0,0,91000,4000,94000,3361000,0,3000,0,247000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISR",40882000,298330000,0,10878000,45329000,102890000,1112000,12000,9439000,387387000,22541000,32025000,33658000,290966000,449388000,29334000,30000,135150000,1626000,20584000,619000,213189000,188133000,74000,3000,52000,176620000,23106000,7196000,0,721000,70751000,38763000,45327000,17851000,59041000,1289855000,31769000,0,192000,5921000,732000,464000,585000,5280000,0,0,84000,0,390000,1000,0,0,0,0,9841000,47367000,0,57000,4000,9982000,0,24000,0,348000,116000,10000,16004000,0,297000,1649000,47000,2749000,0,92000,0,681000,11239000,7350000,8362000,9000,0,635000,1721000,30000,269000,0,0,9000,2051000,0,320000,2276000,0,0,2674000,0,10529000,0,0,310000,15972000,0,0,0,5502000,0,0,0,0,2796000,72000,2784000,0,0,0,1838000,1704000,0,0,32264000,1313000,32000,3848000,4769000,0,0,6295000,0,12688000,0,0,0,89000,119000,61000,0,0,38000,0,0,118000,0,2852000,72000,5415000,0,0,0,82810000,1334000,0,0,0
"PAN",15881000,35072000,1679000,0,37768000,119692000,5000,0,9000,100817000,3370000,11068000,7125000,10244000,8100000,13352000,813000,10729000,445000,113000,984000,62829000,68016000,6000,0,8000,23614000,48451000,33000,6962000,0,82000,22039000,36923000,1440000,6060000,375260000,2436000,0,29000,0,24259000,3528000,37800000,80023000,0,0,217000,1384000,0,0,0,0,0,0,20000,73000,0,0,0,0,0,35000,34000,4000,31000,0,249000,0,0,0,0,15266000,867000,0,0,979000,527000,0,0,0,0,0,0,0,0,0,0,0,2239000,0,21000,0,0,0,108000,0,0,0,0,0,0,0,0,169000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,856000,0,4422000,0,0,0,0,0,0,0,3392000,0,0,0,4773000,0,313000,201000,0,0,0,0,0,0,1102000,0,0,0,0,0,0,0,0
"GRL",0,1336000,7000,0,1937000,1552000,0,0,0,20330000,105348000,1367000,11969000,29122000,4720000,9000,1000,0,0,1000,1000,693000,2904000,0,0,5000,4049000,6412000,0,12000,0,1270000,0,8429000,0,0,16023000,0,0,3000,0,1000,0,4000,0,0,0,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFG",2510000,3966000,0,0,170000,7967000,186000,125000,0,39481000,1705000,258000,7e+05,3801000,30044000,73000,1000,108000,1000,799000,12000,4981000,237000,0,13000,13000,1931000,635000,54000,23428000,199000,13000,152000,1188000,43000,12000,8095000,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AGO",570000,53494000,0,0,5000,6333000,0,0,0,830000,1172000,171807000,0,1032000,69266000,45000,1000,1000,0,1000,0,11852000,3616000,0,0,0,155675000,0,0,0,0,13821000,0,0,1000,0,948032000,5000,8338000,28000,0,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALB",6407000,3481000,0,0,7000,5386000,4000,30743000,2000,16007000,110000,8207000,5000,8182000,360000,18550000,0,0,54000,4000,0,28007000,5713000,1000,1268000,0,3626000,626000,2000,3000,7959000,0,4000,9475000,31000,814000,3801000,50053000,4202000,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARE",450000,140819000,1696000,0,1974000,24382000,22632000,0,64000,334333000,36000,732926000,2000,1272892000,453880000,608000,0,8104000,0,372000,0,437833000,7792794000,0,26000,0,162414000,60000,91000,314914000,0,160577000,671310000,54000,69484000,8000,540793000,0,0,0,0,2000,0,0,10000,390100000,739000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARG",10155000,210061000,12000,0,38277000,53867000,1433000,0,13045000,534616000,137712000,253120000,15233000,269201000,295000,9346000,57000,392000,23441000,9178000,247000,393549000,543718000,129000,7645000,133000,323272000,13611000,2513000,11915000,23573000,28123000,36916000,23543000,16802000,1519000,951348000,5521000,83412000,1161000,0,3660000,81940000,1247000,49908000,3415000,0,86000,66922000,2268000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUS",17383000,153663000,30843000,0,288430000,49574000,276000,0,1272000,522773000,6009000,89396000,37224000,519582000,816154000,29888000,20000,378287000,402280000,4941000,32848000,426945000,6641500000,22947000,2692000,32475000,161929000,98299000,1043070000,66477000,83332000,21946000,532692000,41447000,186054000,47471000,2367934000,48013000,3533000,107000,49000,29163000,5206000,6000,678000,40412000,1128000,62000,46198000,139000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDI",172000,12950000,0,0,0,16000,1000,0,0,43308000,224000,43000,12352000,2343000,1573000,0,0,0,0,15000,0,3982000,6424000,0,0,2000,1499000,0,0,3000,0,3012000,0,445000,0,0,2931000,888000,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEN",1000,1442000,0,0,11000,7515000,71000,0,0,7162000,472000,80000,0,11380000,4374000,0,0,37000,0,40000,0,793000,576000,0,0,10000,12180000,0,0,0,0,861000,0,0,0,0,28578000,0,0,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
