"","AUT","BEL","BGD","BRA","CAN","CHE","CIV","CSK","CYP","DEU","DNK","ESP","FIN","FRA","GBR","GRC","GUF","HKG","IDN","IRL","ISL","ITA","JPN","LKA","MLT","NCL","NLD","NOR","NZL","PAK","POL","PRT","SGP","SWE","THA","TUR","USA","YUG","DZA","GLP","HUN","TTO","URY","HND","COL","OMN","SYC","BMU","ISR","PAN","GRL","AFG","AGO","ALB","ARE","ARG","AUS","BDI","BEN","BFA","BGR","BHR","BHS","BLZ","BOL","BRB","CAF","CHL","CHN","CMR","COD","COG","CRI","CUB","DDR","DJI","DOM","ECU","EGY","ETH","FJI","FLK","GAB","GHA","GIB","GIN","GMB","GNB","GNQ","GTM","GUY","HTI","IND","IRN","IRQ","JAM","JOR","KEN","KHM","KIR","KNA","KOR","KWT","LAO","LBN","LBR","LBY","MAC","MAR","MDG","MEX","MLI","MMR","MNG","MOZ","MRT","MUS","MWI","MYS","NER","NGA","NIC","NPL","PER","PHL","PNG","PRK","PRY","QAT","ROU","RWA","SAU","SDN","SEN","SLE","SLV","SOM","SUN","SUR","SYR","TCD","TGO","TUN","TZA","UGA","VEN","VNM","WSM","YMD","ZAF","ZMB","ZWE","SHN","SPM"
"IRL",45751000,205177000,1340000,8006000,87028000,114813000,5200000,3242000,6408000,833258000,60906000,136995000,43276000,659508000,3450743000,25104000,165000,5346000,7999000,0,1687000,206993000,261617000,4842000,7889000,158000,429949000,46880000,11731000,13397000,2834000,29251000,19618000,111281000,8380000,6527000,570872000,11871000,57473000,467000,7351000,4950000,716000,2338000,4575000,2765000,172000,785000,12348000,2208000,40000,2336000,484000,0,14636000,5096000,98154000,46000,40000,0,1927000,4215000,4363000,98000,2990000,695000,4000,2253000,4372000,4151000,1678000,335000,2873000,26120000,3634000,450000,636000,1694000,109371000,2343000,71000,0,1097000,1702000,403000,683000,169000,38000,0,1927000,366000,617000,8478000,52942000,20698000,782000,7136000,1128000,0,56000,1306000,4333000,11061000,0,5165000,1181000,61404000,5000,6780000,378000,11979000,83000,68000,0,1000,163000,516000,105000,9990000,186000,83694000,1239000,5000,3351000,12617000,608000,0,13000,2757000,340000,16000,69055000,7584000,435000,266000,1600000,2072000,59841000,91000,11607000,0,476000,2624000,2690000,352000,10437000,0,0,1544000,40081000,1687000,331000,0,65000
"ISL",2141000,15795000,73000,1897000,2624000,43007000,240000,720000,60000,69900000,16714000,25695000,8441000,34572000,99075000,7910000,0,5000,41000,452000,0,32808000,21427000,23000,71000,10000,5302000,6498000,159000,271000,1469000,52475000,601000,10609000,1393000,1627000,233593000,826000,38000,6000,548000,2000,0,7000,235000,0,0,529000,864000,173000,307000,0,0,0,0,2000,585000,0,0,0,0,0,0,0,0,0,0,2000,0,690000,395000,0,0,0,207000,0,0,0,236000,5000,0,0,3000,94000,0,0,0,676000,0,23000,0,0,0,850000,19000,6000,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2132000,0,35742000,0,0,10000,2020000,3000,0,0,0,26000,0,347000,0,0,0,0,0,55701000,0,0,0,0,0,0,0,31000,0,0,0,72000,0,0,0,0
"ITA",1722258000,2032285000,10563000,225888000,647744000,2922422000,62142000,50633000,118458000,12144079000,570899000,1264547000,384736000,10462459000,4784632000,845731000,4732000,316703000,124704000,219909000,19773000,0,980473000,12322000,196152000,11330000,1911761000,462259000,89997000,183976000,92147000,426387000,362764000,792958000,138898000,758826000,5796399000,979590000,851686000,45416000,36000,25844000,18267000,12592000,98288000,48800000,8606000,2673000,471029000,23665000,270000,4488000,37644000,26887000,507148000,260484000,647057000,8041000,24721000,4399000,116153000,116405000,3628000,111000,2945000,3826000,1424000,46213000,265075000,78351000,35057000,15896000,15346000,29954000,85579000,11675000,13313000,136165000,900222000,105962000,1729000,975000,19861000,28454000,7616000,6924000,2891000,13794000,2132000,7554000,551000,7353000,265629000,898662000,785110000,4922000,197295000,38273000,164000,2108000,4117000,127410000,590172000,479000,482646000,64879000,2099311000,543000,214285000,16190000,277936000,8678000,28907000,551000,40447000,12299000,12762000,1668000,136419000,6042000,475084000,11878000,834000,79322000,52488000,2737000,10893000,6021000,58957000,113423000,9455000,2995592000,75681000,24780000,6355000,7641000,106708000,1874161000,2958000,248668000,6528000,14206000,385514000,39853000,11375000,327168000,12461000,44000,45558000,484544000,12037000,21712000,68000,456000
"JPN",678422000,1166470000,193518000,737904000,3577481000,1116474000,81389000,13878000,133372000,6055467000,585763000,981765000,701542000,2750838000,5035172000,641754000,14506000,5519624000,3793061000,303578000,31979000,1112207000,0,317237000,10507000,16942000,1313826000,739647000,972520000,768607000,70187000,235798000,5074785000,996761000,2813925000,483204000,43256206000,82740000,624211000,35565000,20000,241085000,17201000,36634000,551423000,539530000,5242000,18107000,273612000,110160000,1415000,120469000,25197000,4534000,1356679000,311658000,4281092000,8003000,9817000,8624000,141184000,328549000,27217000,1409000,13881000,19192000,5156000,140861000,4912219000,54182000,42924000,17146000,44254000,104725000,325956000,21160000,65112000,91769000,851032000,60189000,61369000,9000,43254000,17026000,5398000,3277000,4350000,2404000,484000,43970000,2446000,24995000,1430615000,2819885000,631637000,40841000,293464000,121033000,3475000,2.6e+07,18333000,5996986000,1762554000,15231000,232548000,624358000,363049000,19676000,84566000,29889000,578914000,9746000,179641000,2763000,23559000,4164000,15853000,12527000,2769810000,14414000,567802000,8718000,42359000,181356000,1741095000,141569000,327070000,39856000,232884000,69092000,21856000,6686574000,55070000,13616000,6801000,30835000,11630000,2821248000,20466000,250276000,91000,17917000,54947000,75162000,14676000,348475000,119155000,4233000,81084000,1745473000,27599000,43052000,10000,66000
"LKA",4419000,28691000,5708000,69000,17582000,6222000,58000,2207000,136000,70134000,6179000,4945000,910000,31735000,60302000,1723000,2000,7758000,25000,3834000,83000,20191000,68983000,0,56000,166000,33579000,2560000,5008000,33250000,160000,1801000,73753000,12230000,12059000,551000,204853000,12286000,23000,75000,607000,23000,301000,115000,84000,677000,172000,35000,97000,63000,0,571000,0,0,0,430000,7953000,0,33000,0,943000,1027000,2000,0,4000,0,0,3689000,15898000,0,13000,0,0,1000,364000,362000,1000,83000,72964000,2104000,818000,0,28000,0,10000,0,87000,0,0,264000,38000,0,27218000,13190000,48595000,0,6890000,1031000,3000,0,34000,5603000,8759000,0,1992000,0,16586000,0,1634000,24000,2303000,0,31000,0,11000,0,339000,0,8795000,0,2000,64000,162000,1048000,146000,16000,0,0,0,1189000,42000,34092000,430000,0,37000,399000,417000,39881000,0,21151000,0,0,47000,329000,10000,0,0,0,16342000,15704000,1000,29000,0,0
"MLT",1969000,21854000,24323000,1000,1838000,697000,33000,2800000,426000,103783000,3014000,792000,916000,11082000,61878000,862000,0,9000,0,1481000,19000,37230000,585000,2000,0,3000,15131000,1285000,224000,328000,97000,304000,320000,11747000,27000,0,10248000,666000,4921000,10000,782000,129000,17000,0,13000,385000,0,4000,24000,2000,0,0,0,103000,1010000,0,308000,0,0,0,1714000,237000,1000,0,0,0,481000,33000,0,0,8000,0,0,0,1170000,3619000,0,14000,408000,0,2000,0,0,0,16000,0,0,187000,0,0,0,0,3e+05,284000,5930000,0,737000,8000,0,0,0,0,749000,0,286000,0,12495000,0,55000,0,2000,0,0,0,0,0,3000,0,9000,0,288000,0,0,0,0,0,0,2000,604000,0,0,3515000,20000,5000,0,0,0,5827000,0,65000,0,0,252000,18000,0,0,0,0,1039000,263000,19000,6000,0,0
"NCL",3000,149000,0,0,406000,86000,0,0,0,23034000,25000,422000,2901000,98883000,254000,6000,1000,323000,177000,0,0,5980000,63686000,8000,0,580000,21000,20000,239000,0,0,0,13773000,4571000,6000,0,18050000,0,0,9000,0,55000,0,0,92000,0,0,21000,0,0,0,0,0,0,0,0,10921000,0,0,0,0,0,0,0,0,0,0,0,2633000,0,0,5000,3000,0,0,0,0,0,0,0,290000,0,42000,0,0,0,0,0,0,0,6000,0,0,0,0,0,0,2000,0,882000,0,29000,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,4000,2000,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,0,0,0,0
"NLD",532456000,10007231000,14416000,86199000,283460000,1280600000,53285000,8972000,27200000,15529467000,961465000,583065000,339683000,6264245000,7582290000,613770000,3275000,170133000,257279000,339112000,59803000,3911317000,443354000,26862000,27678000,4706000,0,481654000,104622000,54581000,80080000,323878000,240028000,1077841000,116159000,299583000,3129836000,166200000,273354000,21585000,46000,23835000,8154000,17573000,32555000,73765000,2267000,2552000,231075000,7127000,8584000,3082000,47682000,5542000,162426000,43515000,195781000,4106000,18213000,9786000,72986000,42388000,25573000,3580000,2579000,3066000,1124000,19978000,117406000,27363000,31118000,13418000,4587000,38531000,94444000,12851000,8218000,9218000,315198000,12990000,2446000,8000,16956000,14302000,22347000,12902000,3768000,15079000,834000,5694000,1992000,7536000,171255000,396479000,140700000,8444000,55404000,36626000,109000,385000,5936000,104546000,83656000,353000,65316000,32748000,184662000,68000,75939000,7664000,40214000,6464000,12484000,11000,16007000,8915000,3131000,2334000,77800000,4867000,300773000,7619000,610000,21943000,61187000,2487000,2207000,1140000,31397000,42334000,4500000,722059000,55778000,40010000,5635000,4775000,5585000,519622000,31309000,70675000,1208000,153748000,64916000,22298000,4919000,109746000,1621000,349000,35347000,209768000,9115000,18655000,7000,309000
"NOR",75888000,344657000,4154000,29213000,254356000,105725000,2961000,10042000,3304000,2242476000,700918000,74663000,338755000,1287493000,4217175000,33620000,275000,13934000,27211000,30491000,65030000,257648000,205204000,4284000,1011000,454000,1304071000,0,16980000,11732000,11434000,49918000,55728000,1949752000,46118000,46627000,1423598000,49389000,6782000,3979000,34000,5881000,545000,244000,3071000,1162000,73000,272000,21381000,1992000,8102000,40000,1384000,50000,10968000,4520000,26154000,90000,1471000,542000,1673000,1122000,134452000,1e+05,781000,182000,29000,5824000,26691000,3725000,1451000,5487000,293000,998000,6761000,11000,3858000,840000,15084000,917000,119000,0,2614000,4274000,2393000,2076000,2131000,608000,276000,404000,4000,207000,31686000,26887000,3459000,8659000,3547000,2230000,33000,1000,0,36831000,4710000,2000,4785000,140268000,6758000,105000,1034000,221000,31665000,2000,520000,0,5215000,634000,37000,64000,12446000,48000,70148000,185000,115000,9273000,5183000,575000,1125000,10000,3347000,15073000,0,47751000,3834000,844000,113000,127000,68000,118039000,447000,3789000,1085000,243000,1918000,10453000,397000,44829000,78000,4000,377000,74080000,4329000,6696000,0,18000
"NZL",15496000,70260000,2443000,1881000,127025000,9666000,259000,7603000,4983000,125775000,14165000,24894000,9262000,132380000,736938000,32589000,282000,73990000,72337000,10569000,5107000,97371000,931719000,14204000,2187000,15496000,32141000,5227000,4089000,26904000,8557000,4726000,85498000,12715000,44693000,15589000,843206000,4701000,20577000,4015000,1604000,19508000,127000,0,451000,7477000,96000,3122000,709000,2725000,10000,0,10000,0,16066000,1144000,675509000,0,0,0,602000,9945000,1001000,220000,291000,4829000,0,5580000,108916000,0,49000,0,64000,0,5217000,0,6532000,3463000,11319000,32000,75590000,34000,111000,18000,35000,0,5000,0,0,289000,70000,759000,24399000,260094000,22820000,3294000,5004000,369000,0,11478000,425000,92027000,10470000,19000,310000,15000,293000,163000,985000,0,20114000,0,7000,0,1504000,63000,8893000,703000,76574000,0,7224000,831000,158000,22850000,64428000,49515000,0,0,2479000,0,4000,51237000,342000,2000,0,614000,0,231507000,3000,1480000,0,0,1101000,1385000,0,27913000,796000,11694000,150000,17810000,41000,422000,0,57000
