"","AUS","AUT","BEL","BGR","BHR","BOL","CAN","CHE","CHN","CIV","CMR","COL","CSK","DEU","DNK","EGY","ESP","FIN","FRA","GBR","GRC","HKG","HUN","IND","IRL","IRN","IRQ","ITA","JPN","KOR","LBN","LBY","LKA","MDG","MLT","MWI","MYS","NLD","NOR","PAK","PHL","POL","PRT","SAU","SGP","SUN","SWE","SYR","TTO","USA","YUG","ARG","BRA","COG","GAB","IDN","ISR","NGA","NZL","PAN","SEN","THA","VNM","GTM","TUR","VEN","MMR","SDN","AGO","ALB","BEN","BHS","BMU","BRB","CAF","CHL","COD","CRI","CYP","DDR","DJI","DOM","DZA","ECU","GHA","GIN","GLP","GUF","GUY","HND","HTI","ISL","JAM","JOR","KEN","KHM","KIR","KWT","LAO","LBR","MAR","MEX","MLI","MOZ","MUS","NCL","NIC","OMN","PER","PNG","PRK","PRY","QAT","ROU","SLE","SLV","SOM","SUR","TGO","TUN","TZA","UGA","URY","ZAF","ZMB","AFG","BDI","CUB","ETH","FJI","GMB","GNB","MNG","MRT","NER","NPL","RWA","TCD","WSM","YMD","ZWE","BFA","GNQ","SPM","BLZ","KNA","GIB","MAC","ARE","GRL","SYC"
"PHL",4173000,1614000,7217000,0,16000,1000,4151000,3599000,0,17000,8000,1000,0,44595000,6311000,56000,7382000,859000,11068000,10394000,105000,9329000,0,1060000,4e+05,7000,26000,9954000,468073000,37371000,512000,8000,58000,0,2000,9000,1654000,17493000,2676000,197000,0,0,397000,5000,5661000,0,8813000,0,2000,422551000,89000,384000,260000,16000,0,2242000,127000,1000,367000,52000,5000,4335000,1559000,83000,15000,119000,60000,59000,0,0,0,7000,6000,6000,0,17000,0,0,1000,0,0,23000,222000,9000,0,0,0,10000,0,1000,1000,3000,32000,28000,28000,4000,7000,16000,363000,0,178000,31000,0,3000,2000,4000,9000,0,225000,55000,0,37000,0,0,0,6000,0,1000,0,2000,0,0,697000,1337000,2000,1000,0,0,0,19000,0,0,0,0,0,4000,0,1000,2000,0,0,0,0,0,0,0,0,0,0,0,0
"POL",3381000,46084000,19333000,0,0,118000,11480000,13005000,0,791000,370000,5732000,0,136967000,39855000,13849000,18524000,29634000,58376000,136800000,12732000,788000,0,29402000,13084000,5694000,0,104050000,43672000,0,3220000,7143000,3928000,164000,189000,0,728000,21723000,15050000,21134000,0,0,11190000,1501000,921000,0,48447000,0,112000,97837000,46967000,6131000,10871000,3000,3000,3209000,143000,5718000,561000,231000,326000,3144000,0,9000,10272000,3250000,1292000,5138000,0,0,84000,0,0,36000,5000,3833000,0,167000,0,0,0,0,0,699000,1693000,0,41000,6000,0,159000,0,2040000,0,0,0,66000,0,0,3000,0,0,9763000,25000,0,0,0,0,0,756000,0,0,36000,0,0,0,1000,0,0,273000,5136000,0,0,0,0,0,47000,0,0,0,3000,0,0,0,0,306000,0,0,71000,1000,0,0,26000,0,0,0,0,0,0,0,0,0
"PRT",3484000,13208000,24910000,443000,197000,164000,12626000,19854000,10000,104000,4000,144000,1973000,58944000,25879000,53000,17124000,12485000,45557000,183999000,2710000,1474000,515000,42000,3190000,478000,1155000,21803000,7558000,54000,2023000,11000,343000,101000,376000,126000,405000,15713000,12982000,367000,2299000,1289000,0,675000,953000,0,52296000,4000,555000,90558000,820000,1589000,8422000,1000,64000,264000,2992000,1041000,757000,133000,0,594000,1290000,269000,1397000,3261000,36000,3000,110852000,3000,1000,532000,0,144000,196000,1127000,2519000,179000,1442000,771000,34000,312000,0,354000,1000,1000,170000,20000,105000,76000,15000,408000,257000,347000,0,2000,10000,4000,1000,3000,5079000,1733000,1000,76233000,43000,31000,56000,1000,606000,0,0,18000,0,2223000,18000,42000,4000,84000,1000,366000,1000,0,175000,5229000,309000,2000,9000,0,5000,13000,9000,22474000,0,25000,0,0,7000,59000,0,12000,0,0,13000,1000,0,0,0,0,0,0,0
"SAU",48569000,0,85563000,0,104803000,0,24745000,4000,0,23000,0,0,0,200840000,13110000,115000,149046000,7000,84681000,208312000,21122000,11929000,0,1691000,11740000,6000,2000,228314000,414840000,20555000,11528000,1000,2404000,1011000,0,385000,23728000,151026000,14795000,6668000,8772000,0,1160000,0,14459000,0,2253000,56000,28352000,40686000,7000,5494000,42376000,0,0,140000,0,77000,6546000,0,1000,8332000,1884000,0,7373000,1000,0,579000,0,0,0,0,0,0,3000,0,4102000,0,0,0,1101000,0,0,0,1765000,0,0,0,0,0,0,0,0,7388000,9701000,198000,0,1222000,0,946000,0,2000,25000,1103000,0,808000,0,1164000,0,0,0,0,552000,1079000,0,0,0,0,0,0,2700000,0,961000,38594000,0,2000,0,0,9000,501000,0,0,0,0,0,0,0,0,151000,736000,0,0,0,0,0,0,0,0,2201000,0,0
"SGP",16602000,252000,5157000,4591000,1167000,171000,20320000,644000,57090000,0,0,441000,1599000,8162000,983000,1556000,1239000,142000,5016000,73430000,227000,46590000,22000,6826000,122000,3011000,1425000,3294000,65978000,10094000,707000,519000,3028000,29000,217000,144000,94340000,11764000,2e+05,3644000,6066000,8043000,168000,3889000,0,42162000,909000,254000,1150000,55016000,5700000,8972000,2602000,0,0,39579000,2200000,3514000,4389000,33000,0,14120000,29535000,0,3776000,27000,3470000,333000,0,48000,0,0,0,0,0,37000,0,0,593000,707000,0,144000,0,10000,0,0,0,0,0,0,0,3000,0,74000,3676000,4417000,1020000,2091000,4830000,7123000,783000,6349000,0,1750000,1111000,988000,7000,3249000,585000,6037000,3127000,4000,0,14454000,0,1000,0,0,0,2000,1166000,0,470000,0,27088000,217000,0,1571000,0,2832000,0,0,0,0,0,0,0,0,24000,3110000,0,0,0,0,0,0,0,0,0,0,0
"SUN",2721000,65183000,58731000,0,0,0,11378000,19795000,0,107000,896000,3444000,0,284116000,35792000,86480000,20997000,257265000,204945000,473099000,30332000,3915000,0,274102000,4283000,115979000,0,247060000,461601000,0,11132000,6831000,8365000,126000,575000,0,3296000,67261000,22602000,30032000,0,0,774000,4097000,11570000,0,125893000,0,7000,51504000,168192000,8922000,16156000,347000,11000,4924000,256000,4554000,1053000,6000,2e+05,2630000,0,0,33247000,110000,2552000,12881000,0,0,452000,0,0,17000,3000,660000,0,3000,0,0,0,0,0,32000,12962000,0,0,1000,0,1000,0,9872000,0,0,0,893000,0,0,54000,0,0,419000,3824000,0,0,0,0,0,3344000,0,0,0,0,0,0,0,0,0,1352000,4906000,0,0,0,0,0,42245000,0,0,0,24000,0,0,0,0,106000,0,0,223000,45000,0,0,76000,0,0,0,0,0,0,0,0,0
"SWE",59413000,65321000,214128000,10900000,301000,1594000,78171000,159825000,11813000,1083000,556000,14957000,17547000,793207000,591676000,7357000,97444000,306684000,349408000,795627000,33550000,7035000,16937000,14897000,25004000,22335000,11014000,183963000,59102000,17629000,7014000,2406000,2588000,603000,908000,459000,10641000,253689000,554697000,8038000,7858000,33121000,32957000,5450000,10103000,111126000,0,8452000,897000,354683000,30639000,33229000,65585000,209000,278000,2516000,31683000,5445000,9152000,1926000,681000,12610000,3528000,2407000,10602000,14387000,1306000,2113000,5216000,246000,75000,666000,0,211000,59000,10808000,2228000,2787000,5568000,53938000,25000,1055000,6432000,4722000,1710000,114000,421000,41000,295000,1217000,162000,5979000,1564000,2484000,4785000,238000,566000,3977000,28000,99995000,10076000,40774000,134000,2940000,299000,369000,611000,1642000,12421000,0,404000,1804000,155000,19897000,636000,1080000,105000,386000,94000,1753000,1299000,1396000,2506000,53509000,5868000,72000,175000,18157000,2226000,454000,222000,0,47000,98000,52000,72000,58000,79000,22000,581000,2000,130000,14000,0,0,0,0,0,0,0,0
"SYR",6000,867000,354000,0,0,0,5000,277000,0,0,0,1000,0,4732000,1882000,5450000,6555000,0,5822000,2960000,15015000,127000,0,0,11000,228000,0,11574000,859000,0,31507000,739000,1431000,0,594000,0,0,41504000,81000,0,0,0,0,11709000,55000,0,360000,0,0,2459000,3918000,0,2000,0,0,0,0,6000,27000,0,43000,0,111000,0,710000,20000,0,639000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1307000,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTO",156000,61000,901000,0,0,0,16411000,338000,0,308000,834000,359000,0,4805000,5971000,0,85000,93000,557000,52041000,1000,51000,0,9000,96000,4000,0,3828000,1504000,0,1000,37000,0,0,9000,1000,147000,1103000,866000,1000,2000,0,212000,0,222000,0,32938000,0,0,232290000,0,1644000,9653000,223000,148000,0,2000,3458000,76000,372000,2000,1000,0,388000,0,706000,0,0,429000,0,26000,1771000,79000,6642000,50000,9000,250000,988000,4000,18000,0,560000,973000,692000,38000,0,3999000,1609000,15002000,264000,179000,0,5012000,0,6000,0,0,0,3000,846000,140000,157000,3000,11000,0,0,34000,0,16000,0,0,0,0,0,0,363000,0,8016000,74000,0,10000,0,193000,3000,419000,0,0,0,2000,1000,0,9000,0,0,6000,0,0,38000,0,0,0,10000,0,0,0,0,0,0,0,0,0
"USA",981638000,84150000,766461000,4636000,10661000,51387000,9543915000,446003000,0,27633000,12435000,299717000,14274000,2349264000,292685000,45119000,728033000,103444000,1465568000,2667185000,151889000,330386000,7076000,612776000,125605000,209949000,14829000,1411030000,4094098000,529679000,55345000,126415000,35686000,15363000,4646000,2823000,73804000,1034781000,221316000,246908000,359570000,52189000,63296000,138284000,161439000,104765000,505309000,11769000,70893000,0,92472000,346403000,681974000,5326000,8351000,154595000,309332000,82011000,121291000,108124000,12556000,233029000,258243000,85331000,126979000,749281000,11482000,7475000,31820000,19000,3107000,176777000,70869000,21947000,1728000,349937000,42802000,85553000,5179000,32356000,981000,122185000,63750000,94905000,63905000,9600000,14988000,5155000,22016000,79832000,23572000,10607000,173701000,20090000,18913000,4617000,4006000,75558000,14736000,43618000,50762000,1297480000,1020000,26480000,1051000,20629000,66377000,0,186449000,4735000,0,16489000,38724000,32309000,8014000,60776000,3529000,36230000,2914000,49082000,10167000,3323000,29811000,506468000,26381000,7069000,1885000,0,15658000,4234000,8e+05,6944000,2000,7173000,2470000,938000,0,2418000,420000,2500000,446000,2092000,1225000,123000,0,0,0,0,0,0,0
"YUG",1209000,45215000,12035000,23072000,25000,151000,5210000,22549000,641000,3e+05,31000,1470000,62795000,275501000,7182000,14334000,5671000,6482000,47699000,59505000,29299000,1114000,44131000,9256000,1036000,17009000,4256000,234093000,4207000,15000,4479000,9275000,8576000,0,2082000,22000,123000,19637000,8415000,21008000,0,46863000,189000,3124000,1559000,206408000,18657000,1680000,1e+05,101699000,0,2527000,3404000,18000,6000,3692000,11225000,2222000,1967000,17000,44000,244000,0,4000,2944000,201000,3845000,2210000,0,3016000,1000,0,0,10000,10000,286000,226000,132000,2041000,44022000,0,4000,3508000,557000,3764000,3941000,5000,0,1000,19000,5000,28000,0,695000,452000,309000,0,1272000,0,1e+05,2104000,17000,33000,0,0,0,4000,16000,1113000,0,0,20000,41000,23703000,40000,8000,49000,3000,8000,4832000,401000,4e+05,91000,0,1240000,19000,0,2298000,974000,0,1000,0,0,0,138000,0,0,64000,0,55000,0,6000,839000,0,0,0,0,0,0,0,0
"ARG",837000,6897000,79542000,1268000,0,16942000,7999000,26281000,322000,334000,53000,9724000,7279000,135324000,10215000,396000,106452000,4430000,86443000,188910000,31873000,1810000,6900000,7700000,6385000,2699000,35000,270082000,96421000,688000,2959000,556000,0,9000,323000,0,131000,95176000,8411000,8000,5373000,18437000,4462000,1000,504000,21340000,14630000,386000,717000,155284000,6392000,0,155939000,3000,27000,6000,13358000,44000,43000,702000,1242000,81000,162000,508000,2e+05,10845000,3000,12000,71000,285000,3000,372000,107000,971000,1000,92482000,660000,293000,1010000,8137000,1000,150000,4092000,2095000,441000,27000,1326000,31000,127000,284000,93000,77000,1011000,909000,25000,12000,3000,203000,1000,3e+05,106000,12393000,397000,6000,5000,10000,171000,6000,62169000,146000,2000,15406000,1000,3702000,131000,216000,1000,135000,1000,114000,0,0,22949000,1397000,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRA",6880000,29619000,69363000,16144000,1000,3119000,38962000,27334000,30000,905000,35000,1987000,10479000,311121000,56315000,307000,74486000,25648000,131611000,121713000,9059000,30225000,11111000,5212000,4304000,403000,722000,162016000,148299000,17000,4456000,20000,9000,26000,648000,106000,3355000,82805000,32288000,13000,543000,18214000,16111000,1000,4010000,43675000,64017000,48000,3110000,616701000,20452000,174480000,0,52000,13000,446000,2811000,235000,757000,86000,3037000,1481000,83000,191000,1147000,4963000,62000,3000,253000,22000,21000,547000,18000,73000,2000,31541000,0,124000,931000,25451000,0,2e+05,1551000,305000,383000,5000,123000,251000,236000,54000,20000,1917000,315000,0,12000,273000,0,54000,17000,0,1741000,11460000,0,193000,7000,35000,40000,0,3992000,5000,0,1701000,0,3910000,2000,83000,76000,163000,7000,1814000,3000,0,22693000,16195000,19000,0,0,0,794000,0,116000,0,0,0,0,0,0,6000,0,0,4000,0,0,0,0,0,0,0,0,0,0
"COG",62000,144000,3302000,0,0,1000,75000,1518000,58000,1629000,2675000,0,2e+05,19891000,693000,7000,1475000,83000,14544000,3859000,1443000,2000,106000,15256000,256000,0,0,5241000,3164000,0,88000,0,0,5000,0,0,0,4616000,115000,0,0,627000,114000,14000,0,789000,128000,0,0,826000,9000,0,206000,0,0,0,2236000,1743000,45000,0,562000,0,0,0,0,0,0,8000,1000,0,161000,0,0,0,0,0,109000,0,0,127000,0,0,0,0,16000,0,0,0,0,0,0,135000,0,0,0,0,0,0,0,0,61000,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,2706000,0,0,0,85000,0,0,0,0,0,0,32000,0,143000,4912000,0,0,0,1897000,0,0,0,0,0,0,0,0,0
"GAB",5000,643000,1658000,0,0,0,53000,860000,0,5043000,6921000,0,69000,15883000,526000,0,2936000,15000,75561000,4037000,2191000,0,110000,0,127000,8000,0,2006000,2623000,0,462000,3000,0,265000,0,0,0,5406000,1721000,2000,0,396000,101000,0,0,6000,1011000,85000,4682000,11713000,0,0,192000,0,0,0,4402000,54000,3000,0,8158000,0,0,0,0,0,0,0,1000,0,26000,0,0,832000,0,166000,10000,0,3000,36000,0,9000,1137000,0,0,168000,184000,32000,16000,0,6000,0,15000,0,0,0,2000,6000,0,59000,485000,0,0,0,3000,72000,0,0,0,0,0,0,0,0,1793000,0,0,0,35000,9000,0,0,0,2000,29000,0,0,0,0,0,0,175000,0,1000,43000,0,5000,1193000,0,0,0,8000,167000,2000,0,0,0,0,0,0,0
"IDN",62576000,1906000,21526000,805000,0,21000,304000,7646000,11000,19000,1000,63000,828000,123324000,14788000,539000,4763000,865000,28368000,16080000,153000,27441000,28000,262000,598000,58000,3000,22329000,399400000,14686000,11000,9000,564000,22000,350000,18000,59870000,53418000,1995000,521000,30453000,784000,4118000,166000,530000,12310000,5927000,0,5455000,196971000,728000,0,13000,1000,0,35000,14000,162000,2265000,3000,5000,9447000,2338000,18000,28000,197000,46000,0,2000,0,0,0,0,5000,2000,229000,0,8000,0,0,0,0,5000,26000,25000,0,9000,0,0,11000,0,22000,0,38000,0,349000,0,4000,3300000,1065000,0,7000,0,0,0,0,0,1449000,838000,0,88000,0,0,1000,0,2000,3000,2000,2000,124000,1000,0,0,1000,0,0,0,3000,0,49000,0,0,0,0,0,0,0,4000,0,43000,0,1000,0,0,0,0,0,0,0,0,0
"ISR",5092000,8609000,39462000,2203000,0,163000,13939000,17230000,25000,1208000,161000,107000,632000,78532000,6431000,0,9683000,7543000,33642000,94287000,7108000,25746000,4900000,173000,4322000,10502000,0,11419000,19659000,13000,0,0,54000,955000,1358000,205000,1980000,12147000,4928000,1000,360000,0,1165000,0,2398000,1000,13560000,0,51000,128630000,8766000,712000,2734000,29000,31000,4000,0,3171000,189000,106000,16000,1361000,102000,69000,1722000,1101000,4000,0,118000,0,77000,42000,5000,31000,11000,47000,983000,362000,3774000,15000,0,42000,0,22000,1874000,0,0,0,72000,46000,2000,320000,126000,0,2941000,337000,0,0,50000,921000,0,835000,48000,203000,592000,0,109000,0,493000,0,0,1000,0,14898000,12000,54000,126000,0,155000,0,1443000,3305000,209000,8178000,4124000,0,121000,0,4288000,1000,0,0,0,1000,2000,6000,59000,43000,0,0,6000,10000,0,0,0,0,0,0,0,0,0
