"","AUS","AUT","BEL","BGR","BHR","BOL","CAN","CHE","CHN","CIV","CMR","COL","CSK","DEU","DNK","EGY","ESP","FIN","FRA","GBR","GRC","HKG","HUN","IND","IRL","IRN","IRQ","ITA","JPN","KOR","LBN","LBY","LKA","MDG","MLT","MWI","MYS","NLD","NOR","PAK","PHL","POL","PRT","SAU","SGP","SUN","SWE","SYR","TTO","USA","YUG","ARG","BRA","COG","GAB","IDN","ISR","NGA","NZL","PAN","SEN","THA","VNM","GTM","TUR","VEN","MMR","SDN","AGO","ALB","BEN","BHS","BMU","BRB","CAF","CHL","COD","CRI","CYP","DDR","DJI","DOM","DZA","ECU","GHA","GIN","GLP","GUF","GUY","HND","HTI","ISL","JAM","JOR","KEN","KHM","KIR","KWT","LAO","LBR","MAR","MEX","MLI","MOZ","MUS","NCL","NIC","OMN","PER","PNG","PRK","PRY","QAT","ROU","SLE","SLV","SOM","SUR","TGO","TUN","TZA","UGA","URY","ZAF","ZMB","AFG","BDI","CUB","ETH","FJI","GMB","GNB","MNG","MRT","NER","NPL","RWA","TCD","WSM","YMD","ZWE","BFA","GNQ","SPM","BLZ","KNA","GIB","MAC","ARE","GRL","SYC"
"NGA",1018000,3545000,20385000,6000,53000,0,20536000,12784000,1000,153000,539000,0,317000,72827000,23563000,386000,21409000,359000,85689000,250760000,3132000,1301000,3157000,426000,3941000,94000,4000,41532000,12949000,3000,163000,41000,1000,0,103000,1000,15000,88653000,2532000,9000,0,2874000,17147000,98000,124000,23012000,25273000,0,4143000,70756000,595000,914000,24248000,152000,25000,10000,32000,0,201000,0,5000,0,0,0,1000,2000,1000,64000,1159000,0,1161000,0,0,0,26000,0,0,0,9000,0,0,0,419000,14000,3935000,31000,0,3000,0,0,0,2000,0,0,99000,0,0,0,0,61000,19000,0,2000,470000,0,0,0,0,0,0,0,0,0,0,1397000,0,1000,0,270000,2000,13000,10000,0,27000,12000,0,0,0,24000,0,17000,3000,0,0,975000,0,0,5859000,0,9000,0,34000,6000,0,0,0,0,0,0,0,0
"NZL",81466000,1603000,25940000,1000,18000,1000,38092000,3589000,4587000,3000,1000,269000,1858000,41920000,3611000,51000,7267000,2389000,53434000,518769000,8780000,5010000,282000,1945000,5332000,921000,42000,32130000,143873000,3250000,42000,1000,1368000,5000,233000,216000,9245000,10980000,2753000,923000,7810000,2622000,2159000,48000,10448000,14448000,4120000,345000,6462000,215657000,2543000,17000,461000,1000,0,332000,301000,134000,0,1110000,4000,4281000,111000,8000,13000,486000,439000,1000,0,0,1000,382000,1562000,2228000,0,144000,0,328000,1389000,1050000,2000,0,2000,4000,244000,0,218000,185000,73000,0,0,32000,4549000,15000,671000,8000,3277000,169000,10000,15000,156000,1311000,0,630000,405000,6212000,0,40000,4330000,1590000,0,2000,78000,3000,25000,185000,10000,4000,0,94000,392000,91000,5000,2994000,277000,0,0,0,10000,8766000,3000,0,0,0,0,13000,0,0,2301000,3000,18000,0,0,8000,0,0,0,0,0,0,0
"PAN",43000,1962000,399000,0,0,1383000,12500000,3903000,0,1000,0,1071000,0,21174000,424000,7000,2439000,285000,375000,6472000,199000,127000,0,0,46000,7000,0,3823000,1780000,622000,0,163000,0,0,0,0,0,433000,782000,4000,1064000,0,10000,0,4000,0,1106000,0,30000,75398000,265000,2449000,6359000,0,0,19000,183000,0,0,2082000,0,64000,31000,463000,17000,1910000,0,0,0,0,0,0,0,24000,0,3111000,0,3308000,0,0,0,145000,0,2e+05,55000,0,2000,0,0,584000,0,28000,0,0,0,0,0,0,0,0,0,9012000,0,0,0,0,4698000,0,6e+05,0,0,206000,0,0,0,3941000,0,86000,15000,1000,0,0,4000,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SEN",166000,6000,1189000,0,0,0,82000,77000,0,7266000,955000,1000,0,6470000,318000,2000,2888000,178000,79484000,4277000,862000,9000,131000,0,1029000,30000,0,5715000,4273000,0,9000,10000,0,4235000,0,2000,0,4083000,1863000,1000,0,92000,3000,4000,0,4000,973000,0,7396000,18052000,4000,0,98000,279000,771000,2000,4000,347000,0,0,289000,2000,13000,0,0,114000,0,0,3000,0,1663000,0,0,32000,21000,0,56000,1000,0,2000,3000,0,25000,0,5000,511000,90000,17000,9000,1000,0,0,0,0,1000,0,0,0,0,372000,451000,0,3259000,0,0,9000,0,0,0,0,0,0,0,0,1137000,0,0,0,360000,4000,0,0,1000,136000,0,0,0,0,4000,0,388000,0,0,1864000,2011000,0,3000,799000,0,0,0,758000,0,0,0,0,0,0,0,0,0
"THA",2590000,2823000,4854000,0,107000,4000,920000,3634000,0,149000,0,37000,576000,37987000,1504000,422000,5079000,2e+05,14896000,13686000,896000,57764000,2000,25861000,117000,1211000,343000,18783000,167431000,768000,88000,5000,4462000,181000,7000,87000,60889000,29877000,625000,119000,2392000,3357000,1112000,8913000,54844000,126000,1683000,0,22000,92193000,1132000,6000,71000,1000,0,8874000,55000,0,535000,27000,6403000,0,7364000,277000,9000,16000,95000,41000,259000,0,121000,0,12000,6000,0,3000,0,2000,88000,0,335000,2000,0,3000,5000,0,1000,0,0,0,0,39000,0,225000,184000,1209000,0,733000,21875000,1000,75000,1000,0,376000,7136000,1000,75000,432000,20000,2000,0,0,0,1000,0,101000,145000,0,0,96000,16000,0,0,1418000,1190000,0,0,0,252000,263000,21000,0,0,0,0,55000,0,0,0,1714000,0,0,0,0,0,0,0,0,0,0,0
"VNM",229000,25000,181000,0,0,0,6000,62000,0,1000,7000,0,0,882000,4000,31000,296000,1000,6460000,1676000,0,3222000,0,0,11000,6000,0,707000,9319000,1322000,0,0,0,7000,0,0,1922000,370000,5000,0,751000,0,199000,0,3336000,0,62000,0,0,2762000,0,4000,0,3000,2000,190000,1000,0,0,0,6000,54000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,907000,0,0,59000,0,83000,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0
"GTM",28000,1962000,2489000,0,119000,35000,4577000,7055000,0,0,0,1000,21000,31436000,2386000,0,248000,5347000,2310000,1917000,60000,1184000,89000,0,80000,2000,752000,14259000,24244000,82000,159000,0,0,0,0,0,0,3683000,1518000,0,52000,473000,1421000,795000,0,0,2271000,0,1000,75868000,0,0,7000,0,0,65000,111000,0,5000,1315000,0,27000,0,0,0,52000,0,795000,0,0,0,7000,0,0,0,6000,0,17633000,0,0,0,510000,0,66000,0,0,3000,0,0,17749000,14000,0,294000,352000,0,0,0,0,0,0,0,973000,0,0,0,0,12875000,0,0,0,0,4000,0,384000,0,38099000,0,0,0,0,0,0,0,1105000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27000,0,0,0,0,0,0,0,0,0,0,0
"TUR",767000,14694000,15786000,4823000,0,3000,3367000,15784000,86000,5000,16000,0,13840000,114311000,11874000,1980000,8460000,977000,42949000,37206000,9027000,847000,14285000,483000,1818000,3614000,5782000,52955000,17840000,3000,6873000,3536000,635000,15000,164000,0,17000,17563000,6158000,318000,72000,8439000,7278000,64000,27000,29970000,12574000,2066000,8000,67850000,5441000,355000,191000,10000,1000,0,4757000,245000,222000,6000,90000,251000,1608000,0,0,39000,1000,12000,0,28000,0,0,0,2000,0,1000,56000,45000,301000,10705000,0,0,374000,1000,2000,0,2000,0,0,0,10000,9000,0,604000,22000,2000,0,525000,0,0,210000,21000,0,78000,0,0,0,0,1000,0,0,1000,0,8504000,0,0,0,0,0,1553000,0,0,33000,149000,43000,0,0,0,3000,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0
"VEN",19000,108000,35100000,1000,0,34000,319676000,1858000,0,625000,122000,9181000,0,85418000,8741000,0,40118000,2635000,41775000,135967000,32000,336000,0,372000,0,5000,0,51985000,21697000,239000,3000,795000,0,0,0,0,1796000,19180000,3743000,179000,1318000,36000,563000,0,5136000,7000,42738000,0,173503000,940067000,1684000,38377000,60839000,136000,15000,1814000,1385000,1105000,2000,61838000,290000,86000,0,1064000,0,0,0,0,0,0,279000,5650000,2257000,2163000,1000,35945000,86000,6476000,0,0,0,4376000,107000,13114000,475000,0,879000,192000,15000,7350000,356000,0,30623000,0,0,0,0,1000,0,3261000,3168000,4051000,350000,0,0,253000,6680000,0,9308000,0,0,5000,0,0,122000,7051000,0,608000,913000,0,53000,0,1988000,1206000,0,0,0,563000,0,0,0,885000,0,0,261000,0,0,2e+05,0,0,0,268000,0,0,2000,6097000,2341000,2000,0,0,0
"MMR",274000,565000,2775000,0,34000,0,50000,765000,0,0,0,0,125000,8940000,7870000,1000,877000,301000,2503000,7330000,275000,7294000,0,30115000,23000,1000,412000,3117000,12932000,288000,8000,0,5090000,0,8000,0,6312000,1666000,953000,823000,1000,352000,44000,51000,7369000,3247000,3652000,0,0,941000,2601000,0,0,0,0,2494000,12000,78000,2000,0,1000,122000,15000,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,428000,0,0,0,0,42000,0,0,0,0,0,0,31000,0,0,0,3000,0,0,0,0,0,60000,0,230000,1224000,0,0,1933000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34000,279000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,749000,0,0
"SDN",927000,2127000,3892000,393000,14000,0,281000,2930000,18466000,0,0,10000,2437000,44360000,933000,8294000,3834000,1685000,7738000,17541000,2346000,1796000,2577000,28436000,336000,10000,72000,33361000,26304000,92000,1163000,369000,11000,0,105000,0,11000,4276000,596000,150000,76000,4434000,651000,7026000,589000,9735000,939000,471000,3000,8685000,4087000,37000,3000,0,0,23000,0,58000,95000,0,0,10000,8000,0,25000,949000,0,0,0,0,0,0,0,1000,252000,2000,15000,10000,78000,3176000,128000,0,650000,10000,0,0,3000,0,0,0,0,10000,0,619000,11000,0,0,74000,0,0,0,3000,0,0,0,0,0,0,14000,0,0,0,0,5710000,0,0,4000,0,0,82000,0,22000,0,0,0,0,0,0,127000,0,0,0,0,0,0,0,0,129000,0,189000,0,0,0,0,0,0,0,0,304000,0,0
"AGO",2000,1464000,3542000,0,0,0,5712000,3601000,0,199000,0,0,0,40842000,6661000,0,13390000,941000,6105000,8734000,984000,62000,0,32000,62000,39000,0,3316000,23430000,0,5000,0,0,0,0,15000,0,36690000,744000,0,0,0,122426000,0,0,0,87000,0,0,54424000,0,0,309000,20000,3000,0,0,123000,10000,36000,0,7000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALB",0,953000,1000,0,0,0,0,294000,0,0,0,0,0,671000,1000,271000,2000,1000,342000,16000,9000,0,0,0,10000,0,0,4593000,0,0,0,181000,0,0,48000,0,0,43000,0,199000,0,0,0,2000,0,0,139000,0,0,396000,2795000,0,0,21000,0,0,0,0,0,0,5000,0,0,21000,36000,37000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEN",0,24000,1265000,0,0,0,0,2000,0,234000,88000,12000,0,2922000,1000,0,5000,0,12153000,640000,26000,79000,0,75000,0,0,0,550000,1488000,0,0,10000,0,6000,0,0,58000,2115000,0,0,0,0,35000,0,0,2000,1000,0,0,2588000,1000,0,0,22000,13000,0,42000,66000,0,0,705000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,40000,0,1e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,427000,0,1000,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,505000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227000,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0
"BHS",55000,0,0,0,0,1000,4158000,0,0,0,0,5000,0,0,383000,0,0,0,0,4743000,0,11000,0,0,216000,0,0,0,311000,0,0,0,0,0,37000,0,0,0,0,0,0,0,13000,0,0,0,134000,0,7000,48241000,0,508000,191000,0,0,0,0,0,11000,9000,0,0,0,5000,0,8000,0,0,0,0,0,0,0,13000,0,11000,0,2000,0,0,0,0,0,3000,0,0,0,0,0,10000,0,45000,0,0,0,0,0,0,0,0,0,17000,0,0,0,0,0,0,37000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BMU",7000,30000,70000,0,0,0,247000,1e+05,0,0,0,1000,0,2409000,92000,2000,1767000,713000,2358000,26914000,9000,9000,0,0,22000,0,0,2317000,4000,0,0,1000,0,0,29000,0,0,11707000,1152000,0,10000,0,0,0,0,0,0,0,17000,1928000,0,3000,19000,0,0,0,0,0,1000,0,0,6000,0,1000,0,2000,0,0,0,0,0,0,0,19000,0,0,0,7000,0,0,0,0,0,0,0,0,52000,0,0,1000,0,41000,0,0,0,0,0,0,0,0,0,573000,0,0,0,0,0,0,10000,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRB",53000,4000,380000,0,0,0,1383000,1000,0,0,103000,1000,0,1403000,1000,0,0,0,4154000,16025000,0,3000,0,0,0,0,0,356000,16000,0,0,0,0,0,0,0,0,451000,1000,1000,0,0,0,0,0,0,2000,0,980000,8281000,0,0,0,2000,0,0,0,0,10000,1000,4000,0,0,0,0,1000,0,0,0,0,63000,87000,107000,0,0,0,0,0,0,0,0,0,0,0,0,0,237000,5000,419000,0,0,0,140000,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,1000,0,0,32000,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11000,0,0,94000,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAF",1000,376000,941000,0,0,0,0,480000,0,1000,933000,0,0,293000,25000,0,149000,6000,13334000,1405000,1000,456000,0,197000,1000,0,0,1859000,117000,65000,0,5000,0,0,0,0,0,128000,0,0,0,0,0,0,0,11000,29000,0,0,10866000,0,0,0,0,0,0,6592000,494000,20000,0,4000,0,0,0,0,0,0,58000,0,0,0,0,0,0,0,0,164000,0,1000,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,53000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530000,0,0,0,0,0,0,0,0,0,0,7000,0,0,1072000,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHL",2530000,5903000,19766000,29000,0,1997000,3026000,5731000,1000,6000,0,4792000,3000,228483000,1753000,3000,34723000,2254000,78989000,173146000,5000,3000,12000,136000,430000,0,0,79148000,196772000,206000,180000,0,1000,0,1000,10000,0,14693000,1715000,0,0,7000,573000,1000,4000,3000,50380000,0,30000,151354000,1397000,71559000,29460000,0,0,4000,106000,0,148000,370000,49000,10000,0,79000,0,4455000,0,0,0,0,1000,0,0,1000,0,0,0,51000,0,0,0,11000,0,3215000,0,0,17000,3000,0,27000,19000,0,2000,0,0,0,0,0,0,18000,0,8326000,0,0,0,0,22000,0,5448000,0,0,246000,0,17000,0,14000,0,0,0,0,0,0,1501000,133000,0,0,0,1000,0,0,0,0,0,0,2000,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0
"COD",42000,86000,428180000,0,0,0,1241000,1478000,0,46000,2000,8000,0,41355000,284000,0,5857000,13000,62212000,54801000,5794000,393000,0,13437000,134000,0,0,80450000,33229000,0,596000,0,0,0,83000,0,0,21056000,1605000,0,12000,0,767000,9000,0,0,165000,0,12000,36367000,0,0,1119000,904000,0,0,742000,0,93000,0,3000,0,24000,0,0,1000,0,10000,0,0,0,0,0,0,247000,8000,0,0,0,0,0,0,0,0,96000,0,10000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273000,0,0,0,5000,0,0,0,0,0,0,0,0,0
"CRI",43000,1804000,2469000,0,251000,2000,8054000,3483000,0,1000,0,192000,191000,16777000,448000,0,523000,4553000,2301000,876000,235000,49000,0,0,112000,10000,29000,10019000,2355000,0,0,172000,1000,0,4000,0,0,4155000,667000,0,8000,0,38000,1709000,0,3293000,4117000,0,3000,101182000,142000,13000,1000,0,0,0,1000,2000,495000,4408000,0,0,0,7534000,0,172000,0,853000,0,0,0,0,0,0,0,3000,0,0,0,2000,0,148000,0,69000,0,0,0,0,0,7390000,2000,9000,114000,0,0,0,0,138000,0,0,0,1336000,0,29000,0,0,12717000,0,0,0,0,0,0,0,0,8454000,0,0,0,0,0,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP",72000,1147000,785000,0,0,0,276000,402000,0,0,0,0,0,22318000,1043000,77000,3872000,951000,4472000,45454000,514000,10000,0,0,760000,0,0,6234000,170000,0,486000,1140000,10000,1000,129000,1000,33000,2214000,546000,7000,1000,0,503000,118000,35000,0,797000,0,1000,940000,178000,3000,0,0,0,0,1332000,7000,174000,0,0,1000,0,0,0,111000,0,158000,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DDR",4027000,21037000,35738000,0,0,175000,3216000,9880000,0,593000,197000,4713000,0,0,19910000,28089000,3095000,16224000,50285000,35020000,7356000,1643000,0,29861000,1110000,1791000,0,30918000,30957000,0,3472000,864000,14922000,50000,270000,0,866000,49292000,13570000,410000,0,0,240000,273000,5288000,0,40334000,0,246000,8013000,77657000,194000,13729000,47000,58000,617000,5000,248000,453000,149000,119000,450000,0,11000,11832000,524000,2187000,1313000,0,0,878000,0,0,39000,93000,37000,0,93000,0,0,0,0,0,383000,404000,0,14000,2000,0,122000,0,620000,0,0,0,917000,0,0,250000,0,0,749000,251000,0,0,0,0,0,44000,0,0,5000,0,0,0,0,0,0,201000,760000,0,0,0,0,0,0,0,0,0,44000,0,0,0,0,86000,0,0,105000,6000,0,0,34000,0,0,0,0,0,0,0,0,0
"DJI",0,0,4000,0,0,0,0,0,0,0,2000,0,0,34000,0,0,18000,0,56000,258000,0,0,0,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,12000,3000,0,0,0,1000,18903000,0,0,0,0,0,116000,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM",11000,31000,2645000,0,0,0,558000,537000,0,0,0,140000,0,1921000,268000,0,7596000,166000,811000,1644000,2000,8000,0,0,49000,0,0,1336000,49000,0,0,0,0,14000,0,0,0,516000,1395000,0,0,0,21000,0,0,0,0,0,116000,164817000,0,262000,0,0,0,0,0,0,0,32000,0,0,4000,7000,0,356000,0,0,0,0,0,0,0,1000,0,10000,0,1000,0,0,0,0,0,1000,0,0,327000,0,0,8000,0,0,0,0,0,524000,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,2000,0,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DZA",89000,236000,27074000,0,0,0,40000,25637000,0,11477000,323000,0,0,159664000,4027000,3998000,9528000,136000,593762000,52972000,1284000,26000,0,0,1531000,3000,0,33551000,3957000,0,128000,641000,0,1539000,40000,0,0,2884000,538000,0,6000,0,16000,0,0,0,3234000,0,5000,2312000,3930000,14000,13473000,324000,173000,11000,0,2041000,0,0,4987000,0,14000,0,0,1000,0,6000,0,0,229000,0,0,0,39000,0,0,1000,0,0,0,0,0,0,0,0,589000,115000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48000,0,0,0,0,0,0,0,0,4817000,0,0,0,0,0,0,17000,1361000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359000,0,0,27000,0,0,0,225000,0,0,0,0,0,0,0,0,0
"ECU",142000,5752000,2721000,611000,0,106000,7899000,4213000,0,0,0,8486000,1072000,40038000,3303000,0,685000,1948000,4060000,957000,1033000,42000,2221000,1000,1626000,0,48000,11938000,44793000,1000,72000,1238000,0,0,24000,0,0,2504000,1594000,0,0,70000,0,12000,0,5666000,4310000,0,3000,80704000,3274000,5162000,692000,0,0,0,45000,0,1732000,278000,0,725000,0,96000,0,41000,0,510000,0,0,0,0,0,0,0,12197000,0,80000,0,846000,0,17000,0,0,3000,0,0,0,0,29000,0,67000,0,0,0,0,0,0,59000,0,6000,750000,0,0,0,0,64000,0,2751000,0,0,88000,0,1194000,0,108000,0,0,0,0,0,0,42000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,0,0,0,0
"GHA",9078000,7208000,7944000,645000,0,0,6980000,7435000,1118000,225000,9000,34000,1910000,44424000,3901000,2328000,5516000,2123000,7168000,103922000,2223000,596000,403000,2249000,7614000,5000,0,17622000,41738000,21000,269000,6000,26000,0,227000,5000,425000,16888000,7452000,0,187000,2183000,0,54000,0,3981000,8763000,125000,0,68524000,4567000,2505000,0,0,0,0,1939000,895000,3066000,0,1000,103000,0,0,62000,26000,0,0,0,0,65000,0,0,2000,0,0,21000,0,70000,0,0,0,0,0,0,0,0,0,0,0,0,20000,0,0,0,0,0,0,0,35000,0,0,98000,11000,0,0,0,0,85000,0,0,0,0,115000,44000,0,0,0,1433000,0,0,19000,0,0,25000,0,0,0,0,0,82000,0,0,0,235000,0,0,0,0,0,0,1995000,0,0,0,0,0,0,0,0,0
"GIN",0,1372000,212000,0,0,0,92000,1107000,0,1000,5292000,0,0,6901000,9000,151000,6950000,26000,1104000,67000,185000,0,0,208000,1000,0,0,320000,4000,0,123000,3000,0,0,0,0,0,210000,15555000,0,1000,0,0,29000,0,0,0,0,0,5420000,1921000,0,0,0,0,0,87000,0,0,0,178000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3214000,0,0,0,0,0,0,0,0,0,0,54000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GLP",2000,2000,221000,0,0,0,22000,67000,0,0,0,42000,0,748000,5000,0,8000,1000,83842000,29000,3000,0,0,0,54000,8000,0,1552000,4000,0,0,0,0,0,0,0,0,350000,1000,0,0,0,0,0,0,0,32000,0,22000,7907000,0,0,0,0,19000,0,0,6000,0,7000,0,0,0,0,0,152000,0,0,0,0,0,0,0,6000,0,0,0,0,0,0,0,3000,0,0,0,0,767000,567000,2000,0,55000,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,57000,0,0,0,0,0,0,0,0,0,0,0,1000,0,2000,0,0,0,0,0,0,0,417000,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GUF",0,6000,71000,0,0,0,0,0,0,0,385000,34000,0,9000,0,0,77000,0,1502000,9000,0,0,0,61000,0,0,0,27000,359000,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,5000,0,8000,6789000,17000,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,499000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113000,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GUY",620000,51000,1544000,0,0,0,28722000,14000,0,0,0,133000,0,3005000,180000,49000,3974000,53000,2241000,31635000,9000,1000,0,49000,1777000,0,0,1105000,4878000,0,0,0,0,0,1000,1000,0,437000,7193000,3000,0,0,30000,0,0,0,2853000,0,5540000,32269000,803000,339000,68000,0,0,0,0,0,64000,0,0,0,0,0,0,249000,0,0,0,0,0,0,0,1745000,0,57000,0,24000,0,0,0,0,0,0,0,0,1039000,55000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HND",3000,2922000,1329000,0,0,6000,11696000,5465000,0,0,0,306000,0,36391000,3333000,0,1309000,323000,714000,832000,0,0,0,0,172000,0,0,11902000,15865000,0,31000,0,0,0,0,0,0,2464000,56000,0,80000,312000,1000,0,0,0,252000,0,1508000,94536000,222000,0,0,0,0,0,14000,0,8000,716000,0,0,0,6029000,0,106000,0,0,0,0,0,0,21000,627000,0,1000,0,5768000,0,0,0,3602000,0,5000,0,0,581000,0,0,0,57000,188000,1928000,7000,0,0,0,0,0,0,0,75000,0,0,0,0,4718000,0,0,0,0,0,0,0,0,7325000,0,0,0,0,0,0,0,26000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HTI",1000,43000,2347000,0,0,0,642000,1671000,0,0,0,0,0,833000,476000,0,83000,1000,4575000,426000,43000,1000,0,0,1000,0,0,3241000,2481000,0,0,0,0,0,0,0,0,359000,301000,0,0,0,0,0,0,0,91000,0,16000,29047000,0,0,0,0,0,0,1000,0,0,0,0,0,0,17000,0,24000,0,0,0,0,0,0,0,35000,0,0,0,0,0,0,0,0,0,0,0,0,51000,13000,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,2000,0,0,0,0,0,0,24000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISL",140000,126000,756000,0,0,4000,32000,1251000,0,1000,472000,19000,633000,11515000,7529000,4000,1402000,2437000,1505000,16255000,1488000,0,111000,0,391000,26000,0,3938000,223000,1357000,0,14000,0,0,3000,1000,0,913000,1707000,1000,15000,1913000,5576000,0,2000,9555000,7581000,0,0,27453000,57000,2000,2252000,22000,12000,0,33000,558000,0,62000,0,57000,9000,3000,35000,44000,0,0,0,0,1000,231000,0,0,0,27000,7000,1000,41000,87000,0,0,0,0,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188000,0,15000,5000,0,0,0,0,0,2000,0,0,1000,0,0,1000,1000,0,0,1000,133000,0,0,0,393000,0,0,0,0,0,0,0,0,0,0,9000,0,0,1000,0,0,0,1000,0,0,0,0,0,0,0,0,0
