"","ALB","AUS","AUT","BEL","BFA","BGR","BHR","BRA","CAN","CHE","CHN","CSK","DDR","DEU","DNK","EGY","ESP","FIN","FRA","GBR","GRC","GTM","HKG","HUN","IDN","IND","IRL","IRN","IRQ","ISL","ISR","ITA","JOR","JPN","KEN","KOR","KWT","LBN","LBY","LKA","MEX","MUS","MWI","MYS","NCL","NLD","NOR","NZL","PAK","POL","PRT","ROU","SAU","SGP","SLE","SUN","SWE","SYR","TCD","THA","TUN","TUR","USA","YUG","ZAF","ARG","CAF","CHL","COD","COG","DZA","GAB","GHA","MAC","MAR","MDG","MLT","NER","NGA","PHL","PRY","SEN","SLV","VEN","ZMB","AFG","COL","ETH","NIC","PER","CYP","ECU","JAM","SDN","SOM","AGO","ARE","BDI","BEN","BGD","BHS","BLZ","BMU","BOL","BRB","CIV","CMR","CRI","CUB","DOM","FJI","GIB","GIN","GLP","GMB","GUF","GUY","HND","HTI","KNA","LBR","MLI","MMR","MOZ","NPL","OMN","PAN","PNG","PRK","SHN","SUR","TGO","TTO","TZA","UGA","URY","VNM","DJI","FLK","KHM","KIR","LAO","MNG","MRT","QAT","RWA","SYC","WSM","YMD","GNB","GNQ","SPM","GRL","ZWE"
"GRC",4228000,25696000,27716000,55534000,2000,32935000,198000,1102000,16689000,20318000,2135000,29933000,24020000,710819000,12438000,24009000,76873000,2738000,212005000,144300000,0,25000,627000,11673000,55275000,4096000,1727000,16323000,19785000,42000,5636000,243263000,19133000,39459000,1096000,6454000,10711000,33153000,151729000,299000,23000,39000,20000,151000,54000,104315000,27527000,340000,3849000,34636000,2898000,41223000,12135000,2990000,174000,86738000,54501000,16320000,0,386000,37078000,466000,119987000,76273000,4605000,2590000,10000,28000,2390000,207000,31813000,42000,676000,0,2188000,408000,4419000,5000,68742000,229000,3000,335000,1000,343000,124000,9000,35000,936000,27000,132000,37543000,8000,49000,2129000,16000,0,3281000,219000,20000,0,0,0,39000,10000,34000,166000,560000,5000,1000,28000,1000,79000,1000,4000,1000,0,0,4000,24000,0,482000,2000,0,836000,0,1438000,60000,63000,1000,0,31000,14000,159000,172000,70000,331000,5000,91000,0,0,0,0,0,0,868000,0,0,0,0,0,0,0,0,0
"GTM",0,168000,4835000,7755000,0,0,2050000,340000,19145000,13262000,0,542000,3829000,66489000,4785000,2664000,10663000,10628000,16194000,70526000,83000,0,1550000,0,2324000,0,37000,241000,0,0,43000,39624000,582000,46325000,0,478000,3943000,638000,52000,0,5300000,0,0,136000,1000,10195000,2919000,46000,0,0,16750000,0,589000,92000,0,0,6977000,134000,0,1623000,0,11000,185485000,16000,66000,268000,0,17000,1000,0,118000,0,0,0,7000,0,0,0,3000,3000,3000,0,84314000,391000,1000,0,111000,0,36492000,36000,0,450000,1585000,0,0,0,0,0,0,0,3000,1861000,1000,236000,45000,0,0,39716000,0,2612000,0,0,0,516000,0,0,5000,23625000,415000,6000,0,0,0,0,0,18000,6284000,0,0,0,114000,0,291000,0,0,0,0,0,0,0,79000,0,0,0,173000,0,0,0,0,0,0,0,0,0
"HKG",0,229180000,43339000,61102000,443000,7000,9643000,10848000,167868000,99578000,5706000,564000,3019000,689551000,48523000,1049000,24793000,18543000,63093000,676813000,11509000,2042000,0,1985000,54910000,1872000,10059000,17975000,2172000,1774000,5801000,43649000,3028000,245922000,7536000,19616000,31623000,7526000,31268000,1235000,1606000,9257000,2324000,64834000,4351000,123187000,46396000,40607000,11097000,2798000,3820000,106000,34941000,180600000,1722000,4034000,121716000,3842000,83000,31505000,506000,1082000,1727407000,1860000,45610000,3052000,452000,1085000,9319000,824000,1518000,2930000,7642000,109771000,2624000,2346000,3840000,39000,94845000,34330000,318000,1452000,1148000,21159000,10980000,3353000,643000,3930000,883000,1770000,1970000,2574000,4257000,5200000,876000,252000,41260000,546000,1320000,2312000,102000,544000,1538000,730000,1104000,3882000,2503000,772000,1047000,1226000,7058000,375000,5000,399000,570000,89000,966000,1145000,739000,530000,2067000,359000,1396000,1281000,391000,1428000,3891000,12559000,234000,0,0,546000,3899000,5097000,1907000,425000,4162000,1e+06,0,379000,630000,194000,0,37000,2535000,321000,258000,653000,994000,59000,0,0,0,0
"HUN",0,3976000,139080000,25699000,45000,0,290000,17923000,14776000,51818000,0,0,0,363321000,26511000,13652000,13518000,28130000,92267000,57777000,12175000,139000,1302000,0,1948000,32710000,2207000,34920000,30227000,228000,5635000,214840000,2618000,11052000,1256000,0,14912000,0,10866000,311000,530000,183000,2000,86000,25000,67758000,14712000,380000,2823000,0,554000,0,4138000,2396000,0,0,55060000,9361000,44000,1070000,3373000,17127000,36909000,114423000,0,3605000,26000,387000,689000,124000,16112000,13000,965000,0,3391000,35000,864000,90000,5216000,64000,193000,84000,27000,2047000,202000,0,737000,2047000,57000,4830000,655000,1244000,20000,5229000,50000,0,0,125000,0,0,0,0,127000,0,70000,644000,96000,330000,0,0,64000,0,0,131000,733000,2000,0,310000,103000,0,350000,11000,73000,0,0,0,374000,77000,0,0,0,332000,165000,3893000,174000,283000,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0
"IDN",106000,26581000,3735000,55214000,0,431000,19000,563000,14349000,18726000,0,1721000,2361000,156425000,25186000,7000,30036000,1731000,55774000,33456000,1874000,18000,36230000,662000,593000,5562000,3184000,967000,7938000,32000,204000,54485000,60000,3432416000,175000,146802000,175000,447000,3000,1435000,492000,168000,11000,79327000,344000,124293000,4056000,3178000,46650000,6475000,2005000,0,824000,329000,0,27475000,9816000,156000,0,3585000,1317000,317000,2442232000,149000,0,26000,0,617000,0,4000,1977000,0,89000,77000,2683000,667000,3550000,0,305000,65681000,0,65000,30000,1839000,558000,4000,1792000,59000,6000,696000,2000,555000,631000,0,16000,0,0,0,0,19000,0,0,0,0,14000,0,31000,5000,0,0,43000,0,0,0,0,0,0,18000,11000,0,10000,0,70000,0,0,0,2657000,55000,19000,0,44000,0,262478000,261000,12000,57000,363000,0,0,13000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IND",0,59373000,12753000,53457000,169000,26509000,14545000,6065000,45859000,33006000,0,40965000,35273000,229485000,17530000,65488000,14520000,3600000,154972000,508868000,8209000,64000,37590000,17585000,40942000,0,20146000,434713000,71285000,689000,3743000,84969000,13562000,657659000,16225000,39035000,53066000,4100000,5579000,21255000,1359000,9586000,4013000,46572000,227000,47942000,7363000,20532000,2000,104169000,1201000,39943000,43644000,57818000,2481000,509416000,25379000,3905000,31000,16245000,952000,11152000,612420000,46669000,2095000,8691000,86000,1070000,649000,267000,17611000,14000,2560000,9000,1187000,847000,509000,269000,38623000,11681000,85000,493000,71000,871000,9103000,41361000,467000,3531000,150000,1972000,1284000,641000,1214000,76015000,543000,1000,65885000,129000,9870000,64875000,38000,18000,62000,419000,345000,1173000,1347000,112000,0,44000,3550000,75000,52000,239000,940000,16000,1509000,48000,68000,265000,1109000,5000,14196000,2382000,45399000,20294000,576000,1450000,7705000,0,530000,236000,2590000,16768000,5821000,1019000,408000,0,0,113000,14000,283000,0,0,10878000,12000,386000,103000,8130000,0,111000,0,0,0
"IRL",7000,16549000,7988000,89202000,1000,843000,509000,5739000,31051000,24316000,130000,1475000,932000,268449000,11819000,1419000,42013000,6626000,152583000,2025385000,4636000,3342000,961000,978000,474000,58000,0,2094000,3534000,428000,13058000,89713000,203000,34061000,4445000,272000,1767000,1502000,3198000,757000,947000,335000,135000,2168000,113000,85939000,8143000,1625000,81000,6962000,1925000,229000,599000,3399000,745000,22161000,34666000,2030000,5000,31626000,4205000,2499000,185153000,7184000,15545000,1399000,18000,396000,1075000,225000,4516000,36000,1146000,0,1450000,40000,1107000,12000,16579000,1962000,4000,48000,20000,2534000,31000,15000,256000,116000,46000,766000,3500000,170000,1924000,58000,664000,86000,1511000,8000,10000,878000,493000,119000,546000,654000,855000,492000,2368000,132000,3986000,162000,26000,118000,18000,309000,11000,0,88000,49000,6000,1344000,195000,56000,96000,518000,2000,1017000,52000,44000,0,3000,34000,12000,2616000,1201000,202000,830000,242000,1000,3000,0,2000,20000,0,4000,539000,16000,53000,1000,223000,34000,0,0,0,0
"IRN",26000,114197000,70824000,480246000,0,2666000,6201000,171043000,745270000,38786000,22299000,10616000,2924000,1470343000,285416000,61411000,348139000,152922000,1294461000,1554474000,36264000,6000,14200000,23192000,868000,18515000,62379000,0,8109000,49000,4438000,1134515000,7159000,4974522000,138168000,17916000,18071000,1909000,572000,30874000,56000,29495000,1734000,207000,18268000,1600714000,1778000,122102000,10957000,9367000,104569000,10122000,9378000,422912000,9000,111847000,292633000,3225000,3000,4927000,194000,26059000,1576557000,62142000,6386000,7402000,0,63028000,3917000,2000,2006000,0,3000,624000,8932000,2773000,33000,76000,5410000,36907000,2000,527000,6000,620000,2894000,14259000,1395000,2986000,0,143000,586000,285000,5000,1000,912000,0,11658000,2943000,6000,1000,0,0,3000,20000,14000,30934000,559000,14000,0,0,3440000,0,0,0,0,0,0,79000,0,0,0,28000,708000,103000,0,4327000,0,1927000,0,0,0,1257000,80949000,52628000,389000,1884000,3000,0,0,668000,0,0,177000,0,3013000,0,0,234000,2736000,0,0,0,0,11000
"IRQ",0,122208000,252238000,132127000,0,167000,338000,915353000,131694000,101000,7109000,130000,92000,121134000,14795000,17980000,496044000,15931000,1127002000,227432000,51897000,0,1591000,802000,58000,20020000,11210000,388000,0,10000,0,1672307000,1834000,396749000,7026000,1151000,6026000,6955000,28000,864000,586000,92000,10000,292000,2000,182738000,60000,16739000,17202000,353000,242217000,270000,1957000,107043000,0,6435000,10532000,53227000,18000,27486000,57799000,504171000,24095000,388827000,0,0,0,7000,2000,0,370000,0,7494000,0,138500000,146000,56000,18000,89000,27874000,0,20495000,0,19000,1627000,920000,0,159000,0,0,20546000,18000,0,1384000,5136000,0,762000,0,0,10451000,0,0,7388000,0,3000,16574000,0,0,0,0,24000,2566000,0,0,0,0,0,0,0,0,0,8000,0,0,0,26000,2729000,4000,0,0,0,539000,32000,65000,68000,15449000,0,95000,0,0,0,0,0,0,78000,0,0,0,1712000,0,0,0,0,0
"ISL",0,268000,1514000,3260000,0,17000,3000,2185000,428000,4086000,11654000,4153000,290000,21295000,12703000,15000,16348000,4593000,3e+06,35861000,5389000,0,2000,48000,0,0,158000,325000,0,0,96000,8175000,5000,4699000,0,141000,3000,0,0,19000,57000,0,1000,0,6000,1253000,5674000,3000,2000,3787000,36607000,145000,465000,0,0,32740000,8110000,29000,0,6000,11000,58000,88051000,545000,19000,93000,1000,0,403000,43000,3000,0,0,0,0,156000,2000,0,2297000,10000,0,3000,0,26000,1000,1690000,69000,22000,0,3000,4000,3000,6000,0,0,0,0,47000,0,0,0,0,0,0,13000,0,6000,102000,0,24000,1000,0,0,3000,0,0,0,2000,3000,0,0,1000,0,0,0,0,455000,0,0,0,0,0,55000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0
"ISR",0,17010000,23189000,68745000,211000,1039000,0,16242000,27727000,46764000,0,5298000,909000,175869000,13259000,0,20993000,20358000,126449000,178851000,59753000,286000,70254000,5112000,68000,1401000,8472000,55873000,0,457000,0,62495000,0,89064000,5590000,1300000,0,0,0,38000,1721000,2329000,461000,129000,47000,53340000,20253000,1321000,0,0,10949000,17943000,0,16511000,0,83000,32725000,0,3000,3900000,0,14623000,318466000,15492000,39185000,3128000,36000,104000,1994000,117000,0,2107000,2047000,0,0,0,1729000,0,15895000,1293000,5000,147000,479000,6395000,4465000,0,246000,4846000,575000,3021000,6642000,311000,184000,0,0,0,0,57000,346000,0,67000,0,29000,1149000,94000,1415000,463000,311000,0,55000,29000,44000,4000,69000,1000,3000,2000,23000,4000,0,6000,0,1459000,0,4000,0,232000,110000,0,0,0,21000,3e+05,2299000,195000,179000,59000,43000,0,45000,0,1000,0,0,0,0,0,1000,0,0,3000,0,0,0
"ITA",16549000,242548000,759346000,1196759000,2538000,131615000,29072000,622576000,372633000,1313243000,146347000,121663000,88723000,7048066000,269682000,232442000,832837000,166181000,4748658000,1785546000,438396000,13234000,66293000,189321000,75531000,108653000,94726000,417964000,164533000,6792000,205880000,0,34742000,365441000,34501000,28904000,108126000,183364000,918404000,5443000,108791000,4618000,3544000,49809000,13648000,1201102000,150497000,48823000,66293000,402542000,193085000,213584000,163439000,89356000,6996000,1019663000,477798000,153579000,4804000,60115000,132677000,356377000,2602626000,868939000,339473000,184249000,945000,25145000,48246000,4876000,473405000,10735000,21137000,265000,99843000,10197000,68185000,1489000,368946000,32126000,2474000,16867000,14435000,314622000,37130000,1405000,38990000,33108000,13505000,55299000,19792000,32487000,7691000,69937000,49495000,13052000,87627000,1886000,2986000,21600000,6534000,302000,1868000,13185000,1645000,57246000,34359000,9357000,91443000,14332000,1227000,7282000,2668000,13899000,2541000,951000,2057000,3917000,1573000,4036000,3454000,3142000,1778000,9022000,552000,23033000,8686000,3126000,12163000,11000,2303000,6696000,5111000,26936000,10837000,13097000,23079000,1078000,36000,117000,807000,685000,571000,1646000,22583000,5629000,190000,64000,4193000,1436000,648000,893000,519000,71000
"JOR",0,0,1000,615000,0,3216000,99000,0,7000,8000,0,3848000,0,1590000,24000,3873000,1342000,0,2454000,1625000,130000,0,0,0,201000,13029000,5000,15842000,7268000,0,0,4860000,0,11752000,0,0,15224000,6063000,90000,824000,0,0,0,863000,0,170000,9000,0,5000,1048000,0,10309000,38450000,0,0,0,4000,15817000,0,0,1000,8894000,689000,2225000,0,0,0,0,0,0,3000,0,0,0,1000,0,0,0,155000,0,0,0,0,0,0,0,0,69000,0,0,8000,0,0,4025000,0,0,1170000,0,0,953000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14000,0,0,0,0,0,0,0,119000,0,0,0,0,0,0,5000,1903000,0,0,0,0,0,0,0,0,0,0,458000,0,0,0,0,0,0,0,0,0
"JPN",753000,1736551000,140275000,420017000,3054000,54201000,69159000,1256343000,1184349000,322931000,2257102000,44781000,48988000,1785645000,215891000,129956000,384709000,174493000,999519000,1482160000,443809000,64783000,1411300000,32381000,1477403000,506515000,66231000,1853290000,764461000,11275000,88767000,454527000,53437000,0,81446000,2431998000,387121000,83493000,293260000,63615000,291579000,26070000,18471000,707625000,18759000,483336000,594095000,426254000,278028000,257161000,129552000,135505000,643858000,1373800000,12874000,1625206000,504393000,87384000,2027000,1034589000,11444000,210887000,12275914000,181846000,874862000,493613000,1107000,77990000,56179000,3110000,220233000,9612000,51343000,2483000,30091000,14221000,10290000,1179000,595107000,1052108000,11108000,4514000,41238000,469490000,83272000,67601000,138210000,36401000,37138000,207834000,11985000,148693000,42426000,87388000,922000,18381000,420145000,2605000,11799000,125765000,1697000,1330000,2266000,88971000,3769000,44611000,23587000,61148000,438371000,57039000,42063000,1695000,2975000,3838000,2192000,1129000,14295000,26609000,9680000,3492000,19366000,2487000,74214000,23833000,13893000,70155000,44121000,71356000,179722000,0,14050000,4980000,51503000,48106000,14921000,12231000,81843000,8680000,49000,135000,7377000,4107000,807000,3853000,122508000,4579000,5822000,3660000,21174000,976000,205000,31000,612000,158000
"KEN",0,3846000,2010000,11525000,2000,2000,963000,220000,12108000,7095000,3769000,2269000,67000,69596000,5216000,7302000,3576000,9283000,11527000,86403000,4395000,0,6231000,332000,697000,10578000,3964000,1557000,3282000,2000,2882000,19783000,1680000,26268000,0,1877000,1217000,108000,2061000,221000,4853000,5936000,977000,2689000,25000,16855000,1078000,1538000,12013000,633000,1244000,443000,2893000,13852000,0,754000,13303000,670000,0,2300000,0,288000,41219000,687000,176000,451000,0,0,2689000,0,544000,0,552000,0,980000,1791000,2000,0,2147000,937000,13000,417000,0,76000,11027000,3000,1000,4219000,0,0,8000,0,129000,5623000,8898000,0,0,1625000,0,0,0,0,1000,0,184000,60000,32000,0,0,0,29000,0,0,0,27000,0,0,0,0,0,60000,0,88000,803000,0,0,0,5000,0,0,0,0,88000,0,0,0,0,0,0,0,0,0,0,0,0,11089000,5333000,0,2226000,0,0,0,0,0
"KOR",0,60563000,16186000,32691000,10000,176000,2232000,6577000,163434000,21031000,0,53000,29000,296961000,22372000,2815000,17450000,7977000,57699000,165148000,2320000,163000,188793000,0,39921000,970000,9488000,91576000,24849000,1170000,15597000,65336000,1249000,1309839000,1054000,0,30935000,4170000,17116000,2508000,811000,713000,665000,14584000,62000,90239000,6404000,21202000,12283000,3898000,449000,0,23030000,61146000,440000,0,49673000,2379000,162000,21524000,250000,2229000,1561617000,13410000,11780000,11626000,2000,278000,298000,15000,26000,60000,2157000,18000,1117000,35000,88000,1000,33485000,8675000,3000,125000,1953000,1890000,36000,792000,357000,1010000,146000,1136000,546000,1218000,553000,43108000,202000,0,8569000,0,2155000,4827000,21000,0,107000,1022000,189000,611000,308000,1414000,0,955000,1018000,13000,36000,12000,23000,1000,260000,456000,8000,0,92715000,0,11567000,243000,860000,2526000,2061000,176000,0,0,282000,30000,1109000,83000,219000,7e+05,4419000,0,0,297000,0,366000,0,11000,0,0,0,13000,153000,0,81000,13000,208000,0
"KWT",0,129940000,1000,230809000,0,69000,5996000,369566000,108655000,53893000,3254000,54000,0,224674000,71214000,8532000,140481000,0,648630000,926926000,29000,0,10521000,70000,28023000,53068000,72150000,101211000,11205000,4603000,0,357893000,3710000,2011532000,890000,553478000,0,5343000,42000,1089000,0,0,3001000,145380000,161000,485564000,1000,86536000,88394000,32954000,0,99031000,204929000,253820000,0,5000,46490000,12594000,1000,109979000,9000,22351000,126997000,204000,0,17888000,0,0,0,0,4058000,0,0,87000,564000,686000,0,7000,5376000,151756000,0,32000,0,0,1000,1131000,0,1831000,0,24000,13000,0,0,20589000,1153000,0,96593000,0,0,1839000,0,0,0,0,0,0,130000,0,0,0,3000,0,0,1000,0,0,0,0,0,0,0,0,0,905000,0,9817000,0,0,2359000,0,0,314000,1000,5365000,13000,80565000,0,3000,0,0,0,0,0,0,10888000,0,0,0,37740000,0,0,0,0,0
"LBN",0,717000,2630000,3640000,0,0,5076000,328000,1294000,3660000,0,0,0,20441000,2726000,83969000,2251000,618000,4083000,17065000,58953000,3000,258000,0,1494000,215000,271000,26779000,48595000,23000,0,10729000,39920000,1779000,75000,17100000,51333000,0,87232000,69000,66000,0,4000,136000,0,3133000,1511000,4000,551000,0,258000,0,434588000,263000,0,0,3903000,67186000,56000,25000,276000,27703000,28825000,4251000,0,22000,83000,5000,843000,4000,1686000,0,2732000,0,1545000,0,17000,11000,13824000,3139000,0,171000,0,1187000,85000,232000,0,577000,21000,0,3281000,46000,23000,6291000,4000,0,0,0,0,0,0,0,1000,0,0,117000,5000,0,0,0,0,0,0,69000,4000,0,0,0,0,0,1271000,2000,0,0,0,0,11000,1000,0,0,0,1000,1000,93000,275000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LBY",0,0,90177000,64049000,0,9461000,0,214079000,35539000,31718000,0,0,22592000,1413677000,13544000,3031000,301970000,14000,200131000,283840000,18269000,0,0,0,0,18000,4000,0,7000,0,0,1248403000,0,281324000,0,45000,56000,1276000,0,0,2000,0,0,4000,0,46622000,3952000,0,904000,0,64000,69512000,101000,12000,0,0,1710000,522000,96000,0,233000,77987000,1119966000,43916000,0,142440000,0,0,16900000,0,10000,0,42678000,0,280000,0,196000,44000,0,0,0,5000,0,0,0,0,0,0,0,32305000,627000,0,3000,8000,2000,0,0,0,0,0,302470000,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,0,0,0,0,0,6000,0,0,0,0,0,0,0,0,0,0,116000,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LKA",0,17136000,2959000,1535000,1000,38000,777000,47000,12630000,3984000,65422000,1243000,3825000,25696000,2371000,8634000,7110000,291000,14405000,60191000,1008000,318000,8237000,510000,969000,347000,2385000,14923000,19620000,24000,98000,12777000,1893000,30763000,287000,108000,5994000,2023000,23459000,0,2815000,179000,91000,1157000,128000,9753000,782000,6490000,52469000,5541000,1354000,2731000,11048000,18100000,29000,14583000,9389000,3365000,1000,184000,7161000,117000,45545000,3158000,17152000,149000,1000,1128000,0,4000,98000,0,62000,0,227000,18000,294000,1000,157000,1e+05,5000,18000,173000,13000,77000,3300000,247000,745000,227000,342000,101000,326000,60000,1000,16000,0,1684000,0,0,1404000,0,0,4000,190000,192000,152000,8000,21000,0,8000,746000,2758000,0,10000,4000,0,0,82000,1000,0,17000,0,0,54000,4000,480000,29000,419000,0,0,0,0,6000,160000,20000,231000,0,24000,0,0,0,0,0,0,0,0,0,45000,519000,0,0,0,0,0
"MEX",0,7083000,6404000,25774000,0,2000,30000,116897000,93681000,33207000,33679000,1006000,1977000,118522000,7558000,5000,38087000,3790000,95319000,23974000,3002000,22133000,1823000,404000,9569000,6934000,1051000,1388000,842000,17000,743000,73610000,23000,212219000,83000,2518000,3775000,3811000,287000,1000,0,9000,4000,1129000,107000,36819000,7852000,1687000,136000,2540000,25307000,63000,51000,7903000,0,3814000,15218000,11000,0,2845000,168000,64000,3054791000,8077000,711000,58062000,8000,23149000,276000,0,1971000,0,6000,1000,20402000,92000,1e+05,0,530000,1522000,1002000,3345000,12305000,59404000,116000,0,30584000,35000,9651000,30930000,7000,11007000,3187000,7000,4000,0,27000,0,0,35000,3120000,714000,450000,1e+06,114000,1175000,39000,26235000,30024000,6642000,103000,0,0,256000,0,2000,304000,7150000,465000,22000,1000,2000,0,0,0,0,9672000,571000,0,0,266000,2000,1409000,19000,0,14118000,44000,0,0,0,30000,0,0,0,0,0,0,6000,0,54000,0,0,0,0
"MUS",0,372000,28000,1649000,0,0,0,0,61992000,812000,0,0,2000,6013000,73000,0,351000,28000,19073000,230023000,0,0,1839000,0,0,12000,260000,0,0,0,202000,22000,0,724000,56000,0,0,0,0,28000,9000,0,40000,385000,3000,1850000,62000,1000,9000,0,0,0,0,452000,0,149000,70000,0,0,0,0,0,17570000,0,3136000,9000,2000,0,0,2000,0,0,1000,0,0,272000,1000,0,6000,0,0,2000,0,0,559000,11000,7000,1000,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,2000,0,0,0,0,10000,0,0,2000,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68000,0,0,0,0,0,0,0,303000,1194000,0,0,0,0,0,0,0
"MWI",0,2381000,1000,1193000,0,0,5000,0,243000,681000,0,0,0,3149000,1491000,1845000,1641000,417000,6353000,62753000,243000,0,186000,0,58000,1000,7093000,0,15000,0,54000,433000,0,1500000,42000,0,23000,0,0,0,0,7000,0,21000,0,9242000,1194000,844000,33000,0,2e+05,0,643000,75000,2332000,0,457000,0,0,1000,101000,8000,12415000,10000,6720000,0,24000,0,1522000,31000,0,102000,8000,0,2000,77000,19000,0,174000,1000,0,26000,0,5000,5588000,0,0,718000,0,0,1000,0,0,2000,0,17000,0,0,63000,0,0,40000,0,0,0,2000,252000,0,0,0,215000,1000,276000,0,271000,0,0,0,0,0,729000,0,0,129000,0,0,0,1026000,0,43000,0,65000,0,4077000,0,19000,0,0,0,0,0,0,0,0,9000,8000,0,0,0,0,0,0,0,8842000
"MYS",10000,73717000,14123000,33291000,74000,4082000,2150000,2891000,55782000,6310000,53257000,4006000,2958000,227530000,13028000,449000,57507000,6894000,138428000,256768000,8630000,1000,53361000,286000,20413000,16782000,5390000,3099000,66819000,36000,220000,109761000,1675000,692154000,7983000,122791000,2133000,451000,20000,2206000,3238000,2171000,158000,0,174000,104283000,8605000,17911000,57791000,45848000,12108000,4245000,1454000,944986000,0,101444000,28552000,3173000,4000,13903000,591000,12534000,818366000,24623000,6120000,8249000,26000,1695000,76000,59000,8075000,0,6454000,15000,3513000,1308000,167000,5000,1881000,55449000,0,98000,0,1926000,1784000,49000,4013000,95000,0,5607000,40000,390000,650000,93000,21000,0,0,4000,0,7116000,0,0,50000,0,338000,756000,276000,23000,9000,0,5e+05,0,0,98000,9000,9000,0,145000,0,0,308000,42000,3694000,1549000,9000,2675000,7000,1150000,89000,0,0,217000,778000,2465000,671000,2585000,44000,0,0,98000,0,13000,0,0,168000,0,0,8000,1e+05,0,0,0,4000,0
"NCL",0,1346000,1323000,1038000,0,0,1000,0,5000,1000,0,0,0,18647000,20000,0,2152000,6000,225687000,4501000,0,0,169000,0,0,1000,4000,0,0,0,0,14319000,0,94232000,0,0,0,0,0,0,0,0,0,0,547000,11000,0,357000,0,0,3000,0,104000,39000,0,0,16323000,0,0,0,0,0,68527000,0,0,0,0,4000,0,0,69000,18000,0,0,0,10000,0,0,0,36000,0,0,0,350000,0,0,31000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,3000,0,0,0,4000,0,0,16000,0,0,0,0,0,0,0,0,0,0,0,1000,0,5000,0,0,0,0,9000,0,0,0,9000,0,0,0,2645000,0,0,0,0,0,0,45000,0,0,0,0,0,0
"NLD",4681000,155216000,286098000,5136430000,3855000,31292000,18777000,215828000,155587000,533763000,126723000,85851000,114959000,9529256000,602992000,107442000,436717000,201526000,3387842000,4011432000,214465000,10803000,67622000,79592000,133089000,69458000,121546000,332710000,60985000,33166000,182058000,1800692000,17897000,214377000,19459000,19927000,49921000,35169000,72632000,6560000,58362000,4996000,5391000,31143000,12873000,0,437470000,42567000,26837000,178022000,137619000,55027000,122170000,118404000,6257000,199884000,844374000,47437000,7859000,33440000,34075000,138217000,1156214000,118944000,179515000,92658000,1951000,33082000,32909000,5055000,109611000,16300000,21299000,171000,96244000,6519000,17503000,3045000,256796000,51310000,1176000,16397000,19632000,121763000,20337000,5065000,23213000,9754000,7465000,84472000,8529000,17041000,12312000,35170000,1262000,9031000,95654000,1604000,10053000,41404000,21354000,3321000,2544000,4046000,3161000,32954000,19266000,8301000,41989000,6229000,2696000,14025000,4294000,11441000,2877000,1228000,7927000,5182000,3963000,4838000,11671000,3188000,6939000,5802000,748000,21774000,10208000,3807000,1260000,46000,29807000,12766000,11752000,21983000,3646000,8560000,15253000,2047000,10000,45000,291000,1529000,0,1624000,16025000,1064000,649000,123000,5519000,4608000,126000,282000,2263000,3000
"NOR",17000,58546000,45362000,169303000,59000,4013000,1443000,72985000,111378000,63705000,102920000,20882000,48158000,777250000,502039000,5687000,71516000,196940000,294618000,1329552000,59291000,689000,2834000,8692000,2608000,9077000,18711000,13357000,2416000,51739000,12148000,153080000,502000,75906000,3627000,3819000,2367000,3477000,3129000,507000,3258000,181000,842000,6014000,595000,238709000,0,4738000,3412000,43743000,44724000,9974000,19915000,21871000,120000,94763000,1194565000,930000,490000,6758000,1133000,19574000,425542000,27286000,37273000,15413000,5000,6200000,9126000,19000,2504000,19000,26326000,1303000,3423000,89000,1150000,11000,57592000,4958000,290000,263000,2042000,7052000,4059000,292000,884000,730000,46000,6745000,660000,1524000,5079000,470000,26000,4478000,2527000,76000,29000,1289000,14435000,222000,90000,151000,1729000,3645000,751000,1693000,9211000,3022000,259000,747000,750000,1668000,8000,21000,540000,37000,419000,0,7785000,17000,122000,1565000,19000,1586000,547000,238000,117000,5000,933000,173000,10068000,3727000,927000,1883000,21390000,9000,0,39000,22000,0,10000,1000,895000,30000,57000,9000,2472000,467000,0,340000,0,0
