"","ALB","AUS","AUT","BEL","BFA","BGR","BHR","BRA","CAN","CHE","CHN","CSK","DDR","DEU","DNK","EGY","ESP","FIN","FRA","GBR","GRC","GTM","HKG","HUN","IDN","IND","IRL","IRN","IRQ","ISL","ISR","ITA","JOR","JPN","KEN","KOR","KWT","LBN","LBY","LKA","MEX","MUS","MWI","MYS","NCL","NLD","NOR","NZL","PAK","POL","PRT","ROU","SAU","SGP","SLE","SUN","SWE","SYR","TCD","THA","TUN","TUR","USA","YUG","ZAF","ARG","CAF","CHL","COD","COG","DZA","GAB","GHA","MAC","MAR","MDG","MLT","NER","NGA","PHL","PRY","SEN","SLV","VEN","ZMB","AFG","COL","ETH","NIC","PER","CYP","ECU","JAM","SDN","SOM","AGO","ARE","BDI","BEN","BGD","BHS","BLZ","BMU","BOL","BRB","CIV","CMR","CRI","CUB","DOM","FJI","GIB","GIN","GLP","GMB","GUF","GUY","HND","HTI","KNA","LBR","MLI","MMR","MOZ","NPL","OMN","PAN","PNG","PRK","SHN","SUR","TGO","TTO","TZA","UGA","URY","VNM","DJI","FLK","KHM","KIR","LAO","MNG","MRT","QAT","RWA","SYC","WSM","YMD","GNB","GNQ","SPM","GRL","ZWE"
"CHN",0,85951000,13312000,44593000,2453000,0,36516000,1130000,55362000,30975000,0,0,0,210665000,21632000,37098000,34268000,23198000,173096000,127762000,1486000,612000,1373718000,0,203477000,0,2763000,61419000,68149000,466000,1143000,128815000,8420000,1533091000,4077000,181000,49508000,0,71553000,93805000,5395000,9596000,2000,147775000,1275000,80137000,8227000,13654000,53491000,0,972000,0,4720000,287908000,0,0,47124000,46968000,1182000,16867000,7486000,22032000,164897000,18510000,0,691000,260000,286000,6126000,5643000,26225000,5172000,15514000,29290000,27834000,11868000,3016000,1816000,69862000,50684000,10000,8648000,0,15438000,26548000,2833000,2000,4960000,197000,976000,262000,1133000,919000,45881000,9604000,0,0,2955000,0,0,0,0,25000,0,585000,5378000,5561000,197000,0,0,3231000,0,0,96000,3993000,14000,0,782000,4e+05,0,5442000,26557000,20514000,0,0,0,872000,9575000,0,0,0,6619000,2413000,78919000,5793000,182000,0,0,0,0,0,0,0,0,0,0,0,355000,0,0,0,0,0,0
"CSK",0,19885000,190914000,50209000,1274000,0,737000,27537000,45644000,66076000,0,0,0,463716000,40568000,58822000,27008000,31147000,104400000,130940000,30876000,998000,5785000,0,5290000,50160000,11525000,43971000,60827000,4057000,619000,126555000,4471000,25791000,1944000,1000,11098000,0,16117000,189000,6293000,152000,5000,1138000,230000,85220000,37576000,4519000,6206000,0,1957000,0,9002000,5293000,0,0,77186000,53942000,996000,4414000,5557000,24528000,32607000,318185000,0,8038000,60000,51000,1919000,71000,16854000,0,3044000,5000,14656000,64000,4441000,28000,29383000,1158000,444000,1871000,264000,7879000,2416000,2871000,3614000,3177000,341000,8669000,5619000,3255000,135000,2695000,78000,0,0,738000,0,0,0,0,37000,0,149000,613000,1625000,1114000,0,0,347000,0,0,131000,465000,1000,0,741000,535000,0,1113000,60000,6283000,0,0,0,529000,188000,0,0,0,911000,722000,622000,558000,1379000,0,0,0,0,0,0,0,0,0,0,0,6000,0,0,0,0,0,0
"DDR",0,5332000,59808000,81093000,155000,0,164000,38967000,5294000,23202000,0,0,0,0,60760000,100891000,29204000,55838000,163399000,85811000,38775000,96000,566000,0,733000,41824000,4882000,9158000,20215000,920000,156000,86948000,706000,28722000,405000,0,9626000,0,11366000,3452000,2191000,11000,1000,536000,92000,77349000,32754000,541000,941000,0,1734000,0,454000,3248000,0,0,161544000,15644000,157000,886000,3613000,12994000,9777000,223400000,0,333000,27000,389000,979000,47000,25438000,0,522000,0,9692000,701000,355000,169000,4201000,8000,0,1025000,0,259000,28000,44000,4013000,26000,0,414000,832000,852000,103000,2770000,325000,0,0,263000,0,0,0,0,111000,0,3000,6066000,1358000,77000,0,0,31000,0,0,135000,375000,9000,0,93000,0,0,68000,669000,2000,0,0,0,98000,125000,0,0,0,207000,221000,187000,32000,1087000,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0
"DEU",12771000,681779000,3810910000,6837636000,6454000,413645000,29184000,1498563000,778224000,3721530000,518201000,655881000,0,0,2095937000,430377000,1695852000,1134786000,10329159000,4499353000,882259000,54192000,209309000,560417000,364070000,493663000,270046000,2042254000,774340000,53239000,457709000,6644936000,78610000,1166389000,73464000,192667000,282518000,161080000,441232000,39422000,480588000,21962000,9969000,178772000,23850000,8724413000,1549134000,122468000,131524000,1293581000,441448000,659251000,288118000,271803000,10638000,2781917000,3623268000,230682000,3134000,171825000,123846000,1017269000,5731260000,1660826000,1376763000,423989000,4743000,127948000,95380000,13045000,719673000,16385000,90549000,420000,213348000,31441000,34860000,5049000,886426000,141776000,16903000,32396000,34865000,483654000,68173000,43520000,142165000,30285000,29748000,255256000,20876000,96253000,34668000,88018000,9859000,35821000,145286000,7552000,12865000,43844000,5459000,763000,2415000,46336000,5691000,65280000,51450000,38798000,125617000,23440000,3019000,7708000,3097000,16390000,2719000,1156000,6589000,13437000,4903000,2747000,32857000,13721000,16113000,36303000,4726000,80457000,15058000,8834000,75523000,23000,9035000,18982000,19083000,59476000,15581000,42490000,11284000,1124000,28000,603000,673000,1112000,565000,13397000,46924000,5018000,227000,275000,2204000,2045000,653000,253000,121000,2479000
"DNK",723000,41923000,81214000,149630000,288000,11077000,6587000,49761000,76835000,143472000,22140000,29205000,25385000,1139231000,14114000,9726000,100851000,225708000,293098000,1385056000,37224000,1498000,22541000,26588000,12143000,12193000,29615000,44557000,39193000,49306000,18098000,420394000,6446000,146316000,7900000,5648000,22613000,11288000,11272000,4287000,6235000,730000,1852000,9584000,1662000,234971000,561615000,11691000,5954000,131054000,38827000,8959000,9837000,27896000,1462000,61565000,1275597000,9853000,182000,14407000,10132000,28930000,481869000,42062000,31650000,7131000,92000,10647000,4073000,1764000,23127000,84000,4072000,93000,13783000,708000,2325000,71000,61362000,14297000,192000,1643000,1447000,22802000,5893000,3804000,5507000,3173000,1674000,7175000,3818000,3815000,1660000,3222000,445000,2861000,16827000,691000,1186000,5766000,960000,912000,1825000,3906000,1131000,1537000,2043000,1414000,26524000,1896000,304000,1271000,1371000,1753000,368000,51000,1825000,895000,835000,2378000,4244000,481000,1801000,888000,191000,4117000,2060000,954000,19962000,18000,1154000,4162000,5447000,19063000,1086000,845000,3534000,396000,7000,63000,67000,59000,53000,77000,5143000,431000,262000,32000,5013000,553000,24000,30000,108737000,83000
"EGY",0,131000,2398000,16230000,15000,34137000,1e+05,14547000,327000,7424000,52505000,103317000,82314000,134702000,4885000,0,18092000,4298000,41889000,90852000,5933000,7000,25000,15629000,982000,8282000,1087000,2722000,10053000,22000,0,165765000,19502000,12578000,158000,1278000,5005000,9322000,23575000,3547000,10000,13000,15000,1205000,0,25990000,1701000,6000,13000,45513000,2370000,64617000,13818000,8524000,166000,606110000,5267000,6614000,0,11858000,2735000,541000,32137000,19288000,92000,0,15000,1000,144000,12000,12089000,0,3106000,0,374000,334000,2000,52000,1563000,91000,0,12000,0,50000,55000,1000,98000,48000,4000,0,652000,6000,42000,17952000,1267000,0,0,87000,5000,1497000,0,0,23000,0,149000,268000,8000,0,1294000,0,2000,0,216000,38000,0,9000,0,0,0,0,22000,833000,0,0,0,1214000,0,420000,8117000,0,0,24000,8000,2053000,50000,0,0,62000,0,0,0,0,0,2385000,1153000,0,0,0,113000,0,0,0,0,0
"ESP",1000,41710000,47255000,274973000,672000,8195000,1620000,115841000,100196000,150915000,23296000,24949000,16233000,923535000,85831000,32115000,0,88715000,1260800000,681474000,113282000,8322000,6515000,14088000,2372000,11613000,26844000,100508000,45280000,4565000,30934000,283730000,7755000,118150000,3609000,4897000,70572000,3.5e+07,88544000,227000,57467000,274000,769000,3418000,3140000,310991000,57569000,7193000,2261000,81094000,164831000,36257000,10858000,9777000,1365000,74816000,148822000,29732000,614000,6361000,35639000,31072000,915420000,43151000,69727000,38694000,1077000,30033000,11816000,4938000,219880000,5445000,5411000,5000,112727000,829000,3740000,2304000,85734000,8651000,1487000,2681000,5262000,125705000,1637000,72000,54734000,491000,7318000,24068000,3231000,21305000,2810000,1491000,292000,8393000,14539000,412000,2742000,17000,0,0,465000,5477000,645000,14180000,6232000,8597000,176972000,12877000,741000,0,5359000,1123000,1646000,91000,379000,2354000,752000,0,1737000,206000,760000,2291000,0,0,6657000,162000,398000,0,0,2056000,2776000,1901000,178000,5919000,84000,307000,0,2000,0,3000,0,4544000,1058000,0,0,7000,79000,0,7871000,24000,0,0
"FIN",42000,41102000,46423000,95518000,6000,5899000,161000,36372000,28409000,73379000,15811000,30203000,43641000,519934000,266469000,14457000,71821000,0,218550000,882470000,28144000,282000,2309000,29697000,4372000,2080000,41882000,57284000,15018000,11333000,34208000,75674000,835000,33504000,4260000,392000,2362000,5921000,3778000,849000,17009000,386000,1438000,1199000,273000,149248000,280334000,3043000,3792000,70061000,21008000,3332000,4976000,1482000,384000,1129982000,1007593000,1889000,7000,1301000,3252000,10996000,158592000,5245000,29874000,49231000,17000,1473000,345000,2000,20355000,491000,1962000,0,7459000,4000,458000,199000,8050000,1237000,3000,1906000,104000,12014000,1644000,32000,5059000,564000,270000,5775000,2145000,643000,708000,617000,186000,226000,746000,13000,5000,274000,49000,8000,39000,146000,134000,2435000,1087000,299000,9327000,417000,3000,95000,54000,9000,7000,4000,49000,55000,146000,440000,565000,22000,60000,241000,14000,1356000,412000,55000,74000,3000,131000,160000,279000,5556000,165000,2664000,401000,5000,0,91000,0,20000,95000,19000,248000,9000,20000,0,366000,0,0,3000,0,1000
"FRA",3816000,189935000,377491000,5349497000,65684000,122217000,18375000,374949000,479912000,1841268000,377349000,158920000,179833000,8867530000,389069000,421684000,1356922000,317439000,3641000,3564674000,318442000,10949000,92841000,164794000,89333000,206125000,190594000,519231000,263205000,12801000,154971000,5109860000,23714000,500569000,26129000,137323000,78843000,161817000,313104000,60880000,158351000,28502000,2735000,70686000,300766000,2537348000,362153000,34038000,59676000,626599000,293628000,202396000,92663000,112654000,9517000,1146939000,755140000,125893000,44838000,80239000,488138000,264406000,2247042000,350723000,432684000,144985000,38840000,34632000,101951000,81912000,2003326000,298458000,30279000,714000,774369000,149941000,17253000,30053000,500959000,68634000,3131000,241067000,5497000,165306000,15929000,5359000,70833000,13245000,3982000,55086000,21313000,21681000,9923000,21558000,2505000,36718000,135032000,5561000,54789000,77197000,5032000,226000,2705000,11494000,3723000,440478000,276724000,11332000,105167000,9180000,1716000,3741000,40484000,439655000,1765000,50904000,3715000,3778000,6632000,4051000,10349000,64776000,3367000,20876000,2756000,31493000,10470000,1047000,22659000,7000,3497000,60959000,6443000,11422000,4805000,9759000,21719000,37060000,23000,1132000,5277000,3767000,138000,100521000,14956000,6528000,901000,184000,2622000,4157000,2411000,5662000,204000,149000
"GBR",1424000,1520198000,374120000,1830684000,3844000,51884000,108234000,359100000,1200935000,816096000,178795000,113426000,71996000,2749855000,1060451000,178887000,775469000,658841000,2559563000,0,256465000,23543000,346300000,97193000,164703000,322282000,1836280000,989188000,238158000,52066000,560710000,1272062000,68312000,810049000,187580000,123031000,244205000,153792000,194740000,32111000,189954000,54933000,60644000,353530000,10415000,1937706000,914783000,629032000,134575000,399468000,336469000,87611000,304273000,403578000,46716000,464790000,1974931000,70674000,2803000,148619000,73945000,334163000,4028121000,237404000,1523986000,136719000,1237000,47876000,53668000,2813000,205692000,5285000,116184000,2535000,83195000,5406000,99536000,2595000,1387948000,137229000,19838000,11008000,15658000,212903000,183877000,12662000,56730000,23399000,12470000,93442000,58844000,38773000,146908000,148762000,8383000,31061000,439742000,4349000,15815000,33584000,17040000,14289000,38997000,11619000,46978000,37965000,22607000,22975000,81797000,15797000,35769000,30196000,8078000,7237000,11686000,741000,65582000,11763000,3924000,54378000,31531000,3576000,14987000,38165000,4987000,216459000,11970000,18980000,1456000,3705000,12765000,16484000,131150000,107262000,33193000,26038000,1405000,8751000,4563000,453000,7057000,1118000,76000,8770000,123511000,1237000,8537000,1269000,18560000,5502000,1552000,411000,10752000,2698000
