"","BRB","CHN","DEU","DNK","ESP","FRA","GBR","GLP","GTM","HKG","IRL","ITA","MYS","NLD","NZL","PRT","USA","ARG","AUS","AUT","BEL","BRA","CAN","CHE","CYP","EGY","FIN","GRC","GRL","IDN","IND","ISL","JPN","KOR","LBY","LKA","MEX","MLT","NOR","SAU","SGP","SWE","THA","TUR","URY","YUG","CHL","COL","JAM","PHL","TGO","BOL","CRI","DZA","ECU","FJI","GUF","SLV","TUN","VEN","JOR","KWT","MAR","OMN","PAK","PER","PNG","QAT","AFG","AGO","ALB","ARE","BEN","BFA","BGD","BGR","BHR","BHS","BLZ","BMU","CAF","CIV","CMR","COD","COG","CSK","CUB","DDR","DOM","ETH","GAB","GHA","GIB","GIN","GNQ","GUY","HND","HTI","HUN","IRN","IRQ","ISR","KEN","KHM","KNA","LAO","LBN","LBR","MAC","MDG","MLI","MMR","MNG","MOZ","MRT","MUS","NCL","NGA","NIC","PAN","POL","PRK","PRY","ROU","RWA","SDN","SEN","SOM","SUN","SUR","SYR","TTO","TZA","VNM","YMD","ZAF","ZWE","ATF","BDI","DJI","FLK","GMB","KIR","MWI","NER","NPL","SLE","SYC","TCD","UGA","WSM","ZMB","GNB","SHN","SPM","ABW","TKL","TLS"
"BRB",0,0,1417434,230231,122958,685741,38863573,421520,0,21138,67850,322605,23754,411718,8492,0,29078175,470,159491,18128,297095,0,11659587,286229,0,0,67114,0,3213,0,0,0,545414,3010,0,432777,24352,0,26512,0,0,354132,1244,0,12448,127554,25878,0,12276809,0,0,9714,25975,0,12153,593,2669,0,149150,91164,0,0,0,0,0,49932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3111,0,0,0,0,0,0,0,0,0,17399,0,14317088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN",3133253,0,4309062118,310991231,669199741,2001587715,981846057,4545446,3741663,27816063106,75731772,1642729095,509980940,665002309,102443023,64930818,14744194794,29426483,931110678,325973010,286104420,106683075,1076231153,296730949,35608988,103657791,176490128,107607272,963221,598180788,166760338,6601274,10987018530,1445907124,52509721,124103595,263177899,9756408,159784900,445867143,1910414709,399088397,1015685666,224920055,7795714,149394130,52564624,2650483,6340143,184674843,32679944,5854104,3561736,75271525,3850390,19696641,2706209,2805817,30509654,10625101,35514895,76583536,102258204,10954156,344540057,23779711,22747302,5875339,22385240,7083129,25854131,269154290,12425383,929608,125807424,39739409,8275623,476616,1369139,38851,866173,6667215,6678064,17056980,1143614,341429319,271937087,177333141,5293681,4012389,1604902,15839383,3171743,7836363,688733,663347,6019188,1689799,23878922,185460696,37721085,0,21191663,1841903,30051,7963303,27851153,38093320,255239463,10288623,5542759,183839715,29808715,12602786,22361732,23056644,318611,34390655,789616,95444748,74312830,358143602,9548723,226551912,3315108,7765827,17553445,1278820,2239172536,1677447,32756338,2563143,17240751,3861657,70733411,4618700,3894446,0,5333708,7398352,0,30306305,291688,38988,4323551,41909551,4289188,1383854,3767255,2954307,719269,1522245,363086,0,0,1503675,0,0
"DEU",14745177,2418424801,0,6450294998,13123742787,45262297599,32809931431,55271017,88913912,1751672768,1576639049,35145327470,1133862044,29876983919,405686505,3303815502,26576528760,341951381,2279436004,20236737844,26520494999,1796963000,2995787986,22088601226,211189700,1016248076,4180803875,3776694246,14915124,1401062076,1650437000,144472748,10481568056,2958999844,858000194,80164196,1472172603,208514241,3416222851,1813584560,1951603241,9609573316,1473481051,3472850775,107089849,3110333333,482710229,431460617,27776430,516703409,45560000,51781425,87129961,1002434497,129226398,10348537,288692832,35660354,627677809,605584834,151031000,321095000,434221442,125861410,518594000,157929718,15082235,88914000,20058000,81500000,36342000,1126447992,18374000,16138000,108165000,481753000,109334000,267158000,992000,77239000,10135000,85142000,106351000,136852000,24916000,1888054000,99321000,0,40135000,82068000,25052000,114007000,15299000,28166000,2327000,4458000,27889000,15336000,2057377000,2593072008,654735000,1621000797,178932000,2188000,140000,858000,136836000,236433000,18378204,32129000,29200000,40502000,13192000,42504000,34119000,75492000,29302000,693970000,11980000,65655000,2911786992,44179000,58056566,683148000,23161000,89690000,60305000,16669000,5468443000,14791000,232129000,23662000,96987000,23401000,0,2981718000,111924000,0,26718000,5472000,277000,15730000,189000,35615000,12954000,13480000,22065000,4035000,5979000,43219000,2582000,58925000,3815000,14000,2406000,4805000,0,0
"DNK",11779988,130005529,6328932841,0,639668324,1902116089,3753270427,2894656,3364413,134106921,173292470,1671697965,95228917,1470446262,39750684,205234707,1672192033,14151205,167230165,326934428,678451440,40692964,194572093,622019532,20651797,116755016,805457035,231994707,257168720,58362429,54952687,129916602,1037148763,179228382,42906307,8470737,47567725,17074974,1647377033,208223781,114427265,3904146542,115619907,94570524,7417706,105185998,22835438,12313709,3553105,28176928,2820287,2320034,5226441,54290596,5457336,793749,2139702,2970523,30289032,16158864,17584599,29627211,46101559,15809419,14226369,9591149,3714739,13499902,731285,20952735,280129,80791148,909321,3534359,42534550,20541681,15673051,5507684,2337517,2341457,307255,2763349,3208555,1349490,452575,67206582,16402655,71354314,16561979,12901023,544442,6179256,13544821,1571603,1109,249283,2506276,708788,53829944,133192265,48462347,64484834,18565312,14360,452298,251871,19932713,416062552,23379726,2238708,1185443,1756199,375224,23782861,957429,3475242,2336367,25875433,6046070,31649511,218543582,1338938,1003594,30773909,2078439,10105806,2353639,2258390,345866281,202028,24835943,3989091,22323016,4649786,20340830,19320090,10021655,0,713106,3022612,254240,4002738,0,4087179,1108762,1120776,2494795,1005251,1172879,4204150,5010,9273098,796665,0,491594,746289,0,0
"ESP",2347586,310255674,7485090302,313589451,0,10182679132,4884574517,29306435,21225309,155287947,222050072,4973769870,41227050,1742110740,29467120,3376481160,3287439955,128174785,144296696,428710475,1486066511,182847647,393280249,811287733,58049487,148930943,277977714,374294360,1144736,132995085,115478878,33672236,851072785,173995403,64283542,2754003,465068068,30871476,258782120,351096668,154374497,601789020,124356871,337337700,29040391,108757535,164774677,125004345,3489849,27204362,11231995,9403022,29513459,667539192,42550101,312884,15337553,6236728,160004643,141603386,28581191,42753585,557883419,11861073,61004716,32614656,2928280,20023248,13763,105739847,4562567,93420932,6962782,5751013,19435709,17779935,13037682,2464839,288091,9695257,734605,65640005,33545861,18446653,13921600,56323921,301581124,67168972,46082665,7021372,9041938,7459230,114904755,13636872,13497713,721473,25066416,3802402,42268841,283548931,81724848,145475941,16808413,0,45516,83052,46964659,192683677,1184190,11608384,14532213,591,118335,16648882,66274269,3810503,2916769,96757519,8580336,175495711,66626174,5087256,5987391,27686035,803700,3370676,55309885,9099709,380990607,108265,58328472,2834285,8472337,1167249,1567100,119295796,6232660,0,460704,875503,24835,2476291,18298,1452736,2627521,825101,4345864,3385853,1035072,1193494,15636,2487243,968841,0,206207,1290738,0,0
"FRA",8348989,1627788027,37585763396,1522231192,11869067036,0,19287541576,1003733431,20342933,1041903879,909109406,24062858566,404081047,9123573162,158189643,2733621743,12374564179,162231488,801100882,1887996535,17690810227,712164378,1889957907,7654474913,153744949,1288248007,1044194864,1453350832,6092114,585779630,1007235676,47360960,6905906124,1108187075,417522931,45419359,648278046,135876665,915761916,1044092234,1341492688,2479579873,815697066,1237108091,45576579,914485839,268485664,150376572,18084464,170097616,165524370,8502336,25128634,2258108629,39241248,7337371,716633161,20050792,1389996755,228621688,325400297,133865446,1487459168,124064707,250072840,33997701,77468371,107870790,15554997,153265321,10252738,679746547,102482103,152035100,63737658,116041485,58733776,30589783,7102185,69881973,66551614,601000904,526567215,178194612,267122054,281874116,68320390,308377040,22804495,43262426,377804824,47962131,12206549,155172835,12930585,4395581,7282849,23020322,294916937,588493070,540892878,542001482,123374467,2623582,2001630,2872914,183214318,310195682,14517941,208690389,143713326,23735819,1452557,33120198,155427211,234453821,395223702,527649002,22057090,79569050,397526928,11069744,36030608,240483289,25726849,37363100,474035245,7977132,1494900763,1928390,278865839,13876232,35612074,91952440,131484046,579660075,41842761,0,30432322,60451542,176456,20439987,43976,14430102,107197138,29843816,9864433,22641246,69983066,11894470,862816,11540047,7076724,663161,24781307,3808222,0,0
"GBR",69986798,1373222273,21284024964,2192800970,5735182230,15628776404,0,16837983,31419226,1972196810,8087155192,8584724738,1456973308,9351714761,647526567,1766897424,19045060750,50796607,2461862259,1162682685,9127724215,520698045,3817916343,3353396183,299306111,447991540,1873728385,953156603,7475090,408583077,1821992904,128331828,4817157540,1106681812,505540683,134892222,537656990,268631292,2121748180,2719244624,1689556879,3987648656,833518884,922129960,49988851,398768983,166440839,137180951,99606877,252737983,23323723,9804822,30810083,150331045,33424164,22403730,17567909,12785860,92112778,188595536,154085312,293081679,243213418,298272910,422518282,47079796,27317933,168690963,13936341,47447423,7956332,1108571915,10895970,11656060,90403871,78314743,195370436,39536387,21495908,49265733,2987294,47275048,36195853,41580735,16348693,237195701,65090379,100751882,33793535,72482713,30843802,281769518,122048247,20286668,2075083,27179776,12227523,11836578,215450215,677018232,521347742,1198600230,365634261,854879,10780645,2166024,94079681,14360721,50210927,27112914,15451505,28249539,2903653,49072711,5184582,88877288,14387842,854930602,11470265,50643063,395028415,8482531,45599603,137530511,3407594,112677759,26100932,21080134,1074338371,18782854,63822273,81306208,134645127,10300328,121955076,1967016886,138113276,0,5012415,26763796,17358454,30548625,1049401,57912057,19211093,6311067,37712216,25203298,2768446,67912636,764204,158618172,1653430,13263777,805287,20331983,0,0
"GLP",4999,0,794565,42772,48403,94259403,84398,0,0,0,0,273181,80739,390050,0,4658191,1317879,0,80065,57689,65948,0,108812,28562,0,0,0,2719,0,0,0,0,38595,8068,0,0,67559,0,60214,0,0,107889,0,0,0,2668,0,0,27643,0,0,0,0,0,0,1461,2817504,0,58731,88727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GTM",246494,0,58290326,3069114,5188405,14758775,15878556,436702,0,483487,316722,26372971,160473,23275205,37218,2121627,786177971,69032,314257,10324386,7324364,0,28777902,13814658,506947,285986,11398716,372979,1030,9980910,0,203320,43715576,5405077,0,10717763,33072872,50198,2461665,27749563,5645641,8321921,11188,23950,61785,604954,177827,3508456,1105579,0,0,40992,71330642,0,20410908,23538,12237,97974032,4367494,442935,295257,2108223,133780,406494,331677,29512,0,99399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28570541,0,0,0,0,219803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20282786,16190568,0,0,130496,0,0,0,0,0,0,1279,53899,1281404,0,0,0,0,0,0,0,0,0,0,0,0,0,13125,0,0,0,0,0,0,0,0,0,0,0,0
"HKG",2615341,13016382122,2837024767,148554706,257387195,688522859,3167716998,2675812,11295129,0,87536699,306320355,505213782,795808806,106425102,33095484,9021301389,9351950,552956493,231407366,448180006,85534316,818249360,586401229,24086139,85902289,130592055,68211520,997008,257742185,305123614,9466793,2041396512,582100028,14672899,113163941,200803216,11371142,211915664,205680788,1688817027,401486288,416659464,79670381,9775183,86944259,37302300,7842399,11423538,522583259,50156199,920754,17628725,4837585,5614482,21046439,1415528,1813856,9309684,27805258,15116652,64091751,11958362,17893684,62993353,2538899,17858815,3131580,18673600,11069576,35382,382341012,13980670,8769494,210861590,10014095,15370702,4711284,3329619,9392292,907428,20183185,15878124,40628785,25260865,12015256,342458,0,35157452,1893622,12539212,24899944,7845307,20674260,98964,1448277,14180976,11344392,37286723,14879963,10459050,109587133,26172319,1639312,7539031,1192716,60443436,8740924,683247248,17191143,12491313,11295973,1036941,11651645,5015253,90184788,15170167,274772217,1297577,566293958,114007348,107700439,49061556,8608537,1952921,1968242,25302413,686581,113279123,4533878,9789829,9234307,16030722,201529081,6165006,407859231,7998046,0,2229232,6700669,0,15736742,582288,10068034,4830755,22934719,3812854,2001146,480267,7256314,1389126,4306174,1040177,0,0,3203960,0,0
