year;origin;dest;export_val;import_val
1994;abw;aut;7097.0;541738.0
1994;abw;bel;2161071.0;1401662.0
1994;abw;bra;27039078.0;4388345.0
1994;abw;brn;5697.0;0.0
1994;abw;chn;0.0;1341345.0
1994;abw;col;6499009.0;0.0
1994;abw;cri;1339432.0;0.0
1994;abw;cyp;649.0;0.0
1994;abw;cze;928.0;1775.0
1994;abw;deu;117352.0;5381000.0
1994;abw;dnk;23993.0;2454203.0
1994;abw;esp;673731.0;989682.0
1994;abw;fin;0.0;329384.0
1994;abw;fra;493169.0;4921736.0
1994;abw;gbr;7431487.0;73083116.0
1994;abw;glp;3543.0;0.0
1994;abw;grc;0.0;1410.0
1994;abw;gtm;1803097.0;0.0
1994;abw;hkg;58257.0;4158097.0
1994;abw;hnd;8409138.0;0.0
1994;abw;irl;33165.0;1984011.0
1994;abw;isr;0.0;361135.0
1994;abw;ita;5344.0;5029740.0
1994;abw;mex;77742.0;45363238.0
1994;abw;mtq;435971.0;0.0
1994;abw;mys;2464.0;1008139.0
1994;abw;nld;9127699.0;49627990.0
1994;abw;nor;1102.0;208249.0
1994;abw;nzl;0.0;96847.0
1994;abw;per;2447733.0;0.0
1994;abw;phl;4725472.0;2122990.0
1994;abw;prt;0.0;72187.0
1994;abw;tha;14680.0;180921.0
1994;abw;usa;439722341.0;273944128.0
1994;abw;zaf;0.0;1804.0
1994;afg;aus;50371.0;160396.0
1994;afg;aut;922596.0;44042.0
1994;afg;bel;27926234.0;1462944.0
1994;afg;bhr;2061.0;0.0
1994;afg;bra;0.0;197356.0
1994;afg;brn;28038.0;0.0
1994;afg;can;226966.0;122553.0
1994;afg;che;1421700.0;461864.0
1994;afg;chl;374180.0;0.0
1994;afg;chn;10672043.0;27368686.0
1994;afg;col;1107.0;0.0
1994;afg;cri;2245.0;0.0
1994;afg;cyp;84837.0;0.0
1994;afg;cze;13093.0;914506.0
1994;afg;deu;9004868.0;18352000.0
1994;afg;dnk;176517.0;782756.0
1994;afg;dza;8124.0;0.0
1994;afg;egy;224909.0;0.0
1994;afg;esp;315046.0;2567552.0
1994;afg;fin;141738.0;1193926.0
1994;afg;fra;1433080.0;16051032.0
1994;afg;fro;1283.0;0.0
1994;afg;gab;914928.0;0.0
1994;afg;gbr;5639513.0;11923845.0
1994;afg;glp;13276.0;0.0
1994;afg;grc;48071.0;239632.0
1994;afg;grl;8275.0;0.0
1994;afg;hkg;45105.0;23495662.0
1994;afg;hrv;54932.0;2589.0
1994;afg;hun;508031.0;12000.0
1994;afg;idn;0.0;1795286.0
1994;afg;ind;5911110.0;15620350.0
1994;afg;irl;70884.0;576792.0
1994;afg;isl;6501.0;0.0
1994;afg;ita;3766418.0;1835093.0
1994;afg;jam;2395.0;0.0
1994;afg;jor;99474.0;0.0
1994;afg;jpn;1097206.0;81038199.0
1994;afg;kor;7560.0;19933782.0
1994;afg;kwt;77114.0;0.0
1994;afg;lka;260714.0;0.0
1994;afg;ltu;33654.0;0.0
1994;afg;lva;57969.0;0.0
1994;afg;mac;6123.0;0.0
1994;afg;mex;2961287.0;110117.0
1994;afg;mlt;2466.0;0.0
1994;afg;mys;425373.0;6802661.0
1994;afg;nld;201735.0;2657724.0
1994;afg;nor;390273.0;1663738.0
1994;afg;nzl;86714.0;74183.0
1994;afg;per;17674.0;0.0
1994;afg;pol;138136.0;81000.0
1994;afg;prt;165701.0;196077.0
1994;afg;qat;471.0;0.0
1994;afg;reu;4494.0;0.0
1994;afg;sau;849932.0;0.0
1994;afg;sgp;75240.0;18679456.0
1994;afg;slv;20998.0;0.0
1994;afg;svk;37002.0;990.0
1994;afg;svn;653009.0;2137645.0
1994;afg;swe;294610.0;178216.0
1994;afg;tha;3765471.0;17057842.0
1994;afg;tun;2437.0;0.0
1994;afg;tur;349706.0;1548222.0
1994;afg;usa;5703803.0;5438680.0
1994;afg;zaf;151329.0;116996.0
1994;ago;arg;0.0;2999439.0
1994;ago;aus;0.0;333974.0
1994;ago;aut;189953.0;3165973.0
1994;ago;bel;100832465.0;35448780.0
1994;ago;bra;14250414.0;154742767.0
1994;ago;can;3451301.0;4050652.0
1994;ago;che;5016133.0;7662876.0
1994;ago;chl;63262041.0;0.0
1994;ago;chn;43371273.0;12482005.0
1994;ago;cze;0.0;914465.0
1994;ago;deu;147373776.0;21266000.0
1994;ago;dnk;0.0;3707564.0
1994;ago;ecu;11393432.0;0.0
1994;ago;esp;131288440.0;58512595.0
1994;ago;fin;4856457.0;185720.0
1994;ago;fji;34464.0;0.0
1994;ago;fra;110538490.0;135943902.0
1994;ago;gab;12755.0;0.0
1994;ago;gbr;16672855.0;36623639.0
1994;ago;grc;131793.0;99505.0
1994;ago;hkg;130591.0;9091809.0
1994;ago;hrv;0.0;25777.0
1994;ago;idn;0.0;3211655.0
1994;ago;ind;0.0;780012.0
1994;ago;irl;1218.0;3281811.0
1994;ago;ita;111566668.0;32738780.0
1994;ago;jam;20187.0;0.0
1994;ago;jpn;9224205.0;16365403.0
1994;ago;ken;8235100.0;0.0
1994;ago;kor;64725412.0;12555514.0
1994;ago;mex;260974.0;4256.0
1994;ago;mlt;1788871.0;0.0
1994;ago;mtq;44551.0;0.0
1994;ago;mys;0.0;1260452.0
1994;ago;nld;259533.0;46325084.0
1994;ago;nor;0.0;2202391.0
1994;ago;nzl;0.0;1678729.0
1994;ago;per;1534974.0;0.0
1994;ago;phl;25195.0;0.0
1994;ago;pol;0.0;8080000.0
1994;ago;prt;5195810.0;293495578.0
1994;ago;svk;0.0;2259122.0
1994;ago;svn;235480.0;0.0
1994;ago;swe;0.0;4368872.0
1994;ago;tha;11365732.0;22272546.0
1994;ago;tun;9204.0;0.0
1994;ago;tur;0.0;274196.0
1994;ago;usa;2001639251.0;197438661.0
1994;ago;zaf;4335704.0;87049278.0
1994;ago;zwe;212291.0;0.0
1994;aia;aus;0.0;62456.0
1994;aia;aut;623.0;0.0
1994;aia;bel;0.0;53081.0
1994;aia;bra;0.0;6300.0
1994;aia;can;3433.0;95988.0
1994;aia;col;1178.0;0.0
1994;aia;cze;2139.0;0.0
1994;aia;deu;31233.0;79000.0
