year;origin;dest;export_val;import_val
2007;abw;ant;27093445.740000002;20098653.0
2007;abw;are;0.0;164582.0
2007;abw;arg;4294778.32;4384247.0
2007;abw;aut;21183.36;1040915.0
2007;abw;bgd;48200.380000000005;0.0
2007;abw;bgr;50959.0;0.0
2007;abw;bhs;27084.0;2703246.0
2007;abw;bih;0.0;2226.0
2007;abw;blr;0.0;1600.0
2007;abw;blx;5896137.5;2129064.0
2007;abw;bra;253567671.96999997;74511457.0
2007;abw;brb;1118.0;348503.0
2007;abw;can;107320211.74;11280869.0
2007;abw;che;13444.0;89060852.0
2007;abw;chl;280441.76;1282096.0
2007;abw;chn;108617.15;10405341.0
2007;abw;cog;1959.0;0.0
2007;abw;col;100014451.98999998;14628785.0
2007;abw;cri;256985634.83;1967940.0
2007;abw;cze;19928.0;1177475.0
2007;abw;deu;1931704.93;51865000.0
2007;abw;dma;1449.0;0.0
2007;abw;dnk;82921.28;1919010.0
2007;abw;dom;22524.059999999998;3943934.0
2007;abw;ecu;39347670.29;142043.0
2007;abw;esp;14929646.450000001;16178607.0
2007;abw;est;0.0;4055.0
2007;abw;fin;4637.0;1196409.0
2007;abw;fji;0.0;27362.0
2007;abw;fra;164078588.10000002;31914608.0
2007;abw;gbr;63693648.17;48535963.0
2007;abw;grc;4701452.94;15420.0
2007;abw;gtm;1890540.61;17658278.0
2007;abw;guy;69468.28;1034530.0
2007;abw;hkg;61530.3;2936521.0
2007;abw;hnd;2051996.65;1564148.0
2007;abw;hrv;11981.89;2455.0
2007;abw;hun;1795000.0;133000.0
2007;abw;ind;0.0;524203.0
2007;abw;irl;2413.1800000000003;223266.0
2007;abw;isr;51000.0;1005000.0
2007;abw;ita;9284545.7;16144738.0
2007;abw;jam;1697781.75;743298.0
2007;abw;khm;50083.29;35363.0
2007;abw;kor;523891.5;13348522.0
2007;abw;lbn;8929.28;0.0
2007;abw;lka;11309.0;6929.0
2007;abw;ltu;0.0;8132.0
2007;abw;lva;0.0;37963.0
2007;abw;mex;67393447.97999999;1517406741.0
2007;abw;mng;486789.45999999996;0.0
2007;abw;mwi;3811.0;0.0
2007;abw;mys;0.0;329518.0
2007;abw;nga;26533.0;0.0
2007;abw;nic;7389.68;0.0
2007;abw;nld;4351388.350000001;105684200.0
2007;abw;nor;0.0;159975.0
2007;abw;nzl;1612.0;504390.0
2007;abw;pak;0.0;43223.0
2007;abw;pan;31096542.349999998;31983173.0
2007;abw;per;80416765.10000001;1813936.0
2007;abw;phl;0.0;114449.0
2007;abw;pol;0.0;1132048.0
2007;abw;prt;0.0;85506.0
2007;abw;pry;0.0;2016572.0
2007;abw;qat;23222896.229999997;0.0
2007;abw;rou;6546836.47;0.0
2007;abw;rwa;7994.0;0.0
2007;abw;sau;58904641.980000004;1302650.0
2007;abw;sdn;42172303.17;0.0
2007;abw;slv;356297.85;78963.0
2007;abw;srb;0.0;1619.0
2007;abw;svk;0.0;40262.0
2007;abw;svn;160228.95;0.0
2007;abw;swe;6469506.85;597586.0
2007;abw;tha;0.0;3048247.0
2007;abw;tto;468377.9;22831496.0
2007;abw;tur;8966441.31;218731.0
2007;abw;tza;116767.53;0.0
2007;abw;uga;4828.46;0.0
2007;abw;ury;2542268.39;697175.0
2007;abw;usa;2843126293.6099997;485884091.0
2007;abw;ven;1501959.6099999999;0.0
2007;abw;yem;71946633.11000001;41053637.0
2007;abw;zaf;16996.0;47040.0
2007;abw;zmb;10780.42;0.0
2007;abw;zwe;8294.0;0.0
2007;afg;alb;0.0;2057713.0
2007;afg;are;4399176.26;355677011.0
2007;afg;arg;256774.01;144172.0
2007;afg;arm;0.0;21735.0
2007;afg;aus;86810.47;7433899.0
2007;afg;aut;235784.28;7192957.0
2007;afg;aze;3877.8;47577089.0
2007;afg;ben;2002.0;0.0
2007;afg;bfa;14347.310000000001;0.0
2007;afg;bgd;12993747.26;2031735.0
2007;afg;bgr;4262.03;7524485.0
2007;afg;bhr;226716.39;87277.0
2007;afg;bih;3309.0;151837.0
2007;afg;blr;1267662.54;6251400.0
2007;afg;blx;4020414.23;18175197.0
2007;afg;bra;577147.0;3175313.0
2007;afg;can;631053.07;12443570.0
2007;afg;che;328221.89;939260.0
2007;afg;chl;39504.0;0.0
2007;afg;chn;2373117.94;168879343.0
2007;afg;civ;2280.04;0.0
2007;afg;col;83457.37;17400.0
2007;afg;cpv;9697.15;0.0
2007;afg;cri;120309.98;38051.0
2007;afg;cyp;33571.85;496001.0
2007;afg;cze;570495.04;7553031.0
2007;afg;deu;6264050.05;180816000.0
2007;afg;dnk;310438.0;9705308.0
2007;afg;dom;635853.63;2304.0
2007;afg;dza;74836.0;18963.0
2007;afg;ecu;0.0;519634.0
2007;afg;esp;366728.92000000004;6633663.0
2007;afg;est;16212.0;2134103.0
2007;afg;eth;39970.53;0.0
2007;afg;fin;11124127.27;3800246.0
2007;afg;fji;105884.0;0.0
2007;afg;fra;2502657.16;64317707.0
2007;afg;gab;9736.0;0.0
2007;afg;gbr;1724200.18;73349305.0
2007;afg;geo;3798.0;1080325.0
2007;afg;gin;198239.0;0.0
2007;afg;grc;14637.0;270541.0
2007;afg;gtm;31190.0;169000.0
2007;afg;guy;0.0;19397.0
2007;afg;hkg;79275.0;2090880.0
2007;afg;hnd;3817066.6799999997;0.0
2007;afg;hrv;225928.62;3781890.0
2007;afg;hun;17000.0;1801000.0
2007;afg;ind;75722101.14999999;217343537.0
2007;afg;irl;328303.82999999996;9725378.0
2007;afg;isr;3902000.0;4000.0
2007;afg;ita;680327.6;26866146.0
2007;afg;jor;1004086.9;776858.0
2007;afg;jpn;212975.33000000002;89222390.0
2007;afg;kaz;3767648.4999999995;192478907.0
2007;afg;ken;200902.02000000002;38054475.0
2007;afg;kgz;206484.53000000003;118361997.0
2007;afg;khm;60802.0;32138.0
2007;afg;kor;124458.95999999999;109006857.0
2007;afg;kwt;132877.37;5701800.0
2007;afg;lbn;66793.0;5858504.0
2007;afg;ltu;0.0;7609867.0
2007;afg;lva;0.0;1091549.0
2007;afg;mdg;0.0;38530.0
2007;afg;mex;515129.57;29217.0
2007;afg;mkd;0.0;103790.0
2007;afg;mne;0.0;115466.0
2007;afg;mng;2569.0;0.0
2007;afg;moz;163967.38999999998;0.0
2007;afg;mus;42148.84;15129.0
2007;afg;mwi;0.0;5688.0
2007;afg;mys;0.0;3866875.0
2007;afg;ner;23923.99;23192.0
2007;afg;nga;2913899.05;1627294.0
2007;afg;nld;153728.0;31640871.0
2007;afg;nor;1288331.5;6076217.0
2007;afg;nzl;186368.0;330932.0
2007;afg;pak;83975205.08000003;834586099.0
2007;afg;per;13327.0;0.0
2007;afg;phl;15167.0;158496.0
2007;afg;pol;344517.24;3393900.0
2007;afg;prt;2124.0;0.0
2007;afg;qat;34387.020000000004;151480.0
2007;afg;rou;11506.0;696455.0
2007;afg;rus;6993467.29;124741567.0
2007;afg;sau;109671.26;2146955.0
2007;afg;sdn;57738469.269999996;0.0
2007;afg;sen;0.0;97117.0
2007;afg;sgp;6052445.95;8135020.0
2007;afg;slv;9655.0;0.0
2007;afg;srb;36436.0;41114.0
2007;afg;svk;4028.0;17791575.0
2007;afg;svn;17757.67;330485.0
2007;afg;swe;22704.0;17532334.0
2007;afg;syr;579224.12;3277202.0
2007;afg;tha;834434.3200000001;150109509.0
2007;afg;tun;734961.2699999999;161952.0
2007;afg;tur;12313082.64;104958551.0
2007;afg;uga;4483.15;52095.0
2007;afg;usa;10099292.439999998;478433718.0
2007;afg;ven;236397.24;0.0
2007;afg;yem;60612.119999999995;0.0
2007;afg;zaf;476864.0;11294702.0
2007;afg;zwe;0.0;423958.0
2007;ago;are;277805495.83;202772408.0
2007;ago;arg;1776.0;165837177.0
2007;ago;aus;32597.0;4634926.0
2007;ago;aut;77487.39;17988825.0
2007;ago;aze;27283.11;6973.0
2007;ago;ben;12904.0;9079.0
2007;ago;bfa;0.0;36303.0
2007;ago;bgd;1031.0;425939.0
2007;ago;bgr;11123.0;1589709.0
2007;ago;bih;3135.51;0.0
2007;ago;blr;0.0;37100.0
2007;ago;blx;282632693.52;355052559.0
2007;ago;bra;858622728.46;1192672367.0
