year;origin;dest;export_val;import_val
1997;abw;and;1174.0;0.0
1997;abw;aut;0.0;158459.0
1997;abw;bhs;531822.24;178668.0
1997;abw;blx;3805468.04;27975379.0
1997;abw;bol;19322.54;0.0
1997;abw;brb;0.0;888593.0
1997;abw;chn;0.0;2570495.0
1997;abw;col;8573457.620000001;49905216.0
1997;abw;cri;0.0;7479641.0
1997;abw;cyp;812849.14;9135.0
1997;abw;cze;1908.0;15484.0
1997;abw;deu;56141.240000000005;14300331.0
1997;abw;dma;3000.0;0.0
1997;abw;dnk;17169.12;1347330.0
1997;abw;dom;0.0;635776.0
1997;abw;ecu;74752986.12;107990.0
1997;abw;esp;24846.39;2420434.0
1997;abw;fin;6697384.39;297205.0
1997;abw;fra;10113476.049999999;5478216.0
1997;abw;gbr;477215.44999999995;96569699.0
1997;abw;grc;3921108.73;0.0
1997;abw;grd;1211.0;1135.0
1997;abw;gtm;117492905.91;307720.0
1997;abw;guy;6825.5599999999995;7752000.0
1997;abw;hkg;0.0;2488819.0
1997;abw;hnd;786394.85;0.0
1997;abw;hti;0.0;12462.0
1997;abw;idn;203662.0;44489.0
1997;abw;irl;0.0;2797933.0
1997;abw;isl;0.0;7232.0
1997;abw;isr;0.0;162000.0
1997;abw;ita;2573582.3;5298247.0
1997;abw;jam;7633.0;9474.0
1997;abw;kna;6193.0;0.0
1997;abw;kor;20248156.18;5787825.0
1997;abw;lbn;805173.16;0.0
1997;abw;lca;12091.71;0.0
1997;abw;ltu;0.0;162199.0
1997;abw;mac;0.0;1191.0
1997;abw;mex;19078801.790000003;9071811.0
1997;abw;mys;0.0;322351.0
1997;abw;nic;0.0;17970.0
1997;abw;nld;17609532.880000006;54704305.0
1997;abw;nor;0.0;353150.0
1997;abw;nzl;0.0;127252.0
1997;abw;pan;666254.77;1702930.0
1997;abw;per;28571.0;67157.0
1997;abw;phl;32357.95;2341079.0
1997;abw;prt;808075.9;65646.0
1997;abw;sdn;650848.9400000001;4022569.0
1997;abw;sen;850208.75;0.0
1997;abw;slv;5221625.82;25295.0
1997;abw;swe;0.0;845160.0
1997;abw;tha;0.0;445242.0
1997;abw;tto;13742413.06;6266674.0
1997;abw;tur;1567276.45;0.0
1997;abw;ury;4164088.88;27104.0
1997;abw;usa;580830570.87;157009829.0
1997;abw;vct;5151.53;0.0
1997;abw;ven;13636298.14;115862173.0
1997;abw;zaf;174638.0;0.0
1997;afg;and;26957.0;0.0
1997;afg;arg;22338.89;0.0
1997;afg;aus;32057.21;274846.0
1997;afg;aut;158332.79;61806.0
1997;afg;aze;25751.09;218399.0
1997;afg;bfa;2146.0;0.0
1997;afg;bgd;207617.47;2767187.0
1997;afg;bgr;211710.59000000003;164435.0
1997;afg;blx;14140399.0;1771339.0
1997;afg;bol;14497.71;0.0
1997;afg;bra;6252453.340000001;143188.0
1997;afg;brb;1099.0;0.0
1997;afg;brn;70134.93;0.0
1997;afg;can;494074.66;3688018.0
1997;afg;che;1123707.4;47756.0
1997;afg;chl;56147.61;102667.0
1997;afg;chn;456172.22;25378658.0
1997;afg;cmr;8684.25;0.0
1997;afg;cri;425173.31;0.0
1997;afg;cyp;111869.0;0.0
1997;afg;cze;54245.91;648325.0
