year;origin;dest;export_val;import_val
2012;abw;arg;45933.0;4486511.95
2012;abw;aut;0.0;832220.0
2012;abw;aze;0.0;83842.0
2012;abw;bgr;55076.94;10773.0
2012;abw;bhs;830994.0;3330608.0999999996
2012;abw;blr;0.0;5600.0
2012;abw;blx;572960.94;2495347.27
2012;abw;bra;2043096.98;19401262.330000006
2012;abw;can;154674.0;13146756.389999997
2012;abw;che;450027.08;19971539.740000002
2012;abw;chl;0.0;1971660.5699999998
2012;abw;chn;11785025.27;23471576.02000001
2012;abw;col;160273254.39;1034618078.1800002
2012;abw;cri;270731.96;14664852.860000001
2012;abw;cuw;6552237.0;26033473.430000003
2012;abw;cze;6076.49;268993.0
2012;abw;deu;335666.19;12451947.030000003
2012;abw;dma;0.0;36713.0
2012;abw;dnk;0.0;25201410.96
2012;abw;dom;41127.19;6182085.0
2012;abw;ecu;124850956.53999999;313451.0
2012;abw;esp;53522.67;7994010.090000001
2012;abw;est;0.0;6953.0
2012;abw;fin;16596328.08;803587.0800000001
2012;abw;fra;7956992.33;20267872.410000008
2012;abw;gbr;40127189.21;110386336.96000001
2012;abw;grc;4273269.92;0.0
2012;abw;gtm;14737679.89;389069.0
2012;abw;guy;679871.79;22456.0
2012;abw;hkg;89680.73000000001;6411923.339999999
2012;abw;hnd;174152.43999999997;1779373.2500000002
2012;abw;hrv;0.0;10581.0
2012;abw;hun;0.0;31000.0
2012;abw;idn;4892463.54;754241.0
2012;abw;ind;270460.48000000004;2647491.8100000005
2012;abw;irl;23941.08;71296.0
2012;abw;isl;0.0;41291.0
2012;abw;isr;363945.36;199000.0
2012;abw;ita;25459.0;28895593.69
2012;abw;jam;69111.0;2695756.1500000004
2012;abw;jor;4091101.4099999983;0.0
2012;abw;jpn;1813.0;12818819.47
2012;abw;kaz;27300.0;0.0
2012;abw;kor;468138.39;22560695.85
2012;abw;lbn;0.0;73122.0
2012;abw;lka;3799.48;0.0
2012;abw;lva;0.0;1218.0
2012;abw;mex;4023517.0499999993;14335103.150000006
2012;abw;mkd;1088.0;0.0
2012;abw;msr;21182.6;0.0
2012;abw;mys;4914.01;1086477.0
2012;abw;nic;0.0;171440.0
2012;abw;nld;6739852.859999999;131700028.3
2012;abw;nor;0.0;37851.0
2012;abw;nzl;24701.71;877183.0
2012;abw;pak;25549.28;21424.0
2012;abw;pan;4992894.0;36762283.18999999
2012;abw;per;0.0;4363969.35
2012;abw;pol;0.0;373365.0
2012;abw;prt;0.0;132811.0
2012;abw;pry;0.0;43926099.379999995
2012;abw;rou;0.0;10431.0
2012;abw;rus;18937.0;0.0
2012;abw;rwa;1670.0;0.0
2012;abw;sau;2478109.71;0.0
2012;abw;sdn;55310502.55;7480180.0
2012;abw;sgp;161100102.77;112884.0
2012;abw;slv;1004278.44;93959.0
2012;abw;stp;60891.0;3929417.06
2012;abw;sur;1604922.0;859040.02
2012;abw;svk;0.0;497748.0
2012;abw;svn;122873.01999999999;113405.0
2012;abw;swe;0.0;2393485.9000000004
2012;abw;tha;47814.77;3226832.8200000003
2012;abw;tto;200495.0;6900766.940000001
2012;abw;tur;4335719.13;2012923.97
2012;abw;tza;1778.15;0.0
2012;abw;ukr;28500.0;1914182.0
2012;abw;ury;8865554.83;9891558.07
2012;abw;usa;754949718.0599997;675606039.9300011
2012;abw;vct;645669.22;0.0
2012;abw;ven;50634100.0;10741975.4
2012;abw;xxb;1557279.0;603437.3
2012;abw;xxh;5243397.0;11513908.439999996
2012;abw;yem;214023974.16000003;1549265.0
2012;abw;zaf;0.0;222791.0
2012;afg;alb;2734.0;0.0
2012;afg;arg;13907.369999999999;1254649.0
2012;afg;arm;1948.29;210600.0
2012;afg;aus;1714720.08;8680141.0
2012;afg;aut;281845.59;16682608.0
2012;afg;aze;0.0;119916354.0
2012;afg;bgr;0.0;5362458.0
2012;afg;bih;93030.0;1959229.0
2012;afg;blr;1418899.85;156302000.0
2012;afg;blx;2433381.29;33537612.0
