year;origin;dest;export_val;import_val
1974;afg;aus;242000.0;117000.0
1974;afg;aut;789000.0;423000.0
1974;afg;bel;217000.0;451000.0
1974;afg;bgr;358000.0;88000.0
1974;afg;bhr;15000.0;1000.0
1974;afg;bmu;1000.0;0.0
1974;afg;can;68000.0;41000.0
1974;afg;che;6799000.0;3130000.0
1974;afg;chn;2918000.0;2997000.0
1974;afg;csk;3122000.0;773000.0
1974;afg;deu;19867000.0;10642000.0
1974;afg;dnk;1666000.0;485000.0
1974;afg;dza;5000.0;0.0
1974;afg;ecu;1000.0;0.0
1974;afg;esp;80000.0;27000.0
1974;afg;fdr;19867000.0;10642000.0
1974;afg;fin;441000.0;15000.0
1974;afg;fra;3179000.0;2270000.0
1974;afg;gbr;30180000.0;8397000.0
1974;afg;grc;617000.0;25000.0
1974;afg;guy;1000.0;0.0
1974;afg;hkg;4000.0;2733000.0
1974;afg;hun;58000.0;9000.0
1974;afg;idn;64000.0;0.0
1974;afg;ind;18682000.0;24670000.0
1974;afg;irl;654000.0;11000.0
1974;afg;irn;6030000.0;13133000.0
1974;afg;irq;680000.0;7000.0
1974;afg;isl;5000.0;565000.0
1974;afg;isr;5000.0;0.0
1974;afg;ita;3123000.0;1133000.0
1974;afg;jpn;2232000.0;59648000.0
1974;afg;ken;0.0;1000.0
1974;afg;kor;64000.0;82000.0
1974;afg;kwt;113000.0;516000.0
1974;afg;lbn;5870000.0;697000.0
1974;afg;lka;0.0;595000.0
1974;afg;mlt;1000.0;0.0
1974;afg;mys;6000.0;9000.0
1974;afg;ner;4000.0;0.0
1974;afg;nga;2000.0;0.0
1974;afg;nld;853000.0;4995000.0
1974;afg;nor;500000.0;98000.0
1974;afg;nzl;8000.0;6000.0
1974;afg;pak;21722000.0;10785000.0
1974;afg;per;12000.0;0.0
1974;afg;phl;0.0;2000.0
1974;afg;pol;1720000.0;157000.0
1974;afg;prt;363000.0;5000.0
1974;afg;sau;704000.0;1853000.0
1974;afg;sgp;281000.0;3360000.0
1974;afg;sun;92388000.0;73343000.0
1974;afg;swe;2424000.0;1277000.0
1974;afg;syr;21000.0;1000.0
1974;afg;tha;9000.0;698000.0
1974;afg;tur;0.0;1000.0
1974;afg;twn;53000.0;2387000.0
1974;afg;usa;4270000.0;10456000.0
1974;afg;wld;233641000.0;243933000.0
1974;afg;xxh;0.0;603000.0
1974;afg;yug;0.0;215000.0
1974;afg;zaf;150000.0;0.0
1974;ago;arg;0.0;1544000.0
1974;ago;aus;2258000.0;234000.0
1974;ago;aut;3866000.0;3456000.0
1974;ago;bel;22498000.0;21795000.0
1974;ago;bhr;175000.0;0.0
1974;ago;bhs;0.0;806000.0
1974;ago;bra;1344000.0;5768000.0
1974;ago;caf;36000.0;0.0
1974;ago;can;941000.0;1696000.0
1974;ago;che;10373000.0;14650000.0
1974;ago;chn;0.0;25000.0
1974;ago;civ;1654000.0;93000.0
1974;ago;cod;6918000.0;301000.0
1974;ago;cog;750000.0;0.0
1974;ago;cri;0.0;5000.0
1974;ago;csk;0.0;43000.0
1974;ago;deu;93393000.0;80298000.0
1974;ago;dnk;3500000.0;5141000.0
1974;ago;esp;39095000.0;13345000.0
1974;ago;eth;2000.0;0.0
1974;ago;fdr;93393000.0;80298000.0
1974;ago;fin;1972000.0;269000.0
1974;ago;fio;0.0;1000.0
1974;ago;fra;35844000.0;42411000.0
1974;ago;gab;4837000.0;94000.0
1974;ago;gbr;97518000.0;43677000.0
1974;ago;gha;1000.0;0.0
1974;ago;gnb;10430000.0;625000.0
1974;ago;grc;970000.0;80000.0
1974;ago;hkg;170000.0;878000.0
1974;ago;hun;0.0;2000.0
1974;ago;idn;123000.0;5000.0
1974;ago;ind;29000.0;127000.0
1974;ago;irl;1371000.0;128000.0
1974;ago;irn;234000.0;8363000.0
1974;ago;isl;0.0;37000.0
1974;ago;isr;8000.0;574000.0
1974;ago;ita;14080000.0;30466000.0
1974;ago;jam;0.0;1000.0
1974;ago;jor;28000.0;0.0
1974;ago;jpn;101260000.0;29923000.0
1974;ago;kor;336000.0;279000.0
1974;ago;lbn;0.0;1171000.0
1974;ago;lbr;0.0;15000.0
1974;ago;lka;0.0;2000.0
1974;ago;mac;12000.0;3539000.0
1974;ago;mar;2192000.0;190000.0
1974;ago;mdg;788000.0;1000.0
1974;ago;mex;2000.0;4000.0
1974;ago;mlt;1000.0;3000.0
