year;origin;dest;export_val;import_val
1999;abw;atg;0.0;41613.0
1999;abw;aut;1719480.3;47494.0
1999;abw;bgr;0.0;140123.0
1999;abw;bhs;1094.0;427654.0
1999;abw;blr;0.0;11798.0
1999;abw;blx;7733014.96;4897839.0
1999;abw;blz;3009.31;38610.0
1999;abw;bol;270819.17000000004;0.0
1999;abw;che;0.0;854453.0
1999;abw;chn;1563.0;3315347.0
1999;abw;col;1609620.9;6807035.0
1999;abw;cri;4927.0;768914.0
1999;abw;cub;909997.77;450789.0
1999;abw;cyp;0.0;55499.0
1999;abw;cze;0.0;1932.0
1999;abw;deu;3769377.0500000003;8409071.0
1999;abw;dma;1113.0;0.0
1999;abw;dnk;0.0;2106934.0
1999;abw;ecu;1351.0;142999.0
1999;abw;esp;2979563.72;4826339.0
1999;abw;est;489886.31;0.0
1999;abw;fin;0.0;267278.0
1999;abw;fra;2672082.68;30108808.0
1999;abw;gbr;13422403.520000001;73752338.0
1999;abw;gin;2085.0;0.0
1999;abw;grc;599611.72;110680.0
1999;abw;gtm;52364455.5;970511.0
1999;abw;guy;206333.66999999998;2443657.0
1999;abw;hkg;52101.36;1744826.0
1999;abw;idn;106419.12;315873.0
1999;abw;irl;0.0;1254103.0
1999;abw;isr;8972.6;35000.0
1999;abw;ita;35676191.45;4061887.0
1999;abw;jam;3558742.25;291778.0
1999;abw;kna;6068.0;0.0
1999;abw;kor;25889.03;8366054.0
1999;abw;lbn;7789.38;0.0
1999;abw;lka;1885.0;181204.0
1999;abw;mex;10548841.0;13968607.0
1999;abw;mng;0.0;15769.0
1999;abw;mys;1206.61;120363.0
1999;abw;nic;167683.0;0.0
1999;abw;nld;27380872.109999996;66672972.0
1999;abw;nor;0.0;25662536.0
1999;abw;nzl;0.0;2340.0
1999;abw;pan;557139.85;1634224.0
1999;abw;per;16015.0;254468.0
1999;abw;prt;257930.0;28926.0
1999;abw;sdn;1042422.4;2152070.0
1999;abw;sgp;1986912.96;21601.0
1999;abw;slv;9694879.9;299344.0
1999;abw;swe;0.0;1308176.0
1999;abw;tha;15525.0;775402.0
1999;abw;tto;73213.0;72396.0
1999;abw;tur;1106060.13;165917.0
1999;abw;tza;0.0;11672.0
1999;abw;uga;2169.75;0.0
1999;abw;ury;126198.47;135504.0
1999;abw;usa;614632314.2800001;161222715.0
1999;abw;vct;96569.35;0.0
1999;abw;ven;10677548.680000003;25961904.0
1999;abw;zaf;0.0;40441.0
1999;afg;and;2333.0;0.0
1999;afg;atg;26391.96;0.0
1999;afg;aus;33454.65;192382.0
1999;afg;aut;123904.19;417477.0
1999;afg;aze;0.0;178289.0
1999;afg;bgr;4862.87;4972278.0
1999;afg;blr;1401521.18;1406687.0
1999;afg;blx;7176.599999999999;1858757.0
1999;afg;bra;355069.74;27942.0
1999;afg;can;222293.41999999998;528759.0
1999;afg;che;444870.87;618647.0
1999;afg;chl;19372.98;1197.0
1999;afg;chn;2897577.76;16347187.0
1999;afg;col;182064.91;0.0
1999;afg;cri;750653.32;0.0
1999;afg;cyp;19894.0;0.0
1999;afg;cze;309215.07;334614.0
1999;afg;deu;6129411.619999998;11557093.0
1999;afg;dnk;330326.0;529166.0
1999;afg;dza;407425.0;0.0
1999;afg;ecu;125339.31999999999;86136.0
1999;afg;esp;437783.16000000003;84830.0
1999;afg;est;4072.0;235693.0
1999;afg;fin;5983523.93;25652.0
1999;afg;fra;6977917.38;6376996.0
1999;afg;gbr;2735899.5900000003;5580451.0
1999;afg;grc;45218.0;576912.0
1999;afg;gtm;39783.27;0.0
1999;afg;hkg;48464.0;3404737.0
1999;afg;hrv;174583.01;8143.0
1999;afg;hun;159247.05;0.0
1999;afg;idn;786472.07;7506562.0
1999;afg;ind;13586370.61;15239048.0
